sample_id	batch	species	popcode	organelle	reference_length	input_read_records	mapped_reads	mean_depth	total_depth	bases_ge_1x	breadth_ge_1x	bases_ge_5x	breadth_ge_5x	bases_ge_10x	breadth_ge_10x	bam_path	idxstats_path	depth_path
DU-173	QB3.Berkeley.241122/QB3.Dudleya.Results.250118			chloroplast	150274	142626714	18020582	17619.275603	2647719022	150274	1.000000	150274	1.000000	150274	1.000000	dudleya_organelle_alignment_pipeline/results/02_pilot_alignment/bam/DU-173.organelle.sorted.bam	dudleya_organelle_alignment_pipeline/results/02_pilot_alignment/qc/DU-173.idxstats.tsv	dudleya_organelle_alignment_pipeline/results/02_pilot_alignment/qc/DU-173.depth.tsv
DU-173	QB3.Berkeley.241122/QB3.Dudleya.Results.250118			mitochondria	243359	142626714	3092082	1848.704872	449898969	242289	0.995603	242287	0.995595	242278	0.995558	dudleya_organelle_alignment_pipeline/results/02_pilot_alignment/bam/DU-173.organelle.sorted.bam	dudleya_organelle_alignment_pipeline/results/02_pilot_alignment/qc/DU-173.idxstats.tsv	dudleya_organelle_alignment_pipeline/results/02_pilot_alignment/qc/DU-173.depth.tsv
DU014LP012	QB3.Berkeley.250811/QB3.250916.Results5genomes			chloroplast	150274	80007888	9392608	8634.017315	1297468318	150274	1.000000	150274	1.000000	150274	1.000000	dudleya_organelle_alignment_pipeline/results/02_pilot_alignment/bam/DU014LP012.organelle.sorted.bam	dudleya_organelle_alignment_pipeline/results/02_pilot_alignment/qc/DU014LP012.idxstats.tsv	dudleya_organelle_alignment_pipeline/results/02_pilot_alignment/qc/DU014LP012.depth.tsv
DU014LP012	QB3.Berkeley.250811/QB3.250916.Results5genomes			mitochondria	243359	80007888	939016	537.615913	130833671	235934	0.969490	230410	0.946791	230182	0.945854	dudleya_organelle_alignment_pipeline/results/02_pilot_alignment/bam/DU014LP012.organelle.sorted.bam	dudleya_organelle_alignment_pipeline/results/02_pilot_alignment/qc/DU014LP012.idxstats.tsv	dudleya_organelle_alignment_pipeline/results/02_pilot_alignment/qc/DU014LP012.depth.tsv
CY_ALA_LP_298-Du-767	QB3.Berkeley.251217/QB3.Results.260109	D. cymosa	CY_ALA	chloroplast	150274	9650660	921868	734.325020	110349958	150274	1.000000	150270	0.999973	150263	0.999927	dudleya_organelle_alignment_pipeline/results/02_pilot_alignment/bam/CY_ALA_LP_298-Du-767.organelle.sorted.bam	dudleya_organelle_alignment_pipeline/results/02_pilot_alignment/qc/CY_ALA_LP_298-Du-767.idxstats.tsv	dudleya_organelle_alignment_pipeline/results/02_pilot_alignment/qc/CY_ALA_LP_298-Du-767.depth.tsv
CY_ALA_LP_298-Du-767	QB3.Berkeley.251217/QB3.Results.260109	D. cymosa	CY_ALA	mitochondria	243359	9650660	145029	74.755234	18192359	230476	0.947062	230110	0.945558	230041	0.945274	dudleya_organelle_alignment_pipeline/results/02_pilot_alignment/bam/CY_ALA_LP_298-Du-767.organelle.sorted.bam	dudleya_organelle_alignment_pipeline/results/02_pilot_alignment/qc/CY_ALA_LP_298-Du-767.idxstats.tsv	dudleya_organelle_alignment_pipeline/results/02_pilot_alignment/qc/CY_ALA_LP_298-Du-767.depth.tsv
ABAB_MAD_LP_222_Du-589	QB3.Berkeley.251217/QB3.Results.260109	D. abramsii ssp. abramsii	ABAB_MAD	chloroplast	150274	5378	283	0.211846	31835	20147	0.134068	74	0.000492	0	0.000000	dudleya_organelle_alignment_pipeline/results/02_pilot_alignment/bam/ABAB_MAD_LP_222_Du-589.organelle.sorted.bam	dudleya_organelle_alignment_pipeline/results/02_pilot_alignment/qc/ABAB_MAD_LP_222_Du-589.idxstats.tsv	dudleya_organelle_alignment_pipeline/results/02_pilot_alignment/qc/ABAB_MAD_LP_222_Du-589.depth.tsv
ABAB_MAD_LP_222_Du-589	QB3.Berkeley.251217/QB3.Results.260109	D. abramsii ssp. abramsii	ABAB_MAD	mitochondria	243359	5378	22	0.010511	2558	1976	0.008120	0	0.000000	0	0.000000	dudleya_organelle_alignment_pipeline/results/02_pilot_alignment/bam/ABAB_MAD_LP_222_Du-589.organelle.sorted.bam	dudleya_organelle_alignment_pipeline/results/02_pilot_alignment/qc/ABAB_MAD_LP_222_Du-589.idxstats.tsv	dudleya_organelle_alignment_pipeline/results/02_pilot_alignment/qc/ABAB_MAD_LP_222_Du-589.depth.tsv
BAI_LP_105_Du-222	QB3.Berkeley.251217/QB3.Results.260109	D. setchellii	BAI	chloroplast	150274	12041946	1643817	1409.685049	211839011	150274	1.000000	150272	0.999987	150272	0.999987	dudleya_organelle_alignment_pipeline/results/02_pilot_alignment/bam/BAI_LP_105_Du-222.organelle.sorted.bam	dudleya_organelle_alignment_pipeline/results/02_pilot_alignment/qc/BAI_LP_105_Du-222.idxstats.tsv	dudleya_organelle_alignment_pipeline/results/02_pilot_alignment/qc/BAI_LP_105_Du-222.depth.tsv
BAI_LP_105_Du-222	QB3.Berkeley.251217/QB3.Results.260109	D. setchellii	BAI	mitochondria	243359	12041946	178386	100.819362	24535299	230164	0.945780	230008	0.945139	229943	0.944872	dudleya_organelle_alignment_pipeline/results/02_pilot_alignment/bam/BAI_LP_105_Du-222.organelle.sorted.bam	dudleya_organelle_alignment_pipeline/results/02_pilot_alignment/qc/BAI_LP_105_Du-222.idxstats.tsv	dudleya_organelle_alignment_pipeline/results/02_pilot_alignment/qc/BAI_LP_105_Du-222.depth.tsv
CY_BAL_LP_226_Du-602	QB3.Berkeley.251217/QB3.Results.260109	D. cymosa	CY_BAL	chloroplast	150274	4412330	903030	719.971339	108192973	150273	0.999993	150265	0.999940	150226	0.999681	dudleya_organelle_alignment_pipeline/results/02_pilot_alignment/bam/CY_BAL_LP_226_Du-602.organelle.sorted.bam	dudleya_organelle_alignment_pipeline/results/02_pilot_alignment/qc/CY_BAL_LP_226_Du-602.idxstats.tsv	dudleya_organelle_alignment_pipeline/results/02_pilot_alignment/qc/CY_BAL_LP_226_Du-602.depth.tsv
CY_BAL_LP_226_Du-602	QB3.Berkeley.251217/QB3.Results.260109	D. cymosa	CY_BAL	mitochondria	243359	4412330	84316	42.910067	10442551	233733	0.960445	232508	0.955412	232320	0.954639	dudleya_organelle_alignment_pipeline/results/02_pilot_alignment/bam/CY_BAL_LP_226_Du-602.organelle.sorted.bam	dudleya_organelle_alignment_pipeline/results/02_pilot_alignment/qc/CY_BAL_LP_226_Du-602.idxstats.tsv	dudleya_organelle_alignment_pipeline/results/02_pilot_alignment/qc/CY_BAL_LP_226_Du-602.depth.tsv
ABBE_BERN_LP_311_Du-780	QB3.Berkeley.251217/QB3.Results.260109	D. abramsii ssp. bettinae	ABBE_BERN	chloroplast	150274	10549336	1481697	1080.535668	162376417	150274	1.000000	150262	0.999920	150255	0.999874	dudleya_organelle_alignment_pipeline/results/02_pilot_alignment/bam/ABBE_BERN_LP_311_Du-780.organelle.sorted.bam	dudleya_organelle_alignment_pipeline/results/02_pilot_alignment/qc/ABBE_BERN_LP_311_Du-780.idxstats.tsv	dudleya_organelle_alignment_pipeline/results/02_pilot_alignment/qc/ABBE_BERN_LP_311_Du-780.depth.tsv
ABBE_BERN_LP_311_Du-780	QB3.Berkeley.251217/QB3.Results.260109	D. abramsii ssp. bettinae	ABBE_BERN	mitochondria	243359	10549336	250441	116.973180	28466476	230050	0.945311	229060	0.941243	228938	0.940742	dudleya_organelle_alignment_pipeline/results/02_pilot_alignment/bam/ABBE_BERN_LP_311_Du-780.organelle.sorted.bam	dudleya_organelle_alignment_pipeline/results/02_pilot_alignment/qc/ABBE_BERN_LP_311_Du-780.idxstats.tsv	dudleya_organelle_alignment_pipeline/results/02_pilot_alignment/qc/ABBE_BERN_LP_311_Du-780.depth.tsv
COM_LP_269_Du-703	QB3.Berkeley.251217/QB3.Results.260109	D. setchellii	COM	chloroplast	150274	11377416	1737148	1434.370410	215548579	150274	1.000000	150271	0.999980	150269	0.999967	dudleya_organelle_alignment_pipeline/results/02_pilot_alignment/bam/COM_LP_269_Du-703.organelle.sorted.bam	dudleya_organelle_alignment_pipeline/results/02_pilot_alignment/qc/COM_LP_269_Du-703.idxstats.tsv	dudleya_organelle_alignment_pipeline/results/02_pilot_alignment/qc/COM_LP_269_Du-703.depth.tsv
COM_LP_269_Du-703	QB3.Berkeley.251217/QB3.Results.260109	D. setchellii	COM	mitochondria	243359	11377416	301848	159.001015	38694328	240170	0.986896	230906	0.948829	229888	0.944646	dudleya_organelle_alignment_pipeline/results/02_pilot_alignment/bam/COM_LP_269_Du-703.organelle.sorted.bam	dudleya_organelle_alignment_pipeline/results/02_pilot_alignment/qc/COM_LP_269_Du-703.idxstats.tsv	dudleya_organelle_alignment_pipeline/results/02_pilot_alignment/qc/COM_LP_269_Du-703.depth.tsv
CY_BGL_LP_210_Du-577	QB3.Berkeley.251217/QB3.Results.260109	D. cymosa	CY_BGL	chloroplast	150274	9588954	880123	673.828600	101258919	150267	0.999953	150254	0.999867	150218	0.999627	dudleya_organelle_alignment_pipeline/results/02_pilot_alignment/bam/CY_BGL_LP_210_Du-577.organelle.sorted.bam	dudleya_organelle_alignment_pipeline/results/02_pilot_alignment/qc/CY_BGL_LP_210_Du-577.idxstats.tsv	dudleya_organelle_alignment_pipeline/results/02_pilot_alignment/qc/CY_BGL_LP_210_Du-577.depth.tsv
CY_BGL_LP_210_Du-577	QB3.Berkeley.251217/QB3.Results.260109	D. cymosa	CY_BGL	mitochondria	243359	9588954	255171	132.675352	32287741	229605	0.943483	228889	0.940541	228820	0.940257	dudleya_organelle_alignment_pipeline/results/02_pilot_alignment/bam/CY_BGL_LP_210_Du-577.organelle.sorted.bam	dudleya_organelle_alignment_pipeline/results/02_pilot_alignment/qc/CY_BGL_LP_210_Du-577.idxstats.tsv	dudleya_organelle_alignment_pipeline/results/02_pilot_alignment/qc/CY_BGL_LP_210_Du-577.depth.tsv
ABMU_HOR_LP_306_Du-775	QB3.Berkeley.251217/QB3.Results.260109	D. abramsii ssp. murina	ABMU_HOR	chloroplast	150274	13666840	1297258	963.781446	144831293	150260	0.999907	150258	0.999894	150246	0.999814	dudleya_organelle_alignment_pipeline/results/02_pilot_alignment/bam/ABMU_HOR_LP_306_Du-775.organelle.sorted.bam	dudleya_organelle_alignment_pipeline/results/02_pilot_alignment/qc/ABMU_HOR_LP_306_Du-775.idxstats.tsv	dudleya_organelle_alignment_pipeline/results/02_pilot_alignment/qc/ABMU_HOR_LP_306_Du-775.depth.tsv
ABMU_HOR_LP_306_Du-775	QB3.Berkeley.251217/QB3.Results.260109	D. abramsii ssp. murina	ABMU_HOR	mitochondria	243359	13666840	338783	163.800238	39862262	243120	0.999018	243063	0.998784	243052	0.998738	dudleya_organelle_alignment_pipeline/results/02_pilot_alignment/bam/ABMU_HOR_LP_306_Du-775.organelle.sorted.bam	dudleya_organelle_alignment_pipeline/results/02_pilot_alignment/qc/ABMU_HOR_LP_306_Du-775.idxstats.tsv	dudleya_organelle_alignment_pipeline/results/02_pilot_alignment/qc/ABMU_HOR_LP_306_Du-775.depth.tsv
CROB_LP_169_Du-381	QB3.Berkeley.251217/QB3.Results.260109	D. setchellii	CROB	chloroplast	150274	1155960	191227	170.422588	25610084	150257	0.999887	150226	0.999681	150154	0.999201	dudleya_organelle_alignment_pipeline/results/02_pilot_alignment/bam/CROB_LP_169_Du-381.organelle.sorted.bam	dudleya_organelle_alignment_pipeline/results/02_pilot_alignment/qc/CROB_LP_169_Du-381.idxstats.tsv	dudleya_organelle_alignment_pipeline/results/02_pilot_alignment/qc/CROB_LP_169_Du-381.depth.tsv
CROB_LP_169_Du-381	QB3.Berkeley.251217/QB3.Results.260109	D. setchellii	CROB	mitochondria	243359	1155960	20990	11.457181	2788208	242994	0.998500	222240	0.913219	134680	0.553421	dudleya_organelle_alignment_pipeline/results/02_pilot_alignment/bam/CROB_LP_169_Du-381.organelle.sorted.bam	dudleya_organelle_alignment_pipeline/results/02_pilot_alignment/qc/CROB_LP_169_Du-381.idxstats.tsv	dudleya_organelle_alignment_pipeline/results/02_pilot_alignment/qc/CROB_LP_169_Du-381.depth.tsv
CY_BOU_LP_288_Du-737	QB3.Berkeley.251217/QB3.Results.260109	D. cymosa	CY_BOU	chloroplast	150274	1686668	229157	194.360049	29207262	150271	0.999980	150260	0.999907	150235	0.999740	dudleya_organelle_alignment_pipeline/results/02_pilot_alignment/bam/CY_BOU_LP_288_Du-737.organelle.sorted.bam	dudleya_organelle_alignment_pipeline/results/02_pilot_alignment/qc/CY_BOU_LP_288_Du-737.idxstats.tsv	dudleya_organelle_alignment_pipeline/results/02_pilot_alignment/qc/CY_BOU_LP_288_Du-737.depth.tsv
CY_BOU_LP_288_Du-737	QB3.Berkeley.251217/QB3.Results.260109	D. cymosa	CY_BOU	mitochondria	243359	1686668	23754	12.794037	3113544	229738	0.944029	215389	0.885067	149091	0.612638	dudleya_organelle_alignment_pipeline/results/02_pilot_alignment/bam/CY_BOU_LP_288_Du-737.organelle.sorted.bam	dudleya_organelle_alignment_pipeline/results/02_pilot_alignment/qc/CY_BOU_LP_288_Du-737.idxstats.tsv	dudleya_organelle_alignment_pipeline/results/02_pilot_alignment/qc/CY_BOU_LP_288_Du-737.depth.tsv
CROS_LP_085_Du-181	QB3.Berkeley.251217/QB3.Results.260109	D. setchellii	CROS	chloroplast	150274	15202936	1644309	1327.745305	199525598	150274	1.000000	150274	1.000000	150271	0.999980	dudleya_organelle_alignment_pipeline/results/02_pilot_alignment/bam/CROS_LP_085_Du-181.organelle.sorted.bam	dudleya_organelle_alignment_pipeline/results/02_pilot_alignment/qc/CROS_LP_085_Du-181.idxstats.tsv	dudleya_organelle_alignment_pipeline/results/02_pilot_alignment/qc/CROS_LP_085_Du-181.depth.tsv
CROS_LP_085_Du-181	QB3.Berkeley.251217/QB3.Results.260109	D. setchellii	CROS	mitochondria	243359	15202936	388082	197.679371	48107054	243359	1.000000	243352	0.999971	243347	0.999951	dudleya_organelle_alignment_pipeline/results/02_pilot_alignment/bam/CROS_LP_085_Du-181.organelle.sorted.bam	dudleya_organelle_alignment_pipeline/results/02_pilot_alignment/qc/CROS_LP_085_Du-181.idxstats.tsv	dudleya_organelle_alignment_pipeline/results/02_pilot_alignment/qc/CROS_LP_085_Du-181.depth.tsv
CY_CAS_LP_328_Du-610	QB3.Berkeley.251217/QB3.Results.260109	D. cymosa	CY_CAS	chloroplast	150274	14480270	1689254	1178.420312	177085934	150271	0.999980	150263	0.999927	150247	0.999820	dudleya_organelle_alignment_pipeline/results/02_pilot_alignment/bam/CY_CAS_LP_328_Du-610.organelle.sorted.bam	dudleya_organelle_alignment_pipeline/results/02_pilot_alignment/qc/CY_CAS_LP_328_Du-610.idxstats.tsv	dudleya_organelle_alignment_pipeline/results/02_pilot_alignment/qc/CY_CAS_LP_328_Du-610.depth.tsv
CY_CAS_LP_328_Du-610	QB3.Berkeley.251217/QB3.Results.260109	D. cymosa	CY_CAS	mitochondria	243359	14480270	183822	81.885527	19927580	230537	0.947312	229586	0.943405	229500	0.943051	dudleya_organelle_alignment_pipeline/results/02_pilot_alignment/bam/CY_CAS_LP_328_Du-610.organelle.sorted.bam	dudleya_organelle_alignment_pipeline/results/02_pilot_alignment/qc/CY_CAS_LP_328_Du-610.idxstats.tsv	dudleya_organelle_alignment_pipeline/results/02_pilot_alignment/qc/CY_CAS_LP_328_Du-610.depth.tsv
DAN_LP_043_Du-68	QB3.Berkeley.251217/QB3.Results.260109	D. setchellii	DAN	chloroplast	150274	2431018	314879	285.836252	42953757	150271	0.999980	150264	0.999933	150249	0.999834	dudleya_organelle_alignment_pipeline/results/02_pilot_alignment/bam/DAN_LP_043_Du-68.organelle.sorted.bam	dudleya_organelle_alignment_pipeline/results/02_pilot_alignment/qc/DAN_LP_043_Du-68.idxstats.tsv	dudleya_organelle_alignment_pipeline/results/02_pilot_alignment/qc/DAN_LP_043_Du-68.depth.tsv
DAN_LP_043_Du-68	QB3.Berkeley.251217/QB3.Results.260109	D. setchellii	DAN	mitochondria	243359	2431018	35687	19.598749	4769532	243171	0.999227	241323	0.991634	220505	0.906089	dudleya_organelle_alignment_pipeline/results/02_pilot_alignment/bam/DAN_LP_043_Du-68.organelle.sorted.bam	dudleya_organelle_alignment_pipeline/results/02_pilot_alignment/qc/DAN_LP_043_Du-68.idxstats.tsv	dudleya_organelle_alignment_pipeline/results/02_pilot_alignment/qc/DAN_LP_043_Du-68.depth.tsv
