covered_usable_samples	bases_ge_1x	fraction_ge_1x	bases_ge_5x	fraction_ge_5x
0	180465	0.741559	192238	0.789936
1	10916	0.044856	398	0.001635
2	965	0.003965	405	0.001664
3	495	0.002034	582	0.002392
4	867	0.003563	619	0.002544
5	160	0.000657	477	0.001960
6	524	0.002153	2859	0.011748
7	1996	0.008202	804	0.003304
8	1471	0.006045	257	0.001056
9	290	0.001192	51	0.000210
10	146	0.000600	78	0.000321
11	134	0.000551	125	0.000514
12	133	0.000547	119	0.000489
13	1002	0.004117	1380	0.005671
14	43795	0.179960	42967	0.176558
