sample_id	batch	species	popcode	organelle	reference_length	input_read_records	mapped_reads	mean_depth	total_depth	bases_ge_1x	breadth_ge_1x	bases_ge_5x	breadth_ge_5x	bases_ge_10x	breadth_ge_10x	bam_path	idxstats_path	depth_path
DU-173	QB3.Berkeley.241122/QB3.Dudleya.Results.250118			chloroplast	150274	142626714	18020582	17619.275257	2647718970	150274	1.000000	150274	1.000000	150274	1.000000	dudleya_organelle_alignment_pipeline/results/06_all_sample_alignment/bam/DU-173.organelle.sorted.bam	dudleya_organelle_alignment_pipeline/results/06_all_sample_alignment/qc/DU-173.idxstats.tsv	dudleya_organelle_alignment_pipeline/results/06_all_sample_alignment/qc/DU-173.depth.tsv
DU-173	QB3.Berkeley.241122/QB3.Dudleya.Results.250118			mitochondria	243359	142626714	3092082	1848.704971	449898993	242289	0.995603	242287	0.995595	242278	0.995558	dudleya_organelle_alignment_pipeline/results/06_all_sample_alignment/bam/DU-173.organelle.sorted.bam	dudleya_organelle_alignment_pipeline/results/06_all_sample_alignment/qc/DU-173.idxstats.tsv	dudleya_organelle_alignment_pipeline/results/06_all_sample_alignment/qc/DU-173.depth.tsv
DU-229	QB3.Berkeley.241122/QB3.Dudleya.Results.250118			chloroplast	150274	138027378	9955673	9712.879127	1459593198	150274	1.000000	150274	1.000000	150274	1.000000	dudleya_organelle_alignment_pipeline/results/06_all_sample_alignment/bam/DU-229.organelle.sorted.bam	dudleya_organelle_alignment_pipeline/results/06_all_sample_alignment/qc/DU-229.idxstats.tsv	dudleya_organelle_alignment_pipeline/results/06_all_sample_alignment/qc/DU-229.depth.tsv
DU-229	QB3.Berkeley.241122/QB3.Dudleya.Results.250118			mitochondria	243359	138027378	1540949	918.898179	223622142	230427	0.946860	230070	0.945393	229989	0.945061	dudleya_organelle_alignment_pipeline/results/06_all_sample_alignment/bam/DU-229.organelle.sorted.bam	dudleya_organelle_alignment_pipeline/results/06_all_sample_alignment/qc/DU-229.idxstats.tsv	dudleya_organelle_alignment_pipeline/results/06_all_sample_alignment/qc/DU-229.depth.tsv
DU-247	QB3.Berkeley.241122/QB3.Dudleya.Results.250118			chloroplast	150274	111833500	10733775	10517.488627	1580505086	150274	1.000000	150274	1.000000	150274	1.000000	dudleya_organelle_alignment_pipeline/results/06_all_sample_alignment/bam/DU-247.organelle.sorted.bam	dudleya_organelle_alignment_pipeline/results/06_all_sample_alignment/qc/DU-247.idxstats.tsv	dudleya_organelle_alignment_pipeline/results/06_all_sample_alignment/qc/DU-247.depth.tsv
DU-247	QB3.Berkeley.241122/QB3.Dudleya.Results.250118			mitochondria	243359	111833500	1419329	848.541422	206500192	243359	1.000000	243357	0.999992	243356	0.999988	dudleya_organelle_alignment_pipeline/results/06_all_sample_alignment/bam/DU-247.organelle.sorted.bam	dudleya_organelle_alignment_pipeline/results/06_all_sample_alignment/qc/DU-247.idxstats.tsv	dudleya_organelle_alignment_pipeline/results/06_all_sample_alignment/qc/DU-247.depth.tsv
DU-254	QB3.Berkeley.241122/QB3.Dudleya.Results.250118			chloroplast	150274	152335744	22689734	22274.841742	3347329568	150274	1.000000	150274	1.000000	150274	1.000000	dudleya_organelle_alignment_pipeline/results/06_all_sample_alignment/bam/DU-254.organelle.sorted.bam	dudleya_organelle_alignment_pipeline/results/06_all_sample_alignment/qc/DU-254.idxstats.tsv	dudleya_organelle_alignment_pipeline/results/06_all_sample_alignment/qc/DU-254.depth.tsv
DU-254	QB3.Berkeley.241122/QB3.Dudleya.Results.250118			mitochondria	243359	152335744	1879678	1123.769152	273479337	243359	1.000000	243358	0.999996	243357	0.999992	dudleya_organelle_alignment_pipeline/results/06_all_sample_alignment/bam/DU-254.organelle.sorted.bam	dudleya_organelle_alignment_pipeline/results/06_all_sample_alignment/qc/DU-254.idxstats.tsv	dudleya_organelle_alignment_pipeline/results/06_all_sample_alignment/qc/DU-254.depth.tsv
DU-270	QB3.Berkeley.241122/QB3.Dudleya.Results.250118			chloroplast	150274	132943884	11322746	11039.504844	1658950551	150274	1.000000	150274	1.000000	150274	1.000000	dudleya_organelle_alignment_pipeline/results/06_all_sample_alignment/bam/DU-270.organelle.sorted.bam	dudleya_organelle_alignment_pipeline/results/06_all_sample_alignment/qc/DU-270.idxstats.tsv	dudleya_organelle_alignment_pipeline/results/06_all_sample_alignment/qc/DU-270.depth.tsv
DU-270	QB3.Berkeley.241122/QB3.Dudleya.Results.250118			mitochondria	243359	132943884	1711853	1020.624226	248378091	242449	0.996261	242439	0.996220	242389	0.996014	dudleya_organelle_alignment_pipeline/results/06_all_sample_alignment/bam/DU-270.organelle.sorted.bam	dudleya_organelle_alignment_pipeline/results/06_all_sample_alignment/qc/DU-270.idxstats.tsv	dudleya_organelle_alignment_pipeline/results/06_all_sample_alignment/qc/DU-270.depth.tsv
