sample_id	batch	naming_profile	species	popcode	population_name	du_id	lp_id	r1_paths	r2_paths	downstream_cpDNA_use	downstream_mtDNA_use	include_reason
DU-173	QB3.Berkeley.241122/QB3.Dudleya.Results.250118	initial_du_dash				DU-173		genomicsDrive_data_dump/QB3.Berkeley.241122/QB3.Dudleya.Results.250118/DU-173_S73_L008_R1_001.fastq.gz	genomicsDrive_data_dump/QB3.Berkeley.241122/QB3.Dudleya.Results.250118/DU-173_S73_L008_R2_001.fastq.gz	include	include	passes Step 5 downstream QC
DU-229	QB3.Berkeley.241122/QB3.Dudleya.Results.250118	initial_du_dash				DU-229		genomicsDrive_data_dump/QB3.Berkeley.241122/QB3.Dudleya.Results.250118/DU-229_S75_L008_R1_001.fastq.gz	genomicsDrive_data_dump/QB3.Berkeley.241122/QB3.Dudleya.Results.250118/DU-229_S75_L008_R2_001.fastq.gz	include	include	passes Step 5 downstream QC
DU-247	QB3.Berkeley.241122/QB3.Dudleya.Results.250118	initial_du_dash				DU-247		genomicsDrive_data_dump/QB3.Berkeley.241122/QB3.Dudleya.Results.250118/DU-247_S70_L008_R1_001.fastq.gz	genomicsDrive_data_dump/QB3.Berkeley.241122/QB3.Dudleya.Results.250118/DU-247_S70_L008_R2_001.fastq.gz	include	include	passes Step 5 downstream QC
DU-254	QB3.Berkeley.241122/QB3.Dudleya.Results.250118	initial_du_dash				DU-254		genomicsDrive_data_dump/QB3.Berkeley.241122/QB3.Dudleya.Results.250118/DU-254_S71_L008_R1_001.fastq.gz	genomicsDrive_data_dump/QB3.Berkeley.241122/QB3.Dudleya.Results.250118/DU-254_S71_L008_R2_001.fastq.gz	include	include	passes Step 5 downstream QC
DU-270	QB3.Berkeley.241122/QB3.Dudleya.Results.250118	initial_du_dash				DU-270		genomicsDrive_data_dump/QB3.Berkeley.241122/QB3.Dudleya.Results.250118/DU-270_S72_L008_R1_001.fastq.gz	genomicsDrive_data_dump/QB3.Berkeley.241122/QB3.Dudleya.Results.250118/DU-270_S72_L008_R2_001.fastq.gz	include	include	passes Step 5 downstream QC
DU-297	QB3.Berkeley.241122/QB3.Dudleya.Results.250118	initial_du_dash				DU-297		genomicsDrive_data_dump/QB3.Berkeley.241122/QB3.Dudleya.Results.250118/DU-297_S69_L008_R1_001.fastq.gz	genomicsDrive_data_dump/QB3.Berkeley.241122/QB3.Dudleya.Results.250118/DU-297_S69_L008_R2_001.fastq.gz	include	include	passes Step 5 downstream QC
DU-443	QB3.Berkeley.241122/QB3.Dudleya.Results.250118	initial_du_dash				DU-443		genomicsDrive_data_dump/QB3.Berkeley.241122/QB3.Dudleya.Results.250118/DU-443_S74_L008_R1_001.fastq.gz	genomicsDrive_data_dump/QB3.Berkeley.241122/QB3.Dudleya.Results.250118/DU-443_S74_L008_R2_001.fastq.gz	include	include	passes Step 5 downstream QC
DU-4A	QB3.Berkeley.241122/QB3.Dudleya.Results.250118	initial_du_dash				DU-4A		genomicsDrive_data_dump/QB3.Berkeley.241122/QB3.Dudleya.Results.250118/DU-4A_S68_L008_R1_001.fastq.gz	genomicsDrive_data_dump/QB3.Berkeley.241122/QB3.Dudleya.Results.250118/DU-4A_S68_L008_R2_001.fastq.gz	include	include	passes Step 5 downstream QC
DU014LP012	QB3.Berkeley.250811/QB3.250916.Results5genomes	initial_du_lp				DU014	LP012	genomicsDrive_data_dump/QB3.Berkeley.250811/QB3.250916.Results5genomes/DU014LP012_S4_L005_R1_001.fastq.gz	genomicsDrive_data_dump/QB3.Berkeley.250811/QB3.250916.Results5genomes/DU014LP012_S4_L005_R2_001.fastq.gz	include	include	passes Step 5 downstream QC
DU037LP013	QB3.Berkeley.250811/QB3.250916.Results5genomes	initial_du_lp				DU037	LP013	genomicsDrive_data_dump/QB3.Berkeley.250811/QB3.250916.Results5genomes/DU037LP013_S5_L005_R1_001.fastq.gz	genomicsDrive_data_dump/QB3.Berkeley.250811/QB3.250916.Results5genomes/DU037LP013_S5_L005_R2_001.fastq.gz	include	include	passes Step 5 downstream QC
DU059LP015	QB3.Berkeley.250811/QB3.250916.Results5genomes	initial_du_lp				DU059	LP015	genomicsDrive_data_dump/QB3.Berkeley.250811/QB3.250916.Results5genomes/DU059LP015_S6_L005_R1_001.fastq.gz	genomicsDrive_data_dump/QB3.Berkeley.250811/QB3.250916.Results5genomes/DU059LP015_S6_L005_R2_001.fastq.gz	include	include	passes Step 5 downstream QC
DU078LP011	QB3.Berkeley.250811/QB3.250916.Results5genomes	initial_du_lp				DU078	LP011	genomicsDrive_data_dump/QB3.Berkeley.250811/QB3.250916.Results5genomes/DU078LP011_S7_L005_R1_001.fastq.gz	genomicsDrive_data_dump/QB3.Berkeley.250811/QB3.250916.Results5genomes/DU078LP011_S7_L005_R2_001.fastq.gz	include	include	passes Step 5 downstream QC
DU079LP010	QB3.Berkeley.250811/QB3.250916.Results5genomes	initial_du_lp				DU079	LP010	genomicsDrive_data_dump/QB3.Berkeley.250811/QB3.250916.Results5genomes/DU079LP010_S8_L005_R1_001.fastq.gz	genomicsDrive_data_dump/QB3.Berkeley.250811/QB3.250916.Results5genomes/DU079LP010_S8_L005_R2_001.fastq.gz	include	include	passes Step 5 downstream QC
ABAB_MAD_LP_223_Du-590	QB3.Berkeley.251217/QB3.Results.260109	main_standard	D. abramsii ssp. abramsii	ABAB_MAD	Madonna Inn	Du-590	LP_223	genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/ABAB_MAD/ABAB_MAD_LP_223_Du-590_S253_L005_R1_001.fastq.gz	genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/ABAB_MAD/ABAB_MAD_LP_223_Du-590_S253_L005_R2_001.fastq.gz	include	include	passes Step 5 downstream QC
ABAB_MAD_LP_322_Du-593	QB3.Berkeley.251217/QB3.Results.260109	main_standard	D. abramsii ssp. abramsii	ABAB_MAD	Madonna Inn	Du-593	LP_322	genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/ABAB_MAD/ABAB_MAD_LP_322_Du-593_S172_L005_R1_001.fastq.gz	genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/ABAB_MAD/ABAB_MAD_LP_322_Du-593_S172_L005_R2_001.fastq.gz	include	include	passes Step 5 downstream QC
ABAB_MAD_LP_323_Du-594	QB3.Berkeley.251217/QB3.Results.260109	main_standard	D. abramsii ssp. abramsii	ABAB_MAD	Madonna Inn	Du-594	LP_323	genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/ABAB_MAD/ABAB_MAD_LP_323_Du-594_S183_L005_R1_001.fastq.gz	genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/ABAB_MAD/ABAB_MAD_LP_323_Du-594_S183_L005_R2_001.fastq.gz	include	include	passes Step 5 downstream QC
