organelle	track_id	k	cv_error	is_best_k	q_path	p_path	log_path	best_q_table_path	structure_png_path	structure_pdf_path	structure_svg_path	cv_plot_path	plink_command	command
cpDNA	cpdna_population_sites	1	0.48074000	no	dudleya_organelle_alignment_pipeline/results/16_admixture/cpDNA.primary.pseudo_diploid.1.Q	dudleya_organelle_alignment_pipeline/results/16_admixture/cpDNA.primary.pseudo_diploid.1.P	dudleya_organelle_alignment_pipeline/results/16_admixture/cpDNA.K1.admixture.log					dudleya_organelle_alignment_pipeline/results/16_admixture/cpDNA.primary.admixture_cv.png	/home/neil/Downloads/dudleya/Dudleya_S_genomes/.tools/bioconda-env/bin/plink --file cpDNA.primary.pseudo_diploid --make-bed --out cpDNA.primary.pseudo_diploid	/home/neil/Downloads/dudleya/Dudleya_S_genomes/.tools/bioconda-env/bin/admixture --cv --seed=20260707 -j4 cpDNA.primary.pseudo_diploid.bed 1
cpDNA	cpdna_population_sites	2	0.28426000	no	dudleya_organelle_alignment_pipeline/results/16_admixture/cpDNA.primary.pseudo_diploid.2.Q	dudleya_organelle_alignment_pipeline/results/16_admixture/cpDNA.primary.pseudo_diploid.2.P	dudleya_organelle_alignment_pipeline/results/16_admixture/cpDNA.K2.admixture.log					dudleya_organelle_alignment_pipeline/results/16_admixture/cpDNA.primary.admixture_cv.png	/home/neil/Downloads/dudleya/Dudleya_S_genomes/.tools/bioconda-env/bin/plink --file cpDNA.primary.pseudo_diploid --make-bed --out cpDNA.primary.pseudo_diploid	/home/neil/Downloads/dudleya/Dudleya_S_genomes/.tools/bioconda-env/bin/admixture --cv --seed=20260707 -j4 cpDNA.primary.pseudo_diploid.bed 2
cpDNA	cpdna_population_sites	3	0.22297000	no	dudleya_organelle_alignment_pipeline/results/16_admixture/cpDNA.primary.pseudo_diploid.3.Q	dudleya_organelle_alignment_pipeline/results/16_admixture/cpDNA.primary.pseudo_diploid.3.P	dudleya_organelle_alignment_pipeline/results/16_admixture/cpDNA.K3.admixture.log					dudleya_organelle_alignment_pipeline/results/16_admixture/cpDNA.primary.admixture_cv.png	/home/neil/Downloads/dudleya/Dudleya_S_genomes/.tools/bioconda-env/bin/plink --file cpDNA.primary.pseudo_diploid --make-bed --out cpDNA.primary.pseudo_diploid	/home/neil/Downloads/dudleya/Dudleya_S_genomes/.tools/bioconda-env/bin/admixture --cv --seed=20260707 -j4 cpDNA.primary.pseudo_diploid.bed 3
cpDNA	cpdna_population_sites	4	0.18187000	no	dudleya_organelle_alignment_pipeline/results/16_admixture/cpDNA.primary.pseudo_diploid.4.Q	dudleya_organelle_alignment_pipeline/results/16_admixture/cpDNA.primary.pseudo_diploid.4.P	dudleya_organelle_alignment_pipeline/results/16_admixture/cpDNA.K4.admixture.log					dudleya_organelle_alignment_pipeline/results/16_admixture/cpDNA.primary.admixture_cv.png	/home/neil/Downloads/dudleya/Dudleya_S_genomes/.tools/bioconda-env/bin/plink --file cpDNA.primary.pseudo_diploid --make-bed --out cpDNA.primary.pseudo_diploid	/home/neil/Downloads/dudleya/Dudleya_S_genomes/.tools/bioconda-env/bin/admixture --cv --seed=20260707 -j4 cpDNA.primary.pseudo_diploid.bed 4
cpDNA	cpdna_population_sites	5	0.16561000	no	dudleya_organelle_alignment_pipeline/results/16_admixture/cpDNA.primary.pseudo_diploid.5.Q	dudleya_organelle_alignment_pipeline/results/16_admixture/cpDNA.primary.pseudo_diploid.5.P	dudleya_organelle_alignment_pipeline/results/16_admixture/cpDNA.K5.admixture.log					dudleya_organelle_alignment_pipeline/results/16_admixture/cpDNA.primary.admixture_cv.png	/home/neil/Downloads/dudleya/Dudleya_S_genomes/.tools/bioconda-env/bin/plink --file cpDNA.primary.pseudo_diploid --make-bed --out cpDNA.primary.pseudo_diploid	/home/neil/Downloads/dudleya/Dudleya_S_genomes/.tools/bioconda-env/bin/admixture --cv --seed=20260707 -j4 cpDNA.primary.pseudo_diploid.bed 5
cpDNA	cpdna_population_sites	6	0.12722000	no	dudleya_organelle_alignment_pipeline/results/16_admixture/cpDNA.primary.pseudo_diploid.6.Q	dudleya_organelle_alignment_pipeline/results/16_admixture/cpDNA.primary.pseudo_diploid.6.P	dudleya_organelle_alignment_pipeline/results/16_admixture/cpDNA.K6.admixture.log					dudleya_organelle_alignment_pipeline/results/16_admixture/cpDNA.primary.admixture_cv.png	/home/neil/Downloads/dudleya/Dudleya_S_genomes/.tools/bioconda-env/bin/plink --file cpDNA.primary.pseudo_diploid --make-bed --out cpDNA.primary.pseudo_diploid	/home/neil/Downloads/dudleya/Dudleya_S_genomes/.tools/bioconda-env/bin/admixture --cv --seed=20260707 -j4 cpDNA.primary.pseudo_diploid.bed 6
cpDNA	cpdna_population_sites	7	0.08946000	no	dudleya_organelle_alignment_pipeline/results/16_admixture/cpDNA.primary.pseudo_diploid.7.Q	dudleya_organelle_alignment_pipeline/results/16_admixture/cpDNA.primary.pseudo_diploid.7.P	dudleya_organelle_alignment_pipeline/results/16_admixture/cpDNA.K7.admixture.log					dudleya_organelle_alignment_pipeline/results/16_admixture/cpDNA.primary.admixture_cv.png	/home/neil/Downloads/dudleya/Dudleya_S_genomes/.tools/bioconda-env/bin/plink --file cpDNA.primary.pseudo_diploid --make-bed --out cpDNA.primary.pseudo_diploid	/home/neil/Downloads/dudleya/Dudleya_S_genomes/.tools/bioconda-env/bin/admixture --cv --seed=20260707 -j4 cpDNA.primary.pseudo_diploid.bed 7
cpDNA	cpdna_population_sites	8	0.07477000	yes	dudleya_organelle_alignment_pipeline/results/16_admixture/cpDNA.primary.pseudo_diploid.8.Q	dudleya_organelle_alignment_pipeline/results/16_admixture/cpDNA.primary.pseudo_diploid.8.P	dudleya_organelle_alignment_pipeline/results/16_admixture/cpDNA.K8.admixture.log	dudleya_organelle_alignment_pipeline/results/16_admixture/cpDNA.primary.bestK8.q.tsv	dudleya_organelle_alignment_pipeline/results/16_admixture/cpDNA.primary.bestK8.structure.png	dudleya_organelle_alignment_pipeline/results/16_admixture/cpDNA.primary.bestK8.structure.pdf	dudleya_organelle_alignment_pipeline/results/16_admixture/cpDNA.primary.bestK8.structure.svg	dudleya_organelle_alignment_pipeline/results/16_admixture/cpDNA.primary.admixture_cv.png	/home/neil/Downloads/dudleya/Dudleya_S_genomes/.tools/bioconda-env/bin/plink --file cpDNA.primary.pseudo_diploid --make-bed --out cpDNA.primary.pseudo_diploid	/home/neil/Downloads/dudleya/Dudleya_S_genomes/.tools/bioconda-env/bin/admixture --cv --seed=20260707 -j4 cpDNA.primary.pseudo_diploid.bed 8
mtDNA	mtdna_high_confidence_unique	1	0.44062000	no	dudleya_organelle_alignment_pipeline/results/16_admixture/mtDNA.primary.pseudo_diploid.1.Q	dudleya_organelle_alignment_pipeline/results/16_admixture/mtDNA.primary.pseudo_diploid.1.P	dudleya_organelle_alignment_pipeline/results/16_admixture/mtDNA.K1.admixture.log					dudleya_organelle_alignment_pipeline/results/16_admixture/mtDNA.primary.admixture_cv.png	/home/neil/Downloads/dudleya/Dudleya_S_genomes/.tools/bioconda-env/bin/plink --file mtDNA.primary.pseudo_diploid --make-bed --out mtDNA.primary.pseudo_diploid	/home/neil/Downloads/dudleya/Dudleya_S_genomes/.tools/bioconda-env/bin/admixture --cv --seed=20260707 -j4 mtDNA.primary.pseudo_diploid.bed 1
mtDNA	mtdna_high_confidence_unique	2	0.27600000	no	dudleya_organelle_alignment_pipeline/results/16_admixture/mtDNA.primary.pseudo_diploid.2.Q	dudleya_organelle_alignment_pipeline/results/16_admixture/mtDNA.primary.pseudo_diploid.2.P	dudleya_organelle_alignment_pipeline/results/16_admixture/mtDNA.K2.admixture.log					dudleya_organelle_alignment_pipeline/results/16_admixture/mtDNA.primary.admixture_cv.png	/home/neil/Downloads/dudleya/Dudleya_S_genomes/.tools/bioconda-env/bin/plink --file mtDNA.primary.pseudo_diploid --make-bed --out mtDNA.primary.pseudo_diploid	/home/neil/Downloads/dudleya/Dudleya_S_genomes/.tools/bioconda-env/bin/admixture --cv --seed=20260707 -j4 mtDNA.primary.pseudo_diploid.bed 2
