organelle	population_1	population_2	n_population_1	n_population_2	informative_sites	fst
mtDNA	ABAB_MAD	ABBE_BERN	7	4	41	0.94858786
mtDNA	ABAB_MAD	ABMU_HOR	7	6	9	0.63112122
mtDNA	ABAB_MAD	BAI	7	10	31	0.91153528
mtDNA	ABAB_MAD	COM	7	9	37	0.93379184
mtDNA	ABAB_MAD	CROB	7	10	32	0.91629913
mtDNA	ABAB_MAD	CROS	7	10	34	0.84717871
mtDNA	ABAB_MAD	CY_ALA	7	3	29	0.93717386
mtDNA	ABAB_MAD	CY_BAL	7	3	49	0.96120683
mtDNA	ABAB_MAD	CY_BGL	7	2	42	0.91870907
mtDNA	ABAB_MAD	CY_BOU	7	5	26	0.93683627
mtDNA	ABAB_MAD	CY_CAS	7	5	50	0.64465241
mtDNA	ABAB_MAD	CY_HICN	7	5	57	0.91614988
mtDNA	ABAB_MAD	CY_HICS	7	5	27	0.92532208
mtDNA	ABAB_MAD	CY_HUN	7	4	47	0.96410874
mtDNA	ABAB_MAD	CY_SIE	7	4	62	0.62755375
mtDNA	ABAB_MAD	CY_WOO	7	5	29	0.90473696
mtDNA	ABAB_MAD	DAN	7	5	37	0.94547402
mtDNA	ABAB_MAD	DOV	7	7	29	0.94412079
mtDNA	ABAB_MAD	DUD	7	8	30	0.92024380
mtDNA	ABAB_MAD	KIRN	7	9	30	0.94453185
mtDNA	ABAB_MAD	KIRT	7	10	30	0.94341282
mtDNA	ABAB_MAD	MALV	7	10	31	0.94534475
mtDNA	ABAB_MAD	OCO	7	10	53	0.92864569
mtDNA	ABAB_MAD	QUI1	7	9	31	0.86548790
mtDNA	ABAB_MAD	QUI2	7	10	31	0.94549834
mtDNA	ABAB_MAD	QUIN	7	10	34	0.94855577
mtDNA	ABAB_MAD	RIC	7	10	30	0.91102665
mtDNA	ABAB_MAD	RSV	7	9	34	0.92726290
mtDNA	ABAB_MAD	SILG	7	10	33	0.88270873
mtDNA	ABAB_MAD	SILR	7	6	34	0.95266824
mtDNA	ABAB_MAD	STI	7	16	35	0.84210788
mtDNA	ABAB_MAD	TIL	7	9	36	0.87640208
mtDNA	ABAB_MAD	TULP	7	17	32	0.89803416
mtDNA	ABBE_BERN	ABMU_HOR	4	6	37	0.95285804
mtDNA	ABBE_BERN	BAI	4	10	35	0.95438174
mtDNA	ABBE_BERN	COM	4	9	39	0.96720988
mtDNA	ABBE_BERN	CROB	4	10	38	0.96425383
mtDNA	ABBE_BERN	CROS	4	10	40	0.89856195
mtDNA	ABBE_BERN	CY_ALA	4	3	31	0.98765121
mtDNA	ABBE_BERN	CY_BAL	4	3	9	0.95022184
mtDNA	ABBE_BERN	CY_BGL	4	2	2	0.04807692
mtDNA	ABBE_BERN	CY_BOU	4	5	28	0.98639113
mtDNA	ABBE_BERN	CY_CAS	4	5	40	0.69251659
mtDNA	ABBE_BERN	CY_HICN	4	5	33	0.89890529
mtDNA	ABBE_BERN	CY_HICS	4	5	29	0.97513472
mtDNA	ABBE_BERN	CY_HUN	4	4	21	0.98208955
mtDNA	ABBE_BERN	CY_SIE	4	4	52	0.56800000
mtDNA	ABBE_BERN	CY_WOO	4	5	31	0.95450778
mtDNA	ABBE_BERN	DAN	4	5	39	0.98153051
mtDNA	ABBE_BERN	DOV	4	7	33	0.98766984
mtDNA	ABBE_BERN	DUD	4	8	36	0.96575185
mtDNA	ABBE_BERN	KIRN	4	9	34	0.98699200
mtDNA	ABBE_BERN	KIRT	4	10	34	0.98641907
mtDNA	ABBE_BERN	MALV	4	10	35	0.98680905
mtDNA	ABBE_BERN	OCO	4	10	25	0.88603513
mtDNA	ABBE_BERN	QUI1	4	9	35	0.91375486
mtDNA	ABBE_BERN	QUI2	4	10	35	0.98680905
mtDNA	ABBE_BERN	QUIN	4	10	38	0.98774408
mtDNA	ABBE_BERN	RIC	4	10	36	0.95518293
mtDNA	ABBE_BERN	RSV	4	9	38	0.96765559
mtDNA	ABBE_BERN	SILG	4	10	37	0.92406820
mtDNA	ABBE_BERN	SILR	4	6	36	0.98911150
mtDNA	ABBE_BERN	STI	4	16	40	0.87446383
mtDNA	ABBE_BERN	TIL	4	9	40	0.91934955
mtDNA	ABBE_BERN	TULP	4	17	36	0.93865166
mtDNA	ABMU_HOR	BAI	6	10	27	0.90791241
mtDNA	ABMU_HOR	COM	6	9	33	0.93362139
mtDNA	ABMU_HOR	CROB	6	10	28	0.91707257
mtDNA	ABMU_HOR	CROS	6	10	30	0.83777426
