sample_id	organelle	haplotype_id	species_group	popcode
DU-173	cpDNA	H001	unresolved	
DU-229	cpDNA	H002	unresolved	
DU-247	cpDNA	H003	unresolved	
DU-254	cpDNA	H004	unresolved	
DU-270	cpDNA	H005	unresolved	
DU-297	cpDNA	H006	unresolved	
DU-443	cpDNA	H007	unresolved	
DU-4A	cpDNA	H008	unresolved	
DU014LP012	cpDNA	H009	unresolved	
DU037LP013	cpDNA	H010	unresolved	
DU059LP015	cpDNA	H011	unresolved	
DU078LP011	cpDNA	H012	unresolved	
DU079LP010	cpDNA	H012	unresolved	
ABAB_MAD_LP_223_Du-590	cpDNA	H013	D. abramsii ssp. abramsii	ABAB_MAD
ABAB_MAD_LP_322_Du-593	cpDNA	H014	D. abramsii ssp. abramsii	ABAB_MAD
ABAB_MAD_LP_323_Du-594	cpDNA	H015	D. abramsii ssp. abramsii	ABAB_MAD
ABAB_MAD_LP_324_Du-595	cpDNA	H015	D. abramsii ssp. abramsii	ABAB_MAD
ABAB_MAD_LP_325_Du-596	cpDNA	H016	D. abramsii ssp. abramsii	ABAB_MAD
ABAB_MAD_LP_326_Du-597	cpDNA	H017	D. abramsii ssp. abramsii	ABAB_MAD
ABAB_MAD_LP_327_Du-598	cpDNA	H018	D. abramsii ssp. abramsii	ABAB_MAD
ABBE_BERN_LP_311_Du-780	cpDNA	H019	D. abramsii ssp. bettinae	ABBE_BERN
ABBE_BERN_LP_312_Du-781	cpDNA	H020	D. abramsii ssp. bettinae	ABBE_BERN
ABBE_BERN_LP_313_Du-782	cpDNA	H021	D. abramsii ssp. bettinae	ABBE_BERN
ABBE_BERN_LP_314_Du-783	cpDNA	H022	D. abramsii ssp. bettinae	ABBE_BERN
ABMU_HOR_LP_306_Du-775	cpDNA	H023	D. abramsii ssp. murina	ABMU_HOR
ABMU_HOR_LP_308_Du-777	cpDNA	H024	D. abramsii ssp. murina	ABMU_HOR
ABMU_HOR_LP_358_Du-770	cpDNA	H025	D. abramsii ssp. murina	ABMU_HOR
ABMU_HOR_LP_359_Du-771	cpDNA	H026	D. abramsii ssp. murina	ABMU_HOR
ABMU_HOR_LP_360_Du-772	cpDNA	H027	D. abramsii ssp. murina	ABMU_HOR
ABMU_HOR_LP_361_Du-773	cpDNA	H028	D. abramsii ssp. murina	ABMU_HOR
BAI_LP_105_Du-222	cpDNA	H029	D. setchellii	BAI
BAI_LP_106_Du-223	cpDNA	H030	D. setchellii	BAI
BAI_LP_108_Du-225	cpDNA	H031	D. setchellii	BAI
BAI_LP_109_Du-226	cpDNA	H032	D. setchellii	BAI
BAI_LP_110_Du-227	cpDNA	H033	D. setchellii	BAI
BAI_LP_111_Du-228	cpDNA	H034	D. setchellii	BAI
BAI_LP_112_Du-230	cpDNA	H031	D. setchellii	BAI
BAI_LP_113_Du-231	cpDNA	H035	D. setchellii	BAI
BAI_LP_114_Du-232	cpDNA	H031	D. setchellii	BAI
BAI_LP_319_Du-233	cpDNA	H031	D. setchellii	BAI
COM_LP_269_Du-703	cpDNA	H036	D. setchellii	COM
