organelle	from_haplotype	to_haplotype	mutation_steps	alternative_link
cpDNA	H030	H002	1	FALSE
cpDNA	H033	H002	1	FALSE
cpDNA	H006	H003	1	FALSE
cpDNA	H090	H006	1	FALSE
cpDNA	H042	H008	1	FALSE
cpDNA	H043	H008	1	FALSE
cpDNA	H010	H009	1	FALSE
cpDNA	H136	H011	1	FALSE
cpDNA	H081	H012	1	FALSE
cpDNA	H018	H017	1	FALSE
cpDNA	H028	H026	1	FALSE
cpDNA	H028	H027	1	FALSE
cpDNA	H038	H037	1	FALSE
cpDNA	H043	H040	1	FALSE
cpDNA	H097	H041	1	FALSE
cpDNA	H046	H044	1	FALSE
cpDNA	H049	H047	1	FALSE
cpDNA	H051	H050	1	FALSE
cpDNA	H056	H055	1	FALSE
cpDNA	H059	H058	1	FALSE
cpDNA	H063	H062	1	FALSE
cpDNA	H069	H068	1	FALSE
cpDNA	H070	H068	1	FALSE
cpDNA	H073	H071	1	FALSE
cpDNA	H074	H071	1	FALSE
cpDNA	H080	H078	1	FALSE
cpDNA	H088	H085	1	FALSE
cpDNA	H094	H093	1	FALSE
cpDNA	H097	H096	1	FALSE
cpDNA	H101	H099	1	FALSE
cpDNA	H109	H108	1	FALSE
cpDNA	H111	H110	1	FALSE
cpDNA	H113	H110	1	FALSE
cpDNA	H114	H113	1	FALSE
cpDNA	H121	H117	1	FALSE
cpDNA	H120	H118	1	FALSE
cpDNA	H126	H124	1	FALSE
cpDNA	H127	H125	1	FALSE
cpDNA	H136	H134	1	FALSE
cpDNA	H144	H143	1	FALSE
cpDNA	H148	H147	1	FALSE
cpDNA	H135	H011	2	FALSE
cpDNA	H040	H039	2	FALSE
cpDNA	H048	H047	2	FALSE
cpDNA	H060	H058	2	FALSE
cpDNA	H065	H062	2	FALSE
cpDNA	H075	H065	2	FALSE
cpDNA	H072	H071	2	FALSE
cpDNA	H085	H084	2	FALSE
cpDNA	H086	H084	2	FALSE
cpDNA	H088	H087	2	FALSE
cpDNA	H096	H095	2	FALSE
cpDNA	H105	H099	2	FALSE
cpDNA	H105	H102	2	FALSE
cpDNA	H107	H106	2	FALSE
cpDNA	H109	H106	2	FALSE
cpDNA	H112	H111	2	FALSE
cpDNA	H119	H118	2	FALSE
cpDNA	H128	H123	2	FALSE
cpDNA	H137	H134	2	FALSE
cpDNA	H014	H013	3	FALSE
cpDNA	H026	H023	3	FALSE
cpDNA	H035	H032	3	FALSE
cpDNA	H037	H036	3	FALSE
cpDNA	H151	H046	3	FALSE
cpDNA	H054	H053	3	FALSE
cpDNA	H061	H058	3	FALSE
cpDNA	H069	H066	3	FALSE
cpDNA	H087	H083	3	FALSE
cpDNA	H091	H090	3	FALSE
cpDNA	H100	H099	3	FALSE
cpDNA	H104	H103	3	FALSE
cpDNA	H139	H133	3	FALSE
cpDNA	H150	H145	3	FALSE
cpDNA	H006	H004	4	FALSE
cpDNA	H024	H023	4	FALSE
cpDNA	H031	H029	4	FALSE
cpDNA	H034	H033	4	FALSE
cpDNA	H045	H043	4	FALSE
cpDNA	H150	H046	4	FALSE
