organelle	haplotype_id	x	y
cpDNA	H001	-50.8038388328972	113.199271938128
cpDNA	H002	124.160858856019	-108.527766906668
cpDNA	H003	-114.181782040473	-4.30736434326171
cpDNA	H004	-117.172774312809	-4.72018265767731
cpDNA	H005	-61.3945259051968	85.6936457223829
cpDNA	H006	-107.717680425336	-4.30736434326171
cpDNA	H007	602.753789090491	94.7960910329092
cpDNA	H008	-88.862095817651	6.7975354364205
cpDNA	H009	-59.268764202069	-136.222104028346
cpDNA	H010	-57.0673215087393	-131.745118767057
cpDNA	H011	-34.3140226618593	44.9333919147928
cpDNA	H012	24.3730019906401	88.2306831007335
cpDNA	H013	287.10281661462	-264.873364622721
cpDNA	H014	293.648763082422	-267.353401888705
cpDNA	H015	298.280267936588	-288.684819880161
cpDNA	H016	284.525511743985	-247.334253929421
cpDNA	H017	282.849701319975	-280.440959825053
cpDNA	H018	286.385235225907	-276.90542591912
cpDNA	H019	732.40639175167	-2.65833580625858
cpDNA	H020	697.476371688826	-2.88316338671433
cpDNA	H021	706.418518389916	-1.86433446280328
cpDNA	H022	682.691952962642	-5.47646995581866
cpDNA	H023	341.122098819852	-258.750417571291
cpDNA	H024	349.032616203242	-259.765998635615
cpDNA	H025	305.003415389322	-266.430208011171
cpDNA	H026	333.877072482931	-258.286994515219
cpDNA	H027	325.341221692598	-253.145456796195
cpDNA	H028	329.472618791904	-255.920396179295
cpDNA	H029	66.9669146970443	-70.4341122802119
cpDNA	H030	128.280932384155	-111.399362963696
cpDNA	H031	63.3019024298014	-61.1299366003917
cpDNA	H032	91.0882372481613	-89.9035286139376
cpDNA	H033	120.305139233309	-105.375519887262
cpDNA	H034	113.558088405641	-100.862807283665
cpDNA	H035	84.4597263416954	-92.1536048710598
cpDNA	H036	6.10528593989385	124.832514539423
cpDNA	H037	9.15714433632526	134.66110480199
cpDNA	H038	12.7686354850544	142.048340206413
cpDNA	H039	-99.0498960624535	10.6454195742445
cpDNA	H040	-90.3889267171296	6.37430215660076
cpDNA	H041	-83.9230037523643	1.17473572998045
cpDNA	H042	-95.7637617834601	11.4090812008288
cpDNA	H043	-82.3910362600903	3.06146745892071
cpDNA	H044	-129.054852071109	-8.90746789088563
cpDNA	H045	-75	-9.18485099360515e-15
cpDNA	H046	-123.338416539255	-7.77039816627136
cpDNA	H047	-41.0148889202782	-75.0156097548952
cpDNA	H048	-36.3192399791637	-71.2805219350695
cpDNA	H049	-45.8416832824874	-73.7109810012089
cpDNA	H050	792.042424379882	-8.71168291520471
cpDNA	H051	797.019405371718	-9.19091167780575
cpDNA	H052	788.29438439716	-0.862670841094434
cpDNA	H053	762.09593335626	-6.96311446599397
cpDNA	H054	769.078881708079	-7.45140978220285
cpDNA	H055	-94.3754596690525	-98.6505296737131
cpDNA	H056	-101.431326786737	-99.2288672942146
cpDNA	H057	426.472353919939	90.649497196543
cpDNA	H058	-76.1074076911097	-63.4711214986759
cpDNA	H059	-70.7895807571868	-63.4374429863554
cpDNA	H060	-81.5886804369653	-61.0307016402211
cpDNA	H061	-78.5709476672181	-70.2072800982019
cpDNA	H062	594.30979578181	93.9473775720077
cpDNA	H063	599.78639500871	92.0311478257981
cpDNA	H064	613.134530187222	85.2366982614972
cpDNA	H065	586.339447861572	96.0427663280983
cpDNA	H066	-61.5180751852393	-101.046588256588
cpDNA	H067	-82.43881730479	-99.6395205256496
cpDNA	H068	-73.4747976565143	-100.443480565282
cpDNA	H069	-68.4813082041661	-100.330078714343
cpDNA	H070	-78.4657872739951	-100.475892761387
cpDNA	H071	982.193161315691	-58.7769717136685
cpDNA	H072	987.946079724901	-60.4810637818919
cpDNA	H073	981.153637162719	-63.6763970485108
cpDNA	H074	977.343095208291	-57.5587070340456
cpDNA	H075	578.9066586933	96.7257437077515
cpDNA	H076	-52.7819121266763	-122.709895115807
cpDNA	H077	-62.9194136667761	-150.945175573498
cpDNA	H078	-51.9381071623786	-160.483725392094
cpDNA	H079	-76.6289719393233	-160.997439595679
cpDNA	H080	-55.706122059174	-156.147729460952
cpDNA	H081	30.8302889992493	90.8397143705241
cpDNA	H082	13.5882911030789	83.3725250838356
cpDNA	H083	84.7578847541182	47.15266242632
cpDNA	H084	61.3436590800476	52.8946556785518
cpDNA	H085	68.1679265114874	53.1329643484751
cpDNA	H086	67.5572633045695	55.7263582651546
cpDNA	H087	78.7355103834024	50.6387435427569
cpDNA	H088	73.0904343323147	52.5672698479737
cpDNA	H089	-120.000336610442	-6.47312802346159
cpDNA	H090	-112.698653915794	-4.743143057
cpDNA	H091	-120.510319777146	-5.25514668790853
cpDNA	H092	-118.671940132405	11.6756526804503
cpDNA	H093	-102.030217119322	6.02654892883491
cpDNA	H094	-113.142212218093	9.26540013869749
cpDNA	H095	-103.213686547295	9.17520392573453
cpDNA	H096	-94.1373974110963	4.69927345288071
cpDNA	H097	-88.7526328838096	2.46883095549305
cpDNA	H098	1054.46291403559	-80.5003586366617
cpDNA	H099	1084.21616694928	-87.1751070982608
cpDNA	H100	1090.87877393833	-89.3204178062393
cpDNA	H101	1088.98036600345	-88.6892364229801
cpDNA	H102	1084.2482810133	-87.0823344869805
cpDNA	H103	1088.3491995431	-87.2859496667664
cpDNA	H104	1081.41989424901	-86.0818109765908
cpDNA	H105	1078.30395285101	-85.9799285271808
cpDNA	H106	-65.0326245759584	-116.854546694103
cpDNA	H107	-71.0336160822562	-122.753645762517
cpDNA	H108	-55.2268151687708	-105.390690513506
cpDNA	H109	-58.703909741683	-110.06833693874
cpDNA	H110	-54.9978209748957	89.6323781314296
