sample_id	organelle	haplotype_id	species_group	popcode
DU-173	mtDNA	H001	unresolved	
DU-229	mtDNA	H002	unresolved	
DU-247	mtDNA	H003	unresolved	
DU-254	mtDNA	H003	unresolved	
DU-270	mtDNA	H004	unresolved	
DU-297	mtDNA	H003	unresolved	
DU-443	mtDNA	H005	unresolved	
DU-4A	mtDNA	H006	unresolved	
DU014LP012	mtDNA	H007	unresolved	
DU037LP013	mtDNA	H007	unresolved	
DU059LP015	mtDNA	H008	unresolved	
DU078LP011	mtDNA	H009	unresolved	
DU079LP010	mtDNA	H009	unresolved	
ABAB_MAD_LP_223_Du-590	mtDNA	H010	D. abramsii ssp. abramsii	ABAB_MAD
ABAB_MAD_LP_322_Du-593	mtDNA	H010	D. abramsii ssp. abramsii	ABAB_MAD
ABAB_MAD_LP_323_Du-594	mtDNA	H011	D. abramsii ssp. abramsii	ABAB_MAD
ABAB_MAD_LP_324_Du-595	mtDNA	H011	D. abramsii ssp. abramsii	ABAB_MAD
ABAB_MAD_LP_325_Du-596	mtDNA	H012	D. abramsii ssp. abramsii	ABAB_MAD
ABAB_MAD_LP_326_Du-597	mtDNA	H013	D. abramsii ssp. abramsii	ABAB_MAD
ABAB_MAD_LP_327_Du-598	mtDNA	H010	D. abramsii ssp. abramsii	ABAB_MAD
ABBE_BERN_LP_311_Du-780	mtDNA	H014	D. abramsii ssp. bettinae	ABBE_BERN
ABBE_BERN_LP_312_Du-781	mtDNA	H015	D. abramsii ssp. bettinae	ABBE_BERN
ABBE_BERN_LP_313_Du-782	mtDNA	H014	D. abramsii ssp. bettinae	ABBE_BERN
ABBE_BERN_LP_314_Du-783	mtDNA	H014	D. abramsii ssp. bettinae	ABBE_BERN
ABMU_HOR_LP_306_Du-775	mtDNA	H016	D. abramsii ssp. murina	ABMU_HOR
ABMU_HOR_LP_308_Du-777	mtDNA	H016	D. abramsii ssp. murina	ABMU_HOR
ABMU_HOR_LP_358_Du-770	mtDNA	H017	D. abramsii ssp. murina	ABMU_HOR
ABMU_HOR_LP_359_Du-771	mtDNA	H018	D. abramsii ssp. murina	ABMU_HOR
ABMU_HOR_LP_360_Du-772	mtDNA	H018	D. abramsii ssp. murina	ABMU_HOR
ABMU_HOR_LP_361_Du-773	mtDNA	H016	D. abramsii ssp. murina	ABMU_HOR
BAI_LP_105_Du-222	mtDNA	H002	D. setchellii	BAI
BAI_LP_106_Du-223	mtDNA	H002	D. setchellii	BAI
BAI_LP_108_Du-225	mtDNA	H002	D. setchellii	BAI
BAI_LP_109_Du-226	mtDNA	H002	D. setchellii	BAI
BAI_LP_110_Du-227	mtDNA	H002	D. setchellii	BAI
BAI_LP_111_Du-228	mtDNA	H002	D. setchellii	BAI
BAI_LP_112_Du-230	mtDNA	H002	D. setchellii	BAI
BAI_LP_113_Du-231	mtDNA	H002	D. setchellii	BAI
BAI_LP_114_Du-232	mtDNA	H002	D. setchellii	BAI
BAI_LP_319_Du-233	mtDNA	H002	D. setchellii	BAI
COM_LP_269_Du-703	mtDNA	H019	D. setchellii	COM
COM_LP_270_Du-704	mtDNA	H020	D. setchellii	COM
COM_LP_272_Du-707	mtDNA	H020	D. setchellii	COM
COM_LP_274_Du-709	mtDNA	H021	D. setchellii	COM
COM_LP_276_Du-711	mtDNA	H020	D. setchellii	COM
COM_LP_277_Du-712	mtDNA	H021	D. setchellii	COM
COM_LP_341_Du-713	mtDNA	H020	D. setchellii	COM
COM_LP_342_Du-714	mtDNA	H020	D. setchellii	COM
COM_LP_343_Du-715	mtDNA	H021	D. setchellii	COM
CROB_LP_169_Du-381	mtDNA	H022	D. setchellii	CROB
CROB_LP_170_Du-382	mtDNA	H022	D. setchellii	CROB
CROB_LP_172_Du-384	mtDNA	H023	D. setchellii	CROB
CROB_LP_173_Du-385	mtDNA	H022	D. setchellii	CROB
CROB_LP_174_Du-386	mtDNA	H022	D. setchellii	CROB
CROB_LP_175_Du-387	mtDNA	H022	D. setchellii	CROB
CROB_LP_176_Du-388	mtDNA	H022	D. setchellii	CROB
CROB_LP_177_Du-389	mtDNA	H022	D. setchellii	CROB
CROB_LP_320_Du-395	mtDNA	H022	D. setchellii	CROB
CROB_LP_321_Du-396	mtDNA	H022	D. setchellii	CROB
CROS_LP_085_Du-181	mtDNA	H006	D. setchellii	CROS
CROS_LP_086_Du-182	mtDNA	H006	D. setchellii	CROS
CROS_LP_087_Du-183	mtDNA	H006	D. setchellii	CROS
CROS_LP_088_Du-184	mtDNA	H006	D. setchellii	CROS
CROS_LP_089_Du-185	mtDNA	H024	D. setchellii	CROS
CROS_LP_090_Du-186	mtDNA	H006	D. setchellii	CROS
CROS_LP_091_Du-187	mtDNA	H025	D. setchellii	CROS
CROS_LP_092_Du-188	mtDNA	H025	D. setchellii	CROS
CROS_LP_093_Du-189	mtDNA	H026	D. setchellii	CROS
CROS_LP_094_Du-190	mtDNA	H025	D. setchellii	CROS
CY_ALA_LP_298-Du-767	mtDNA	H027	D. cymosa	CY_ALA
CY_ALA_LP_299-Du-768	mtDNA	H027	D. cymosa	CY_ALA
CY_ALA_LP_357_Du-769	mtDNA	H027	D. cymosa	CY_ALA
CY_BAL_LP_226_Du-602	mtDNA	H028	D. cymosa	CY_BAL
CY_BAL_LP_227_Du-603	mtDNA	H028	D. cymosa	CY_BAL
CY_BAL_LP_228_Du-604	mtDNA	H028	D. cymosa	CY_BAL
CY_BGL_LP_210_Du-577	mtDNA	H014	D. cymosa	CY_BGL
CY_BGL_LP_212_Du-579	mtDNA	H029	D. cymosa	CY_BGL
CY_BOU_LP_288_Du-737	mtDNA	H007	D. cymosa	CY_BOU
CY_BOU_LP_290_Du-739	mtDNA	H007	D. cymosa	CY_BOU
CY_BOU_LP_291_Du-740	mtDNA	H007	D. cymosa	CY_BOU
CY_BOU_LP_292_Du-741	mtDNA	H007	D. cymosa	CY_BOU
CY_BOU_LP_354_Du-742	mtDNA	H007	D. cymosa	CY_BOU
CY_CAS_LP_328_Du-610	mtDNA	H030	D. cymosa	CY_CAS
CY_CAS_LP_329_Du-611	mtDNA	H031	D. cymosa	CY_CAS
CY_CAS_LP_330_Du-607	mtDNA	H031	D. cymosa	CY_CAS
CY_CAS_LP_331_Du-608	mtDNA	H031	D. cymosa	CY_CAS
CY_CAS_LP_332_Du-609	mtDNA	H031	D. cymosa	CY_CAS
CY_HICN_LP_236_Du-614	mtDNA	H032	D. cymosa	CY_HICN
CY_HICN_LP_333_Du-612	mtDNA	H033	D. cymosa	CY_HICN
CY_HICN_LP_334_Du-613	mtDNA	H034	D. cymosa	CY_HICN
CY_HICN_LP_335_Du-615	mtDNA	H035	D. cymosa	CY_HICN
CY_HICN_LP_336_Du-616	mtDNA	H034	D. cymosa	CY_HICN
CY_HICS_LP_293_Du-757	mtDNA	H007	D. cymosa	CY_HICS
CY_HICS_LP_295_Du-759	mtDNA	H007	D. cymosa	CY_HICS
CY_HICS_LP_297_Du-761	mtDNA	H007	D. cymosa	CY_HICS
CY_HICS_LP_355_Du-762	mtDNA	H007	D. cymosa	CY_HICS
CY_HICS_LP_356_Du-763	mtDNA	H007	D. cymosa	CY_HICS
CY_HUN_LP_264_Du-683	mtDNA	H036	D. cymosa	CY_HUN
CY_HUN_LP_266_Du-685	mtDNA	H036	D. cymosa	CY_HUN
CY_HUN_LP_267_Du-686	mtDNA	H036	D. cymosa	CY_HUN
CY_HUN_LP_268_Du-687	mtDNA	H036	D. cymosa	CY_HUN
CY_SIE_LP_188_Du-445	mtDNA	H032	D. cymosa	CY_SIE
CY_SIE_LP_189_Du-446	mtDNA	H005	D. cymosa	CY_SIE
CY_SIE_LP_190_Du-447	mtDNA	H032	D. cymosa	CY_SIE
CY_SIE_LP_191_Du-448	mtDNA	H007	D. cymosa	CY_SIE
CY_WOO_LP_259_Du-664	mtDNA	H037	D. cymosa	CY_WOO
CY_WOO_LP_260_Du-665	mtDNA	H037	D. cymosa	CY_WOO
CY_WOO_LP_261_Du-667	mtDNA	H007	D. cymosa	CY_WOO
CY_WOO_LP_262_Du-668	mtDNA	H037	D. cymosa	CY_WOO
CY_WOO_LP_263_Du-669	mtDNA	H037	D. cymosa	CY_WOO
DAN_LP_043_Du-68	mtDNA	H038	D. setchellii	DAN
DAN_LP_044_Du-69	mtDNA	H009	D. setchellii	DAN
DAN_LP_045_Du-70	mtDNA	H009	D. setchellii	DAN
DAN_LP_046_Du-71	mtDNA	H009	D. setchellii	DAN
DAN_LP_047_Du-72	mtDNA	H009	D. setchellii	DAN
DOV_LP_078_Du-174	mtDNA	H039	D. setchellii	DOV
DOV_LP_079_Du-175	mtDNA	H039	D. setchellii	DOV
DOV_LP_080_Du-176	mtDNA	H039	D. setchellii	DOV
DOV_LP_081_Du-177	mtDNA	H039	D. setchellii	DOV
DOV_LP_082_Du-178	mtDNA	H039	D. setchellii	DOV
DOV_LP_083_Du-179	mtDNA	H039	D. setchellii	DOV
DOV_LP_084_Du-180	mtDNA	H039	D. setchellii	DOV
DUD_LP_132_Du-283	mtDNA	H003	D. setchellii	DUD
DUD_LP_133_Du-284	mtDNA	H003	D. setchellii	DUD
DUD_LP_134_Du-285	mtDNA	H003	D. setchellii	DUD
DUD_LP_135_Du-286	mtDNA	H003	D. setchellii	DUD
DUD_LP_136_Du-287	mtDNA	H003	D. setchellii	DUD
DUD_LP_137_Du-288	mtDNA	H024	D. setchellii	DUD
DUD_LP_138_Du-289	mtDNA	H003	D. setchellii	DUD
DUD_LP_139_Du-290	mtDNA	H003	D. setchellii	DUD
KIRN_LP_179_Du-421	mtDNA	H026	D. setchellii	KIRN
KIRN_LP_180_Du-422	mtDNA	H026	D. setchellii	KIRN
KIRN_LP_181_Du-423	mtDNA	H026	D. setchellii	KIRN
KIRN_LP_182_Du-424	mtDNA	H026	D. setchellii	KIRN
KIRN_LP_183_Du-425	mtDNA	H026	D. setchellii	KIRN
KIRN_LP_184_Du-426	mtDNA	H026	D. setchellii	KIRN
KIRN_LP_185_Du-427	mtDNA	H026	D. setchellii	KIRN
KIRN_LP_186_Du-428	mtDNA	H026	D. setchellii	KIRN
KIRN_LP_187_Du-429	mtDNA	H026	D. setchellii	KIRN
KIRT_LP_159_Du-364	mtDNA	H026	D. setchellii	KIRT
KIRT_LP_160_Du-365	mtDNA	H026	D. setchellii	KIRT
KIRT_LP_161_Du-366	mtDNA	H026	D. setchellii	KIRT
KIRT_LP_162_Du-367	mtDNA	H026	D. setchellii	KIRT
KIRT_LP_163_Du-368	mtDNA	H026	D. setchellii	KIRT
KIRT_LP_164_Du-369	mtDNA	H026	D. setchellii	KIRT
KIRT_LP_165_Du-370	mtDNA	H026	D. setchellii	KIRT
KIRT_LP_166_Du-371	mtDNA	H026	D. setchellii	KIRT
KIRT_LP_167_Du-372	mtDNA	H026	D. setchellii	KIRT
KIRT_LP_168_Du-373	mtDNA	H026	D. setchellii	KIRT
MALV_LP_095_Du-201	mtDNA	H023	D. setchellii	MALV
MALV_LP_096_Du-202	mtDNA	H023	D. setchellii	MALV
MALV_LP_097_Du-203	mtDNA	H023	D. setchellii	MALV
MALV_LP_098_Du-204	mtDNA	H023	D. setchellii	MALV
MALV_LP_099_Du-205	mtDNA	H023	D. setchellii	MALV
MALV_LP_100_Du-206	mtDNA	H023	D. setchellii	MALV
MALV_LP_101_Du-207	mtDNA	H023	D. setchellii	MALV
MALV_LP_102_Du-208	mtDNA	H023	D. setchellii	MALV
MALV_LP_103_Du-209	mtDNA	H023	D. setchellii	MALV
MALV_LP_104_Du-210	mtDNA	H023	D. setchellii	MALV
OCO_LP_058_Du-115	mtDNA	H040	D. setchellii	OCO
OCO_LP_059_Du-106	mtDNA	H041	D. setchellii	OCO
OCO_LP_060_Du-107	mtDNA	H041	D. setchellii	OCO
OCO_LP_061_Du-108	mtDNA	H041	D. setchellii	OCO
OCO_LP_062_Du-109	mtDNA	H042	D. setchellii	OCO
OCO_LP_063_Du-110	mtDNA	H043	D. setchellii	OCO
OCO_LP_064_Du-111	mtDNA	H043	D. setchellii	OCO
OCO_LP_065_Du-112	mtDNA	H042	D. setchellii	OCO
OCO_LP_066_Du-113	mtDNA	H044	D. setchellii	OCO
OCO_LP_067_Du-114	mtDNA	H040	D. setchellii	OCO
QUI1_LP_249_Du-648	mtDNA	H045	D. setchellii	QUI1
QUI1_LP_250_Du-649	mtDNA	H046	D. setchellii	QUI1
QUI1_LP_251_Du-650	mtDNA	H045	D. setchellii	QUI1
QUI1_LP_252_Du-651	mtDNA	H045	D. setchellii	QUI1
QUI1_LP_253_Du-652	mtDNA	H045	D. setchellii	QUI1
QUI1_LP_254_Du-653	mtDNA	H045	D. setchellii	QUI1
QUI1_LP_255_Du-654	mtDNA	H045	D. setchellii	QUI1
QUI1_LP_257_Du-656	mtDNA	H046	D. setchellii	QUI1
QUI1_LP_258_Du-657	mtDNA	H046	D. setchellii	QUI1
