organelle	haplotype_id	sample_count	species_group_count	popcode_count
mtDNA	H001	21	2	2
mtDNA	H002	11	2	1
mtDNA	H003	20	2	2
mtDNA	H004	4	2	1
mtDNA	H005	2	2	1
mtDNA	H006	6	2	1
mtDNA	H007	14	2	4
mtDNA	H008	11	2	1
mtDNA	H009	12	2	2
mtDNA	H010	3	1	1
mtDNA	H011	2	1	1
mtDNA	H012	1	1	1
mtDNA	H013	1	1	1
mtDNA	H014	4	2	2
mtDNA	H015	1	1	1
mtDNA	H016	3	1	1
mtDNA	H017	1	1	1
mtDNA	H018	2	1	1
mtDNA	H019	1	1	1
mtDNA	H020	5	1	1
mtDNA	H021	3	1	1
mtDNA	H022	9	1	1
mtDNA	H023	11	1	2
mtDNA	H024	2	1	2
mtDNA	H025	3	1	1
mtDNA	H026	29	1	4
mtDNA	H027	3	1	1
mtDNA	H028	3	1	1
mtDNA	H029	1	1	1
mtDNA	H030	1	1	1
mtDNA	H031	4	1	1
mtDNA	H032	3	1	2
mtDNA	H033	1	1	1
mtDNA	H034	2	1	1
mtDNA	H035	1	1	1
mtDNA	H036	4	1	1
mtDNA	H037	4	1	1
mtDNA	H038	1	1	1
mtDNA	H039	7	1	1
mtDNA	H040	2	1	1
mtDNA	H041	3	1	1
mtDNA	H042	2	1	1
mtDNA	H043	2	1	1
mtDNA	H044	1	1	1
mtDNA	H045	6	1	1
mtDNA	H046	3	1	1
mtDNA	H047	1	1	1
mtDNA	H048	8	1	1
mtDNA	H049	1	1	1
mtDNA	H050	6	1	1
mtDNA	H051	4	1	1
mtDNA	H052	3	1	1
mtDNA	H053	3	1	1
mtDNA	H054	1	1	1
mtDNA	H055	1	1	1
mtDNA	H056	2	1	1
mtDNA	H057	2	1	1
mtDNA	H058	7	1	1
