organelle	feature_type	gene_key	candidate_count	candidate_labels	reference_records_checked	reference_presence_count	reference_presence_fraction	reference_labels_seen	status
chloroplast	CDS	accd	1	accD	8	8	1.0	accD	OK
chloroplast	CDS	atpa	1	atpA	8	8	1.0	atpA	OK
chloroplast	CDS	atpb	1	atpB	8	8	1.0	atpB	OK
chloroplast	CDS	atpe	1	atpE	8	8	1.0	atpE	OK
chloroplast	CDS	atpf	1	atpF	8	8	1.0	atpF	OK
chloroplast	CDS	atph	1	atpH	8	8	1.0	atpH	OK
chloroplast	CDS	atpi	1	atpI	8	8	1.0	atpI	OK
chloroplast	CDS	ccsa	1	ccsA	8	8	1.0	ccsA	OK
chloroplast	CDS	cema	1	cemA	8	8	1.0	cemA	OK
chloroplast	CDS	clpp	1	clpP	8	2	0.25	clpP	OK
chloroplast	CDS	clpp1	1	clpP1	8	6	0.75	clpP1	OK
chloroplast	CDS	infa	1	infA	8	8	1.0	infA	OK
chloroplast	CDS	lhba	1	lhbA	8	2	0.25	lhbA	OK
chloroplast	CDS	matk	1	matK	8	8	1.0	matK	OK
chloroplast	CDS	ndha	2	NADH dehydrogenase subunit A,ndhA	8	8	1.0	NADH dehydrogenase subunit A,ndhA	OK
chloroplast	CDS	ndhb	1	ndhB	8	8	1.0	ndhB	OK
chloroplast	CDS	ndhc	1	ndhC	8	8	1.0	ndhC	OK
chloroplast	CDS	ndhd	1	ndhD	8	8	1.0	ndhD	OK
chloroplast	CDS	ndhe	1	ndhE	8	8	1.0	ndhE	OK
chloroplast	CDS	ndhf	1	ndhF	8	8	1.0	ndhF	OK
chloroplast	CDS	ndhg	1	ndhG	8	8	1.0	ndhG	OK
chloroplast	CDS	ndhh	1	ndhH	8	8	1.0	ndhH	OK
chloroplast	CDS	ndhi	1	ndhI	8	8	1.0	ndhI	OK
chloroplast	CDS	ndhj	1	ndhJ	8	8	1.0	ndhJ	OK
chloroplast	CDS	ndhk	1	ndhK	8	6	0.75	ndhK	OK
chloroplast	CDS	pafi	1	pafI	8	6	0.75	pafI	OK
chloroplast	CDS	pafii	1	pafII	8	6	0.75	pafII	OK
chloroplast	CDS	pbf1	1	pbf1	8	6	0.75	pbf1	OK
chloroplast	CDS	peta	1	petA	8	8	1.0	petA	OK
chloroplast	CDS	petb	1	petB	8	8	1.0	petB	OK
chloroplast	CDS	petd	1	petD	8	8	1.0	petD	OK
chloroplast	CDS	petg	1	petG	8	8	1.0	petG	OK
chloroplast	CDS	petl	1	petL	8	8	1.0	petL	OK
chloroplast	CDS	petn	1	petN	8	8	1.0	petN	OK
chloroplast	CDS	psaa	1	psaA	8	8	1.0	psaA	OK
chloroplast	CDS	psab	1	psaB	8	8	1.0	psaB	OK
chloroplast	CDS	psac	1	psaC	8	8	1.0	psaC	OK
chloroplast	CDS	psad	0	NA	8	0	0.0	NA	OK
chloroplast	CDS	psai	1	psaI	8	8	1.0	psaI	OK
chloroplast	CDS	psaj	1	psaJ	8	8	1.0	psaJ	OK
chloroplast	CDS	psba	1	psbA	8	8	1.0	psbA	OK
chloroplast	CDS	psbb	1	psbB	8	8	1.0	psbB	OK
chloroplast	CDS	psbc	1	psbC	8	8	1.0	psbC	OK
chloroplast	CDS	psbd	1	psbD	8	8	1.0	psbD	OK
chloroplast	CDS	psbe	1	psbE	8	8	1.0	psbE	OK
chloroplast	CDS	psbf	1	psbF	8	8	1.0	psbF	OK
chloroplast	CDS	psbh	1	psbH	8	8	1.0	psbH	OK
chloroplast	CDS	psbi	1	psbI	8	8	1.0	psbI	OK
chloroplast	CDS	psbj	1	psbJ	8	8	1.0	psbJ	OK
chloroplast	CDS	psbk	1	psbK	8	8	1.0	psbK	OK
chloroplast	CDS	psbl	1	psbL	8	8	1.0	psbL	OK
chloroplast	CDS	psbm	1	psbM	8	8	1.0	psbM	OK
chloroplast	CDS	psbn	1	psbN	8	2	0.25	psbN	OK
chloroplast	CDS	psbt	1	psbT	8	8	1.0	psbT	OK
chloroplast	CDS	psbz	1	psbZ	8	6	0.75	psbZ	OK
chloroplast	CDS	rbcl	1	rbcL	8	8	1.0	rbcL	OK
chloroplast	CDS	rpl14	1	rpl14	8	8	1.0	rpl14	OK
chloroplast	CDS	rpl16	1	rpl16	8	8	1.0	rpl16	OK
chloroplast	CDS	rpl2	1	rpl2	8	8	1.0	rpl2	OK
chloroplast	CDS	rpl20	1	rpl20	8	8	1.0	rpl20	OK
chloroplast	CDS	rpl22	1	rpl22	8	8	1.0	rpl22	OK
chloroplast	CDS	rpl23	1	rpl23	8	8	1.0	rpl23	OK
