sample_id	batch	naming_profile	popcode	species	population_name	du_id	lp_id	sequencing_samples	lanes	r1_paths	r2_paths	r1_count	r2_count	pair_status	metadata_status	analysis_status	analysis_note
DU-173	QB3.Berkeley.241122/QB3.Dudleya.Results.250118	initial_du_dash				DU-173		S73	L008	genomicsDrive_data_dump/QB3.Berkeley.241122/QB3.Dudleya.Results.250118/DU-173_S73_L008_R1_001.fastq.gz	genomicsDrive_data_dump/QB3.Berkeley.241122/QB3.Dudleya.Results.250118/DU-173_S73_L008_R2_001.fastq.gz	1	1	complete	unresolved_initial_sample	include_primary_paired_end	Use in the primary paired-end cpDNA/mtDNA alignment workflow.
DU-229	QB3.Berkeley.241122/QB3.Dudleya.Results.250118	initial_du_dash				DU-229		S75	L008	genomicsDrive_data_dump/QB3.Berkeley.241122/QB3.Dudleya.Results.250118/DU-229_S75_L008_R1_001.fastq.gz	genomicsDrive_data_dump/QB3.Berkeley.241122/QB3.Dudleya.Results.250118/DU-229_S75_L008_R2_001.fastq.gz	1	1	complete	unresolved_initial_sample	include_primary_paired_end	Use in the primary paired-end cpDNA/mtDNA alignment workflow.
DU-247	QB3.Berkeley.241122/QB3.Dudleya.Results.250118	initial_du_dash				DU-247		S70	L008	genomicsDrive_data_dump/QB3.Berkeley.241122/QB3.Dudleya.Results.250118/DU-247_S70_L008_R1_001.fastq.gz	genomicsDrive_data_dump/QB3.Berkeley.241122/QB3.Dudleya.Results.250118/DU-247_S70_L008_R2_001.fastq.gz	1	1	complete	unresolved_initial_sample	include_primary_paired_end	Use in the primary paired-end cpDNA/mtDNA alignment workflow.
DU-254	QB3.Berkeley.241122/QB3.Dudleya.Results.250118	initial_du_dash				DU-254		S71	L008	genomicsDrive_data_dump/QB3.Berkeley.241122/QB3.Dudleya.Results.250118/DU-254_S71_L008_R1_001.fastq.gz	genomicsDrive_data_dump/QB3.Berkeley.241122/QB3.Dudleya.Results.250118/DU-254_S71_L008_R2_001.fastq.gz	1	1	complete	unresolved_initial_sample	include_primary_paired_end	Use in the primary paired-end cpDNA/mtDNA alignment workflow.
DU-270	QB3.Berkeley.241122/QB3.Dudleya.Results.250118	initial_du_dash				DU-270		S72	L008	genomicsDrive_data_dump/QB3.Berkeley.241122/QB3.Dudleya.Results.250118/DU-270_S72_L008_R1_001.fastq.gz	genomicsDrive_data_dump/QB3.Berkeley.241122/QB3.Dudleya.Results.250118/DU-270_S72_L008_R2_001.fastq.gz	1	1	complete	unresolved_initial_sample	include_primary_paired_end	Use in the primary paired-end cpDNA/mtDNA alignment workflow.
DU-297	QB3.Berkeley.241122/QB3.Dudleya.Results.250118	initial_du_dash				DU-297		S69	L008	genomicsDrive_data_dump/QB3.Berkeley.241122/QB3.Dudleya.Results.250118/DU-297_S69_L008_R1_001.fastq.gz	genomicsDrive_data_dump/QB3.Berkeley.241122/QB3.Dudleya.Results.250118/DU-297_S69_L008_R2_001.fastq.gz	1	1	complete	unresolved_initial_sample	include_primary_paired_end	Use in the primary paired-end cpDNA/mtDNA alignment workflow.
DU-443	QB3.Berkeley.241122/QB3.Dudleya.Results.250118	initial_du_dash				DU-443		S74	L008	genomicsDrive_data_dump/QB3.Berkeley.241122/QB3.Dudleya.Results.250118/DU-443_S74_L008_R1_001.fastq.gz	genomicsDrive_data_dump/QB3.Berkeley.241122/QB3.Dudleya.Results.250118/DU-443_S74_L008_R2_001.fastq.gz	1	1	complete	unresolved_initial_sample	include_primary_paired_end	Use in the primary paired-end cpDNA/mtDNA alignment workflow.
DU-4A	QB3.Berkeley.241122/QB3.Dudleya.Results.250118	initial_du_dash				DU-4A		S68	L008	genomicsDrive_data_dump/QB3.Berkeley.241122/QB3.Dudleya.Results.250118/DU-4A_S68_L008_R1_001.fastq.gz	genomicsDrive_data_dump/QB3.Berkeley.241122/QB3.Dudleya.Results.250118/DU-4A_S68_L008_R2_001.fastq.gz	1	1	complete	unresolved_initial_sample	include_primary_paired_end	Use in the primary paired-end cpDNA/mtDNA alignment workflow.
DU014LP012	QB3.Berkeley.250811/QB3.250916.Results5genomes	initial_du_lp				DU014	LP012	S4	L005	genomicsDrive_data_dump/QB3.Berkeley.250811/QB3.250916.Results5genomes/DU014LP012_S4_L005_R1_001.fastq.gz	genomicsDrive_data_dump/QB3.Berkeley.250811/QB3.250916.Results5genomes/DU014LP012_S4_L005_R2_001.fastq.gz	1	1	complete	unresolved_initial_sample	include_primary_paired_end	Use in the primary paired-end cpDNA/mtDNA alignment workflow.
DU037LP013	QB3.Berkeley.250811/QB3.250916.Results5genomes	initial_du_lp				DU037	LP013	S5	L005	genomicsDrive_data_dump/QB3.Berkeley.250811/QB3.250916.Results5genomes/DU037LP013_S5_L005_R1_001.fastq.gz	genomicsDrive_data_dump/QB3.Berkeley.250811/QB3.250916.Results5genomes/DU037LP013_S5_L005_R2_001.fastq.gz	1	1	complete	unresolved_initial_sample	include_primary_paired_end	Use in the primary paired-end cpDNA/mtDNA alignment workflow.
