sample_id	batch	naming_profile	popcode	species	population_name	du_id	lp_id	sequencing_samples	lanes	r1_paths	r2_paths	r1_count	r2_count	pair_status	metadata_status	analysis_status	analysis_note	pilot_reason
DU-173	QB3.Berkeley.241122/QB3.Dudleya.Results.250118	initial_du_dash				DU-173		S73	L008	genomicsDrive_data_dump/QB3.Berkeley.241122/QB3.Dudleya.Results.250118/DU-173_S73_L008_R1_001.fastq.gz	genomicsDrive_data_dump/QB3.Berkeley.241122/QB3.Dudleya.Results.250118/DU-173_S73_L008_R2_001.fastq.gz	1	1	complete	unresolved_initial_sample	include_primary_paired_end	Use in the primary paired-end cpDNA/mtDNA alignment workflow.	representative_initial_du_dash
DU014LP012	QB3.Berkeley.250811/QB3.250916.Results5genomes	initial_du_lp				DU014	LP012	S4	L005	genomicsDrive_data_dump/QB3.Berkeley.250811/QB3.250916.Results5genomes/DU014LP012_S4_L005_R1_001.fastq.gz	genomicsDrive_data_dump/QB3.Berkeley.250811/QB3.250916.Results5genomes/DU014LP012_S4_L005_R2_001.fastq.gz	1	1	complete	unresolved_initial_sample	include_primary_paired_end	Use in the primary paired-end cpDNA/mtDNA alignment workflow.	representative_initial_du_lp
CY_ALA_LP_298-Du-767	QB3.Berkeley.251217/QB3.Results.260109	main_standard	CY_ALA	D. cymosa	Los Alanitos Dam	Du-767	LP_298	S289	L005	genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/CY_ALA/CY_ALA_LP_298-Du-767_S289_L005_R1_001.fastq.gz	genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/CY_ALA/CY_ALA_LP_298-Du-767_S289_L005_R2_001.fastq.gz	1	1	complete	resolved	include_primary_paired_end	Use in the primary paired-end cpDNA/mtDNA alignment workflow.	representative_D_cymosa
ABAB_MAD_LP_222_Du-589	QB3.Berkeley.251217/QB3.Results.260109	main_standard	ABAB_MAD	D. abramsii ssp. abramsii	Madonna Inn	Du-589	LP_222	S244	L005	genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/ABAB_MAD/ABAB_MAD_LP_222_Du-589_S244_L005_R1_001.fastq.gz	genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/ABAB_MAD/ABAB_MAD_LP_222_Du-589_S244_L005_R2_001.fastq.gz	1	1	complete	resolved	include_primary_paired_end	Use in the primary paired-end cpDNA/mtDNA alignment workflow.	representative_D_abramsii
BAI_LP_105_Du-222	QB3.Berkeley.251217/QB3.Results.260109	main_standard	BAI	D. setchellii	Baird Ridgeline	Du-222	LP_105	S37	L005	genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/BAI/BAI_LP_105_Du-222_S37_L005_R1_001.fastq.gz	genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/BAI/BAI_LP_105_Du-222_S37_L005_R2_001.fastq.gz	1	1	complete	resolved	include_primary_paired_end	Use in the primary paired-end cpDNA/mtDNA alignment workflow.	representative_D_setchellii
CY_BAL_LP_226_Du-602	QB3.Berkeley.251217/QB3.Results.260109	main_standard	CY_BAL	D. cymosa	Baldwin Lake	Du-602	LP_226	S281	L005	genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/CY_BAL/CY_BAL_LP_226_Du-602_S281_L005_R1_001.fastq.gz	genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/CY_BAL/CY_BAL_LP_226_Du-602_S281_L005_R2_001.fastq.gz	1	1	complete	resolved	include_primary_paired_end	Use in the primary paired-end cpDNA/mtDNA alignment workflow.	additional_population_CY_BAL
ABBE_BERN_LP_311_Du-780	QB3.Berkeley.251217/QB3.Results.260109	main_standard	ABBE_BERN	D. abramsii ssp. bettinae	San Bernardino Creek Road	Du-780	LP_311	S261	L005	genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/ABBE_BERN/ABBE_BERN_LP_311_Du-780_S261_L005_R1_001.fastq.gz	genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/ABBE_BERN/ABBE_BERN_LP_311_Du-780_S261_L005_R2_001.fastq.gz	1	1	complete	resolved	include_primary_paired_end	Use in the primary paired-end cpDNA/mtDNA alignment workflow.	additional_population_ABBE_BERN
COM_LP_269_Du-703	QB3.Berkeley.251217/QB3.Results.260109	main_standard	COM	D. setchellii	Communication Hill	Du-703	LP_269	S239	L005	genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/COM/COM_LP_269_Du-703_S239_L005_R1_001.fastq.gz	genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/COM/COM_LP_269_Du-703_S239_L005_R2_001.fastq.gz	1	1	complete	resolved	include_primary_paired_end	Use in the primary paired-end cpDNA/mtDNA alignment workflow.	additional_population_COM
CY_BGL_LP_210_Du-577	QB3.Berkeley.251217/QB3.Results.260109	main_standard	CY_BGL	D. cymosa	Below Green Lake	Du-577	LP_210	S193	L005	genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/CY_BGL/CY_BGL_LP_210_Du-577_S193_L005_R1_001.fastq.gz	genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/CY_BGL/CY_BGL_LP_210_Du-577_S193_L005_R2_001.fastq.gz	1	1	complete	resolved	include_primary_paired_end	Use in the primary paired-end cpDNA/mtDNA alignment workflow.	additional_population_CY_BGL
ABMU_HOR_LP_306_Du-775	QB3.Berkeley.251217/QB3.Results.260109	main_standard	ABMU_HOR	D. abramsii ssp. murina	Horse Canyon (SLO)	Du-775	LP_306	S290	L005	genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/ABMU_HOR/ABMU_HOR_LP_306_Du-775_S290_L005_R1_001.fastq.gz	genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/ABMU_HOR/ABMU_HOR_LP_306_Du-775_S290_L005_R2_001.fastq.gz	1	1	complete	resolved	include_primary_paired_end	Use in the primary paired-end cpDNA/mtDNA alignment workflow.	additional_population_ABMU_HOR
