sample_id	input_read_records	permissive_baseq20_mapq0_mean_depth	permissive_baseq20_mapq0_breadth_ge_1x	permissive_baseq20_mapq0_breadth_ge_5x	permissive_baseq20_mapq0_breadth_ge_10x	unique_baseq0_mapq20_mean_depth	unique_baseq0_mapq20_breadth_ge_1x	unique_baseq0_mapq20_breadth_ge_5x	unique_baseq0_mapq20_breadth_ge_10x
DU-173	142626714	1848.704872	0.995603	0.995595	0.995558	613.681084	0.208963	0.207159	0.206629
DU014LP012	80007888	537.615913	0.969490	0.946791	0.945854	168.625044	0.200917	0.191807	0.190825
CY_ALA_LP_298-Du-767	9650660	74.755234	0.947062	0.945558	0.945274	23.917496	0.185261	0.183585	0.182488
ABAB_MAD_LP_222_Du-589	5378	0.010511	0.008120	0.000000	0.000000	0.002465	0.001775	0.000000	0.000000
BAI_LP_105_Du-222	12041946	100.819362	0.945780	0.945139	0.944872	31.593732	0.191676	0.188816	0.187460
CY_BAL_LP_226_Du-602	4412330	42.910067	0.960445	0.955412	0.954639	14.416615	0.199204	0.196775	0.195933
ABBE_BERN_LP_311_Du-780	10549336	116.973180	0.945311	0.941243	0.940742	37.121175	0.194174	0.185282	0.183987
COM_LP_269_Du-703	11377416	159.001015	0.986896	0.948829	0.944646	50.459572	0.205166	0.188442	0.184846
CY_BGL_LP_210_Du-577	9588954	132.675352	0.943483	0.940541	0.940257	42.227750	0.188512	0.185512	0.185052
ABMU_HOR_LP_306_Du-775	13666840	163.800238	0.999018	0.998784	0.998738	53.263869	0.234999	0.201402	0.200305
CROB_LP_169_Du-381	1155960	11.457181	0.998500	0.913219	0.553421	3.720692	0.201123	0.197083	0.184057
CY_BOU_LP_288_Du-737	1686668	12.794037	0.944029	0.885067	0.612638	3.987816	0.185882	0.181707	0.173694
CROS_LP_085_Du-181	15202936	197.679371	1.000000	0.999971	0.999951	64.725825	0.213475	0.207007	0.205100
CY_CAS_LP_328_Du-610	14480270	81.885527	0.947312	0.943405	0.943051	25.946104	0.186765	0.182771	0.181986
DAN_LP_043_Du-68	2431018	19.598749	0.999227	0.991634	0.906089	6.392975	0.201312	0.198969	0.197400
