sample_id	input_read_records	permissive_baseq20_mapq0_mean_depth	permissive_baseq20_mapq0_breadth_ge_1x	permissive_baseq20_mapq0_breadth_ge_5x	permissive_baseq20_mapq0_breadth_ge_10x	unique_baseq0_mapq20_mean_depth	unique_baseq0_mapq20_breadth_ge_1x	unique_baseq0_mapq20_breadth_ge_5x	unique_baseq0_mapq20_breadth_ge_10x
DU-173	142626714	17619.275603	1.000000	1.000000	1.000000	10631.758461	0.757949	0.746217	0.741273
DU014LP012	80007888	8634.017315	1.000000	1.000000	1.000000	5192.363782	0.768822	0.755520	0.747907
CY_ALA_LP_298-Du-767	9650660	734.325020	1.000000	0.999973	0.999927	501.864973	0.699835	0.690658	0.686193
ABAB_MAD_LP_222_Du-589	5378	0.211846	0.134068	0.000492	0.000000	0.155855	0.098560	0.000379	0.000000
BAI_LP_105_Du-222	12041946	1409.685049	1.000000	0.999987	0.999987	914.500752	0.771145	0.732948	0.726979
CY_BAL_LP_226_Du-602	4412330	719.971339	0.999993	0.999940	0.999681	500.309821	0.729248	0.693460	0.688023
ABBE_BERN_LP_311_Du-780	10549336	1080.535668	1.000000	0.999920	0.999874	719.527230	0.753217	0.701951	0.695709
COM_LP_269_Du-703	11377416	1434.370410	1.000000	0.999980	0.999967	990.045763	0.760198	0.705385	0.699303
CY_BGL_LP_210_Du-577	9588954	673.828600	0.999953	0.999867	0.999627	478.008964	0.716930	0.699249	0.692495
ABMU_HOR_LP_306_Du-775	13666840	963.781446	0.999907	0.999894	0.999814	650.009849	0.909672	0.732954	0.696474
CROB_LP_169_Du-381	1155960	170.422588	0.999887	0.999681	0.999201	108.658544	0.700933	0.690778	0.685761
CY_BOU_LP_288_Du-737	1686668	194.360049	0.999980	0.999907	0.999740	120.386221	0.753351	0.694112	0.689274
CROS_LP_085_Du-181	15202936	1327.745305	1.000000	1.000000	0.999980	848.012777	0.783329	0.729880	0.724137
CY_CAS_LP_328_Du-610	14480270	1178.420312	0.999980	0.999927	0.999820	818.332819	0.695510	0.687671	0.683185
DAN_LP_043_Du-68	2431018	285.836252	0.999980	0.999933	0.999834	194.410284	0.707654	0.694864	0.689594
