threshold_usable_samples	rank	start	end	length_bp
14	1	5948	36201	30254
14	2	64898	82437	17540
14	3	47402	64896	17495
14	4	107470	124842	17373
14	5	36203	47388	11186
14	6	1	5940	5940
14	7	147073	147782	710
14	8	91800	92448	649
14	9	101402	102024	623
14	10	100288	100887	600
14	11	104341	104931	591
14	12	132141	132685	545
14	13	130563	130776	214
14	14	99696	99889	194
14	15	99892	99906	15
13	1	1	82441	82441
13	2	107456	124897	17442
13	3	147041	147834	794
13	4	101304	102058	755
13	5	100268	100927	660
13	6	104335	104993	659
13	7	91799	92449	651
13	8	132140	132737	598
13	9	130533	130783	251
13	10	99695	99890	196
13	11	99892	99906	15
12	1	1	82456	82456
12	2	107443	124899	17457
12	3	147008	147851	844
12	4	101295	102059	765
12	5	91750	92509	760
12	6	100223	100973	751
12	7	104316	105045	730
12	8	132131	132739	609
12	9	130528	130794	267
12	10	99651	99890	240
12	11	107390	107434	45
12	12	130809	130844	36
12	13	99892	99906	15
12	14	130518	130526	9
10	1	1	82500	82500
10	2	107363	124964	17602
10	3	146991	147923	933
10	4	91625	92545	921
10	5	101265	102110	846
10	6	104256	105101	846
10	7	100214	100991	778
10	8	132113	132793	681
10	9	130424	130877	454
10	10	99622	99890	269
10	11	140179	140260	82
10	12	140263	140287	25
10	13	99892	99907	16
10	14	140300	140312	13
10	15	140290	140298	9
10	16	147936	147944	9
10	17	101029	101032	4
7	1	1	82600	82600
7	2	107285	125032	17748
7	3	146847	148053	1207
7	4	91572	92634	1063
7	5	100130	101094	965
7	6	104183	105127	945
7	7	101237	102142	906
7	8	132005	132820	816
7	9	130394	130952	559
7	10	99577	99940	364
7	11	140133	140260	128
7	12	92708	92818	111
7	13	148219	148315	97
7	14	107126	107214	89
7	15	146776	146840	65
7	16	107065	107101	37
7	17	140263	140287	25
7	18	140300	140320	21
7	19	125301	125318	18
7	20	99949	99962	14
7	21	140290	140298	9
1	1	1	85155	85155
1	2	106554	125821	19268
1	3	142349	148626	6278
1	4	86628	90791	4164
1	5	90879	94741	3863
1	6	99061	102665	3605
1	7	94826	97961	3136
1	8	135785	138647	2863
1	9	103432	105617	2186
1	10	131467	133489	2023
1	11	139426	140934	1509
1	12	130037	131442	1406
1	13	141005	142267	1263
1	14	85168	86261	1094
1	15	148684	149721	1038
1	16	134629	135491	863
1	17	138667	139380	714
1	18	126635	127328	694
1	19	126156	126622	467
1	20	86277	86606	330
1	21	125857	126154	298
1	22	102732	102936	205
1	23	106207	106394	188
1	24	105640	105822	183
1	25	129845	130025	181
1	26	149782	149957	176
1	27	106028	106193	166
1	28	106398	106552	155
1	29	103253	103402	150
1	30	128437	128586	150
1	31	128592	128741	150
1	32	133990	134139	150
1	33	134304	134453	150
1	34	129239	129384	146
1	35	127727	127855	129
1	36	129676	129782	107
1	37	98500	98591	92
1	38	135581	135668	88
1	39	98136	98189	54
1	40	133915	133946	32
