covered_usable_samples	bases_ge_1x	fraction_ge_1x	bases_ge_5x	fraction_ge_5x
0	5405	0.035968	32226	0.214448
1	12474	0.083008	5746	0.038237
2	10721	0.071343	1598	0.010634
3	7120	0.047380	1136	0.007560
4	3889	0.025879	3029	0.020157
5	1820	0.012111	810	0.005390
6	1058	0.007040	423	0.002815
7	781	0.005197	357	0.002376
8	495	0.003294	292	0.001943
9	523	0.003480	257	0.001710
10	609	0.004053	394	0.002622
11	395	0.002629	267	0.001777
12	522	0.003474	435	0.002895
13	533	0.003547	480	0.003194
14	103929	0.691597	102824	0.684243
