sample_id	batch	species	popcode	organelle	reference_length	input_read_records	mapped_reads	mean_depth	total_depth	bases_ge_1x	breadth_ge_1x	bases_ge_5x	breadth_ge_5x	bases_ge_10x	breadth_ge_10x	bam_path	idxstats_path	depth_path
DU-173	QB3.Berkeley.241122/QB3.Dudleya.Results.250118			chloroplast	150274	142626714	18020582	17619.275231	2647718966	150274	1.000000	150274	1.000000	150274	1.000000	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/06_all_sample_alignment/bam/DU-173.organelle.sorted.bam	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/06_all_sample_alignment/qc/DU-173.idxstats.tsv	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/06_all_sample_alignment/qc/DU-173.depth.tsv
DU-173	QB3.Berkeley.241122/QB3.Dudleya.Results.250118			mitochondria	243359	142626714	3092082	1848.704897	449898975	242289	0.995603	242287	0.995595	242278	0.995558	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/06_all_sample_alignment/bam/DU-173.organelle.sorted.bam	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/06_all_sample_alignment/qc/DU-173.idxstats.tsv	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/06_all_sample_alignment/qc/DU-173.depth.tsv
DU-229	QB3.Berkeley.241122/QB3.Dudleya.Results.250118			chloroplast	150274	138027378	9955673	9712.879726	1459593288	150274	1.000000	150274	1.000000	150274	1.000000	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/06_all_sample_alignment/bam/DU-229.organelle.sorted.bam	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/06_all_sample_alignment/qc/DU-229.idxstats.tsv	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/06_all_sample_alignment/qc/DU-229.depth.tsv
DU-229	QB3.Berkeley.241122/QB3.Dudleya.Results.250118			mitochondria	243359	138027378	1540948	918.897998	223622098	230427	0.946860	230070	0.945393	229989	0.945061	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/06_all_sample_alignment/bam/DU-229.organelle.sorted.bam	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/06_all_sample_alignment/qc/DU-229.idxstats.tsv	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/06_all_sample_alignment/qc/DU-229.depth.tsv
DU-247	QB3.Berkeley.241122/QB3.Dudleya.Results.250118			chloroplast	150274	111833500	10733775	10517.488414	1580505054	150274	1.000000	150274	1.000000	150274	1.000000	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/06_all_sample_alignment/bam/DU-247.organelle.sorted.bam	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/06_all_sample_alignment/qc/DU-247.idxstats.tsv	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/06_all_sample_alignment/qc/DU-247.depth.tsv
DU-247	QB3.Berkeley.241122/QB3.Dudleya.Results.250118			mitochondria	243359	111833500	1419329	848.541332	206500170	243359	1.000000	243357	0.999992	243356	0.999988	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/06_all_sample_alignment/bam/DU-247.organelle.sorted.bam	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/06_all_sample_alignment/qc/DU-247.idxstats.tsv	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/06_all_sample_alignment/qc/DU-247.depth.tsv
DU-254	QB3.Berkeley.241122/QB3.Dudleya.Results.250118			chloroplast	150274	152335744	22689730	22274.841004	3347329457	150274	1.000000	150274	1.000000	150274	1.000000	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/06_all_sample_alignment/bam/DU-254.organelle.sorted.bam	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/06_all_sample_alignment/qc/DU-254.idxstats.tsv	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/06_all_sample_alignment/qc/DU-254.depth.tsv
DU-254	QB3.Berkeley.241122/QB3.Dudleya.Results.250118			mitochondria	243359	152335744	1879679	1123.769181	273479344	243359	1.000000	243358	0.999996	243357	0.999992	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/06_all_sample_alignment/bam/DU-254.organelle.sorted.bam	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/06_all_sample_alignment/qc/DU-254.idxstats.tsv	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/06_all_sample_alignment/qc/DU-254.depth.tsv
DU-270	QB3.Berkeley.241122/QB3.Dudleya.Results.250118			chloroplast	150274	132943884	11322746	11039.504658	1658950523	150274	1.000000	150274	1.000000	150274	1.000000	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/06_all_sample_alignment/bam/DU-270.organelle.sorted.bam	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/06_all_sample_alignment/qc/DU-270.idxstats.tsv	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/06_all_sample_alignment/qc/DU-270.depth.tsv
DU-270	QB3.Berkeley.241122/QB3.Dudleya.Results.250118			mitochondria	243359	132943884	1711853	1020.624255	248378098	242449	0.996261	242439	0.996220	242389	0.996014	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/06_all_sample_alignment/bam/DU-270.organelle.sorted.bam	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/06_all_sample_alignment/qc/DU-270.idxstats.tsv	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/06_all_sample_alignment/qc/DU-270.depth.tsv
