sample_id	batch	naming_profile	species	popcode	input_read_records	total_organelle_mapped_reads	input_organelle_mapping_fraction	chloroplast_mapped_reads	mitochondria_mapped_reads	chloroplast_fraction_of_organelle_mapped	mitochondria_fraction_of_organelle_mapped	chloroplast_mean_depth	mitochondria_mean_depth	chloroplast_breadth_ge_1x	mitochondria_breadth_ge_1x	chloroplast_breadth_ge_5x	mitochondria_breadth_ge_5x	chloroplast_breadth_ge_10x	mitochondria_breadth_ge_10x	qc_notes
DU-173	QB3.Berkeley.241122/QB3.Dudleya.Results.250118	initial_du_dash			142626714	21112664	0.148027	18020582	3092082	0.853544	0.146456	17619.275231	1848.704897	1.000000	0.995603	1.000000	0.995595	1.000000	0.995558	pass_initial_mapping_screen
DU-229	QB3.Berkeley.241122/QB3.Dudleya.Results.250118	initial_du_dash			138027378	11496621	0.083292	9955673	1540948	0.865965	0.134035	9712.879726	918.897998	1.000000	0.946860	1.000000	0.945393	1.000000	0.945061	pass_initial_mapping_screen
DU-247	QB3.Berkeley.241122/QB3.Dudleya.Results.250118	initial_du_dash			111833500	12153104	0.108671	10733775	1419329	0.883213	0.116787	10517.488414	848.541332	1.000000	1.000000	1.000000	0.999992	1.000000	0.999988	pass_initial_mapping_screen
DU-254	QB3.Berkeley.241122/QB3.Dudleya.Results.250118	initial_du_dash			152335744	24569409	0.161285	22689730	1879679	0.923495	0.076505	22274.841004	1123.769181	1.000000	1.000000	1.000000	0.999996	1.000000	0.999992	pass_initial_mapping_screen
DU-270	QB3.Berkeley.241122/QB3.Dudleya.Results.250118	initial_du_dash			132943884	13034599	0.098046	11322746	1711853	0.868669	0.131331	11039.504658	1020.624255	1.000000	0.996261	1.000000	0.996220	1.000000	0.996014	pass_initial_mapping_screen
DU-297	QB3.Berkeley.241122/QB3.Dudleya.Results.250118	initial_du_dash			118039244	22772974	0.192927	21215857	1557117	0.931624	0.068376	20842.575828	933.173398	1.000000	1.000000	1.000000	1.000000	1.000000	0.999996	pass_initial_mapping_screen
DU-443	QB3.Berkeley.241122/QB3.Dudleya.Results.250118	initial_du_dash			122821078	20525689	0.167119	19016884	1508805	0.926492	0.073508	18598.518047	898.015220	1.000000	0.998085	1.000000	0.998036	1.000000	0.997991	pass_initial_mapping_screen
DU-4A	QB3.Berkeley.241122/QB3.Dudleya.Results.250118	initial_du_dash			114738526	23111735	0.201430	20893200	2218535	0.904008	0.095992	20489.394286	1331.635189	1.000000	1.000000	1.000000	1.000000	1.000000	0.999996	pass_initial_mapping_screen
DU014LP012	QB3.Berkeley.250811/QB3.250916.Results5genomes	initial_du_lp			80007888	10331624	0.129133	9392608	939016	0.909112	0.090888	8634.017428	537.615864	1.000000	0.969490	1.000000	0.946791	1.000000	0.945854	pass_initial_mapping_screen
DU037LP013	QB3.Berkeley.250811/QB3.250916.Results5genomes	initial_du_lp			52892182	12574661	0.237741	11973911	600750	0.952225	0.047775	11546.613180	355.209333	1.000000	0.953279	1.000000	0.945270	1.000000	0.944765	pass_initial_mapping_screen
DU059LP015	QB3.Berkeley.250811/QB3.250916.Results5genomes	initial_du_lp			81365676	12059686	0.148216	10359806	1699880	0.859044	0.140956	9083.989186	975.155416	1.000000	0.999466	1.000000	0.999359	1.000000	0.999310	pass_initial_mapping_screen
DU078LP011	QB3.Berkeley.250811/QB3.250916.Results5genomes	initial_du_lp			97284144	20023302	0.205823	17339097	2684205	0.865946	0.134054	14578.908354	1477.275046	1.000000	0.999441	1.000000	0.999240	1.000000	0.999232	pass_initial_mapping_screen
DU079LP010	QB3.Berkeley.250811/QB3.250916.Results5genomes	initial_du_lp			136596296	19445823	0.142360	16425043	3020780	0.844657	0.155343	13825.174834	1653.596292	1.000000	0.999569	1.000000	0.999515	1.000000	0.999511	pass_initial_mapping_screen
ABAB_MAD_LP_222_Du-589	QB3.Berkeley.251217/QB3.Results.260109	main_standard	D. abramsii ssp. abramsii	ABAB_MAD	5378	305	0.056713	283	22	0.927869	0.072131	0.211846	0.010511	0.134068	0.008120	0.000492	0.000000	0.000000	0.000000	low_mitochondria_mapped_reads;low_chloroplast_breadth_ge_1x;low_mitochondria_breadth_ge_1x
ABAB_MAD_LP_223_Du-590	QB3.Berkeley.251217/QB3.Results.260109	main_standard	D. abramsii ssp. abramsii	ABAB_MAD	1107924	192314	0.173580	172130	20184	0.895047	0.104953	128.358698	9.638587	0.999867	0.994206	0.999448	0.850805	0.999008	0.425930	pass_initial_mapping_screen
ABAB_MAD_LP_322_Du-593	QB3.Berkeley.251217/QB3.Results.260109	main_standard	D. abramsii ssp. abramsii	ABAB_MAD	14447920	3771735	0.261057	3533322	238413	0.936790	0.063210	2608.212825	112.724000	0.999967	0.998817	0.999900	0.998747	0.999894	0.998599	pass_initial_mapping_screen
ABAB_MAD_LP_323_Du-594	QB3.Berkeley.251217/QB3.Results.260109	main_standard	D. abramsii ssp. abramsii	ABAB_MAD	2471082	541041	0.218949	502441	38600	0.928656	0.071344	317.397714	15.974412	0.999900	0.998504	0.999760	0.970689	0.999601	0.778722	pass_initial_mapping_screen
ABAB_MAD_LP_324_Du-595	QB3.Berkeley.251217/QB3.Results.260109	main_standard	D. abramsii ssp. abramsii	ABAB_MAD	7258446	1606545	0.221335	1451639	154906	0.903578	0.096422	837.131912	58.281325	0.999993	0.998977	0.999847	0.998726	0.999740	0.998611	pass_initial_mapping_screen
ABAB_MAD_LP_325_Du-596	QB3.Berkeley.251217/QB3.Results.260109	main_standard	D. abramsii ssp. abramsii	ABAB_MAD	9416018	2194154	0.233024	2059522	134632	0.938641	0.061359	1382.818751	58.608410	0.999967	0.998895	0.999874	0.998771	0.999820	0.998525	pass_initial_mapping_screen
ABAB_MAD_LP_326_Du-597	QB3.Berkeley.251217/QB3.Results.260109	main_standard	D. abramsii ssp. abramsii	ABAB_MAD	8209486	1231831	0.150050	1124408	107423	0.912794	0.087206	737.977321	45.656586	0.999913	0.998874	0.999807	0.998669	0.999767	0.998393	pass_initial_mapping_screen
ABAB_MAD_LP_327_Du-598	QB3.Berkeley.251217/QB3.Results.260109	main_standard	D. abramsii ssp. abramsii	ABAB_MAD	2387304	386385	0.161850	355989	30396	0.921332	0.078668	231.051393	12.706109	0.999880	0.995726	0.999740	0.932146	0.999528	0.628405	pass_initial_mapping_screen
ABBE_BERN_LP_311_Du-780	QB3.Berkeley.251217/QB3.Results.260109	main_standard	D. abramsii ssp. bettinae	ABBE_BERN	10549336	1732138	0.164194	1481697	250441	0.855415	0.144585	1080.535176	116.973192	1.000000	0.945311	0.999920	0.941243	0.999874	0.940742	pass_initial_mapping_screen
ABBE_BERN_LP_312_Du-781	QB3.Berkeley.251217/QB3.Results.260109	main_standard	D. abramsii ssp. bettinae	ABBE_BERN	12367560	683485	0.055264	568551	114934	0.831841	0.168159	404.170342	52.316619	1.000000	0.945706	0.999947	0.941613	0.999867	0.940688	pass_initial_mapping_screen
ABBE_BERN_LP_313_Du-782	QB3.Berkeley.251217/QB3.Results.260109	main_standard	D. abramsii ssp. bettinae	ABBE_BERN	5646246	186162	0.032971	157340	28822	0.845178	0.154822	117.489007	13.703709	0.999913	0.944305	0.999614	0.906882	0.999142	0.692500	pass_initial_mapping_screen
ABBE_BERN_LP_314_Du-783	QB3.Berkeley.251217/QB3.Results.260109	main_standard	D. abramsii ssp. bettinae	ABBE_BERN	9371176	376602	0.040187	248432	128170	0.659667	0.340333	174.569260	59.309580	1.000000	0.944259	0.999880	0.941083	0.999601	0.940742	pass_initial_mapping_screen
ABMU_HOR_LP_306_Du-775	QB3.Berkeley.251217/QB3.Results.260109	main_standard	D. abramsii ssp. murina	ABMU_HOR	13666840	1636244	0.119724	1297419	338825	0.792925	0.207075	963.815025	163.805526	0.999907	0.999018	0.999894	0.998784	0.999814	0.998738	pass_initial_mapping_screen
ABMU_HOR_LP_308_Du-777	QB3.Berkeley.251217/QB3.Results.260109	main_standard	D. abramsii ssp. murina	ABMU_HOR	15299202	1126094	0.073605	802303	323791	0.712465	0.287535	638.916439	167.627209	0.999953	0.999018	0.999874	0.998866	0.999740	0.998677	pass_initial_mapping_screen
ABMU_HOR_LP_358_Du-770	QB3.Berkeley.251217/QB3.Results.260109	main_standard	D. abramsii ssp. murina	ABMU_HOR	12659814	2920796	0.230714	2687771	233025	0.920219	0.079781	2044.455009	116.680221	0.999913	0.998936	0.999894	0.998747	0.999880	0.998673	pass_initial_mapping_screen
ABMU_HOR_LP_359_Du-771	QB3.Berkeley.251217/QB3.Results.260109	main_standard	D. abramsii ssp. murina	ABMU_HOR	11668426	2162842	0.185359	1914072	248770	0.884980	0.115020	1472.914037	128.458257	0.999907	0.999006	0.999900	0.998775	0.999860	0.998656	pass_initial_mapping_screen
ABMU_HOR_LP_360_Du-772	QB3.Berkeley.251217/QB3.Results.260109	main_standard	D. abramsii ssp. murina	ABMU_HOR	11010370	1711365	0.155432	1560077	151288	0.911598	0.088402	1227.871355	77.412576	0.999907	0.998858	0.999900	0.998632	0.999847	0.998480	pass_initial_mapping_screen
