sample_id	organelle	pc1	pc2	species	popcode	population_name	naming_profile	plot_group
DU-173	cpDNA	-2.91622469	-6.86132625				initial_du_dash	initial_du_dash
DU-229	cpDNA	-2.25376282	-1.30056323				initial_du_dash	initial_du_dash
DU-247	cpDNA	-4.03402558	4.83572441				initial_du_dash	initial_du_dash
DU-254	cpDNA	-3.98184959	4.86574703				initial_du_dash	initial_du_dash
DU-270	cpDNA	-2.84370484	-6.66206039				initial_du_dash	initial_du_dash
DU-297	cpDNA	-4.03312242	4.83294870				initial_du_dash	initial_du_dash
DU-443	cpDNA	15.09551054	0.40512227				initial_du_dash	initial_du_dash
DU-4A	cpDNA	-4.10653559	4.94708022				initial_du_dash	initial_du_dash
DU014LP012	cpDNA	-1.01059339	-2.29479335				initial_du_lp	initial_du_lp
DU037LP013	cpDNA	-1.01337366	-2.29971277				initial_du_lp	initial_du_lp
DU059LP015	cpDNA	-2.88128228	-6.75408741				initial_du_lp	initial_du_lp
DU078LP011	cpDNA	-3.35304514	2.36130095				initial_du_lp	initial_du_lp
DU079LP010	cpDNA	-3.35304514	2.36130095				initial_du_lp	initial_du_lp
ABAB_MAD_LP_222_Du-589	cpDNA	0.42428641	0.09976509	D. abramsii ssp. abramsii	ABAB_MAD	Madonna Inn	main_standard	D. abramsii ssp. abramsii_ABAB_MAD
ABAB_MAD_LP_223_Du-590	cpDNA	8.44647418	-2.08782836	D. abramsii ssp. abramsii	ABAB_MAD	Madonna Inn	main_standard	D. abramsii ssp. abramsii_ABAB_MAD
ABAB_MAD_LP_322_Du-593	cpDNA	8.40957563	-2.08981841	D. abramsii ssp. abramsii	ABAB_MAD	Madonna Inn	main_standard	D. abramsii ssp. abramsii_ABAB_MAD
ABAB_MAD_LP_323_Du-594	cpDNA	8.41396615	-2.08166596	D. abramsii ssp. abramsii	ABAB_MAD	Madonna Inn	main_standard	D. abramsii ssp. abramsii_ABAB_MAD
ABAB_MAD_LP_324_Du-595	cpDNA	8.41876682	-2.08615939	D. abramsii ssp. abramsii	ABAB_MAD	Madonna Inn	main_standard	D. abramsii ssp. abramsii_ABAB_MAD
ABAB_MAD_LP_325_Du-596	cpDNA	8.36162094	-2.06039868	D. abramsii ssp. abramsii	ABAB_MAD	Madonna Inn	main_standard	D. abramsii ssp. abramsii_ABAB_MAD
ABAB_MAD_LP_326_Du-597	cpDNA	8.43375867	-1.99356451	D. abramsii ssp. abramsii	ABAB_MAD	Madonna Inn	main_standard	D. abramsii ssp. abramsii_ABAB_MAD
ABAB_MAD_LP_327_Du-598	cpDNA	8.43952032	-1.99706730	D. abramsii ssp. abramsii	ABAB_MAD	Madonna Inn	main_standard	D. abramsii ssp. abramsii_ABAB_MAD
ABBE_BERN_LP_311_Du-780	cpDNA	16.44956943	1.25788894	D. abramsii ssp. bettinae	ABBE_BERN	San Bernardino Creek Road	main_standard	D. abramsii ssp. bettinae_ABBE_BERN
ABBE_BERN_LP_312_Du-781	cpDNA	16.27881816	1.23587589	D. abramsii ssp. bettinae	ABBE_BERN	San Bernardino Creek Road	main_standard	D. abramsii ssp. bettinae_ABBE_BERN
ABBE_BERN_LP_313_Du-782	cpDNA	16.34200065	1.25725300	D. abramsii ssp. bettinae	ABBE_BERN	San Bernardino Creek Road	main_standard	D. abramsii ssp. bettinae_ABBE_BERN
ABBE_BERN_LP_314_Du-783	cpDNA	16.15134818	1.22046525	D. abramsii ssp. bettinae	ABBE_BERN	San Bernardino Creek Road	main_standard	D. abramsii ssp. bettinae_ABBE_BERN
ABMU_HOR_LP_306_Du-775	cpDNA	8.39100420	-2.10583532	D. abramsii ssp. murina	ABMU_HOR	Horse Canyon (SLO)	main_standard	D. abramsii ssp. murina_ABMU_HOR
ABMU_HOR_LP_308_Du-777	cpDNA	8.36962094	-2.12640548	D. abramsii ssp. murina	ABMU_HOR	Horse Canyon (SLO)	main_standard	D. abramsii ssp. murina_ABMU_HOR
ABMU_HOR_LP_358_Du-770	cpDNA	8.46275378	-2.07392841	D. abramsii ssp. murina	ABMU_HOR	Horse Canyon (SLO)	main_standard	D. abramsii ssp. murina_ABMU_HOR
ABMU_HOR_LP_359_Du-771	cpDNA	8.39949595	-2.10957496	D. abramsii ssp. murina	ABMU_HOR	Horse Canyon (SLO)	main_standard	D. abramsii ssp. murina_ABMU_HOR
ABMU_HOR_LP_360_Du-772	cpDNA	8.40415544	-2.11417620	D. abramsii ssp. murina	ABMU_HOR	Horse Canyon (SLO)	main_standard	D. abramsii ssp. murina_ABMU_HOR
ABMU_HOR_LP_361_Du-773	cpDNA	8.40070211	-2.11039522	D. abramsii ssp. murina	ABMU_HOR	Horse Canyon (SLO)	main_standard	D. abramsii ssp. murina_ABMU_HOR
BAI_LP_105_Du-222	cpDNA	-2.26700862	-1.34012018	D. setchellii	BAI	Baird Ridgeline	main_standard	D. setchellii_BAI
BAI_LP_106_Du-223	cpDNA	-2.24402504	-1.25571182	D. setchellii	BAI	Baird Ridgeline	main_standard	D. setchellii_BAI
BAI_LP_108_Du-225	cpDNA	-2.24886848	-1.30023288	D. setchellii	BAI	Baird Ridgeline	main_standard	D. setchellii_BAI
BAI_LP_109_Du-226	cpDNA	-2.22438301	-1.32149729	D. setchellii	BAI	Baird Ridgeline	main_standard	D. setchellii_BAI
BAI_LP_110_Du-227	cpDNA	-2.26847444	-1.33543604	D. setchellii	BAI	Baird Ridgeline	main_standard	D. setchellii_BAI
BAI_LP_111_Du-228	cpDNA	-2.26081956	-1.30543959	D. setchellii	BAI	Baird Ridgeline	main_standard	D. setchellii_BAI
BAI_LP_112_Du-230	cpDNA	-2.25540943	-1.30994317	D. setchellii	BAI	Baird Ridgeline	main_standard	D. setchellii_BAI
BAI_LP_113_Du-231	cpDNA	-2.21071847	-1.31935232	D. setchellii	BAI	Baird Ridgeline	main_standard	D. setchellii_BAI
BAI_LP_114_Du-232	cpDNA	-2.24698419	-1.29777948	D. setchellii	BAI	Baird Ridgeline	main_standard	D. setchellii_BAI
BAI_LP_319_Du-233	cpDNA	-2.24688042	-1.29772777	D. setchellii	BAI	Baird Ridgeline	main_standard	D. setchellii_BAI
COM_LP_269_Du-703	cpDNA	-3.30677038	2.27708241	D. setchellii	COM	Communication Hill	main_standard	D. setchellii_COM
COM_LP_270_Du-704	cpDNA	-3.31215796	2.28701893	D. setchellii	COM	Communication Hill	main_standard	D. setchellii_COM
COM_LP_272_Du-707	cpDNA	-3.30735729	2.28252549	D. setchellii	COM	Communication Hill	main_standard	D. setchellii_COM
COM_LP_274_Du-709	cpDNA	-3.28097281	2.19580576	D. setchellii	COM	Communication Hill	main_standard	D. setchellii_COM
COM_LP_276_Du-711	cpDNA	-3.30735729	2.28252549	D. setchellii	COM	Communication Hill	main_standard	D. setchellii_COM
COM_LP_277_Du-712	cpDNA	-3.30735729	2.28252549	D. setchellii	COM	Communication Hill	main_standard	D. setchellii_COM
COM_LP_341_Du-713	cpDNA	-3.31269137	2.28751820	D. setchellii	COM	Communication Hill	main_standard	D. setchellii_COM
COM_LP_342_Du-714	cpDNA	-3.31269137	2.28751820	D. setchellii	COM	Communication Hill	main_standard	D. setchellii_COM
