sample_id	organelle	pc1	pc2	species	popcode	population_name	naming_profile	plot_group
DU-173	mtDNA	0.66485176	1.87306976				initial_du_dash	initial_du_dash
DU-229	mtDNA	0.58361773	0.16509655				initial_du_dash	initial_du_dash
DU-247	mtDNA	0.94247981	-0.89536783				initial_du_dash	initial_du_dash
DU-254	mtDNA	0.94247981	-0.89536783				initial_du_dash	initial_du_dash
DU-270	mtDNA	0.66005550	1.68327050				initial_du_dash	initial_du_dash
DU-297	mtDNA	0.94247981	-0.89536783				initial_du_dash	initial_du_dash
DU-443	mtDNA	-4.69231813	0.26042010				initial_du_dash	initial_du_dash
DU-4A	mtDNA	0.76689829	-1.32829849				initial_du_dash	initial_du_dash
DU014LP012	mtDNA	0.28639204	0.56501966				initial_du_lp	initial_du_lp
DU037LP013	mtDNA	0.28639204	0.56501966				initial_du_lp	initial_du_lp
DU059LP015	mtDNA	0.65058157	1.61752662				initial_du_lp	initial_du_lp
DU078LP011	mtDNA	0.77650321	-1.04253497				initial_du_lp	initial_du_lp
DU079LP010	mtDNA	0.82289508	-1.00861662				initial_du_lp	initial_du_lp
ABAB_MAD_LP_222_Du-589	mtDNA	0.05788077	0.00353443	D. abramsii ssp. abramsii	ABAB_MAD	Madonna Inn	main_standard	D. abramsii ssp. abramsii_ABAB_MAD
ABAB_MAD_LP_223_Du-590	mtDNA	-1.10876133	0.79732980	D. abramsii ssp. abramsii	ABAB_MAD	Madonna Inn	main_standard	D. abramsii ssp. abramsii_ABAB_MAD
ABAB_MAD_LP_322_Du-593	mtDNA	-1.15253225	0.95222798	D. abramsii ssp. abramsii	ABAB_MAD	Madonna Inn	main_standard	D. abramsii ssp. abramsii_ABAB_MAD
ABAB_MAD_LP_323_Du-594	mtDNA	-1.14121866	0.92812722	D. abramsii ssp. abramsii	ABAB_MAD	Madonna Inn	main_standard	D. abramsii ssp. abramsii_ABAB_MAD
ABAB_MAD_LP_324_Du-595	mtDNA	-1.15540738	0.95813460	D. abramsii ssp. abramsii	ABAB_MAD	Madonna Inn	main_standard	D. abramsii ssp. abramsii_ABAB_MAD
ABAB_MAD_LP_325_Du-596	mtDNA	-1.03835682	0.84744070	D. abramsii ssp. abramsii	ABAB_MAD	Madonna Inn	main_standard	D. abramsii ssp. abramsii_ABAB_MAD
ABAB_MAD_LP_326_Du-597	mtDNA	-1.07804581	0.92707990	D. abramsii ssp. abramsii	ABAB_MAD	Madonna Inn	main_standard	D. abramsii ssp. abramsii_ABAB_MAD
ABAB_MAD_LP_327_Du-598	mtDNA	-1.11405963	0.80901626	D. abramsii ssp. abramsii	ABAB_MAD	Madonna Inn	main_standard	D. abramsii ssp. abramsii_ABAB_MAD
ABBE_BERN_LP_311_Du-780	mtDNA	-3.96247950	0.07198300	D. abramsii ssp. bettinae	ABBE_BERN	San Bernardino Creek Road	main_standard	D. abramsii ssp. bettinae_ABBE_BERN
ABBE_BERN_LP_312_Du-781	mtDNA	-3.88799307	0.04683491	D. abramsii ssp. bettinae	ABBE_BERN	San Bernardino Creek Road	main_standard	D. abramsii ssp. bettinae_ABBE_BERN
ABBE_BERN_LP_313_Du-782	mtDNA	-3.96245906	0.07208368	D. abramsii ssp. bettinae	ABBE_BERN	San Bernardino Creek Road	main_standard	D. abramsii ssp. bettinae_ABBE_BERN
ABBE_BERN_LP_314_Du-783	mtDNA	-3.96247950	0.07198300	D. abramsii ssp. bettinae	ABBE_BERN	San Bernardino Creek Road	main_standard	D. abramsii ssp. bettinae_ABBE_BERN
ABMU_HOR_LP_306_Du-775	mtDNA	-0.97195921	0.95910379	D. abramsii ssp. murina	ABMU_HOR	Horse Canyon (SLO)	main_standard	D. abramsii ssp. murina_ABMU_HOR
ABMU_HOR_LP_308_Du-777	mtDNA	-0.97730374	0.97044929	D. abramsii ssp. murina	ABMU_HOR	Horse Canyon (SLO)	main_standard	D. abramsii ssp. murina_ABMU_HOR
ABMU_HOR_LP_358_Du-770	mtDNA	-1.03191699	0.83552527	D. abramsii ssp. murina	ABMU_HOR	Horse Canyon (SLO)	main_standard	D. abramsii ssp. murina_ABMU_HOR
ABMU_HOR_LP_359_Du-771	mtDNA	-1.04644565	0.98425187	D. abramsii ssp. murina	ABMU_HOR	Horse Canyon (SLO)	main_standard	D. abramsii ssp. murina_ABMU_HOR
ABMU_HOR_LP_360_Du-772	mtDNA	-1.05179017	0.99559737	D. abramsii ssp. murina	ABMU_HOR	Horse Canyon (SLO)	main_standard	D. abramsii ssp. murina_ABMU_HOR
ABMU_HOR_LP_361_Du-773	mtDNA	-0.97195921	0.95910379	D. abramsii ssp. murina	ABMU_HOR	Horse Canyon (SLO)	main_standard	D. abramsii ssp. murina_ABMU_HOR
BAI_LP_105_Du-222	mtDNA	0.58466167	0.16776313	D. setchellii	BAI	Baird Ridgeline	main_standard	D. setchellii_BAI
BAI_LP_106_Du-223	mtDNA	0.58361773	0.16509655	D. setchellii	BAI	Baird Ridgeline	main_standard	D. setchellii_BAI
BAI_LP_108_Du-225	mtDNA	0.58466167	0.16776313	D. setchellii	BAI	Baird Ridgeline	main_standard	D. setchellii_BAI
BAI_LP_109_Du-226	mtDNA	0.58067259	0.16299417	D. setchellii	BAI	Baird Ridgeline	main_standard	D. setchellii_BAI
BAI_LP_110_Du-227	mtDNA	0.58361773	0.16509655	D. setchellii	BAI	Baird Ridgeline	main_standard	D. setchellii_BAI
BAI_LP_111_Du-228	mtDNA	0.58361773	0.16509655	D. setchellii	BAI	Baird Ridgeline	main_standard	D. setchellii_BAI
BAI_LP_112_Du-230	mtDNA	0.58466167	0.16776313	D. setchellii	BAI	Baird Ridgeline	main_standard	D. setchellii_BAI
BAI_LP_113_Du-231	mtDNA	0.58067259	0.16299417	D. setchellii	BAI	Baird Ridgeline	main_standard	D. setchellii_BAI
BAI_LP_114_Du-232	mtDNA	0.58466167	0.16776313	D. setchellii	BAI	Baird Ridgeline	main_standard	D. setchellii_BAI
BAI_LP_319_Du-233	mtDNA	0.58466167	0.16776313	D. setchellii	BAI	Baird Ridgeline	main_standard	D. setchellii_BAI
COM_LP_269_Du-703	mtDNA	0.72499445	-1.22518905	D. setchellii	COM	Communication Hill	main_standard	D. setchellii_COM
COM_LP_270_Du-704	mtDNA	0.71664831	-1.17904264	D. setchellii	COM	Communication Hill	main_standard	D. setchellii_COM
COM_LP_272_Du-707	mtDNA	0.71664831	-1.17904264	D. setchellii	COM	Communication Hill	main_standard	D. setchellii_COM
COM_LP_274_Du-709	mtDNA	0.69680663	-1.19130370	D. setchellii	COM	Communication Hill	main_standard	D. setchellii_COM
COM_LP_276_Du-711	mtDNA	0.71664831	-1.17904264	D. setchellii	COM	Communication Hill	main_standard	D. setchellii_COM
COM_LP_277_Du-712	mtDNA	0.69680663	-1.19130370	D. setchellii	COM	Communication Hill	main_standard	D. setchellii_COM
COM_LP_341_Du-713	mtDNA	0.71664831	-1.17904264	D. setchellii	COM	Communication Hill	main_standard	D. setchellii_COM
COM_LP_342_Du-714	mtDNA	0.71664831	-1.17904264	D. setchellii	COM	Communication Hill	main_standard	D. setchellii_COM
COM_LP_343_Du-715	mtDNA	0.69680663	-1.19130370	D. setchellii	COM	Communication Hill	main_standard	D. setchellii_COM
CROB_LP_169_Du-381	mtDNA	0.76980587	-1.34095383	D. setchellii	CROB	Crosp Bench	main_standard	D. setchellii_CROB
CROB_LP_170_Du-382	mtDNA	0.76980587	-1.34095383	D. setchellii	CROB	Crosp Bench	main_standard	D. setchellii_CROB
CROB_LP_172_Du-384	mtDNA	0.93453261	-1.18739067	D. setchellii	CROB	Crosp Bench	main_standard	D. setchellii_CROB
CROB_LP_173_Du-385	mtDNA	0.76980587	-1.34095383	D. setchellii	CROB	Crosp Bench	main_standard	D. setchellii_CROB
CROB_LP_174_Du-386	mtDNA	0.76980587	-1.34095383	D. setchellii	CROB	Crosp Bench	main_standard	D. setchellii_CROB
CROB_LP_175_Du-387	mtDNA	0.76980587	-1.34095383	D. setchellii	CROB	Crosp Bench	main_standard	D. setchellii_CROB
CROB_LP_176_Du-388	mtDNA	0.76980587	-1.34095383	D. setchellii	CROB	Crosp Bench	main_standard	D. setchellii_CROB
CROB_LP_177_Du-389	mtDNA	0.76980587	-1.34095383	D. setchellii	CROB	Crosp Bench	main_standard	D. setchellii_CROB
CROB_LP_320_Du-395	mtDNA	0.76980587	-1.34095383	D. setchellii	CROB	Crosp Bench	main_standard	D. setchellii_CROB
CROB_LP_321_Du-396	mtDNA	0.76980587	-1.34095383	D. setchellii	CROB	Crosp Bench	main_standard	D. setchellii_CROB
CROS_LP_085_Du-181	mtDNA	0.76689829	-1.32829849	D. setchellii	CROS	Crosp South End	main_standard	D. setchellii_CROS
CROS_LP_086_Du-182	mtDNA	0.76689829	-1.32829849	D. setchellii	CROS	Crosp South End	main_standard	D. setchellii_CROS
CROS_LP_087_Du-183	mtDNA	0.76689829	-1.32829849	D. setchellii	CROS	Crosp South End	main_standard	D. setchellii_CROS
CROS_LP_088_Du-184	mtDNA	0.76689829	-1.32829849	D. setchellii	CROS	Crosp South End	main_standard	D. setchellii_CROS
CROS_LP_089_Du-185	mtDNA	0.76114890	-1.30369025	D. setchellii	CROS	Crosp South End	main_standard	D. setchellii_CROS
CROS_LP_090_Du-186	mtDNA	0.76689829	-1.32829849	D. setchellii	CROS	Crosp South End	main_standard	D. setchellii_CROS
CROS_LP_091_Du-187	mtDNA	0.95804532	-0.93275162	D. setchellii	CROS	Crosp South End	main_standard	D. setchellii_CROS
CROS_LP_092_Du-188	mtDNA	0.96165504	-0.94158271	D. setchellii	CROS	Crosp South End	main_standard	D. setchellii_CROS
