sample_id	organelle	best_k	species	popcode	population_name	plot_group	cluster_1	cluster_2	cluster_3	cluster_4	cluster_5	cluster_6	cluster_7	cluster_8
ABAB_MAD_LP_222_Du-589	mtDNA	8	D. abramsii ssp. abramsii	ABAB_MAD	Madonna Inn	D. abramsii ssp. abramsii_ABAB_MAD	0.00508100	0.34628700	0.09207000	0.02461000	0.04689600	0.00331200	0.00579500	0.47594900
ABAB_MAD_LP_223_Du-590	mtDNA	8	D. abramsii ssp. abramsii	ABAB_MAD	Madonna Inn	D. abramsii ssp. abramsii_ABAB_MAD	0.00001000	0.00001000	0.00001000	0.99993000	0.00001000	0.00001000	0.00001000	0.00001000
ABAB_MAD_LP_322_Du-593	mtDNA	8	D. abramsii ssp. abramsii	ABAB_MAD	Madonna Inn	D. abramsii ssp. abramsii_ABAB_MAD	0.00001000	0.00001000	0.00001000	0.99993000	0.00001000	0.00001000	0.00001000	0.00001000
ABAB_MAD_LP_323_Du-594	mtDNA	8	D. abramsii ssp. abramsii	ABAB_MAD	Madonna Inn	D. abramsii ssp. abramsii_ABAB_MAD	0.00001000	0.00001000	0.00001000	0.99993000	0.00001000	0.00001000	0.00001000	0.00001000
ABAB_MAD_LP_324_Du-595	mtDNA	8	D. abramsii ssp. abramsii	ABAB_MAD	Madonna Inn	D. abramsii ssp. abramsii_ABAB_MAD	0.00001000	0.00001000	0.00001000	0.99993000	0.00001000	0.00001000	0.00001000	0.00001000
ABAB_MAD_LP_325_Du-596	mtDNA	8	D. abramsii ssp. abramsii	ABAB_MAD	Madonna Inn	D. abramsii ssp. abramsii_ABAB_MAD	0.00001000	0.00001000	0.00001000	0.99993000	0.00001000	0.00001000	0.00001000	0.00001000
ABAB_MAD_LP_326_Du-597	mtDNA	8	D. abramsii ssp. abramsii	ABAB_MAD	Madonna Inn	D. abramsii ssp. abramsii_ABAB_MAD	0.00001000	0.00001000	0.00001000	0.99993000	0.00001000	0.00001000	0.00001000	0.00001000
ABAB_MAD_LP_327_Du-598	mtDNA	8	D. abramsii ssp. abramsii	ABAB_MAD	Madonna Inn	D. abramsii ssp. abramsii_ABAB_MAD	0.00001000	0.00001000	0.00001000	0.99993000	0.00001000	0.00001000	0.00001000	0.00001000
ABBE_BERN_LP_311_Du-780	mtDNA	8	D. abramsii ssp. bettinae	ABBE_BERN	San Bernardino Creek Road	D. abramsii ssp. bettinae_ABBE_BERN	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000	0.99993000	0.00001000	0.00001000
ABBE_BERN_LP_312_Du-781	mtDNA	8	D. abramsii ssp. bettinae	ABBE_BERN	San Bernardino Creek Road	D. abramsii ssp. bettinae_ABBE_BERN	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000	0.99993000	0.00001000	0.00001000
ABBE_BERN_LP_313_Du-782	mtDNA	8	D. abramsii ssp. bettinae	ABBE_BERN	San Bernardino Creek Road	D. abramsii ssp. bettinae_ABBE_BERN	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000	0.99993000	0.00001000	0.00001000
ABBE_BERN_LP_314_Du-783	mtDNA	8	D. abramsii ssp. bettinae	ABBE_BERN	San Bernardino Creek Road	D. abramsii ssp. bettinae_ABBE_BERN	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000	0.99993000	0.00001000	0.00001000
ABMU_HOR_LP_306_Du-775	mtDNA	8	D. abramsii ssp. murina	ABMU_HOR	Horse Canyon (SLO)	D. abramsii ssp. murina_ABMU_HOR	0.00001000	0.00001000	0.00001000	0.99993000	0.00001000	0.00001000	0.00001000	0.00001000
ABMU_HOR_LP_308_Du-777	mtDNA	8	D. abramsii ssp. murina	ABMU_HOR	Horse Canyon (SLO)	D. abramsii ssp. murina_ABMU_HOR	0.00001000	0.00001000	0.00001000	0.99993000	0.00001000	0.00001000	0.00001000	0.00001000
ABMU_HOR_LP_358_Du-770	mtDNA	8	D. abramsii ssp. murina	ABMU_HOR	Horse Canyon (SLO)	D. abramsii ssp. murina_ABMU_HOR	0.00001000	0.00001000	0.00001000	0.99993000	0.00001000	0.00001000	0.00001000	0.00001000
