organelle	track_id	k	replicate	cv_error	is_best_k	is_best_mean_k	mean_cv_error	sd_cv_error	replicate_count	excluded_sample_count	q_path	p_path	log_path	best_q_table_path	structure_png_path	structure_pdf_path	structure_svg_path	cv_plot_path	plink_command	command
cpDNA	cpdna_population_sites	1	1	0.48327000	no	no	0.48327000	0.00000000	1	0	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/16_admixture/cpDNA.primary.pseudo_diploid.1.rep1.Q	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/16_admixture/cpDNA.primary.pseudo_diploid.1.rep1.P	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/16_admixture/cpDNA.K1.rep1.admixture.log					/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/16_admixture/cpDNA.primary.admixture_cv.png	/home/neil/Downloads/dudleya/Dudleya_S_genomes/.tools/bioconda-env/bin/plink --file cpDNA.primary.pseudo_diploid --make-bed --out cpDNA.primary.pseudo_diploid	/home/neil/Downloads/dudleya/Dudleya_S_genomes/.tools/bioconda-env/bin/admixture --cv --seed=20260707 -j16 cpDNA.primary.pseudo_diploid.bed 1
cpDNA	cpdna_population_sites	2	1	0.28453000	no	no	0.28453000	0.00000000	1	0	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/16_admixture/cpDNA.primary.pseudo_diploid.2.rep1.Q	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/16_admixture/cpDNA.primary.pseudo_diploid.2.rep1.P	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/16_admixture/cpDNA.K2.rep1.admixture.log					/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/16_admixture/cpDNA.primary.admixture_cv.png	/home/neil/Downloads/dudleya/Dudleya_S_genomes/.tools/bioconda-env/bin/plink --file cpDNA.primary.pseudo_diploid --make-bed --out cpDNA.primary.pseudo_diploid	/home/neil/Downloads/dudleya/Dudleya_S_genomes/.tools/bioconda-env/bin/admixture --cv --seed=20260707 -j16 cpDNA.primary.pseudo_diploid.bed 2
cpDNA	cpdna_population_sites	3	1	0.22632000	no	no	0.22632000	0.00000000	1	0	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/16_admixture/cpDNA.primary.pseudo_diploid.3.rep1.Q	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/16_admixture/cpDNA.primary.pseudo_diploid.3.rep1.P	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/16_admixture/cpDNA.K3.rep1.admixture.log					/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/16_admixture/cpDNA.primary.admixture_cv.png	/home/neil/Downloads/dudleya/Dudleya_S_genomes/.tools/bioconda-env/bin/plink --file cpDNA.primary.pseudo_diploid --make-bed --out cpDNA.primary.pseudo_diploid	/home/neil/Downloads/dudleya/Dudleya_S_genomes/.tools/bioconda-env/bin/admixture --cv --seed=20260707 -j16 cpDNA.primary.pseudo_diploid.bed 3
cpDNA	cpdna_population_sites	4	1	0.18503000	no	no	0.18503000	0.00000000	1	0	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/16_admixture/cpDNA.primary.pseudo_diploid.4.rep1.Q	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/16_admixture/cpDNA.primary.pseudo_diploid.4.rep1.P	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/16_admixture/cpDNA.K4.rep1.admixture.log					/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/16_admixture/cpDNA.primary.admixture_cv.png	/home/neil/Downloads/dudleya/Dudleya_S_genomes/.tools/bioconda-env/bin/plink --file cpDNA.primary.pseudo_diploid --make-bed --out cpDNA.primary.pseudo_diploid	/home/neil/Downloads/dudleya/Dudleya_S_genomes/.tools/bioconda-env/bin/admixture --cv --seed=20260707 -j16 cpDNA.primary.pseudo_diploid.bed 4
cpDNA	cpdna_population_sites	5	1	0.14261000	no	no	0.14261000	0.00000000	1	0	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/16_admixture/cpDNA.primary.pseudo_diploid.5.rep1.Q	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/16_admixture/cpDNA.primary.pseudo_diploid.5.rep1.P	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/16_admixture/cpDNA.K5.rep1.admixture.log					/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/16_admixture/cpDNA.primary.admixture_cv.png	/home/neil/Downloads/dudleya/Dudleya_S_genomes/.tools/bioconda-env/bin/plink --file cpDNA.primary.pseudo_diploid --make-bed --out cpDNA.primary.pseudo_diploid	/home/neil/Downloads/dudleya/Dudleya_S_genomes/.tools/bioconda-env/bin/admixture --cv --seed=20260707 -j16 cpDNA.primary.pseudo_diploid.bed 5
cpDNA	cpdna_population_sites	6	1	0.13212000	no	no	0.13212000	0.00000000	1	0	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/16_admixture/cpDNA.primary.pseudo_diploid.6.rep1.Q	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/16_admixture/cpDNA.primary.pseudo_diploid.6.rep1.P	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/16_admixture/cpDNA.K6.rep1.admixture.log					/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/16_admixture/cpDNA.primary.admixture_cv.png	/home/neil/Downloads/dudleya/Dudleya_S_genomes/.tools/bioconda-env/bin/plink --file cpDNA.primary.pseudo_diploid --make-bed --out cpDNA.primary.pseudo_diploid	/home/neil/Downloads/dudleya/Dudleya_S_genomes/.tools/bioconda-env/bin/admixture --cv --seed=20260707 -j16 cpDNA.primary.pseudo_diploid.bed 6
cpDNA	cpdna_population_sites	7	1	0.10782000	no	no	0.10782000	0.00000000	1	0	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/16_admixture/cpDNA.primary.pseudo_diploid.7.rep1.Q	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/16_admixture/cpDNA.primary.pseudo_diploid.7.rep1.P	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/16_admixture/cpDNA.K7.rep1.admixture.log					/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/16_admixture/cpDNA.primary.admixture_cv.png	/home/neil/Downloads/dudleya/Dudleya_S_genomes/.tools/bioconda-env/bin/plink --file cpDNA.primary.pseudo_diploid --make-bed --out cpDNA.primary.pseudo_diploid	/home/neil/Downloads/dudleya/Dudleya_S_genomes/.tools/bioconda-env/bin/admixture --cv --seed=20260707 -j16 cpDNA.primary.pseudo_diploid.bed 7
cpDNA	cpdna_population_sites	8	1	0.07502000	yes	yes	0.07502000	0.00000000	1	0	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/16_admixture/cpDNA.primary.pseudo_diploid.8.rep1.Q	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/16_admixture/cpDNA.primary.pseudo_diploid.8.rep1.P	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/16_admixture/cpDNA.K8.rep1.admixture.log	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/16_admixture/cpDNA.primary.bestK8.q.tsv	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/16_admixture/cpDNA.primary.bestK8.structure.png	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/16_admixture/cpDNA.primary.bestK8.structure.pdf	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/16_admixture/cpDNA.primary.bestK8.structure.svg	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/16_admixture/cpDNA.primary.admixture_cv.png	/home/neil/Downloads/dudleya/Dudleya_S_genomes/.tools/bioconda-env/bin/plink --file cpDNA.primary.pseudo_diploid --make-bed --out cpDNA.primary.pseudo_diploid	/home/neil/Downloads/dudleya/Dudleya_S_genomes/.tools/bioconda-env/bin/admixture --cv --seed=20260707 -j16 cpDNA.primary.pseudo_diploid.bed 8
mtDNA	mtdna_high_confidence_unique	1	1	0.44182000	no	no	0.44182000	0.00000000	1	1	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/16_admixture/mtDNA.primary.pseudo_diploid.1.rep1.Q	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/16_admixture/mtDNA.primary.pseudo_diploid.1.rep1.P	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/16_admixture/mtDNA.K1.rep1.admixture.log					/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/16_admixture/mtDNA.primary.admixture_cv.png	/home/neil/Downloads/dudleya/Dudleya_S_genomes/.tools/bioconda-env/bin/plink --file mtDNA.primary.pseudo_diploid --make-bed --out mtDNA.primary.pseudo_diploid	/home/neil/Downloads/dudleya/Dudleya_S_genomes/.tools/bioconda-env/bin/admixture --cv --seed=20260707 -j16 mtDNA.primary.pseudo_diploid.bed 1
mtDNA	mtdna_high_confidence_unique	2	1	0.27529000	no	no	0.27529000	0.00000000	1	1	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/16_admixture/mtDNA.primary.pseudo_diploid.2.rep1.Q	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/16_admixture/mtDNA.primary.pseudo_diploid.2.rep1.P	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/16_admixture/mtDNA.K2.rep1.admixture.log					/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/16_admixture/mtDNA.primary.admixture_cv.png	/home/neil/Downloads/dudleya/Dudleya_S_genomes/.tools/bioconda-env/bin/plink --file mtDNA.primary.pseudo_diploid --make-bed --out mtDNA.primary.pseudo_diploid	/home/neil/Downloads/dudleya/Dudleya_S_genomes/.tools/bioconda-env/bin/admixture --cv --seed=20260707 -j16 mtDNA.primary.pseudo_diploid.bed 2
