organelle	population_1	population_2	n_population_1	n_population_2	informative_sites	fst
cpDNA	ABAB_MAD	ABBE_BERN	8	4	578	0.93239405
cpDNA	ABAB_MAD	ABMU_HOR	8	6	110	0.59625460
cpDNA	ABAB_MAD	BAI	8	10	535	0.91201505
cpDNA	ABAB_MAD	COM	8	9	498	0.95659833
cpDNA	ABAB_MAD	CROB	8	10	501	0.95296060
cpDNA	ABAB_MAD	CROS	8	10	519	0.92438130
cpDNA	ABAB_MAD	CY_ALA	8	3	456	0.94373100
cpDNA	ABAB_MAD	CY_BAL	8	3	577	0.95141345
cpDNA	ABAB_MAD	CY_BGL	8	2	557	0.94639065
cpDNA	ABAB_MAD	CY_BOU	8	5	469	0.95031241
cpDNA	ABAB_MAD	CY_CAS	8	5	723	0.65856449
cpDNA	ABAB_MAD	CY_HICN	8	5	654	0.95793918
cpDNA	ABAB_MAD	CY_HICS	8	5	467	0.94610713
cpDNA	ABAB_MAD	CY_HUN	8	5	663	0.96575166
cpDNA	ABAB_MAD	CY_RED	8	1	102	0.89267467
cpDNA	ABAB_MAD	CY_SIE	8	4	856	0.60713822
cpDNA	ABAB_MAD	CY_WOO	8	5	471	0.94122586
cpDNA	ABAB_MAD	DAN	8	5	508	0.95302945
cpDNA	ABAB_MAD	DOV	8	7	501	0.95181362
cpDNA	ABAB_MAD	DUD	8	8	524	0.93655648
cpDNA	ABAB_MAD	KIRN	8	9	499	0.95405324
cpDNA	ABAB_MAD	KIRT	8	10	495	0.95708344
cpDNA	ABAB_MAD	MALV	8	10	498	0.95680614
cpDNA	ABAB_MAD	OCO	8	10	702	0.94180164
cpDNA	ABAB_MAD	QUI1	8	9	462	0.95191664
cpDNA	ABAB_MAD	QUI2	8	10	506	0.95638601
cpDNA	ABAB_MAD	QUIN	8	10	505	0.95803819
cpDNA	ABAB_MAD	RIC	8	10	497	0.92739086
cpDNA	ABAB_MAD	RSV	8	9	504	0.95183244
cpDNA	ABAB_MAD	SILG	8	10	511	0.93127931
cpDNA	ABAB_MAD	SILR	8	6	508	0.94705707
cpDNA	ABAB_MAD	STI	8	16	515	0.93872159
cpDNA	ABAB_MAD	TIL	8	9	538	0.91916393
cpDNA	ABAB_MAD	TULP	8	17	535	0.93006168
cpDNA	ABBE_BERN	ABMU_HOR	4	6	559	0.95011037
