sample_id	organelle	best_k	species	popcode	population_name	plot_group	cluster_1	cluster_2	cluster_3	cluster_4	cluster_5	cluster_6	cluster_7	cluster_8
ABAB_MAD_LP_222_Du-589	cpDNA	8	D. abramsii ssp. abramsii	ABAB_MAD	Madonna Inn	D. abramsii ssp. abramsii_ABAB_MAD	0.73307000	0.00001000	0.26687000	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000
ABAB_MAD_LP_223_Du-590	cpDNA	8	D. abramsii ssp. abramsii	ABAB_MAD	Madonna Inn	D. abramsii ssp. abramsii_ABAB_MAD	0.99992900	0.00001000	0.00001000	0.00001000	0.00001000	0.00001100	0.00001000	0.00001000
ABAB_MAD_LP_322_Du-593	cpDNA	8	D. abramsii ssp. abramsii	ABAB_MAD	Madonna Inn	D. abramsii ssp. abramsii_ABAB_MAD	0.99992800	0.00001000	0.00001000	0.00001000	0.00001000	0.00001200	0.00001000	0.00001000
ABAB_MAD_LP_323_Du-594	cpDNA	8	D. abramsii ssp. abramsii	ABAB_MAD	Madonna Inn	D. abramsii ssp. abramsii_ABAB_MAD	0.99993000	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000
ABAB_MAD_LP_324_Du-595	cpDNA	8	D. abramsii ssp. abramsii	ABAB_MAD	Madonna Inn	D. abramsii ssp. abramsii_ABAB_MAD	0.99993000	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000
ABAB_MAD_LP_325_Du-596	cpDNA	8	D. abramsii ssp. abramsii	ABAB_MAD	Madonna Inn	D. abramsii ssp. abramsii_ABAB_MAD	0.99993000	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000
ABAB_MAD_LP_326_Du-597	cpDNA	8	D. abramsii ssp. abramsii	ABAB_MAD	Madonna Inn	D. abramsii ssp. abramsii_ABAB_MAD	0.99993000	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000
ABAB_MAD_LP_327_Du-598	cpDNA	8	D. abramsii ssp. abramsii	ABAB_MAD	Madonna Inn	D. abramsii ssp. abramsii_ABAB_MAD	0.99993000	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000
ABBE_BERN_LP_311_Du-780	cpDNA	8	D. abramsii ssp. bettinae	ABBE_BERN	San Bernardino Creek Road	D. abramsii ssp. bettinae_ABBE_BERN	0.00001000	0.99993000	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000
ABBE_BERN_LP_312_Du-781	cpDNA	8	D. abramsii ssp. bettinae	ABBE_BERN	San Bernardino Creek Road	D. abramsii ssp. bettinae_ABBE_BERN	0.00001000	0.99993000	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000
ABBE_BERN_LP_313_Du-782	cpDNA	8	D. abramsii ssp. bettinae	ABBE_BERN	San Bernardino Creek Road	D. abramsii ssp. bettinae_ABBE_BERN	0.00001000	0.99993000	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000
ABBE_BERN_LP_314_Du-783	cpDNA	8	D. abramsii ssp. bettinae	ABBE_BERN	San Bernardino Creek Road	D. abramsii ssp. bettinae_ABBE_BERN	0.00001000	0.99993000	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000
ABMU_HOR_LP_306_Du-775	cpDNA	8	D. abramsii ssp. murina	ABMU_HOR	Horse Canyon (SLO)	D. abramsii ssp. murina_ABMU_HOR	0.99992200	0.00001000	0.00001000	0.00001000	0.00001800	0.00001000	0.00001000	0.00001000
ABMU_HOR_LP_308_Du-777	cpDNA	8	D. abramsii ssp. murina	ABMU_HOR	Horse Canyon (SLO)	D. abramsii ssp. murina_ABMU_HOR	0.99993000	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000
ABMU_HOR_LP_358_Du-770	cpDNA	8	D. abramsii ssp. murina	ABMU_HOR	Horse Canyon (SLO)	D. abramsii ssp. murina_ABMU_HOR	0.99993000	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000
ABMU_HOR_LP_359_Du-771	cpDNA	8	D. abramsii ssp. murina	ABMU_HOR	Horse Canyon (SLO)	D. abramsii ssp. murina_ABMU_HOR	0.99993000	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000
ABMU_HOR_LP_360_Du-772	cpDNA	8	D. abramsii ssp. murina	ABMU_HOR	Horse Canyon (SLO)	D. abramsii ssp. murina_ABMU_HOR	0.99993000	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000
ABMU_HOR_LP_361_Du-773	cpDNA	8	D. abramsii ssp. murina	ABMU_HOR	Horse Canyon (SLO)	D. abramsii ssp. murina_ABMU_HOR	0.99993000	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000
CY_ALA_LP_298-Du-767	cpDNA	8	D. cymosa	CY_ALA	Los Alanitos Dam	D. cymosa_CY_ALA	0.00001000	0.00001000	0.00001000	0.99993000	0.00001000	0.00001000	0.00001000	0.00001000
CY_ALA_LP_299-Du-768	cpDNA	8	D. cymosa	CY_ALA	Los Alanitos Dam	D. cymosa_CY_ALA	0.00001000	0.00001000	0.00001000	0.99993000	0.00001000	0.00001000	0.00001000	0.00001000
CY_ALA_LP_357_Du-769	cpDNA	8	D. cymosa	CY_ALA	Los Alanitos Dam	D. cymosa_CY_ALA	0.00001000	0.00001000	0.00001000	0.99993000	0.00001000	0.00001000	0.00001000	0.00001000
CY_BAL_LP_226_Du-602	cpDNA	8	D. cymosa	CY_BAL	Baldwin Lake	D. cymosa_CY_BAL	0.00001000	0.99993000	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000
CY_BAL_LP_227_Du-603	cpDNA	8	D. cymosa	CY_BAL	Baldwin Lake	D. cymosa_CY_BAL	0.00001000	0.99993000	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000
CY_BAL_LP_228_Du-604	cpDNA	8	D. cymosa	CY_BAL	Baldwin Lake	D. cymosa_CY_BAL	0.00001000	0.99993000	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000
CY_BGL_LP_210_Du-577	cpDNA	8	D. cymosa	CY_BGL	Below Green Lake	D. cymosa_CY_BGL	0.00001200	0.99992800	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000
CY_BGL_LP_212_Du-579	cpDNA	8	D. cymosa	CY_BGL	Below Green Lake	D. cymosa_CY_BGL	0.00001000	0.99993000	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000
CY_BOU_LP_288_Du-737	cpDNA	8	D. cymosa	CY_BOU	Boulder Ridge	D. cymosa_CY_BOU	0.00001000	0.00001000	0.00001000	0.99993000	0.00001000	0.00001000	0.00001000	0.00001000
CY_BOU_LP_290_Du-739	cpDNA	8	D. cymosa	CY_BOU	Boulder Ridge	D. cymosa_CY_BOU	0.00001000	0.00001000	0.00001000	0.99993000	0.00001000	0.00001000	0.00001000	0.00001000
CY_BOU_LP_291_Du-740	cpDNA	8	D. cymosa	CY_BOU	Boulder Ridge	D. cymosa_CY_BOU	0.00001000	0.00001000	0.00001000	0.99993000	0.00001000	0.00001000	0.00001000	0.00001000
CY_BOU_LP_292_Du-741	cpDNA	8	D. cymosa	CY_BOU	Boulder Ridge	D. cymosa_CY_BOU	0.00001000	0.00001000	0.00001000	0.99993000	0.00001000	0.00001000	0.00001000	0.00001000
CY_BOU_LP_354_Du-742	cpDNA	8	D. cymosa	CY_BOU	Boulder Ridge	D. cymosa_CY_BOU	0.00001000	0.00001000	0.00001000	0.99993000	0.00001000	0.00001000	0.00001000	0.00001000
CY_CAS_LP_328_Du-610	cpDNA	8	D. cymosa	CY_CAS	Castle Rock Falls	D. cymosa_CY_CAS	0.00001000	0.28490900	0.00001000	0.00001000	0.00001000	0.00001000	0.71503100	0.00001000
CY_CAS_LP_329_Du-611	cpDNA	8	D. cymosa	CY_CAS	Castle Rock Falls	D. cymosa_CY_CAS	0.00001000	0.00001000	0.00001000	0.99993000	0.00001000	0.00001000	0.00001000	0.00001000
