organelle	track_id	k	replicate	cv_error	is_best_k	is_best_mean_k	mean_cv_error	sd_cv_error	replicate_count	excluded_sample_count	q_path	p_path	log_path	best_q_table_path	structure_png_path	structure_pdf_path	structure_svg_path	cv_plot_path	plink_command	command
cpDNA	cpdna_population_sites	1	1	0.48327000	no	no	0.48286800	0.00038868	5	0	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/18_admixture_replicates/cpDNA.primary.pseudo_diploid.1.rep1.Q	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/18_admixture_replicates/cpDNA.primary.pseudo_diploid.1.rep1.P	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/18_admixture_replicates/cpDNA.K1.rep1.admixture.log					/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/18_admixture_replicates/cpDNA.primary.admixture_cv.png	/home/neil/Downloads/dudleya/Dudleya_S_genomes/.tools/bioconda-env/bin/plink --file cpDNA.primary.pseudo_diploid --make-bed --out cpDNA.primary.pseudo_diploid	/home/neil/Downloads/dudleya/Dudleya_S_genomes/.tools/bioconda-env/bin/admixture --cv --seed=20260707 -j16 cpDNA.primary.pseudo_diploid.bed 1
cpDNA	cpdna_population_sites	1	2	0.48276000	no	no	0.48286800	0.00038868	5	0	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/18_admixture_replicates/cpDNA.primary.pseudo_diploid.1.rep2.Q	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/18_admixture_replicates/cpDNA.primary.pseudo_diploid.1.rep2.P	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/18_admixture_replicates/cpDNA.K1.rep2.admixture.log					/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/18_admixture_replicates/cpDNA.primary.admixture_cv.png	/home/neil/Downloads/dudleya/Dudleya_S_genomes/.tools/bioconda-env/bin/plink --file cpDNA.primary.pseudo_diploid --make-bed --out cpDNA.primary.pseudo_diploid	/home/neil/Downloads/dudleya/Dudleya_S_genomes/.tools/bioconda-env/bin/admixture --cv --seed=20260708 -j16 cpDNA.primary.pseudo_diploid.bed 1
cpDNA	cpdna_population_sites	1	3	0.48287000	no	no	0.48286800	0.00038868	5	0	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/18_admixture_replicates/cpDNA.primary.pseudo_diploid.1.rep3.Q	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/18_admixture_replicates/cpDNA.primary.pseudo_diploid.1.rep3.P	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/18_admixture_replicates/cpDNA.K1.rep3.admixture.log					/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/18_admixture_replicates/cpDNA.primary.admixture_cv.png	/home/neil/Downloads/dudleya/Dudleya_S_genomes/.tools/bioconda-env/bin/plink --file cpDNA.primary.pseudo_diploid --make-bed --out cpDNA.primary.pseudo_diploid	/home/neil/Downloads/dudleya/Dudleya_S_genomes/.tools/bioconda-env/bin/admixture --cv --seed=20260709 -j16 cpDNA.primary.pseudo_diploid.bed 1
cpDNA	cpdna_population_sites	1	4	0.48228000	no	no	0.48286800	0.00038868	5	0	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/18_admixture_replicates/cpDNA.primary.pseudo_diploid.1.rep4.Q	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/18_admixture_replicates/cpDNA.primary.pseudo_diploid.1.rep4.P	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/18_admixture_replicates/cpDNA.K1.rep4.admixture.log					/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/18_admixture_replicates/cpDNA.primary.admixture_cv.png	/home/neil/Downloads/dudleya/Dudleya_S_genomes/.tools/bioconda-env/bin/plink --file cpDNA.primary.pseudo_diploid --make-bed --out cpDNA.primary.pseudo_diploid	/home/neil/Downloads/dudleya/Dudleya_S_genomes/.tools/bioconda-env/bin/admixture --cv --seed=20260710 -j16 cpDNA.primary.pseudo_diploid.bed 1
cpDNA	cpdna_population_sites	1	5	0.48316000	no	no	0.48286800	0.00038868	5	0	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/18_admixture_replicates/cpDNA.primary.pseudo_diploid.1.rep5.Q	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/18_admixture_replicates/cpDNA.primary.pseudo_diploid.1.rep5.P	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/18_admixture_replicates/cpDNA.K1.rep5.admixture.log					/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/18_admixture_replicates/cpDNA.primary.admixture_cv.png	/home/neil/Downloads/dudleya/Dudleya_S_genomes/.tools/bioconda-env/bin/plink --file cpDNA.primary.pseudo_diploid --make-bed --out cpDNA.primary.pseudo_diploid	/home/neil/Downloads/dudleya/Dudleya_S_genomes/.tools/bioconda-env/bin/admixture --cv --seed=20260711 -j16 cpDNA.primary.pseudo_diploid.bed 1
cpDNA	cpdna_population_sites	2	1	0.28453000	no	no	0.28462400	0.00049933	5	0	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/18_admixture_replicates/cpDNA.primary.pseudo_diploid.2.rep1.Q	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/18_admixture_replicates/cpDNA.primary.pseudo_diploid.2.rep1.P	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/18_admixture_replicates/cpDNA.K2.rep1.admixture.log					/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/18_admixture_replicates/cpDNA.primary.admixture_cv.png	/home/neil/Downloads/dudleya/Dudleya_S_genomes/.tools/bioconda-env/bin/plink --file cpDNA.primary.pseudo_diploid --make-bed --out cpDNA.primary.pseudo_diploid	/home/neil/Downloads/dudleya/Dudleya_S_genomes/.tools/bioconda-env/bin/admixture --cv --seed=20260707 -j16 cpDNA.primary.pseudo_diploid.bed 2
cpDNA	cpdna_population_sites	2	2	0.28462000	no	no	0.28462400	0.00049933	5	0	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/18_admixture_replicates/cpDNA.primary.pseudo_diploid.2.rep2.Q	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/18_admixture_replicates/cpDNA.primary.pseudo_diploid.2.rep2.P	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/18_admixture_replicates/cpDNA.K2.rep2.admixture.log					/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/18_admixture_replicates/cpDNA.primary.admixture_cv.png	/home/neil/Downloads/dudleya/Dudleya_S_genomes/.tools/bioconda-env/bin/plink --file cpDNA.primary.pseudo_diploid --make-bed --out cpDNA.primary.pseudo_diploid	/home/neil/Downloads/dudleya/Dudleya_S_genomes/.tools/bioconda-env/bin/admixture --cv --seed=20260708 -j16 cpDNA.primary.pseudo_diploid.bed 2
cpDNA	cpdna_population_sites	2	3	0.28448000	no	no	0.28462400	0.00049933	5	0	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/18_admixture_replicates/cpDNA.primary.pseudo_diploid.2.rep3.Q	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/18_admixture_replicates/cpDNA.primary.pseudo_diploid.2.rep3.P	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/18_admixture_replicates/cpDNA.K2.rep3.admixture.log					/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/18_admixture_replicates/cpDNA.primary.admixture_cv.png	/home/neil/Downloads/dudleya/Dudleya_S_genomes/.tools/bioconda-env/bin/plink --file cpDNA.primary.pseudo_diploid --make-bed --out cpDNA.primary.pseudo_diploid	/home/neil/Downloads/dudleya/Dudleya_S_genomes/.tools/bioconda-env/bin/admixture --cv --seed=20260709 -j16 cpDNA.primary.pseudo_diploid.bed 2
cpDNA	cpdna_population_sites	2	4	0.28406000	no	no	0.28462400	0.00049933	5	0	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/18_admixture_replicates/cpDNA.primary.pseudo_diploid.2.rep4.Q	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/18_admixture_replicates/cpDNA.primary.pseudo_diploid.2.rep4.P	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/18_admixture_replicates/cpDNA.K2.rep4.admixture.log					/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/18_admixture_replicates/cpDNA.primary.admixture_cv.png	/home/neil/Downloads/dudleya/Dudleya_S_genomes/.tools/bioconda-env/bin/plink --file cpDNA.primary.pseudo_diploid --make-bed --out cpDNA.primary.pseudo_diploid	/home/neil/Downloads/dudleya/Dudleya_S_genomes/.tools/bioconda-env/bin/admixture --cv --seed=20260710 -j16 cpDNA.primary.pseudo_diploid.bed 2
cpDNA	cpdna_population_sites	2	5	0.28543000	no	no	0.28462400	0.00049933	5	0	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/18_admixture_replicates/cpDNA.primary.pseudo_diploid.2.rep5.Q	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/18_admixture_replicates/cpDNA.primary.pseudo_diploid.2.rep5.P	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/18_admixture_replicates/cpDNA.K2.rep5.admixture.log					/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/18_admixture_replicates/cpDNA.primary.admixture_cv.png	/home/neil/Downloads/dudleya/Dudleya_S_genomes/.tools/bioconda-env/bin/plink --file cpDNA.primary.pseudo_diploid --make-bed --out cpDNA.primary.pseudo_diploid	/home/neil/Downloads/dudleya/Dudleya_S_genomes/.tools/bioconda-env/bin/admixture --cv --seed=20260711 -j16 cpDNA.primary.pseudo_diploid.bed 2
