sample_id	organelle	pc1	pc2	species	popcode	population_name	naming_profile	plot_group
DU-173	cpDNA	2.83912597	-6.89064932				initial_du_dash	initial_du_dash
DU-229	cpDNA	2.17714456	-1.30621492				initial_du_dash	initial_du_dash
DU-247	cpDNA	3.99047093	4.81880096				initial_du_dash	initial_du_dash
DU-254	cpDNA	3.93981627	4.84826469				initial_du_dash	initial_du_dash
DU-270	cpDNA	2.76681736	-6.69040791				initial_du_dash	initial_du_dash
DU-297	cpDNA	3.98955359	4.81603158				initial_du_dash	initial_du_dash
DU-443	cpDNA	-15.32111960	0.56878241				initial_du_dash	initial_du_dash
DU-4A	cpDNA	4.06324276	4.92985266				initial_du_dash	initial_du_dash
DU014LP012	cpDNA	0.91712322	-2.27984769				initial_du_lp	initial_du_lp
DU037LP013	cpDNA	0.91987416	-2.28477294				initial_du_lp	initial_du_lp
DU059LP015	cpDNA	2.80222703	-6.78236282				initial_du_lp	initial_du_lp
DU078LP011	cpDNA	3.29552011	2.35067443				initial_du_lp	initial_du_lp
DU079LP010	cpDNA	3.29552011	2.35067443				initial_du_lp	initial_du_lp
ABAB_MAD_LP_223_Du-590	cpDNA	-8.65583508	-1.93696274	D. abramsii ssp. abramsii	ABAB_MAD	Madonna Inn	main_standard	D. abramsii ssp. abramsii_ABAB_MAD
ABAB_MAD_LP_322_Du-593	cpDNA	-8.61903316	-1.93897551	D. abramsii ssp. abramsii	ABAB_MAD	Madonna Inn	main_standard	D. abramsii ssp. abramsii_ABAB_MAD
ABAB_MAD_LP_323_Du-594	cpDNA	-8.62391930	-1.93098059	D. abramsii ssp. abramsii	ABAB_MAD	Madonna Inn	main_standard	D. abramsii ssp. abramsii_ABAB_MAD
ABAB_MAD_LP_324_Du-595	cpDNA	-8.62879523	-1.93534443	D. abramsii ssp. abramsii	ABAB_MAD	Madonna Inn	main_standard	D. abramsii ssp. abramsii_ABAB_MAD
ABAB_MAD_LP_325_Du-596	cpDNA	-8.56915493	-1.91169756	D. abramsii ssp. abramsii	ABAB_MAD	Madonna Inn	main_standard	D. abramsii ssp. abramsii_ABAB_MAD
ABAB_MAD_LP_326_Du-597	cpDNA	-8.64179400	-1.84327209	D. abramsii ssp. abramsii	ABAB_MAD	Madonna Inn	main_standard	D. abramsii ssp. abramsii_ABAB_MAD
