sample_id	organelle	pc1	pc2	species	popcode	population_name	naming_profile	plot_group
DU-173	mtDNA	-0.65874677	1.87288660				initial_du_dash	initial_du_dash
DU-229	mtDNA	-0.57864484	0.16317560				initial_du_dash	initial_du_dash
DU-247	mtDNA	-0.93883603	-0.89665281				initial_du_dash	initial_du_dash
DU-254	mtDNA	-0.93883603	-0.89665281				initial_du_dash	initial_du_dash
DU-270	mtDNA	-0.65428938	1.68328731				initial_du_dash	initial_du_dash
DU-297	mtDNA	-0.93883603	-0.89665281				initial_du_dash	initial_du_dash
DU-443	mtDNA	4.69940255	0.25551034				initial_du_dash	initial_du_dash
DU-4A	mtDNA	-0.76434801	-1.32990210				initial_du_dash	initial_du_dash
DU014LP012	mtDNA	-0.28070259	0.56244843				initial_du_lp	initial_du_lp
DU037LP013	mtDNA	-0.28070259	0.56244843				initial_du_lp	initial_du_lp
DU059LP015	mtDNA	-0.64485380	1.61744869				initial_du_lp	initial_du_lp
DU078LP011	mtDNA	-0.82054834	-1.00805684				initial_du_lp	initial_du_lp
DU079LP010	mtDNA	-0.82054834	-1.00805684				initial_du_lp	initial_du_lp
ABAB_MAD_LP_223_Du-590	mtDNA	1.11486458	0.79072668	D. abramsii ssp. abramsii	ABAB_MAD	Madonna Inn	main_standard	D. abramsii ssp. abramsii_ABAB_MAD
ABAB_MAD_LP_322_Du-593	mtDNA	1.15880753	0.94557221	D. abramsii ssp. abramsii	ABAB_MAD	Madonna Inn	main_standard	D. abramsii ssp. abramsii_ABAB_MAD
ABAB_MAD_LP_323_Du-594	mtDNA	1.14739775	0.92162498	D. abramsii ssp. abramsii	ABAB_MAD	Madonna Inn	main_standard	D. abramsii ssp. abramsii_ABAB_MAD
ABAB_MAD_LP_324_Du-595	mtDNA	1.16169318	0.95145342	D. abramsii ssp. abramsii	ABAB_MAD	Madonna Inn	main_standard	D. abramsii ssp. abramsii_ABAB_MAD
ABAB_MAD_LP_325_Du-596	mtDNA	1.04423677	0.84143991	D. abramsii ssp. abramsii	ABAB_MAD	Madonna Inn	main_standard	D. abramsii ssp. abramsii_ABAB_MAD
ABAB_MAD_LP_326_Du-597	mtDNA	1.08415559	0.92064086	D. abramsii ssp. abramsii	ABAB_MAD	Madonna Inn	main_standard	D. abramsii ssp. abramsii_ABAB_MAD
ABAB_MAD_LP_327_Du-598	mtDNA	1.12023052	0.80210579	D. abramsii ssp. abramsii	ABAB_MAD	Madonna Inn	main_standard	D. abramsii ssp. abramsii_ABAB_MAD
ABBE_BERN_LP_311_Du-780	mtDNA	3.96623803	0.06481089	D. abramsii ssp. bettinae	ABBE_BERN	San Bernardino Creek Road	main_standard	D. abramsii ssp. bettinae_ABBE_BERN
ABBE_BERN_LP_312_Du-781	mtDNA	3.89158609	0.03987954	D. abramsii ssp. bettinae	ABBE_BERN	San Bernardino Creek Road	main_standard	D. abramsii ssp. bettinae_ABBE_BERN
ABBE_BERN_LP_313_Du-782	mtDNA	3.96623803	0.06481089	D. abramsii ssp. bettinae	ABBE_BERN	San Bernardino Creek Road	main_standard	D. abramsii ssp. bettinae_ABBE_BERN
ABBE_BERN_LP_314_Du-783	mtDNA	3.96623803	0.06481089	D. abramsii ssp. bettinae	ABBE_BERN	San Bernardino Creek Road	main_standard	D. abramsii ssp. bettinae_ABBE_BERN
ABMU_HOR_LP_306_Du-775	mtDNA	0.97785837	0.95344805	D. abramsii ssp. murina	ABMU_HOR	Horse Canyon (SLO)	main_standard	D. abramsii ssp. murina_ABMU_HOR
ABMU_HOR_LP_308_Du-777	mtDNA	0.98324448	0.96472717	D. abramsii ssp. murina	ABMU_HOR	Horse Canyon (SLO)	main_standard	D. abramsii ssp. murina_ABMU_HOR
ABMU_HOR_LP_358_Du-770	mtDNA	1.03785361	0.82950077	D. abramsii ssp. murina	ABMU_HOR	Horse Canyon (SLO)	main_standard	D. abramsii ssp. murina_ABMU_HOR
ABMU_HOR_LP_359_Du-771	mtDNA	1.05251031	0.97837940	D. abramsii ssp. murina	ABMU_HOR	Horse Canyon (SLO)	main_standard	D. abramsii ssp. murina_ABMU_HOR
ABMU_HOR_LP_360_Du-772	mtDNA	1.05789642	0.98965852	D. abramsii ssp. murina	ABMU_HOR	Horse Canyon (SLO)	main_standard	D. abramsii ssp. murina_ABMU_HOR
ABMU_HOR_LP_361_Du-773	mtDNA	0.97785837	0.95344805	D. abramsii ssp. murina	ABMU_HOR	Horse Canyon (SLO)	main_standard	D. abramsii ssp. murina_ABMU_HOR
BAI_LP_105_Du-222	mtDNA	-0.57971061	0.16586754	D. setchellii	BAI	Baird Ridgeline	main_standard	D. setchellii_BAI
BAI_LP_106_Du-223	mtDNA	-0.57864484	0.16317560	D. setchellii	BAI	Baird Ridgeline	main_standard	D. setchellii_BAI
