split_description	cpDNA_support	mtDNA_support
9 tips (ABBE=4, DUCY=5); examples: ABBE_BERN_LP_311_Du-780, ABBE_BERN_LP_312_Du-781, ABBE_BERN_LP_313_Du-782, ABBE_BERN_LP_314_Du-783, CY_BAL_LP_226_Du-602, ...	100	100
3 tips (DUCY=3); examples: CY_ALA_LP_298-Du-767, CY_ALA_LP_299-Du-768, CY_ALA_LP_357_Du-769	100	100
3 tips (DUCY=3); examples: CY_BAL_LP_226_Du-602, CY_BAL_LP_227_Du-603, CY_BAL_LP_228_Du-604	100	100
9 tips (DUSE=9); examples: COM_LP_269_Du-703, COM_LP_270_Du-704, COM_LP_272_Du-707, COM_LP_274_Du-709, COM_LP_276_Du-711, ...	100	98
4 tips (DUSE=4); examples: SILG_LP_151_Du-345, SILG_LP_152_Du-346, SILG_LP_155_Du-349, SILG_LP_156_Du-350	100	98
9 tips (DUCY=8, Other / legacy IDs=1); examples: CY_HICN_LP_236_Du-614, CY_HICN_LP_333_Du-612, CY_HICN_LP_334_Du-613, CY_HICN_LP_335_Du-615, CY_HICN_LP_336_Du-616, ...	100	97
17 tips (DUSE=17); examples: DOV_LP_078_Du-174, DOV_LP_079_Du-175, DOV_LP_080_Du-176, DOV_LP_081_Du-177, DOV_LP_082_Du-178, ...	100	95
13 tips (ABAB=7, ABMU=6); examples: ABAB_MAD_LP_223_Du-590, ABAB_MAD_LP_322_Du-593, ABAB_MAD_LP_323_Du-594, ABAB_MAD_LP_324_Du-595, ABAB_MAD_LP_325_Du-596, ...	99	95
10 tips (DUCY=9, Other / legacy IDs=1); examples: CY_CAS_LP_328_Du-610, CY_HICN_LP_236_Du-614, CY_HICN_LP_333_Du-612, CY_HICN_LP_334_Du-613, CY_HICN_LP_335_Du-615, ...	100	95
6 tips (ABAB=6); examples: ABAB_MAD_LP_223_Du-590, ABAB_MAD_LP_322_Du-593, ABAB_MAD_LP_323_Du-594, ABAB_MAD_LP_324_Du-595, ABAB_MAD_LP_326_Du-597, ...	99	95
