popcode	species	population_name
ABAB_JUL	D. abramsii ssp. abramsii	Julian
ABAB_MAD	D. abramsii ssp. abramsii	Madonna Inn
ABBE_BERN	D. abramsii ssp. bettinae	San Bernardino Creek Road
ABMU_HOR	D. abramsii ssp. murina	Horse Canyon (SLO)
BAI	D. setchellii	Baird Ridgeline
COM	D. setchellii	Communication Hill
CROB	D. setchellii	Crosp Bench
CROM	D. setchellii	Crosp Mid-Elev. Transect
CROS	D. setchellii	Crosp South End
CROT	D. setchellii	CR (Dsp.) Transect
CY_ALA	D. cymosa	Los Alanitos Dam
CY_BAL	D. cymosa	Baldwin Lake
CY_BGL	D. cymosa	Below Green Lake
CY_BOU	D. cymosa	Boulder Ridge
CY_CAS	D. cymosa	Castle Rock Falls
CY_FRE	D. cymosa	Fremont Peak
CY_HICN	D. cymosa	Hick's Road North
CY_HICS	D. cymosa	Hicks Rd. South
CY_HUN	D. cymosa	Hunting Hollow
CY_LGC	D. cymosa	Los Gatos Creek
CY_RED	D. cymosa	Redwood Gulch
CY_SIE	D. cymosa	Sierra Azule
CY_UVAC	D. cymosa	Little Uvas Creek
CY_UVAR	D. cymosa	Little Uvas Road
CY_UVAU	D. cymosa	Upper Little Uvas Road
CY_WOO	D. cymosa	Hicks & Woods Rd.
DAN	D. setchellii	Dana Rock
DOV	D. setchellii	Dove Road
DUD	D. setchellii	Dude Rock
DUSE	D. setchellii	source-declared unprefixed DUSE group
KIRN	D. setchellii	Kirby N. Rd. Canyon
KIRT	D. setchellii	KC Transect
MALR	D. setchellii	Malech Ranch
MALV	D. setchellii	Malech Vista
OCO	D. setchellii	O'Connell Ranch Pacheco Pass
QUI1	D. setchellii	Quicklsilver SE Mine Hill Tr. #1
QUI2	D. setchellii	Quicklsilver SE Mine Hill Tr. #2
QUIN	D. setchellii	Quicksilver NE
RIC	D. setchellii	Richmond Ranch
RSV	D. setchellii	Rancho San Vicente
SILG	D. setchellii	Silver Creek Golf
SILR	D. setchellii	Silver Creek Valley Rd. + Razorback + water tower
STI	D. setchellii	Stiles Ranch
TIL	D. setchellii	Tilton Ranch Road
TUL2	D. setchellii	"""Dud Tulare Hill-2"" | TH Clone site 2"
TULM	D. setchellii	Tulare Mec
TULP	D. setchellii	Tulare Hill NW Parks
TULPG	D. setchellii	Tulare PGE Rd.
TULT	D. setchellii	TH- Transect
