sample_id	popcode	species	population_name
ABAB_MAD_LP_223_Du-590	ABAB_MAD	D. abramsii ssp. abramsii	Madonna Inn
ABAB_MAD_LP_322_Du-593	ABAB_MAD	D. abramsii ssp. abramsii	Madonna Inn
ABAB_MAD_LP_323_Du-594	ABAB_MAD	D. abramsii ssp. abramsii	Madonna Inn
ABAB_MAD_LP_324_Du-595	ABAB_MAD	D. abramsii ssp. abramsii	Madonna Inn
ABAB_MAD_LP_325_Du-596	ABAB_MAD	D. abramsii ssp. abramsii	Madonna Inn
ABAB_MAD_LP_326_Du-597	ABAB_MAD	D. abramsii ssp. abramsii	Madonna Inn
ABAB_MAD_LP_327_Du-598	ABAB_MAD	D. abramsii ssp. abramsii	Madonna Inn
ABBE_BERN_LP_311_Du-780	ABBE_BERN	D. abramsii ssp. bettinae	San Bernardino Creek Road
ABBE_BERN_LP_312_Du-781	ABBE_BERN	D. abramsii ssp. bettinae	San Bernardino Creek Road
ABBE_BERN_LP_313_Du-782	ABBE_BERN	D. abramsii ssp. bettinae	San Bernardino Creek Road
ABBE_BERN_LP_314_Du-783	ABBE_BERN	D. abramsii ssp. bettinae	San Bernardino Creek Road
ABMU_HOR_LP_306_Du-775	ABMU_HOR	D. abramsii ssp. murina	Horse Canyon (SLO)
ABMU_HOR_LP_308_Du-777	ABMU_HOR	D. abramsii ssp. murina	Horse Canyon (SLO)
ABMU_HOR_LP_358_Du-770	ABMU_HOR	D. abramsii ssp. murina	Horse Canyon (SLO)
ABMU_HOR_LP_359_Du-771	ABMU_HOR	D. abramsii ssp. murina	Horse Canyon (SLO)
ABMU_HOR_LP_360_Du-772	ABMU_HOR	D. abramsii ssp. murina	Horse Canyon (SLO)
ABMU_HOR_LP_361_Du-773	ABMU_HOR	D. abramsii ssp. murina	Horse Canyon (SLO)
BAI_LP_105_Du-222	BAI	D. setchellii	Baird Ridgeline
BAI_LP_106_Du-223	BAI	D. setchellii	Baird Ridgeline
BAI_LP_108_Du-225	BAI	D. setchellii	Baird Ridgeline
BAI_LP_109_Du-226	BAI	D. setchellii	Baird Ridgeline
BAI_LP_110_Du-227	BAI	D. setchellii	Baird Ridgeline
BAI_LP_111_Du-228	BAI	D. setchellii	Baird Ridgeline
BAI_LP_112_Du-230	BAI	D. setchellii	Baird Ridgeline
BAI_LP_113_Du-231	BAI	D. setchellii	Baird Ridgeline
BAI_LP_114_Du-232	BAI	D. setchellii	Baird Ridgeline
BAI_LP_319_Du-233	BAI	D. setchellii	Baird Ridgeline
COM_LP_269_Du-703	COM	D. setchellii	Communication Hill
COM_LP_270_Du-704	COM	D. setchellii	Communication Hill
COM_LP_272_Du-707	COM	D. setchellii	Communication Hill
COM_LP_274_Du-709	COM	D. setchellii	Communication Hill
COM_LP_276_Du-711	COM	D. setchellii	Communication Hill
COM_LP_277_Du-712	COM	D. setchellii	Communication Hill
COM_LP_341_Du-713	COM	D. setchellii	Communication Hill
COM_LP_342_Du-714	COM	D. setchellii	Communication Hill
COM_LP_343_Du-715	COM	D. setchellii	Communication Hill
CROB_LP_169_Du-381	CROB	D. setchellii	Crosp Bench
CROB_LP_170_Du-382	CROB	D. setchellii	Crosp Bench
CROB_LP_172_Du-384	CROB	D. setchellii	Crosp Bench
CROB_LP_173_Du-385	CROB	D. setchellii	Crosp Bench
CROB_LP_174_Du-386	CROB	D. setchellii	Crosp Bench
CROB_LP_175_Du-387	CROB	D. setchellii	Crosp Bench
CROB_LP_176_Du-388	CROB	D. setchellii	Crosp Bench
CROB_LP_177_Du-389	CROB	D. setchellii	Crosp Bench
CROB_LP_320_Du-395	CROB	D. setchellii	Crosp Bench
CROB_LP_321_Du-396	CROB	D. setchellii	Crosp Bench
CROS_LP_085_Du-181	CROS	D. setchellii	Crosp South End
CROS_LP_086_Du-182	CROS	D. setchellii	Crosp South End
CROS_LP_087_Du-183	CROS	D. setchellii	Crosp South End
CROS_LP_088_Du-184	CROS	D. setchellii	Crosp South End
CROS_LP_089_Du-185	CROS	D. setchellii	Crosp South End
CROS_LP_090_Du-186	CROS	D. setchellii	Crosp South End
CROS_LP_091_Du-187	CROS	D. setchellii	Crosp South End
CROS_LP_092_Du-188	CROS	D. setchellii	Crosp South End
CROS_LP_093_Du-189	CROS	D. setchellii	Crosp South End
CROS_LP_094_Du-190	CROS	D. setchellii	Crosp South End
CY_ALA_LP_298-Du-767	CY_ALA	D. cymosa	Los Alanitos Dam
CY_ALA_LP_299-Du-768	CY_ALA	D. cymosa	Los Alanitos Dam
CY_ALA_LP_357_Du-769	CY_ALA	D. cymosa	Los Alanitos Dam
CY_BAL_LP_226_Du-602	CY_BAL	D. cymosa	Baldwin Lake
CY_BAL_LP_227_Du-603	CY_BAL	D. cymosa	Baldwin Lake
CY_BAL_LP_228_Du-604	CY_BAL	D. cymosa	Baldwin Lake
CY_BGL_LP_210_Du-577	CY_BGL	D. cymosa	Below Green Lake
CY_BGL_LP_212_Du-579	CY_BGL	D. cymosa	Below Green Lake
CY_BOU_LP_288_Du-737	CY_BOU	D. cymosa	Boulder Ridge
CY_BOU_LP_290_Du-739	CY_BOU	D. cymosa	Boulder Ridge
CY_BOU_LP_291_Du-740	CY_BOU	D. cymosa	Boulder Ridge
CY_BOU_LP_292_Du-741	CY_BOU	D. cymosa	Boulder Ridge
CY_BOU_LP_354_Du-742	CY_BOU	D. cymosa	Boulder Ridge
CY_CAS_LP_328_Du-610	CY_CAS	D. cymosa	Castle Rock Falls
CY_CAS_LP_329_Du-611	CY_CAS	D. cymosa	Castle Rock Falls
CY_CAS_LP_330_Du-607	CY_CAS	D. cymosa	Castle Rock Falls
CY_CAS_LP_331_Du-608	CY_CAS	D. cymosa	Castle Rock Falls
CY_CAS_LP_332_Du-609	CY_CAS	D. cymosa	Castle Rock Falls
CY_HICN_LP_236_Du-614	CY_HICN	D. cymosa	Hick's Road North
CY_HICN_LP_333_Du-612	CY_HICN	D. cymosa	Hick's Road North
CY_HICN_LP_334_Du-613	CY_HICN	D. cymosa	Hick's Road North
CY_HICN_LP_335_Du-615	CY_HICN	D. cymosa	Hick's Road North
CY_HICN_LP_336_Du-616	CY_HICN	D. cymosa	Hick's Road North
