sample_id	include_chloroplast	include_mitochondria	include_shared	rule	manual_override
ABAB_MAD_LP_222_Du-589	no	no	no	organelle_unique_mappability_breadth_dp5>=0.80	no
ABAB_MAD_LP_223_Du-590	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
ABAB_MAD_LP_322_Du-593	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
ABAB_MAD_LP_323_Du-594	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
ABAB_MAD_LP_324_Du-595	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
ABAB_MAD_LP_325_Du-596	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
ABAB_MAD_LP_326_Du-597	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
ABAB_MAD_LP_327_Du-598	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
ABBE_BERN_LP_311_Du-780	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
ABBE_BERN_LP_312_Du-781	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
ABBE_BERN_LP_313_Du-782	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
ABBE_BERN_LP_314_Du-783	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
ABMU_HOR_LP_306_Du-775	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
ABMU_HOR_LP_308_Du-777	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
ABMU_HOR_LP_358_Du-770	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
ABMU_HOR_LP_359_Du-771	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
ABMU_HOR_LP_360_Du-772	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
ABMU_HOR_LP_361_Du-773	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
BAI_LP_105_Du-222	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
BAI_LP_106_Du-223	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
BAI_LP_108_Du-225	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
BAI_LP_109_Du-226	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
BAI_LP_110_Du-227	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
BAI_LP_111_Du-228	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
BAI_LP_112_Du-230	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
BAI_LP_113_Du-231	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
BAI_LP_114_Du-232	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
BAI_LP_319_Du-233	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
COM_LP_269_Du-703	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
COM_LP_270_Du-704	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
COM_LP_272_Du-707	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
COM_LP_274_Du-709	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
COM_LP_276_Du-711	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
COM_LP_277_Du-712	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
COM_LP_341_Du-713	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
COM_LP_342_Du-714	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
COM_LP_343_Du-715	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
CROB_LP_169_Du-381	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
CROB_LP_170_Du-382	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
CROB_LP_172_Du-384	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
CROB_LP_173_Du-385	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
CROB_LP_174_Du-386	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
CROB_LP_175_Du-387	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
