sample_id	repeat_mask_mean_depth	unique_sites_mean_depth	repeat_to_unique_mean_depth_ratio	interpretation
ABAB_MAD_LP_223_Du-590	0.04696182	9.49006552	0.00494852	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
ABAB_MAD_LP_322_Du-593	0.53626414	116.49861726	0.00460318	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
ABAB_MAD_LP_323_Du-594	0.03984701	13.15369724	0.00302934	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
ABAB_MAD_LP_324_Du-595	0.15659711	45.94364789	0.00340846	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
ABAB_MAD_LP_325_Du-596	0.17957128	49.53752553	0.00362495	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
ABAB_MAD_LP_326_Du-597	0.15362794	38.88861470	0.00395046	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
ABAB_MAD_LP_327_Du-598	0.03432119	11.04403506	0.00310767	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
ABBE_BERN_LP_311_Du-780	0.45077947	110.43630871	0.00408180	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
ABBE_BERN_LP_312_Du-781	0.18257101	48.04875766	0.00379970	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
ABBE_BERN_LP_313_Du-782	0.06729276	13.42360875	0.00501302	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
ABBE_BERN_LP_314_Du-783	0.27579691	57.40861130	0.00480410	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
ABMU_HOR_LP_306_Du-775	0.75180162	156.87276634	0.00479243	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
ABMU_HOR_LP_308_Du-777	0.95380721	178.28478131	0.00534991	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
ABMU_HOR_LP_358_Du-770	0.57468004	119.78933373	0.00479742	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
ABMU_HOR_LP_359_Du-771	0.74621469	140.69837049	0.00530365	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
ABMU_HOR_LP_360_Du-772	0.43323436	81.94405208	0.00528695	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
ABMU_HOR_LP_361_Du-773	0.44570183	80.97374915	0.00550428	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
BAI_LP_105_Du-222	0.63992544	112.15171886	0.00570589	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
