haplotype_1	haplotype_2	mutational_distance
H1	H2	39
H1	H4	15
H10	H6	132
H11	H12	12
H12	H14	18
H12	H16	20
H12	H17	26
H12	H2	155
H13	H16	5
H14	H8	19
H15	H16	1
H18	H19	10
H18	H23	14
H2	H3	57
H2	H47	155
H2	H5	37
H20	H23	8
H21	H22	6
H22	H23	3
H22	H24	4
H23	H25	7
H23	H37	6
H23	H38	34
H26	H31	4
H27	H31	2
H28	H29	8
H29	H33	6
H3	H6	157
H30	H31	1
H31	H33	5
H32	H33	1
H33	H35	7
H33	H38	9
H34	H38	12
H36	H37	1
H38	H39	2
H38	H40	4
H38	H47	85
H39	H41	1
H42	H43	1
H42	H47	56
H43	H44	9
H45	H46	1
H46	H48	5
H47	H48	17
H48	H49	13
H48	H50	12
H6	H7	1
H8	H9	5
