organelle	population_1	population_2	n_population_1	n_population_2	numerator	denominator	callable_sites_with_at_least_two_calls_per_population	hudson_fst	bootstrap_ci_2.5	bootstrap_ci_97.5	bootstrap_block_bp	bootstrap_replicates	bootstrap_seed
chloroplast	ABAB_MAD	ABBE_BERN	7	4	519.828571429	541.357142857	101753	0.96023222061	0.950536668613	0.969109164708	1000	1000	1729
chloroplast	ABAB_MAD	ABMU_HOR	7	6	40.8857142857	59.9976190476	101945	0.681455613318	0.612345245412	0.737245508982	1000	1000	1730
chloroplast	ABAB_MAD	BAI	7	10	454.643650794	477.897619048	101944	0.951341108792	0.941902987649	0.960166764541	1000	1000	1731
chloroplast	ABAB_MAD	COM	7	9	464.935714286	477.725396825	101948	0.97322796187	0.966309965966	0.979477397424	1000	1000	1732
chloroplast	ABAB_MAD	CROB	7	10	462.076190476	474.796428571	101928	0.973209069551	0.965404301003	0.979842747653	1000	1000	1733
chloroplast	ABAB_MAD	CROS	7	10	456.342857143	478.171428571	101949	0.954349904398	0.944685750531	0.963635208135	1000	1000	1734
chloroplast	ABAB_MAD	CY_ALA	7	3	418.019047619	429.614285714	101810	0.97301011982	0.965715118299	0.980162116041	1000	1000	1735
chloroplast	ABAB_MAD	CY_BAL	7	3	530.304761905	542.761904762	101670	0.977048605018	0.968869667072	0.984032964203	1000	1000	1736
chloroplast	ABAB_MAD	CY_BGL	7	2	513.304761905	546.461904762	101808	0.939323962808	0.923371937527	0.953513723963	1000	1000	1737
chloroplast	ABAB_MAD	CY_BOU	7	5	427.066666667	438.661904762	101942	0.973566799466	0.966544935566	0.980500266099	1000	1000	1738
chloroplast	ABAB_MAD	CY_CAS	7	5	337.338095238	455.695238095	101842	0.740271275706	0.718648901754	0.759156711174	1000	1000	1739
chloroplast	ABAB_MAD	CY_HICN	7	5	610.952380952	623.097619048	101658	0.980508289995	0.975752074689	0.985092418012	1000	1000	1740
chloroplast	ABAB_MAD	CY_HICS	7	5	423.519047619	435.447619048	101943	0.972606185206	0.964524085897	0.979858109761	1000	1000	1741
chloroplast	ABAB_MAD	CY_HUN	7	5	617.738095238	629.783333333	101733	0.980873996726	0.975778497857	0.985649525711	1000	1000	1742
chloroplast	ABAB_MAD	CY_SIE	7	4	413.185714286	576.497619048	101916	0.716717121865	0.7016266084	0.731942215088	1000	1000	1743
chloroplast	ABAB_MAD	CY_WOO	7	5	427.552380952	439.880952381	101792	0.971972936401	0.964089793137	0.97933901739	1000	1000	1744
chloroplast	ABAB_MAD	DAN	7	5	469.819047619	483.214285714	101915	0.972278886425	0.965339901106	0.978996617585	1000	1000	1745
chloroplast	ABAB_MAD	DOV	7	7	457.547619048	469.871428571	101937	0.973771953827	0.965687844077	0.980033335249	1000	1000	1746
chloroplast	ABAB_MAD	DUD	7	8	463.911904762	482.346428571	101949	0.96178156877	0.953650445183	0.970509317382	1000	1000	1747
chloroplast	ABAB_MAD	DUSE	7	13	365.923509824	485.565639916	101949	0.753602561102	0.731269026565	0.77489772562	1000	1000	1748
