population	implementation	differences	compared_sites	jointly_callable_sites	pi	exact_match
ABAB_MAD	numpy_pairwise_independent	452	2116338	100778	0.000213576470299	yes
ABBE_BERN	numpy_pairwise_independent	110	607350	101225	0.000181114678521	yes
ABMU_HOR	numpy_pairwise_independent	203	1535355	102357	0.000132216979135	yes
BAI	numpy_pairwise_independent	1030	4627755	102839	0.000222570123094	yes
COM	numpy_pairwise_independent	86	3665124	101809	2.3464417575e-05	yes
CROB	numpy_pairwise_independent	90	4587750	101950	1.9617459539e-05	yes
CROS	numpy_pairwise_independent	921	4729095	105091	0.000194751849984	yes
CY_ALA	numpy_pairwise_independent	0	305163	101721	0	yes
CY_BAL	numpy_pairwise_independent	0	302340	100780	0	yes
CY_BGL	numpy_pairwise_independent	44	102595	102595	0.000428870802671	yes
CY_BOU	numpy_pairwise_independent	0	1019890	101989	0	yes
CY_CAS	numpy_pairwise_independent	2130	1010890	101089	0.00210705417998	yes
CY_HICN	numpy_pairwise_independent	10	1008070	100807	9.91994603549e-06	yes
CY_HICS	numpy_pairwise_independent	0	1002980	100298	0	yes
CY_HUN	numpy_pairwise_independent	4	801170	80117	4.99269817891e-06	yes
CY_SIE	numpy_pairwise_independent	1823	625722	104287	0.00291343440058	yes
CY_WOO	numpy_pairwise_independent	8	1002940	100294	7.9765489461e-06	yes
DAN	numpy_pairwise_independent	36	1024460	102446	3.51404642446e-05	yes
DOV	numpy_pairwise_independent	18	2201262	104822	8.17712748414e-06	yes
DUD	numpy_pairwise_independent	383	2855020	101965	0.000134149673207	yes
DUSE	numpy_pairwise_independent	16856	8214570	105315	0.00205196376682	yes
KIRN	numpy_pairwise_independent	122	3757644	104379	3.24671522901e-05	yes
KIRT	numpy_pairwise_independent	0	4588200	101960	0	yes
MALV	numpy_pairwise_independent	96	4749120	105536	2.02142712755e-05	yes
OCO	numpy_pairwise_independent	747	4524705	100549	0.000165093635939	yes
QUI1	numpy_pairwise_independent	0	3622788	100633	0	yes
QUI2	numpy_pairwise_independent	16	4532310	100718	3.5302086574e-06	yes
QUIN	numpy_pairwise_independent	0	4536675	100815	0	yes
RIC	numpy_pairwise_independent	72	4612950	102510	1.56082333431e-05	yes
RSV	numpy_pairwise_independent	132	3673188	102033	3.59360860375e-05	yes
SILG	numpy_pairwise_independent	410	4546395	101031	9.01813414804e-05	yes
SILR	numpy_pairwise_independent	171	1527060	101804	0.000111979882912	yes
STI	numpy_pairwise_independent	780	12090600	100755	6.45129273981e-05	yes
TIL	numpy_pairwise_independent	734	3537180	98255	0.000207509937295	yes
TULP	numpy_pairwise_independent	1620	13828208	101678	0.000117151839197	yes
