organelle	population_1	population_2	n_population_1	n_population_2	numerator	denominator	callable_sites_with_at_least_two_calls_per_population	hudson_fst	bootstrap_ci_2.5	bootstrap_ci_97.5	bootstrap_block_bp	bootstrap_replicates	bootstrap_seed
mitochondria	ABAB_MAD	ABBE_BERN	7	4	32.2095238095	33.4404761905	43147	0.963189747241	0.923684210526	0.991208791209	1000	1000	1729
mitochondria	ABAB_MAD	ABMU_HOR	7	6	4.54285714286	6.69047619048	43162	0.679003558719	0.0424242424242	0.796068796069	1000	1000	1730
mitochondria	ABAB_MAD	BAI	7	10	24.2761904762	25.5904761905	43164	0.948641607741	0.885162799766	0.984242424242	1000	1000	1731
mitochondria	ABAB_MAD	COM	7	9	30.2095238095	31.4126984127	43164	0.961697827185	0.919108280255	0.990106846063	1000	1000	1732
mitochondria	ABAB_MAD	CROB	7	10	22.9873015873	24.4015873016	43164	0.942041241137	0.891710921265	0.98035632709	1000	1000	1733
mitochondria	ABAB_MAD	CROS	7	10	22.2984126984	24.7904761905	43164	0.899474964784	0.830552291422	0.958134834705	1000	1000	1734
mitochondria	ABAB_MAD	CY_ALA	7	3	24.2095238095	25.1904761905	43160	0.961058601134	0.901799485861	0.996350364964	1000	1000	1735
mitochondria	ABAB_MAD	CY_BAL	7	2	32.2095238095	33.0476190476	42618	0.974639769452	0.938323353293	1	1000	1000	1736
mitochondria	ABAB_MAD	CY_BGL	7	2	32.2095238095	34.6904761905	43146	0.928483184626	0.871428571429	0.971722365039	1000	1000	1737
mitochondria	ABAB_MAD	CY_BOU	7	5	21.2095238095	22.1904761905	43159	0.955793991416	0.875294117647	0.994736842105	1000	1000	1738
mitochondria	ABAB_MAD	CY_CAS	7	5	18.8095238095	27.1904761905	43159	0.69176882662	0.519577377253	0.792857142857	1000	1000	1739
mitochondria	ABAB_MAD	CY_HICN	7	5	44.0095238095	46.0904761905	43159	0.954850707718	0.916160888797	0.985964912281	1000	1000	1740
mitochondria	ABAB_MAD	CY_HICS	7	4	21.2095238095	22.1904761905	43159	0.955793991416	0.879591836735	0.992907801418	1000	1000	1741
mitochondria	ABAB_MAD	CY_HUN	7	4	38.2095238095	39.1904761905	43151	0.974969623329	0.940057636888	0.996666666667	1000	1000	1742
mitochondria	ABAB_MAD	CY_SIE	7	4	29.7095238095	40.9404761905	43164	0.725676068625	0.654918733961	0.789132895631	1000	1000	1743
mitochondria	ABAB_MAD	CY_WOO	7	5	21.8095238095	22.9904761905	43153	0.948632974316	0.876526458616	0.989304812834	1000	1000	1744
mitochondria	ABAB_MAD	DAN	7	5	29.2095238095	30.1904761905	42977	0.967507886435	0.921387283237	0.995689655172	1000	1000	1745
mitochondria	ABAB_MAD	DOV	7	7	24.2095238095	25.1904761905	43164	0.961058601134	0.897727272727	0.994082840237	1000	1000	1746
mitochondria	ABAB_MAD	DUD	7	8	22.7095238095	24.0654761905	43164	0.943655701212	0.884210526316	0.982456140351	1000	1000	1747
mitochondria	ABAB_MAD	DUSE	7	13	19.8633699634	27.5815018315	43164	0.720169992364	0.553907934855	0.815488200623	1000	1000	1748
mitochondria	ABAB_MAD	KIRN	7	9	24.2095238095	25.1904761905	43164	0.961058601134	0.900318471338	0.995215311005	1000	1000	1749
mitochondria	ABAB_MAD	KIRT	7	10	24.2095238095	25.1904761905	43164	0.961058601134	0.89840546697	0.995260663507	1000	1000	1750
mitochondria	ABAB_MAD	MALV	7	10	25.2095238095	26.1904761905	43164	0.962545454545	0.906779661017	0.994871794872	1000	1000	1751
mitochondria	ABAB_MAD	OCO	7	10	39.5761904762	41.6349206349	43155	0.950552802135	0.906564163217	0.979228670635	1000	1000	1752
mitochondria	ABAB_MAD	QUI1	7	8	21.3166666667	22.5654761905	43161	0.944658401477	0.85971563981	0.990560100692	1000	1000	1753
mitochondria	ABAB_MAD	QUI2	7	10	26.2095238095	27.1904761905	43016	0.963922942207	0.905936073059	0.993243243243	1000	1000	1754
mitochondria	ABAB_MAD	QUIN	7	10	26.2095238095	27.1904761905	43020	0.963922942207	0.904218362283	1	1000	1000	1755
mitochondria	ABAB_MAD	RIC	7	10	23.8095238095	24.9904761905	43164	0.952743902439	0.890374331551	0.986022871665	1000	1000	1756
mitochondria	ABAB_MAD	RSV	7	9	25.2928571429	26.6349206349	43150	0.949612634088	0.879690831557	0.986998304127	1000	1000	1757
mitochondria	ABAB_MAD	SILG	7	10	24.9761904762	27.0349206349	43157	0.923849224988	0.827689243028	0.97941593199	1000	1000	1758
mitochondria	ABAB_MAD	SILR	7	6	28.2095238095	29.1904761905	43163	0.966394779772	0.912421052632	0.995901639344	1000	1000	1759
mitochondria	ABAB_MAD	STI	7	16	24.6619047619	26.3779761905	43149	0.93494302155	0.851076150951	0.971900019961	1000	1000	1760
mitochondria	ABAB_MAD	TIL	7	8	24.6142857143	26.994047619	43149	0.91184123484	0.820330147698	0.959989186267	1000	1000	1761
mitochondria	ABAB_MAD	TULP	7	17	23.3712885154	24.7198879552	43164	0.945444759207	0.860236886633	0.989690721649	1000	1000	1762
mitochondria	ABBE_BERN	ABMU_HOR	4	6	28.3333333333	29.75	43147	0.952380952381	0.924369747899	0.979310344828	1000	1000	1763
mitochondria	ABBE_BERN	BAI	4	10	28.0666666667	28.65	43163	0.979639325189	0.950067476383	1	1000	1000	1764
mitochondria	ABBE_BERN	COM	4	9	32	32.4722222222	43163	0.985457656116	0.961424332344	1	1000	1000	1765
mitochondria	ABBE_BERN	CROB	4	10	30.3333333333	31.0166666667	43163	0.97796883396	0.953519653266	0.996402877698	1000	1000	1766
mitochondria	ABBE_BERN	CROS	4	10	28.4888888889	30.25	43163	0.941781450872	0.889740315028	0.981735159817	1000	1000	1767
mitochondria	ABBE_BERN	CY_ALA	4	3	26	26.25	43153	0.990476190476	0.961538461538	1	1000	1000	1768
mitochondria	ABBE_BERN	CY_BAL	4	2	2	2.25	42634	0.888888888889	0	1	1000	1000	1769
mitochondria	ABBE_BERN	CY_BGL	4	2	0	1.75	43162	0	0	0	1000	1000	1770
mitochondria	ABBE_BERN	CY_BOU	4	5	23	23.25	43160	0.989247311828	0.96	1	1000	1000	1771
mitochondria	ABBE_BERN	CY_CAS	4	5	18.6	26.25	43160	0.708571428571	0.622478386167	0.766743648961	1000	1000	1772
mitochondria	ABBE_BERN	CY_HICN	4	5	29.8	31.15	43159	0.956661316212	0.900804289544	1	1000	1000	1773
mitochondria	ABBE_BERN	CY_HICS	4	4	23	23.25	43159	0.989247311828	0.96	1	1000	1000	1774
mitochondria	ABBE_BERN	CY_HUN	4	4	20	20.25	43160	0.987654320988	0.949152542373	1	1000	1000	1775
mitochondria	ABBE_BERN	CY_SIE	4	4	19.5	30	43160	0.65	0.547368421053	0.739130434783	1000	1000	1776
mitochondria	ABBE_BERN	CY_WOO	4	5	23.6	24.05	43150	0.981288981289	0.943396226415	1	1000	1000	1777
mitochondria	ABBE_BERN	DAN	4	5	31	31.25	42976	0.992	0.971428571429	1	1000	1000	1778
mitochondria	ABBE_BERN	DOV	4	7	28	28.25	43163	0.991150442478	0.967032967033	1	1000	1000	1779
mitochondria	ABBE_BERN	DUD	4	8	27	27.625	43163	0.977375565611	0.947368421053	1	1000	1000	1780
mitochondria	ABBE_BERN	DUSE	4	13	21.9615384615	28.9487179487	43163	0.758635961027	0.676592224979	0.81999404939	1000	1000	1781
mitochondria	ABBE_BERN	KIRN	4	9	28	28.25	43163	0.991150442478	0.969696969697	1	1000	1000	1782
mitochondria	ABBE_BERN	KIRT	4	10	28	28.25	43163	0.991150442478	0.967741935484	1	1000	1000	1783
mitochondria	ABBE_BERN	MALV	4	10	29	29.25	43163	0.991452991453	0.971428571429	1	1000	1000	1784
mitochondria	ABBE_BERN	OCO	4	10	19.3666666667	20.6944444444	43162	0.935838926174	0.857745884339	0.98	1000	1000	1785
mitochondria	ABBE_BERN	QUI1	4	8	25.1071428571	25.625	43160	0.979790940767	0.948379351741	1	1000	1000	1786
mitochondria	ABBE_BERN	QUI2	4	10	30	30.25	43019	0.99173553719	0.972972972973	1	1000	1000	1787
mitochondria	ABBE_BERN	QUIN	4	10	30	30.25	43019	0.99173553719	0.971962616822	1	1000	1000	1788
mitochondria	ABBE_BERN	RIC	4	10	28	28.45	43163	0.984182776801	0.960854092527	1	1000	1000	1789
mitochondria	ABBE_BERN	RSV	4	9	29.0833333333	29.6944444444	43149	0.979420018709	0.949152542373	1	1000	1000	1790
mitochondria	ABBE_BERN	SILG	4	10	28.7666666667	30.0944444444	43156	0.955879638176	0.9013006886	0.992467043315	1000	1000	1791
mitochondria	ABBE_BERN	SILR	4	6	30	30.25	43162	0.99173553719	0.971962616822	1	1000	1000	1792
mitochondria	ABBE_BERN	STI	4	16	28.719047619	29.7041666667	43148	0.966835661183	0.938925054794	0.988522751676	1000	1000	1793
mitochondria	ABBE_BERN	TIL	4	8	28.4047619048	30.0535714286	43148	0.94513765102	0.898100172712	0.976204294835	1000	1000	1794
mitochondria	ABBE_BERN	TULP	4	17	27.1617647059	27.7794117647	43163	0.977766013764	0.945173998687	1	1000	1000	1795
mitochondria	ABMU_HOR	BAI	6	10	19.4	20.9	43163	0.928229665072	0.865384615385	0.96442687747	1000	1000	1796
mitochondria	ABMU_HOR	COM	6	9	25.3333333333	26.7222222222	43163	0.948024948025	0.909090909091	0.976470588235	1000	1000	1797
mitochondria	ABMU_HOR	CROB	6	10	19.5925925926	21.1925925926	43163	0.924501922405	0.872928176796	0.972083035075	1000	1000	1798
mitochondria	ABMU_HOR	CROS	6	10	18.4222222222	21.1	43163	0.873091100579	0.779973649539	0.937888198758	1000	1000	1799
mitochondria	ABMU_HOR	CY_ALA	6	3	19.3333333333	20.5	43159	0.943089430894	0.882882882883	0.980132450331	1000	1000	1800
mitochondria	ABMU_HOR	CY_BAL	6	2	28.3333333333	29.5	42618	0.960451977401	0.931034482759	0.983870967742	1000	1000	1801
