population	implementation	differences	compared_sites	jointly_callable_sites	pi	exact_match
ABAB_MAD	numpy_pairwise_independent	30	796572	37932	3.76613790091e-05	yes
ABBE_BERN	numpy_pairwise_independent	3	257844	42974	1.1634942058e-05	yes
ABMU_HOR	numpy_pairwise_independent	35	647370	43158	5.40649087848e-05	yes
BAI	numpy_pairwise_independent	30	1942020	43156	1.54478326691e-05	yes
COM	numpy_pairwise_independent	16	1554300	43175	1.02940230329e-05	yes
CROB	numpy_pairwise_independent	9	1898415	42187	4.74079692796e-06	yes
CROS	numpy_pairwise_independent	136	1942875	43175	6.99993566236e-05	yes
CY_ALA	numpy_pairwise_independent	0	129477	43159	0	yes
CY_BAL	numpy_pairwise_independent	0	42634	42634	0	yes
CY_BGL	numpy_pairwise_independent	3	43162	43162	6.95055836152e-05	yes
CY_BOU	numpy_pairwise_independent	0	425530	42553	0	yes
CY_CAS	numpy_pairwise_independent	148	430380	43038	0.000343882150658	yes
CY_HICN	numpy_pairwise_independent	12	431540	43154	2.78073874959e-05	yes
CY_HICS	numpy_pairwise_independent	0	255648	42608	0	yes
CY_HUN	numpy_pairwise_independent	0	237054	39509	0	yes
CY_SIE	numpy_pairwise_independent	117	259020	43170	0.00045170257123	yes
CY_WOO	numpy_pairwise_independent	4	403410	40341	9.91547061302e-06	yes
DAN	numpy_pairwise_independent	0	429870	42987	0	yes
DOV	numpy_pairwise_independent	0	904155	43055	0	yes
DUD	numpy_pairwise_independent	21	1190784	42528	1.76354401806e-05	yes
DUSE	numpy_pairwise_independent	1038	3341832	42844	0.000310608073655	yes
KIRN	numpy_pairwise_independent	0	1554372	43177	0	yes
KIRT	numpy_pairwise_independent	0	1940715	43127	0	yes
MALV	numpy_pairwise_independent	0	1943145	43181	0	yes
OCO	numpy_pairwise_independent	62	1882395	41831	3.29367640692e-05	yes
QUI1	numpy_pairwise_independent	15	1141672	40774	1.31386247539e-05	yes
QUI2	numpy_pairwise_independent	0	1925640	42792	0	yes
QUIN	numpy_pairwise_independent	0	1936395	43031	0	yes
RIC	numpy_pairwise_independent	18	1942605	43169	9.2659084065e-06	yes
RSV	numpy_pairwise_independent	26	1553292	43147	1.67386428308e-05	yes
SILG	numpy_pairwise_independent	72	1638045	36401	4.39548364056e-05	yes
SILR	numpy_pairwise_independent	0	647640	43176	0	yes
STI	numpy_pairwise_independent	117	4204800	35040	2.78253424658e-05	yes
TIL	numpy_pairwise_independent	57	1029924	36783	5.5343889452e-05	yes
TULP	numpy_pairwise_independent	100	5808560	42710	1.72159709119e-05	yes
