organelle	statistic	comparison	canonical	scikit_allel	absolute_difference	match
chloroplast	nucleotide_diversity	ABAB_MAD	0.000213576470299	0.000213576470299168	1.67726076083508e-16	yes
chloroplast	nucleotide_diversity	ABBE_BERN	0.000181114678521	0.000181114678521446	4.45607092891542e-16	yes
chloroplast	nucleotide_diversity	ABMU_HOR	0.000132216979135	0.000132216979135119	1.18584612615602e-16	yes
chloroplast	nucleotide_diversity	BAI	0.000222570123094	0.000222570123094243	2.43322072560059e-16	yes
chloroplast	nucleotide_diversity	COM	2.3464417575e-05	2.34644175749579e-05	4.21009256103277e-17	yes
chloroplast	nucleotide_diversity	CROB	1.9617459539e-05	1.96174595389897e-05	1.02999206386123e-17	yes
chloroplast	nucleotide_diversity	CROS	0.000194751849984	0.000194751849983982	1.78622307916987e-17	yes
chloroplast	nucleotide_diversity	CY_ALA	0	0	0	yes
chloroplast	nucleotide_diversity	CY_BAL	0	0	0	yes
chloroplast	nucleotide_diversity	CY_BGL	0.000428870802671	0.000428870802670695	3.04552390251178e-16	yes
chloroplast	nucleotide_diversity	CY_BOU	0	0	0	yes
chloroplast	nucleotide_diversity	CY_CAS	0.00210705417998	0.00210705417998002	1.82145964977565e-17	yes
chloroplast	nucleotide_diversity	CY_HICN	9.91994603549e-06	9.91994603549357e-06	3.56770277383511e-18	yes
chloroplast	nucleotide_diversity	CY_HICS	0	0	0	yes
chloroplast	nucleotide_diversity	CY_HUN	4.99269817891e-06	4.99269817891334e-06	3.33900387807645e-18	yes
chloroplast	nucleotide_diversity	CY_SIE	0.00291343440058	0.00291343440058045	4.49293380277993e-16	yes
chloroplast	nucleotide_diversity	CY_WOO	7.9765489461e-06	7.97654894609847e-06	1.52974150274127e-18	yes
chloroplast	nucleotide_diversity	DAN	3.51404642446e-05	3.51404642445776e-05	2.23752223346696e-17	yes
chloroplast	nucleotide_diversity	DOV	8.17712748414e-06	8.17712748414319e-06	3.18653794757068e-18	yes
chloroplast	nucleotide_diversity	DUD	0.000134149673207	0.000134149673207193	1.92906671539483e-16	yes
chloroplast	nucleotide_diversity	DUSE	0.00205196376682	0.0020519637668192	7.99273841556314e-16	yes
chloroplast	nucleotide_diversity	KIRN	3.24671522901e-05	3.24671522901052e-05	5.18384163719632e-18	yes
chloroplast	nucleotide_diversity	KIRT	0	0	0	yes
chloroplast	nucleotide_diversity	MALV	2.02142712755e-05	2.02142712755205e-05	2.05151379824992e-17	yes
chloroplast	nucleotide_diversity	OCO	0.000165093635939	0.000165093635938697	3.03441083024381e-16	yes
chloroplast	nucleotide_diversity	QUI1	0	0	0	yes
chloroplast	nucleotide_diversity	QUI2	3.5302086574e-06	3.53020865739546e-06	4.54348472907207e-18	yes
chloroplast	nucleotide_diversity	QUIN	0	0	0	yes
chloroplast	nucleotide_diversity	RIC	1.56082333431e-05	1.56082333430885e-05	1.15196480826585e-17	yes
chloroplast	nucleotide_diversity	RSV	3.59360860375e-05	3.59360860375238e-05	2.38050139496349e-17	yes
chloroplast	nucleotide_diversity	SILG	9.01813414804e-05	9.01813414804477e-05	4.77184481165183e-17	yes
chloroplast	nucleotide_diversity	SILR	0.000111979882912	0.000111979882912263	2.62783501556174e-16	yes
chloroplast	nucleotide_diversity	STI	6.45129273981e-05	6.4512927398144e-05	4.40186082029115e-17	yes
chloroplast	nucleotide_diversity	TIL	0.000207509937295	0.000207509937294681	3.18918069036611e-16	yes
chloroplast	nucleotide_diversity	TULP	0.000117151839197	0.000117151839197096	9.62500478624007e-17	yes
chloroplast	hudson_numerator	ABAB_MAD__ABBE_BERN	519.828571429	519.828571428571	4.28599378210492e-10	yes
chloroplast	hudson_denominator	ABAB_MAD__ABBE_BERN	541.357142857	541.357142857143	1.43018041853793e-10	yes
chloroplast	hudson_callable_sites	ABAB_MAD__ABBE_BERN	101753	101753	0	yes
chloroplast	hudson_fst	ABAB_MAD__ABBE_BERN	0.96023222061	0.960232220609579	4.21218615542784e-13	yes
chloroplast	hudson_numerator	ABAB_MAD__ABMU_HOR	40.8857142857	40.8857142857143	1.43032252708508e-11	yes
chloroplast	hudson_denominator	ABAB_MAD__ABMU_HOR	59.9976190476	59.9976190476191	1.90780724551587e-11	yes
chloroplast	hudson_callable_sites	ABAB_MAD__ABMU_HOR	101945	101945	0	yes
chloroplast	hudson_fst	ABAB_MAD__ABMU_HOR	0.681455613318	0.681455613317989	1.12132525487141e-14	yes
chloroplast	hudson_numerator	ABAB_MAD__BAI	454.643650794	454.643650793651	3.49132278643083e-10	yes
chloroplast	hudson_denominator	ABAB_MAD__BAI	477.897619048	477.897619047619	3.80737219529692e-10	yes
chloroplast	hudson_callable_sites	ABAB_MAD__BAI	101944	101944	0	yes
chloroplast	hudson_fst	ABAB_MAD__BAI	0.951341108792	0.951341108791648	3.5171865420125e-13	yes
chloroplast	hudson_numerator	ABAB_MAD__COM	464.935714286	464.935714285714	2.85865553451004e-10	yes
chloroplast	hudson_denominator	ABAB_MAD__COM	477.725396825	477.725396825397	3.96937593905022e-10	yes
chloroplast	hudson_callable_sites	ABAB_MAD__COM	101948	101948	0	yes
chloroplast	hudson_fst	ABAB_MAD__COM	0.97322796187	0.973227961869573	4.26880752968373e-13	yes
chloroplast	hudson_numerator	ABAB_MAD__CROB	462.076190476	462.07619047619	1.90425453183707e-10	yes
chloroplast	hudson_denominator	ABAB_MAD__CROB	474.796428571	474.796428571429	4.28826751885936e-10	yes
chloroplast	hudson_callable_sites	ABAB_MAD__CROB	101928	101928	0	yes
chloroplast	hudson_fst	ABAB_MAD__CROB	0.973209069551	0.97320906955111	1.10356168647741e-13	yes
chloroplast	hudson_numerator	ABAB_MAD__CROS	456.342857143	456.342857142857	1.42961198434932e-10	yes
chloroplast	hudson_denominator	ABAB_MAD__CROS	478.171428571	478.171428571429	4.28997282142518e-10	yes
chloroplast	hudson_callable_sites	ABAB_MAD__CROS	101949	101949	0	yes
chloroplast	hudson_fst	ABAB_MAD__CROS	0.954349904398	0.954349904397705	2.95541369155217e-13	yes
chloroplast	hudson_numerator	ABAB_MAD__CY_ALA	418.019047619	418.019047619048	4.75779415864963e-11	yes
chloroplast	hudson_denominator	ABAB_MAD__CY_ALA	429.614285714	429.614285714286	2.85695023194421e-10	yes
chloroplast	hudson_callable_sites	ABAB_MAD__CY_ALA	101810	101810	0	yes
chloroplast	hudson_fst	ABAB_MAD__CY_ALA	0.97301011982	0.97301011981955	4.49862369578113e-13	yes
chloroplast	hudson_numerator	ABAB_MAD__CY_BAL	530.304761905	530.304761904762	2.38173925026786e-10	yes
chloroplast	hudson_denominator	ABAB_MAD__CY_BAL	542.761904762	542.761904761905	9.5042196335271e-11	yes
chloroplast	hudson_callable_sites	ABAB_MAD__CY_BAL	101670	101670	0	yes
chloroplast	hudson_fst	ABAB_MAD__CY_BAL	0.977048605018	0.977048605018424	4.23772128499422e-13	yes
chloroplast	hudson_numerator	ABAB_MAD__CY_BGL	513.304761905	513.304761904762	2.38173925026786e-10	yes
chloroplast	hudson_denominator	ABAB_MAD__CY_BGL	546.461904762	546.461904761905	9.51558831729926e-11	yes
chloroplast	hudson_callable_sites	ABAB_MAD__CY_BGL	101808	101808	0	yes
chloroplast	hudson_fst	ABAB_MAD__CY_BGL	0.939323962808	0.939323962808369	3.68594044175552e-13	yes
chloroplast	hudson_numerator	ABAB_MAD__CY_BOU	427.066666667	427.066666666667	3.33386651618639e-10	yes
chloroplast	hudson_denominator	ABAB_MAD__CY_BOU	438.661904762	438.661904761905	9.52695700107142e-11	yes
chloroplast	hudson_callable_sites	ABAB_MAD__CY_BOU	101942	101942	0	yes
chloroplast	hudson_fst	ABAB_MAD__CY_BOU	0.973566799466	0.973566799465908	9.18154441365004e-14	yes
chloroplast	hudson_numerator	ABAB_MAD__CY_CAS	337.338095238	337.338095238095	9.53832568484358e-11	yes
chloroplast	hudson_denominator	ABAB_MAD__CY_CAS	455.695238095	455.695238095237	2.37378117162734e-10	yes
chloroplast	hudson_callable_sites	ABAB_MAD__CY_CAS	101842	101842	0	yes
chloroplast	hudson_fst	ABAB_MAD__CY_CAS	0.740271275706	0.740271275706405	4.0512038168572e-13	yes
chloroplast	hudson_numerator	ABAB_MAD__CY_HICN	610.952380952	610.952380952381	3.80850906367414e-10	yes
chloroplast	hudson_denominator	ABAB_MAD__CY_HICN	623.097619048	623.097619047619	3.80850906367414e-10	yes
chloroplast	hudson_callable_sites	ABAB_MAD__CY_HICN	101658	101658	0	yes
chloroplast	hudson_fst	ABAB_MAD__CY_HICN	0.980508289995	0.98050828999507	7.04991620636974e-14	yes
chloroplast	hudson_numerator	ABAB_MAD__CY_HICS	423.519047619	423.519047619048	4.75779415864963e-11	yes
chloroplast	hudson_denominator	ABAB_MAD__CY_HICS	435.447619048	435.447619047619	3.80907749786275e-10	yes
chloroplast	hudson_callable_sites	ABAB_MAD__CY_HICS	101943	101943	0	yes
chloroplast	hudson_fst	ABAB_MAD__CY_HICS	0.972606185206	0.972606185206246	2.46358489164322e-13	yes
chloroplast	hudson_numerator	ABAB_MAD__CY_HUN	617.738095238	617.738095238095	9.51558831729926e-11	yes
chloroplast	hudson_denominator	ABAB_MAD__CY_HUN	629.783333333	629.783333333333	3.33329808199778e-10	yes
chloroplast	hudson_callable_sites	ABAB_MAD__CY_HUN	101733	101733	0	yes
chloroplast	hudson_fst	ABAB_MAD__CY_HUN	0.980873996726	0.980873996726009	9.32587340685131e-15	yes
chloroplast	hudson_numerator	ABAB_MAD__CY_SIE	413.185714286	413.185714285714	2.85808710032143e-10	yes
chloroplast	hudson_denominator	ABAB_MAD__CY_SIE	576.497619048	576.497619047619	3.80850906367414e-10	yes
chloroplast	hudson_callable_sites	ABAB_MAD__CY_SIE	101916	101916	0	yes
chloroplast	hudson_fst	ABAB_MAD__CY_SIE	0.716717121865	0.716717121864791	2.09277040141842e-13	yes
chloroplast	hudson_numerator	ABAB_MAD__CY_WOO	427.552380952	427.552380952381	3.80850906367414e-10	yes
chloroplast	hudson_denominator	ABAB_MAD__CY_WOO	439.880952381	439.880952380953	4.74642547487747e-11	yes
chloroplast	hudson_callable_sites	ABAB_MAD__CY_WOO	101792	101792	0	yes
chloroplast	hudson_fst	ABAB_MAD__CY_WOO	0.971972936401	0.971972936400541	4.59188242984965e-13	yes
chloroplast	hudson_numerator	ABAB_MAD__DAN	469.819047619	469.819047619048	4.75779415864963e-11	yes
chloroplast	hudson_denominator	ABAB_MAD__DAN	483.214285714	483.214285714286	2.85922396869864e-10	yes
chloroplast	hudson_callable_sites	ABAB_MAD__DAN	101915	101915	0	yes
chloroplast	hudson_fst	ABAB_MAD__DAN	0.972278886425	0.972278886425227	2.2726265314077e-13	yes
chloroplast	hudson_numerator	ABAB_MAD__DOV	457.547619048	457.547619047619	3.81078280042857e-10	yes
chloroplast	hudson_denominator	ABAB_MAD__DOV	469.871428571	469.871428571429	4.28769908467075e-10	yes
chloroplast	hudson_callable_sites	ABAB_MAD__DOV	101937	101937	0	yes
chloroplast	hudson_fst	ABAB_MAD__DOV	0.973771953827	0.973771953827287	2.87436741075453e-13	yes
chloroplast	hudson_numerator	ABAB_MAD__DUD	463.911904762	463.911904761905	9.53832568484358e-11	yes
chloroplast	hudson_denominator	ABAB_MAD__DUD	482.346428571	482.346428571429	4.28826751885936e-10	yes
chloroplast	hudson_callable_sites	ABAB_MAD__DUD	101949	101949	0	yes
chloroplast	hudson_fst	ABAB_MAD__DUD	0.96178156877	0.961781568769729	2.71449529520851e-13	yes
chloroplast	hudson_numerator	ABAB_MAD__DUSE	365.923509824	365.923509823511	4.89478679810418e-10	yes
chloroplast	hudson_denominator	ABAB_MAD__DUSE	485.565639916	485.565639915641	3.58852503268281e-10	yes
chloroplast	hudson_callable_sites	ABAB_MAD__DUSE	101949	101949	0	yes
chloroplast	hudson_fst	ABAB_MAD__DUSE	0.753602561102	0.753602561101901	9.91429160990265e-14	yes
