sample_id	input_reads	input_bases	input_q20_rate	input_q30_rate	passing_reads	passing_bases	passing_q20_rate	passing_q30_rate	read_retention	low_quality_reads	too_many_n_reads	adapter_dimer_reads	too_short_reads	adapter_trimmed_reads	adapter_trimmed_bases	duplication_rate
ABAB_MAD_LP_222_Du-589	5378	806700	0.97942400	0.94268500	5236	768308	0.99029300	0.96270800	0.97359613	122	0	0	20	564	16293	0.07177390
ABAB_MAD_LP_223_Du-590	1107924	166188600	0.98578900	0.95652500	1092774	160294447	0.99212300	0.96840600	0.98632578	12626	124	286	2114	139598	3606950	0.07873100
ABAB_MAD_LP_322_Du-593	14447920	2167188000	0.98302700	0.94972100	14044754	2047812177	0.99203000	0.96738500	0.97209522	188604	1744	104980	107838	1801101	59937048	0.08392350
ABAB_MAD_LP_323_Du-594	2471082	370662300	0.96050600	0.90942500	2364050	311766817	0.99066700	0.96446900	0.95668618	43212	272	18466	45082	1135156	44757502	0.04232960
ABAB_MAD_LP_324_Du-595	7258446	1088766900	0.94552000	0.87533600	6790732	792350977	0.99289200	0.97109400	0.93556279	82444	664	73416	311190	5029984	232248971	0.02879620
ABAB_MAD_LP_325_Du-596	9416018	1412402700	0.97175600	0.92780000	9110520	1215552989	0.99238400	0.96933200	0.96755550	114106	1014	46366	144012	4108385	148631051	0.04651750
ABAB_MAD_LP_326_Du-597	8209486	1231422900	0.96659600	0.91955600	7933430	1059675184	0.99167000	0.96716600	0.96637353	118948	830	37696	118582	3437313	132780788	0.04536530
ABAB_MAD_LP_327_Du-598	2387304	358095600	0.95276500	0.89473300	2262800	283981121	0.99165400	0.96731900	0.94784745	35592	194	22562	66156	1297555	56092366	0.03815180
ABBE_BERN_LP_311_Du-780	10549336	1582400400	0.97812500	0.94214000	10219540	1466366085	0.99163100	0.96709800	0.96873775	203666	1316	52898	71916	2171305	67191202	0.07226960
ABBE_BERN_LP_312_Du-781	12367560	1855134000	0.97558300	0.93666300	11864756	1681491840	0.99138800	0.96677200	0.95934493	259866	1444	127856	113638	3130910	99925739	0.06934380
ABBE_BERN_LP_313_Du-782	5646246	846936900	0.97652400	0.93896000	5457910	771063991	0.99175200	0.96769500	0.96664403	101820	644	43120	42752	1494245	49602133	0.07163870
ABBE_BERN_LP_314_Du-783	9371176	1405676400	0.97577500	0.93828900	9089850	1291002660	0.99135400	0.96690900	0.96997965	180386	1106	28854	70980	2215143	74672062	0.06041930
ABMU_HOR_LP_306_Du-775	13666840	2050026000	0.97604900	0.93899400	13226930	1889941629	0.99108500	0.96633400	0.96781187	283954	1600	67434	86922	3134587	97978253	0.06661550
ABMU_HOR_LP_308_Du-777	15299202	2294880300	0.98184200	0.94960500	14922012	2183218308	0.99187200	0.96810100	0.97534577	266172	1906	50636	58476	1931657	57558564	0.07876670
ABMU_HOR_LP_358_Du-770	12659814	1898972100	0.98486000	0.95546300	12391154	1822417063	0.99237900	0.96935200	0.97877852	172472	1622	60118	34448	1486502	38679255	0.09123890
ABMU_HOR_LP_359_Du-771	11668426	1750263900	0.98395700	0.95263900	11374526	1672422542	0.99200900	0.96768500	0.97481237	189458	1444	66222	36776	1281193	34809407	0.07534450
ABMU_HOR_LP_360_Du-772	11010370	1651555500	0.98016500	0.94553500	10593128	1544367013	0.99172300	0.96757100	0.96210463	204668	1268	150150	61156	1551272	49223161	0.10118500
ABMU_HOR_LP_361_Du-773	9830798	1474619700	0.98185100	0.94953200	9565426	1393165526	0.99226100	0.96905300	0.97300606	159368	1144	64572	40288	1449231	44046379	0.08722790
BAI_LP_105_Du-222	12041946	1806291900	0.98574300	0.95272800	11667332	1731086410	0.99235400	0.96671700	0.96889091	142580	1386	64294	166354	723597	21865529	0.15446300
BAI_LP_106_Du-223	15622386	2343357900	0.98585200	0.95470200	15314318	2247598198	0.99288900	0.96866100	0.98028035	148308	1786	45242	112732	1646490	51621104	0.14872200
BAI_LP_108_Du-225	4097974	614696100	0.98410900	0.94534100	3942364	585904920	0.99128100	0.96114100	0.96202758	52036	466	4394	98714	187365	5805128	0.11698500
BAI_LP_109_Du-226	13303796	1995569400	0.98795300	0.95946700	13083884	1940205053	0.99323800	0.96993300	0.98346998	121230	1508	20976	76198	829916	23412928	0.11856500
BAI_LP_110_Du-227	17454550	2618182500	0.98586100	0.95298200	16928418	2514968145	0.99256200	0.96716300	0.96985703	206878	1962	49864	267428	878548	26903044	0.13506000
