sample_id	cp_full_reference_mean_depth	cp_full_reference_breadth_dp1	cp_full_reference_breadth_dp3	cp_full_reference_breadth_dp5	cp_full_reference_breadth_dp10	cp_unique_sites_mean_depth	cp_unique_sites_breadth_dp1	cp_unique_sites_breadth_dp3	cp_unique_sites_breadth_dp5	cp_unique_sites_breadth_dp10	mt_full_reference_mean_depth	mt_full_reference_breadth_dp1	mt_full_reference_breadth_dp3	mt_full_reference_breadth_dp5	mt_full_reference_breadth_dp10	mt_unique_sites_mean_depth	mt_unique_sites_breadth_dp1	mt_unique_sites_breadth_dp3	mt_unique_sites_breadth_dp5	mt_unique_sites_breadth_dp10	mt_repeat_sites_mean_depth	mt_repeat_sites_breadth_dp1	mt_repeat_sites_breadth_dp3	mt_repeat_sites_breadth_dp5	mt_repeat_sites_breadth_dp10
ABAB_MAD_LP_222_Du-589	0.102845	0.09447409	0.00031276	0.00000000	0.00000000	0.151110	0.13837777	0.00047570	0.00000000	0.00000000	0.001775	0.00177516	0.00000000	0.00000000	0.00000000	0.005106	0.00510551	0.00000000	0.00000000	0.00000000	0.000978	0.00097784	0.00000000	0.00000000	0.00000000
ABAB_MAD_LP_223_Du-590	51.266287	0.70376113	0.68540133	0.68208073	0.67717636	76.455841	0.99974697	0.99952430	0.99943321	0.99908909	1.871022	0.19911735	0.19645873	0.18902527	0.08902075	9.490066	0.99980854	0.99270337	0.96096409	0.45336964	0.046962	0.00742548	0.00583139	0.00421694	0.00179271
ABAB_MAD_LP_322_Du-593	1042.688356	0.75786230	0.71507380	0.71055539	0.70438000	1551.140918	0.99985830	0.99985830	0.99984818	0.99976721	22.935922	0.20520712	0.20229373	0.20178009	0.20052679	116.498617	0.99985109	0.99978727	0.99970218	0.99968091	0.536264	0.01496300	0.01136740	0.01075115	0.00920291
ABAB_MAD_LP_323_Du-594	101.164233	0.69258821	0.68432996	0.68073652	0.67731610	150.954981	0.99983806	0.99967612	0.99949394	0.99939272	2.572960	0.19830374	0.19671350	0.19560813	0.15781212	13.153697	0.99968091	0.99891508	0.99693669	0.81043652	0.039847	0.00644764	0.00466002	0.00376367	0.00156862
ABAB_MAD_LP_324_Du-595	252.379221	0.68976669	0.68458948	0.68272622	0.67895311	377.742708	0.99985830	0.99982794	0.99975709	0.99948382	9.000970	0.19942554	0.19832840	0.19755177	0.19677103	45.943648	0.99980854	0.99974472	0.99970218	0.99965963	0.156597	0.00780745	0.00646292	0.00551054	0.00455307
ABAB_MAD_LP_325_Du-596	460.067091	0.70376778	0.69396569	0.69125730	0.68619987	687.009231	0.99990891	0.99984818	0.99980770	0.99969636	9.713711	0.20048981	0.19886669	0.19821334	0.19695183	49.537526	0.99982982	0.99972345	0.99965963	0.99951072	0.179571	0.00912142	0.00713518	0.00634069	0.00481281
ABAB_MAD_LP_326_Du-597	249.012058	0.70072667	0.69111090	0.68643278	0.68270626	372.296765	0.99986842	0.99976721	0.99971660	0.99955466	7.635801	0.20076102	0.19916255	0.19814759	0.19699703	38.888615	0.99985109	0.99968091	0.99968091	0.99963836	0.153628	0.00945246	0.00751206	0.00625411	0.00483827
ABAB_MAD_LP_327_Du-598	75.743502	0.69057854	0.68398392	0.68094947	0.67731610	113.026578	0.99981782	0.99962551	0.99950406	0.99930163	2.160993	0.19866124	0.19623273	0.19281802	0.12336918	11.044035	0.99980854	0.99823434	0.98483237	0.63557267	0.034321	0.00686016	0.00422712	0.00320345	0.00074357
ABBE_BERN_LP_311_Du-780	403.014500	0.73736641	0.70630981	0.70221728	0.69554281	599.673569	1.00000000	0.99990891	0.99985830	0.99950406	21.695935	0.19053333	0.18535579	0.18480927	0.18370802	110.436309	0.92760807	0.92143890	0.92124745	0.92122617	0.450779	0.01407174	0.00913161	0.00850008	0.00714027
ABBE_BERN_LP_312_Du-781	150.807352	0.71665092	0.69538975	0.69048538	0.68454290	224.921368	1.00000000	1.00000000	0.99991903	0.99970648	9.428556	0.18598449	0.18354776	0.18253280	0.18176028	48.048758	0.92267274	0.92182182	0.92122617	0.92122617	0.182571	0.00961543	0.00679905	0.00568370	0.00472623
ABBE_BERN_LP_313_Du-782	44.655463	0.78173204	0.69751254	0.68860215	0.67947216	66.106982	0.99987854	0.99972673	0.99949394	0.99897775	2.647241	0.18951837	0.18270128	0.18116034	0.16010092	13.423609	0.92799098	0.92122617	0.91786504	0.81735024	0.067293	0.01272211	0.00589251	0.00478735	0.00275018
ABBE_BERN_LP_314_Du-783	67.187438	0.77504425	0.69034564	0.68580060	0.68003780	99.927987	1.00000000	0.99990891	0.99988867	0.99932188	11.311753	0.20316076	0.18456272	0.18392170	0.18273826	57.408611	0.92439585	0.92141763	0.92141763	0.92122617	0.275797	0.03049131	0.00815377	0.00735927	0.00593835
ABMU_HOR_LP_306_Du-775	364.566791	0.91095599	0.78517907	0.72330543	0.69438492	541.595798	0.99985830	0.99984818	0.99981782	0.99968624	30.908625	0.24235800	0.20213758	0.20104044	0.20000904	156.872766	0.99995745	0.99980854	0.99968091	0.99968091	0.751802	0.06098263	0.01116877	0.00983952	0.00856120
ABMU_HOR_LP_308_Du-777	274.982951	0.81378016	0.71022266	0.70082649	0.69622157	408.188174	0.99990891	0.99984818	0.99975709	0.99959515	35.207623	0.22551868	0.20268410	0.20205540	0.20101578	178.284781	1.00000000	0.99995745	0.99978727	0.99968091	0.953807	0.04010165	0.01181048	0.01107201	0.00980896
ABMU_HOR_LP_358_Du-770	795.632032	0.75709038	0.71364973	0.70865885	0.70236368	1182.258345	0.99985830	0.99980770	0.99979757	0.99976721	23.602562	0.20519890	0.20212526	0.20159928	0.20078978	119.789334	1.00000000	0.99989364	0.99972345	0.99968091	0.574680	0.01491716	0.01113312	0.01052197	0.00952885
ABMU_HOR_LP_359_Du-771	605.701219	0.73039248	0.71109440	0.70662922	0.70225056	899.385701	0.99985830	0.99983806	0.99980770	0.99977733	27.779819	0.20850677	0.20329226	0.20274985	0.20148012	140.698370	0.99997873	0.99989364	0.99974472	0.99968091	0.746215	0.01902206	0.01257951	0.01194290	0.01038446
ABMU_HOR_LP_360_Du-772	493.057874	0.74846614	0.71583241	0.71146705	0.70468611	730.674187	0.99985830	0.99985830	0.99980770	0.99968624	16.178124	0.20632481	0.20259781	0.20122124	0.20032134	81.944052	1.00000000	0.99987236	0.99970218	0.99968091	0.433234	0.01631262	0.01172390	0.01005852	0.00894826
ABMU_HOR_LP_361_Du-773	363.793777	0.74907170	0.70951063	0.70396742	0.69821792	539.760136	0.99985830	0.99981782	0.99976721	0.99962551	16.000756	0.20840815	0.20281559	0.20216635	0.20028024	80.973749	0.99997873	0.99989364	0.99970218	0.99968091	0.445702	0.01889983	0.01198873	0.01122989	0.00889733
BAI_LP_105_Du-222	613.215979	0.76212119	0.74169850	0.73654791	0.72886860	898.715441	1.00000000	1.00000000	1.00000000	0.99998988	22.179899	0.19043882	0.18891432	0.18819522	0.18662552	112.151719	0.92188564	0.92137509	0.92133254	0.92133254	0.639925	0.01532460	0.01355735	0.01267628	0.01073078
BAI_LP_106_Du-223	839.719020	0.75164034	0.74040087	0.73542329	0.72862238	1227.676484	1.00000000	1.00000000	1.00000000	1.00000000	44.695713	0.20773425	0.20156230	0.19622040	0.18757063	225.499936	0.99936181	0.98459837	0.96075136	0.92141763	1.409736	0.01821228	0.01409720	0.01318557	0.01188178
BAI_LP_108_Du-225	163.630049	0.74985027	0.73682740	0.73180324	0.72517535	233.608186	1.00000000	0.99998988	0.99997976	0.99994939	20.754351	0.19203728	0.19013885	0.18922662	0.18783361	104.475834	0.92148145	0.92148145	0.92139636	0.92133254	0.710758	0.01740251	0.01504958	0.01393932	0.01222810
BAI_LP_109_Du-226	756.612095	0.75195310	0.73720670	0.73391272	0.72784381	1101.084674	1.00000000	1.00000000	1.00000000	1.00000000	46.958744	0.19141680	0.18989230	0.18893076	0.18745968	237.492725	0.92639551	0.92148145	0.92148145	0.92135381	1.343385	0.01545701	0.01474400	0.01355226	0.01175955
BAI_LP_110_Du-227	1063.635200	0.94675726	0.92439144	0.90950530	0.87430294	1547.831481	1.00000000	1.00000000	1.00000000	1.00000000	33.032947	0.22163964	0.19105108	0.18888967	0.18771445	166.546907	0.93224558	0.92188564	0.92135381	0.92133254	1.068637	0.05151489	0.01608344	0.01353189	0.01208041
BAI_LP_111_Du-228	660.060676	0.76787734	0.74328227	0.73831801	0.73108455	967.887340	1.00000000	1.00000000	1.00000000	1.00000000	48.375560	0.19514380	0.19052100	0.18942386	0.18868832	244.395273	0.92773570	0.92148145	0.92148145	0.92141763	1.446873	0.01975544	0.01552322	0.01416341	0.01326706
BAI_LP_112_Du-230	176.721562	0.74682913	0.73415228	0.72871555	0.72182813	254.908220	1.00000000	0.99996964	0.99995951	0.99995951	8.063355	0.19047580	0.18787059	0.18729120	0.18553248	40.663525	0.92148145	0.92135381	0.92133254	0.92133254	0.258613	0.01546720	0.01226885	0.01155584	0.00937607
BAI_LP_113_Du-231	753.591240	0.76441700	0.74131919	0.73605547	0.72818319	1103.093338	1.00000000	0.99986842	0.99986842	0.99981782	31.162320	0.19117846	0.18933345	0.18870886	0.18763637	157.745128	0.92231110	0.92190691	0.92148145	0.92141763	0.857383	0.01613946	0.01394951	0.01327724	0.01196327
BAI_LP_114_Du-232	214.312948	0.74746796	0.73725328	0.73193633	0.72647963	309.083743	1.00000000	1.00000000	0.99998988	0.99995951	12.262324	0.19157294	0.18951015	0.18887734	0.18760350	61.574838	0.92135381	0.92133254	0.92133254	0.92131127	0.456514	0.01685757	0.01430601	0.01352170	0.01194799
BAI_LP_319_Du-233	95.501457	0.71337690	0.70246350	0.69839094	0.69361965	141.177284	1.00000000	0.99995951	0.99994939	0.99990891	3.064863	0.18597627	0.18444767	0.18283688	0.17378030	15.513955	0.92148145	0.92131127	0.92118363	0.88463666	0.084451	0.00989045	0.00803663	0.00607076	0.00359560
