organelle	k	replicate	seed	cv_error	q_path
chloroplast	1	1	424301	0.48231	canonical_publication/results/supplement/publication-20260817/admixture/chloroplast/K1.replicate_1.Q.tsv
chloroplast	1	2	424302	0.4821	canonical_publication/results/supplement/publication-20260817/admixture/chloroplast/K1.replicate_2.Q.tsv
chloroplast	1	3	424303	0.48222	canonical_publication/results/supplement/publication-20260817/admixture/chloroplast/K1.replicate_3.Q.tsv
chloroplast	1	4	424304	0.48225	canonical_publication/results/supplement/publication-20260817/admixture/chloroplast/K1.replicate_4.Q.tsv
chloroplast	1	5	424305	0.48185	canonical_publication/results/supplement/publication-20260817/admixture/chloroplast/K1.replicate_5.Q.tsv
chloroplast	1	6	424306	0.48252	canonical_publication/results/supplement/publication-20260817/admixture/chloroplast/K1.replicate_6.Q.tsv
chloroplast	1	7	424307	0.48278	canonical_publication/results/supplement/publication-20260817/admixture/chloroplast/K1.replicate_7.Q.tsv
chloroplast	1	8	424308	0.48284	canonical_publication/results/supplement/publication-20260817/admixture/chloroplast/K1.replicate_8.Q.tsv
chloroplast	1	9	424309	0.48241	canonical_publication/results/supplement/publication-20260817/admixture/chloroplast/K1.replicate_9.Q.tsv
chloroplast	1	10	424310	0.48283	canonical_publication/results/supplement/publication-20260817/admixture/chloroplast/K1.replicate_10.Q.tsv
chloroplast	2	1	424401	0.39837	canonical_publication/results/supplement/publication-20260817/admixture/chloroplast/K2.replicate_1.Q.tsv
chloroplast	2	2	424402	0.28392	canonical_publication/results/supplement/publication-20260817/admixture/chloroplast/K2.replicate_2.Q.tsv
chloroplast	2	3	424403	0.28342	canonical_publication/results/supplement/publication-20260817/admixture/chloroplast/K2.replicate_3.Q.tsv
chloroplast	2	4	424404	0.28277	canonical_publication/results/supplement/publication-20260817/admixture/chloroplast/K2.replicate_4.Q.tsv
chloroplast	2	5	424405	0.28309	canonical_publication/results/supplement/publication-20260817/admixture/chloroplast/K2.replicate_5.Q.tsv
chloroplast	2	6	424406	0.2829	canonical_publication/results/supplement/publication-20260817/admixture/chloroplast/K2.replicate_6.Q.tsv
chloroplast	2	7	424407	0.28434	canonical_publication/results/supplement/publication-20260817/admixture/chloroplast/K2.replicate_7.Q.tsv
chloroplast	2	8	424408	0.28424	canonical_publication/results/supplement/publication-20260817/admixture/chloroplast/K2.replicate_8.Q.tsv
chloroplast	2	9	424409	0.28362	canonical_publication/results/supplement/publication-20260817/admixture/chloroplast/K2.replicate_9.Q.tsv
chloroplast	2	10	424410	0.28333	canonical_publication/results/supplement/publication-20260817/admixture/chloroplast/K2.replicate_10.Q.tsv
chloroplast	3	1	424501	0.24087	canonical_publication/results/supplement/publication-20260817/admixture/chloroplast/K3.replicate_1.Q.tsv
chloroplast	3	2	424502	0.23034	canonical_publication/results/supplement/publication-20260817/admixture/chloroplast/K3.replicate_2.Q.tsv
chloroplast	3	3	424503	0.23821	canonical_publication/results/supplement/publication-20260817/admixture/chloroplast/K3.replicate_3.Q.tsv
chloroplast	3	4	424504	0.24307	canonical_publication/results/supplement/publication-20260817/admixture/chloroplast/K3.replicate_4.Q.tsv
