q_row_1based	sample_id
1	ABAB_MAD_LP_223_Du-590
2	ABAB_MAD_LP_322_Du-593
3	ABAB_MAD_LP_323_Du-594
4	ABAB_MAD_LP_324_Du-595
5	ABAB_MAD_LP_325_Du-596
6	ABAB_MAD_LP_326_Du-597
7	ABAB_MAD_LP_327_Du-598
8	ABBE_BERN_LP_311_Du-780
9	ABBE_BERN_LP_312_Du-781
10	ABBE_BERN_LP_313_Du-782
11	ABBE_BERN_LP_314_Du-783
12	ABMU_HOR_LP_306_Du-775
13	ABMU_HOR_LP_308_Du-777
14	ABMU_HOR_LP_358_Du-770
15	ABMU_HOR_LP_359_Du-771
16	ABMU_HOR_LP_360_Du-772
17	ABMU_HOR_LP_361_Du-773
18	BAI_LP_105_Du-222
19	BAI_LP_106_Du-223
20	BAI_LP_108_Du-225
21	BAI_LP_109_Du-226
22	BAI_LP_110_Du-227
23	BAI_LP_111_Du-228
24	BAI_LP_112_Du-230
25	BAI_LP_113_Du-231
26	BAI_LP_114_Du-232
27	BAI_LP_319_Du-233
28	COM_LP_269_Du-703
29	COM_LP_270_Du-704
30	COM_LP_272_Du-707
31	COM_LP_274_Du-709
32	COM_LP_276_Du-711
33	COM_LP_277_Du-712
34	COM_LP_341_Du-713
35	COM_LP_342_Du-714
36	COM_LP_343_Du-715
37	CROB_LP_169_Du-381
38	CROB_LP_170_Du-382
39	CROB_LP_172_Du-384
40	CROB_LP_173_Du-385
41	CROB_LP_174_Du-386
42	CROB_LP_175_Du-387
43	CROB_LP_176_Du-388
44	CROB_LP_177_Du-389
45	CROB_LP_320_Du-395
46	CROB_LP_321_Du-396
47	CROS_LP_085_Du-181
48	CROS_LP_086_Du-182
49	CROS_LP_087_Du-183
50	CROS_LP_088_Du-184
51	CROS_LP_089_Du-185
52	CROS_LP_090_Du-186
53	CROS_LP_091_Du-187
54	CROS_LP_092_Du-188
55	CROS_LP_093_Du-189
56	CROS_LP_094_Du-190
57	CY_ALA_LP_298-Du-767
58	CY_ALA_LP_299-Du-768
59	CY_ALA_LP_357_Du-769
60	CY_BAL_LP_226_Du-602
61	CY_BAL_LP_227_Du-603
62	CY_BAL_LP_228_Du-604
63	CY_BGL_LP_210_Du-577
64	CY_BGL_LP_212_Du-579
65	CY_BOU_LP_288_Du-737
66	CY_BOU_LP_290_Du-739
67	CY_BOU_LP_291_Du-740
68	CY_BOU_LP_292_Du-741
69	CY_BOU_LP_354_Du-742
70	CY_CAS_LP_328_Du-610
71	CY_CAS_LP_329_Du-611
72	CY_CAS_LP_330_Du-607
73	CY_CAS_LP_331_Du-608
74	CY_CAS_LP_332_Du-609
75	CY_HICN_LP_236_Du-614
76	CY_HICN_LP_333_Du-612
77	CY_HICN_LP_334_Du-613
78	CY_HICN_LP_335_Du-615
79	CY_HICN_LP_336_Du-616
80	CY_HICS_LP_293_Du-757
81	CY_HICS_LP_295_Du-759
82	CY_HICS_LP_297_Du-761
83	CY_HICS_LP_355_Du-762
84	CY_HICS_LP_356_Du-763
85	CY_HUN_LP_264_Du-683
86	CY_HUN_LP_265_Du-684
87	CY_HUN_LP_266_Du-685
88	CY_HUN_LP_267_Du-686
89	CY_HUN_LP_268_Du-687
90	CY_SIE_LP_188_Du-445
91	CY_SIE_LP_189_Du-446
92	CY_SIE_LP_190_Du-447
93	CY_SIE_LP_191_Du-448
94	CY_WOO_LP_259_Du-664
95	CY_WOO_LP_260_Du-665
96	CY_WOO_LP_261_Du-667
97	CY_WOO_LP_262_Du-668
98	CY_WOO_LP_263_Du-669
99	DAN_LP_043_Du-68
100	DAN_LP_044_Du-69
101	DAN_LP_045_Du-70
102	DAN_LP_046_Du-71
103	DAN_LP_047_Du-72
104	DOV_LP_078_Du-174
105	DOV_LP_079_Du-175
106	DOV_LP_080_Du-176
107	DOV_LP_081_Du-177
108	DOV_LP_082_Du-178
109	DOV_LP_083_Du-179
110	DOV_LP_084_Du-180
111	DU-173
112	DU-229
113	DU-247
114	DU-254
115	DU-270
116	DU-297
117	DU-443
118	DU-4A
119	DU014LP012
120	DU037LP013
121	DU059LP015
122	DU078LP011
123	DU079LP010
124	DUD_LP_132_Du-283
125	DUD_LP_133_Du-284
126	DUD_LP_134_Du-285
127	DUD_LP_135_Du-286
128	DUD_LP_136_Du-287
129	DUD_LP_137_Du-288
130	DUD_LP_138_Du-289
131	DUD_LP_139_Du-290
132	KIRN_LP_179_Du-421
133	KIRN_LP_180_Du-422
134	KIRN_LP_181_Du-423
135	KIRN_LP_182_Du-424
136	KIRN_LP_183_Du-425
137	KIRN_LP_184_Du-426
138	KIRN_LP_185_Du-427
139	KIRN_LP_186_Du-428
140	KIRN_LP_187_Du-429
141	KIRT_LP_159_Du-364
142	KIRT_LP_160_Du-365
143	KIRT_LP_161_Du-366
144	KIRT_LP_162_Du-367
145	KIRT_LP_163_Du-368
146	KIRT_LP_164_Du-369
147	KIRT_LP_165_Du-370
148	KIRT_LP_166_Du-371
149	KIRT_LP_167_Du-372
150	KIRT_LP_168_Du-373
151	MALV_LP_095_Du-201
152	MALV_LP_096_Du-202
153	MALV_LP_097_Du-203
154	MALV_LP_098_Du-204
155	MALV_LP_099_Du-205
156	MALV_LP_100_Du-206
157	MALV_LP_101_Du-207
158	MALV_LP_102_Du-208
159	MALV_LP_103_Du-209
160	MALV_LP_104_Du-210
161	OCO_LP_058_Du-115
162	OCO_LP_059_Du-106
163	OCO_LP_060_Du-107
164	OCO_LP_061_Du-108
165	OCO_LP_062_Du-109
166	OCO_LP_063_Du-110
167	OCO_LP_064_Du-111
168	OCO_LP_065_Du-112
169	OCO_LP_066_Du-113
170	OCO_LP_067_Du-114
171	QUI1_LP_249_Du-648
172	QUI1_LP_250_Du-649
173	QUI1_LP_251_Du-650
174	QUI1_LP_252_Du-651
175	QUI1_LP_253_Du-652
176	QUI1_LP_254_Du-653
177	QUI1_LP_255_Du-654
178	QUI1_LP_257_Du-656
179	QUI1_LP_258_Du-657
180	QUI2_LP_243_Du-631
181	QUI2_LP_244_Du-632
182	QUI2_LP_245_Du-633
183	QUI2_LP_246_Du-634
184	QUI2_LP_247_Du-635
185	QUI2_LP_248_Du-636
186	QUI2_LP_337_Du-638
187	QUI2_LP_338_Du-639
188	QUI2_LP_339_Du-640
189	QUI2_LP_340_Du-641
190	QUIN_LP_069_Du-155
191	QUIN_LP_070_Du-156
192	QUIN_LP_071_Du-157
193	QUIN_LP_072_Du-158
194	QUIN_LP_073_Du-159
195	QUIN_LP_074_Du-160
196	QUIN_LP_075_Du-161
197	QUIN_LP_076_Du-162
198	QUIN_LP_077_Du-163
199	QUIN_LP_318_Du-164
200	RIC_LP_192_Du-521
201	RIC_LP_193_Du-522
202	RIC_LP_194_Du-523
203	RIC_LP_195_Du-524
204	RIC_LP_196_Du-525
205	RIC_LP_197_Du-526
206	RIC_LP_198_Du-527
207	RIC_LP_199_Du-528
208	RIC_LP_200_Du-529
209	RIC_LP_201_Du-530
210	RSV_LP_049_Du-85
211	RSV_LP_050_Du-87
212	RSV_LP_051_Du-88
213	RSV_LP_052_Du-89
214	RSV_LP_053_Du-90
215	RSV_LP_055_Du-92
216	RSV_LP_057_Du-94
217	RSV_LP_315_Du-95
218	RSV_LP_316_Du-96
219	SILG_LP_149_Du-343
220	SILG_LP_150_Du-344
221	SILG_LP_151_Du-345
222	SILG_LP_152_Du-346
223	SILG_LP_153_Du-347
224	SILG_LP_154_Du-348
225	SILG_LP_155_Du-349
226	SILG_LP_156_Du-350
227	SILG_LP_157_Du-351
228	SILG_LP_158_Du-352
229	SILR_LP_346_Du-729
230	SILR_LP_347_Du-730
231	SILR_LP_348_Du-731
232	SILR_LP_349_Du-732
233	SILR_LP_351_Du-734
234	SILR_LP_353_Du-736
235	STI_LP_027_Du-45
236	STI_LP_028_Du-46
237	STI_LP_029_Du-47
238	STI_LP_030_Du-48
239	STI_LP_031_Du-49
240	STI_LP_032_Du-50
241	STI_LP_033_Du-51
242	STI_LP_034_Du-52
243	STI_LP_035_Du-53
244	STI_LP_036_Du-54
245	STI_LP_037_Du-55
246	STI_LP_038_Du-56
247	STI_LP_039_Du-57
248	STI_LP_040_Du-58
249	STI_LP_041_Du-60
250	STI_LP_042_Du-61
