organelle	k	replicate	seed	cv_error	q_path
mitochondria	1	1	424301	0.44959	canonical_publication/results/supplement/publication-20260817/admixture/mitochondria/K1.replicate_1.Q.tsv
mitochondria	1	2	424302	0.45019	canonical_publication/results/supplement/publication-20260817/admixture/mitochondria/K1.replicate_2.Q.tsv
mitochondria	1	3	424303	0.44933	canonical_publication/results/supplement/publication-20260817/admixture/mitochondria/K1.replicate_3.Q.tsv
mitochondria	1	4	424304	0.44992	canonical_publication/results/supplement/publication-20260817/admixture/mitochondria/K1.replicate_4.Q.tsv
mitochondria	1	5	424305	0.44977	canonical_publication/results/supplement/publication-20260817/admixture/mitochondria/K1.replicate_5.Q.tsv
mitochondria	1	6	424306	0.45134	canonical_publication/results/supplement/publication-20260817/admixture/mitochondria/K1.replicate_6.Q.tsv
mitochondria	1	7	424307	0.45118	canonical_publication/results/supplement/publication-20260817/admixture/mitochondria/K1.replicate_7.Q.tsv
mitochondria	1	8	424308	0.45107	canonical_publication/results/supplement/publication-20260817/admixture/mitochondria/K1.replicate_8.Q.tsv
mitochondria	1	9	424309	0.44921	canonical_publication/results/supplement/publication-20260817/admixture/mitochondria/K1.replicate_9.Q.tsv
mitochondria	1	10	424310	0.45035	canonical_publication/results/supplement/publication-20260817/admixture/mitochondria/K1.replicate_10.Q.tsv
mitochondria	2	1	424401	0.289	canonical_publication/results/supplement/publication-20260817/admixture/mitochondria/K2.replicate_1.Q.tsv
mitochondria	2	2	424402	0.28851	canonical_publication/results/supplement/publication-20260817/admixture/mitochondria/K2.replicate_2.Q.tsv
mitochondria	2	3	424403	0.28967	canonical_publication/results/supplement/publication-20260817/admixture/mitochondria/K2.replicate_3.Q.tsv
mitochondria	2	4	424404	0.28722	canonical_publication/results/supplement/publication-20260817/admixture/mitochondria/K2.replicate_4.Q.tsv
mitochondria	2	5	424405	0.28741	canonical_publication/results/supplement/publication-20260817/admixture/mitochondria/K2.replicate_5.Q.tsv
mitochondria	2	6	424406	0.28956	canonical_publication/results/supplement/publication-20260817/admixture/mitochondria/K2.replicate_6.Q.tsv
mitochondria	2	7	424407	0.28823	canonical_publication/results/supplement/publication-20260817/admixture/mitochondria/K2.replicate_7.Q.tsv
mitochondria	2	8	424408	0.28884	canonical_publication/results/supplement/publication-20260817/admixture/mitochondria/K2.replicate_8.Q.tsv
mitochondria	2	9	424409	0.29169	canonical_publication/results/supplement/publication-20260817/admixture/mitochondria/K2.replicate_9.Q.tsv
mitochondria	2	10	424410	0.28857	canonical_publication/results/supplement/publication-20260817/admixture/mitochondria/K2.replicate_10.Q.tsv
mitochondria	3	1	424501	0.25577	canonical_publication/results/supplement/publication-20260817/admixture/mitochondria/K3.replicate_1.Q.tsv
mitochondria	3	2	424502	0.25568	canonical_publication/results/supplement/publication-20260817/admixture/mitochondria/K3.replicate_2.Q.tsv
mitochondria	3	3	424503	0.24194	canonical_publication/results/supplement/publication-20260817/admixture/mitochondria/K3.replicate_3.Q.tsv
mitochondria	3	4	424504	0.24368	canonical_publication/results/supplement/publication-20260817/admixture/mitochondria/K3.replicate_4.Q.tsv
mitochondria	3	5	424505	0.25616	canonical_publication/results/supplement/publication-20260817/admixture/mitochondria/K3.replicate_5.Q.tsv
mitochondria	3	6	424506	0.25033	canonical_publication/results/supplement/publication-20260817/admixture/mitochondria/K3.replicate_6.Q.tsv
mitochondria	3	7	424507	0.24405	canonical_publication/results/supplement/publication-20260817/admixture/mitochondria/K3.replicate_7.Q.tsv
mitochondria	3	8	424508	0.23653	canonical_publication/results/supplement/publication-20260817/admixture/mitochondria/K3.replicate_8.Q.tsv
mitochondria	3	9	424509	0.24331	canonical_publication/results/supplement/publication-20260817/admixture/mitochondria/K3.replicate_9.Q.tsv
mitochondria	3	10	424510	0.2524	canonical_publication/results/supplement/publication-20260817/admixture/mitochondria/K3.replicate_10.Q.tsv
mitochondria	4	1	424601	0.21846	canonical_publication/results/supplement/publication-20260817/admixture/mitochondria/K4.replicate_1.Q.tsv
mitochondria	4	2	424602	0.20551	canonical_publication/results/supplement/publication-20260817/admixture/mitochondria/K4.replicate_2.Q.tsv
mitochondria	4	3	424603	0.20155	canonical_publication/results/supplement/publication-20260817/admixture/mitochondria/K4.replicate_3.Q.tsv
mitochondria	4	4	424604	0.20886	canonical_publication/results/supplement/publication-20260817/admixture/mitochondria/K4.replicate_4.Q.tsv
mitochondria	4	5	424605	0.22056	canonical_publication/results/supplement/publication-20260817/admixture/mitochondria/K4.replicate_5.Q.tsv
mitochondria	4	6	424606	0.2082	canonical_publication/results/supplement/publication-20260817/admixture/mitochondria/K4.replicate_6.Q.tsv
mitochondria	4	7	424607	0.20257	canonical_publication/results/supplement/publication-20260817/admixture/mitochondria/K4.replicate_7.Q.tsv
mitochondria	4	8	424608	0.2116	canonical_publication/results/supplement/publication-20260817/admixture/mitochondria/K4.replicate_8.Q.tsv
mitochondria	4	9	424609	0.20677	canonical_publication/results/supplement/publication-20260817/admixture/mitochondria/K4.replicate_9.Q.tsv
mitochondria	4	10	424610	0.19869	canonical_publication/results/supplement/publication-20260817/admixture/mitochondria/K4.replicate_10.Q.tsv
mitochondria	5	1	424701	0.16218	canonical_publication/results/supplement/publication-20260817/admixture/mitochondria/K5.replicate_1.Q.tsv
mitochondria	5	2	424702	0.18354	canonical_publication/results/supplement/publication-20260817/admixture/mitochondria/K5.replicate_2.Q.tsv
mitochondria	5	3	424703	0.17046	canonical_publication/results/supplement/publication-20260817/admixture/mitochondria/K5.replicate_3.Q.tsv
mitochondria	5	4	424704	0.16856	canonical_publication/results/supplement/publication-20260817/admixture/mitochondria/K5.replicate_4.Q.tsv
mitochondria	5	5	424705	0.17155	canonical_publication/results/supplement/publication-20260817/admixture/mitochondria/K5.replicate_5.Q.tsv
mitochondria	5	6	424706	0.16525	canonical_publication/results/supplement/publication-20260817/admixture/mitochondria/K5.replicate_6.Q.tsv
mitochondria	5	7	424707	0.17927	canonical_publication/results/supplement/publication-20260817/admixture/mitochondria/K5.replicate_7.Q.tsv
mitochondria	5	8	424708	0.17555	canonical_publication/results/supplement/publication-20260817/admixture/mitochondria/K5.replicate_8.Q.tsv
mitochondria	5	9	424709	0.1716	canonical_publication/results/supplement/publication-20260817/admixture/mitochondria/K5.replicate_9.Q.tsv
mitochondria	5	10	424710	0.16431	canonical_publication/results/supplement/publication-20260817/admixture/mitochondria/K5.replicate_10.Q.tsv
mitochondria	6	1	424801	0.15001	canonical_publication/results/supplement/publication-20260817/admixture/mitochondria/K6.replicate_1.Q.tsv
mitochondria	6	2	424802	0.16174	canonical_publication/results/supplement/publication-20260817/admixture/mitochondria/K6.replicate_2.Q.tsv
mitochondria	6	3	424803	0.13771	canonical_publication/results/supplement/publication-20260817/admixture/mitochondria/K6.replicate_3.Q.tsv
mitochondria	6	4	424804	0.14294	canonical_publication/results/supplement/publication-20260817/admixture/mitochondria/K6.replicate_4.Q.tsv
mitochondria	6	5	424805	0.13092	canonical_publication/results/supplement/publication-20260817/admixture/mitochondria/K6.replicate_5.Q.tsv
mitochondria	6	6	424806	0.13139	canonical_publication/results/supplement/publication-20260817/admixture/mitochondria/K6.replicate_6.Q.tsv
mitochondria	6	7	424807	0.15511	canonical_publication/results/supplement/publication-20260817/admixture/mitochondria/K6.replicate_7.Q.tsv
mitochondria	6	8	424808	0.15348	canonical_publication/results/supplement/publication-20260817/admixture/mitochondria/K6.replicate_8.Q.tsv
mitochondria	6	9	424809	0.14788	canonical_publication/results/supplement/publication-20260817/admixture/mitochondria/K6.replicate_9.Q.tsv
mitochondria	6	10	424810	0.13321	canonical_publication/results/supplement/publication-20260817/admixture/mitochondria/K6.replicate_10.Q.tsv
mitochondria	7	1	424901	0.11575	canonical_publication/results/supplement/publication-20260817/admixture/mitochondria/K7.replicate_1.Q.tsv
mitochondria	7	2	424902	0.14218	canonical_publication/results/supplement/publication-20260817/admixture/mitochondria/K7.replicate_2.Q.tsv
mitochondria	7	3	424903	0.12008	canonical_publication/results/supplement/publication-20260817/admixture/mitochondria/K7.replicate_3.Q.tsv
mitochondria	7	4	424904	0.13171	canonical_publication/results/supplement/publication-20260817/admixture/mitochondria/K7.replicate_4.Q.tsv
mitochondria	7	5	424905	0.11354	canonical_publication/results/supplement/publication-20260817/admixture/mitochondria/K7.replicate_5.Q.tsv
mitochondria	7	6	424906	0.1317	canonical_publication/results/supplement/publication-20260817/admixture/mitochondria/K7.replicate_6.Q.tsv
mitochondria	7	7	424907	0.11837	canonical_publication/results/supplement/publication-20260817/admixture/mitochondria/K7.replicate_7.Q.tsv
mitochondria	7	8	424908	0.13429	canonical_publication/results/supplement/publication-20260817/admixture/mitochondria/K7.replicate_8.Q.tsv
mitochondria	7	9	424909	0.11748	canonical_publication/results/supplement/publication-20260817/admixture/mitochondria/K7.replicate_9.Q.tsv
mitochondria	7	10	424910	0.13715	canonical_publication/results/supplement/publication-20260817/admixture/mitochondria/K7.replicate_10.Q.tsv
