q_row_1based	sample_id
1	ABAB_MAD_LP_223_Du-590
2	ABAB_MAD_LP_322_Du-593
3	ABAB_MAD_LP_323_Du-594
4	ABAB_MAD_LP_324_Du-595
5	ABAB_MAD_LP_325_Du-596
6	ABAB_MAD_LP_326_Du-597
7	ABAB_MAD_LP_327_Du-598
8	ABBE_BERN_LP_311_Du-780
9	ABBE_BERN_LP_312_Du-781
10	ABBE_BERN_LP_313_Du-782
11	ABBE_BERN_LP_314_Du-783
12	ABMU_HOR_LP_306_Du-775
13	ABMU_HOR_LP_308_Du-777
14	ABMU_HOR_LP_358_Du-770
15	ABMU_HOR_LP_359_Du-771
16	ABMU_HOR_LP_360_Du-772
17	ABMU_HOR_LP_361_Du-773
18	BAI_LP_105_Du-222
19	BAI_LP_106_Du-223
20	BAI_LP_108_Du-225
21	BAI_LP_109_Du-226
22	BAI_LP_110_Du-227
23	BAI_LP_111_Du-228
24	BAI_LP_112_Du-230
25	BAI_LP_113_Du-231
26	BAI_LP_114_Du-232
27	BAI_LP_319_Du-233
28	COM_LP_269_Du-703
29	COM_LP_270_Du-704
30	COM_LP_272_Du-707
31	COM_LP_274_Du-709
32	COM_LP_276_Du-711
33	COM_LP_277_Du-712
34	COM_LP_341_Du-713
35	COM_LP_342_Du-714
36	COM_LP_343_Du-715
37	CROB_LP_169_Du-381
38	CROB_LP_170_Du-382
39	CROB_LP_172_Du-384
40	CROB_LP_173_Du-385
41	CROB_LP_174_Du-386
42	CROB_LP_175_Du-387
43	CROB_LP_176_Du-388
44	CROB_LP_177_Du-389
45	CROB_LP_320_Du-395
46	CROB_LP_321_Du-396
47	CROS_LP_085_Du-181
48	CROS_LP_086_Du-182
49	CROS_LP_087_Du-183
50	CROS_LP_088_Du-184
51	CROS_LP_089_Du-185
52	CROS_LP_090_Du-186
53	CROS_LP_091_Du-187
54	CROS_LP_092_Du-188
55	CROS_LP_093_Du-189
56	CROS_LP_094_Du-190
57	CY_ALA_LP_298-Du-767
58	CY_ALA_LP_299-Du-768
59	CY_ALA_LP_357_Du-769
60	CY_BAL_LP_226_Du-602
61	CY_BAL_LP_227_Du-603
62	CY_BGL_LP_210_Du-577
63	CY_BGL_LP_212_Du-579
64	CY_BOU_LP_288_Du-737
65	CY_BOU_LP_290_Du-739
66	CY_BOU_LP_291_Du-740
67	CY_BOU_LP_292_Du-741
68	CY_BOU_LP_354_Du-742
69	CY_CAS_LP_328_Du-610
70	CY_CAS_LP_329_Du-611
71	CY_CAS_LP_330_Du-607
72	CY_CAS_LP_331_Du-608
73	CY_CAS_LP_332_Du-609
74	CY_HICN_LP_236_Du-614
75	CY_HICN_LP_333_Du-612
76	CY_HICN_LP_334_Du-613
77	CY_HICN_LP_335_Du-615
78	CY_HICN_LP_336_Du-616
79	CY_HICS_LP_293_Du-757
80	CY_HICS_LP_297_Du-761
81	CY_HICS_LP_355_Du-762
82	CY_HICS_LP_356_Du-763
83	CY_HUN_LP_264_Du-683
84	CY_HUN_LP_266_Du-685
85	CY_HUN_LP_267_Du-686
86	CY_HUN_LP_268_Du-687
87	CY_SIE_LP_188_Du-445
88	CY_SIE_LP_189_Du-446
89	CY_SIE_LP_190_Du-447
90	CY_SIE_LP_191_Du-448
91	CY_WOO_LP_259_Du-664
92	CY_WOO_LP_260_Du-665
93	CY_WOO_LP_261_Du-667
94	CY_WOO_LP_262_Du-668
95	CY_WOO_LP_263_Du-669
96	DAN_LP_043_Du-68
97	DAN_LP_044_Du-69
98	DAN_LP_045_Du-70
99	DAN_LP_046_Du-71
100	DAN_LP_047_Du-72
101	DOV_LP_078_Du-174
102	DOV_LP_079_Du-175
103	DOV_LP_080_Du-176
104	DOV_LP_081_Du-177
105	DOV_LP_082_Du-178
106	DOV_LP_083_Du-179
107	DOV_LP_084_Du-180
108	DU-173
109	DU-229
110	DU-247
111	DU-254
112	DU-270
113	DU-297
114	DU-443
115	DU-4A
116	DU014LP012
117	DU037LP013
118	DU059LP015
119	DU078LP011
120	DU079LP010
121	DUD_LP_132_Du-283
122	DUD_LP_133_Du-284
123	DUD_LP_134_Du-285
124	DUD_LP_135_Du-286
125	DUD_LP_136_Du-287
126	DUD_LP_137_Du-288
127	DUD_LP_138_Du-289
128	DUD_LP_139_Du-290
129	KIRN_LP_179_Du-421
130	KIRN_LP_180_Du-422
131	KIRN_LP_181_Du-423
132	KIRN_LP_182_Du-424
133	KIRN_LP_183_Du-425
134	KIRN_LP_184_Du-426
135	KIRN_LP_185_Du-427
136	KIRN_LP_186_Du-428
137	KIRN_LP_187_Du-429
138	KIRT_LP_159_Du-364
139	KIRT_LP_160_Du-365
140	KIRT_LP_161_Du-366
141	KIRT_LP_162_Du-367
142	KIRT_LP_163_Du-368
143	KIRT_LP_164_Du-369
144	KIRT_LP_165_Du-370
145	KIRT_LP_166_Du-371
146	KIRT_LP_167_Du-372
147	KIRT_LP_168_Du-373
148	MALV_LP_095_Du-201
149	MALV_LP_096_Du-202
150	MALV_LP_097_Du-203
151	MALV_LP_098_Du-204
152	MALV_LP_099_Du-205
153	MALV_LP_100_Du-206
154	MALV_LP_101_Du-207
155	MALV_LP_102_Du-208
156	MALV_LP_103_Du-209
157	MALV_LP_104_Du-210
158	OCO_LP_058_Du-115
159	OCO_LP_059_Du-106
160	OCO_LP_060_Du-107
161	OCO_LP_061_Du-108
162	OCO_LP_062_Du-109
163	OCO_LP_063_Du-110
164	OCO_LP_064_Du-111
165	OCO_LP_065_Du-112
166	OCO_LP_066_Du-113
167	OCO_LP_067_Du-114
168	QUI1_LP_249_Du-648
169	QUI1_LP_250_Du-649
170	QUI1_LP_252_Du-651
171	QUI1_LP_253_Du-652
172	QUI1_LP_254_Du-653
173	QUI1_LP_255_Du-654
174	QUI1_LP_257_Du-656
175	QUI1_LP_258_Du-657
176	QUI2_LP_243_Du-631
177	QUI2_LP_244_Du-632
178	QUI2_LP_245_Du-633
179	QUI2_LP_246_Du-634
180	QUI2_LP_247_Du-635
181	QUI2_LP_248_Du-636
182	QUI2_LP_337_Du-638
183	QUI2_LP_338_Du-639
184	QUI2_LP_339_Du-640
185	QUI2_LP_340_Du-641
186	QUIN_LP_069_Du-155
187	QUIN_LP_070_Du-156
188	QUIN_LP_071_Du-157
189	QUIN_LP_072_Du-158
190	QUIN_LP_073_Du-159
191	QUIN_LP_074_Du-160
192	QUIN_LP_075_Du-161
193	QUIN_LP_076_Du-162
194	QUIN_LP_077_Du-163
195	QUIN_LP_318_Du-164
196	RIC_LP_192_Du-521
197	RIC_LP_193_Du-522
198	RIC_LP_194_Du-523
199	RIC_LP_195_Du-524
200	RIC_LP_196_Du-525
201	RIC_LP_197_Du-526
202	RIC_LP_198_Du-527
203	RIC_LP_199_Du-528
204	RIC_LP_200_Du-529
205	RIC_LP_201_Du-530
206	RSV_LP_049_Du-85
207	RSV_LP_050_Du-87
208	RSV_LP_051_Du-88
209	RSV_LP_052_Du-89
210	RSV_LP_053_Du-90
211	RSV_LP_055_Du-92
212	RSV_LP_057_Du-94
213	RSV_LP_315_Du-95
214	RSV_LP_316_Du-96
215	SILG_LP_149_Du-343
216	SILG_LP_150_Du-344
217	SILG_LP_151_Du-345
218	SILG_LP_152_Du-346
219	SILG_LP_153_Du-347
220	SILG_LP_154_Du-348
221	SILG_LP_155_Du-349
222	SILG_LP_156_Du-350
223	SILG_LP_157_Du-351
224	SILG_LP_158_Du-352
225	SILR_LP_346_Du-729
226	SILR_LP_347_Du-730
227	SILR_LP_348_Du-731
228	SILR_LP_349_Du-732
229	SILR_LP_351_Du-734
230	SILR_LP_353_Du-736
231	STI_LP_027_Du-45
232	STI_LP_028_Du-46
233	STI_LP_029_Du-47
234	STI_LP_030_Du-48
235	STI_LP_031_Du-49
236	STI_LP_032_Du-50
237	STI_LP_033_Du-51
238	STI_LP_034_Du-52
239	STI_LP_035_Du-53
240	STI_LP_036_Du-54
241	STI_LP_037_Du-55
242	STI_LP_038_Du-56
243	STI_LP_039_Du-57
244	STI_LP_040_Du-58
245	STI_LP_041_Du-60
246	STI_LP_042_Du-61
247	TIL_LP_123_Du-263
248	TIL_LP_124_Du-264
249	TIL_LP_125_Du-265
250	TIL_LP_126_Du-266
251	TIL_LP_128_Du-268
