sample_id	ABAB_MAD_LP_223_Du-590	ABAB_MAD_LP_322_Du-593	ABAB_MAD_LP_323_Du-594	ABAB_MAD_LP_324_Du-595	ABAB_MAD_LP_325_Du-596	ABAB_MAD_LP_326_Du-597	ABAB_MAD_LP_327_Du-598	ABBE_BERN_LP_311_Du-780	ABBE_BERN_LP_312_Du-781	ABBE_BERN_LP_313_Du-782	ABBE_BERN_LP_314_Du-783	ABMU_HOR_LP_306_Du-775	ABMU_HOR_LP_308_Du-777	ABMU_HOR_LP_358_Du-770	ABMU_HOR_LP_359_Du-771	ABMU_HOR_LP_360_Du-772	ABMU_HOR_LP_361_Du-773	BAI_LP_105_Du-222	BAI_LP_106_Du-223	BAI_LP_108_Du-225	BAI_LP_109_Du-226	BAI_LP_110_Du-227	BAI_LP_111_Du-228	BAI_LP_112_Du-230	BAI_LP_113_Du-231	BAI_LP_114_Du-232	BAI_LP_319_Du-233	COM_LP_269_Du-703	COM_LP_270_Du-704	COM_LP_272_Du-707	COM_LP_274_Du-709	COM_LP_276_Du-711	COM_LP_277_Du-712	COM_LP_341_Du-713	COM_LP_342_Du-714	COM_LP_343_Du-715	CROB_LP_169_Du-381	CROB_LP_170_Du-382	CROB_LP_172_Du-384	CROB_LP_173_Du-385	CROB_LP_174_Du-386	CROB_LP_175_Du-387	CROB_LP_176_Du-388	CROB_LP_177_Du-389	CROB_LP_320_Du-395	CROB_LP_321_Du-396	CROS_LP_085_Du-181	CROS_LP_086_Du-182	CROS_LP_087_Du-183	CROS_LP_088_Du-184	CROS_LP_089_Du-185	CROS_LP_090_Du-186	CROS_LP_091_Du-187	CROS_LP_092_Du-188	CROS_LP_093_Du-189	CROS_LP_094_Du-190	CY_ALA_LP_298-Du-767	CY_ALA_LP_299-Du-768	CY_ALA_LP_357_Du-769	CY_BAL_LP_226_Du-602	CY_BAL_LP_227_Du-603	CY_BAL_LP_228_Du-604	CY_BGL_LP_210_Du-577	CY_BGL_LP_212_Du-579	CY_BOU_LP_288_Du-737	CY_BOU_LP_290_Du-739	CY_BOU_LP_291_Du-740	CY_BOU_LP_292_Du-741	CY_BOU_LP_354_Du-742	CY_CAS_LP_328_Du-610	CY_CAS_LP_329_Du-611	CY_CAS_LP_330_Du-607	CY_CAS_LP_331_Du-608	CY_CAS_LP_332_Du-609	CY_HICN_LP_236_Du-614	CY_HICN_LP_333_Du-612	CY_HICN_LP_334_Du-613	CY_HICN_LP_335_Du-615	CY_HICN_LP_336_Du-616	CY_HICS_LP_293_Du-757	CY_HICS_LP_295_Du-759	CY_HICS_LP_297_Du-761	CY_HICS_LP_355_Du-762	CY_HICS_LP_356_Du-763	CY_HUN_LP_264_Du-683	CY_HUN_LP_265_Du-684	CY_HUN_LP_266_Du-685	CY_HUN_LP_267_Du-686	CY_HUN_LP_268_Du-687	CY_SIE_LP_188_Du-445	CY_SIE_LP_189_Du-446	CY_SIE_LP_190_Du-447	CY_SIE_LP_191_Du-448	CY_WOO_LP_259_Du-664	CY_WOO_LP_260_Du-665	CY_WOO_LP_261_Du-667	CY_WOO_LP_262_Du-668	CY_WOO_LP_263_Du-669	DAN_LP_043_Du-68	DAN_LP_044_Du-69	DAN_LP_045_Du-70	DAN_LP_046_Du-71	DAN_LP_047_Du-72	DOV_LP_078_Du-174	DOV_LP_079_Du-175	DOV_LP_080_Du-176	DOV_LP_081_Du-177	DOV_LP_082_Du-178	DOV_LP_083_Du-179	DOV_LP_084_Du-180	DU-173	DU-229	DU-247	DU-254	DU-270	DU-297	DU-443	DU-4A	DU014LP012	DU037LP013	DU059LP015	DU078LP011	DU079LP010	DUD_LP_132_Du-283	DUD_LP_133_Du-284	DUD_LP_134_Du-285	DUD_LP_135_Du-286	DUD_LP_136_Du-287	DUD_LP_137_Du-288	DUD_LP_138_Du-289	DUD_LP_139_Du-290	KIRN_LP_179_Du-421	KIRN_LP_180_Du-422	KIRN_LP_181_Du-423	KIRN_LP_182_Du-424	KIRN_LP_183_Du-425	KIRN_LP_184_Du-426	KIRN_LP_185_Du-427	KIRN_LP_186_Du-428	KIRN_LP_187_Du-429	KIRT_LP_159_Du-364	KIRT_LP_160_Du-365	KIRT_LP_161_Du-366	KIRT_LP_162_Du-367	KIRT_LP_163_Du-368	KIRT_LP_164_Du-369	KIRT_LP_165_Du-370	KIRT_LP_166_Du-371	KIRT_LP_167_Du-372	KIRT_LP_168_Du-373	MALV_LP_095_Du-201	MALV_LP_096_Du-202	MALV_LP_097_Du-203	MALV_LP_098_Du-204	MALV_LP_099_Du-205	MALV_LP_100_Du-206	MALV_LP_101_Du-207	MALV_LP_102_Du-208	MALV_LP_103_Du-209	MALV_LP_104_Du-210	OCO_LP_058_Du-115	OCO_LP_059_Du-106	OCO_LP_060_Du-107	OCO_LP_061_Du-108	OCO_LP_062_Du-109	OCO_LP_063_Du-110	OCO_LP_064_Du-111	OCO_LP_065_Du-112	OCO_LP_066_Du-113	OCO_LP_067_Du-114	QUI1_LP_249_Du-648	QUI1_LP_250_Du-649	QUI1_LP_251_Du-650	QUI1_LP_252_Du-651	QUI1_LP_253_Du-652	QUI1_LP_254_Du-653	QUI1_LP_255_Du-654	QUI1_LP_257_Du-656	QUI1_LP_258_Du-657	QUI2_LP_243_Du-631	QUI2_LP_244_Du-632	QUI2_LP_245_Du-633	QUI2_LP_246_Du-634	QUI2_LP_247_Du-635	QUI2_LP_248_Du-636	QUI2_LP_337_Du-638	QUI2_LP_338_Du-639	QUI2_LP_339_Du-640	QUI2_LP_340_Du-641	QUIN_LP_069_Du-155	QUIN_LP_070_Du-156	QUIN_LP_071_Du-157	QUIN_LP_072_Du-158	QUIN_LP_073_Du-159	QUIN_LP_074_Du-160	QUIN_LP_075_Du-161	QUIN_LP_076_Du-162	QUIN_LP_077_Du-163	QUIN_LP_318_Du-164	RIC_LP_192_Du-521	RIC_LP_193_Du-522	RIC_LP_194_Du-523	RIC_LP_195_Du-524	RIC_LP_196_Du-525	RIC_LP_197_Du-526	RIC_LP_198_Du-527	RIC_LP_199_Du-528	RIC_LP_200_Du-529	RIC_LP_201_Du-530	RSV_LP_049_Du-85	RSV_LP_050_Du-87	RSV_LP_051_Du-88	RSV_LP_052_Du-89	RSV_LP_053_Du-90	RSV_LP_055_Du-92	RSV_LP_057_Du-94	RSV_LP_315_Du-95	RSV_LP_316_Du-96	SILG_LP_149_Du-343	SILG_LP_150_Du-344	SILG_LP_151_Du-345	SILG_LP_152_Du-346	SILG_LP_153_Du-347	SILG_LP_154_Du-348	SILG_LP_155_Du-349	SILG_LP_156_Du-350	SILG_LP_157_Du-351	SILG_LP_158_Du-352	SILR_LP_346_Du-729	SILR_LP_347_Du-730	SILR_LP_348_Du-731	SILR_LP_349_Du-732	SILR_LP_351_Du-734	SILR_LP_353_Du-736	STI_LP_027_Du-45	STI_LP_028_Du-46	STI_LP_029_Du-47	STI_LP_030_Du-48	STI_LP_031_Du-49	STI_LP_032_Du-50	STI_LP_033_Du-51	STI_LP_034_Du-52	STI_LP_035_Du-53	STI_LP_036_Du-54	STI_LP_037_Du-55	STI_LP_038_Du-56	STI_LP_039_Du-57	STI_LP_040_Du-58	STI_LP_041_Du-60	STI_LP_042_Du-61	TIL_LP_123_Du-263	TIL_LP_124_Du-264	TIL_LP_125_Du-265	TIL_LP_126_Du-266	TIL_LP_127_Du-267	TIL_LP_128_Du-268	TIL_LP_129_Du-269	TIL_LP_130_Du-271	TIL_LP_131_Du-272	TULP_LP_115_Du-242	TULP_LP_116_Du-243	TULP_LP_117_Du-244	TULP_LP_118_Du-245	TULP_LP_119_Du-246	TULP_LP_120_Du-248	TULP_LP_121_Du-249	TULP_LP_122_Du-250	TULP_LP_140_Du-302	TULP_LP_141_Du-303	TULP_LP_142_Du-304	TULP_LP_143_Du-305	TULP_LP_144_Du-306	TULP_LP_145_Du-307	TULP_LP_146_Du-308	TULP_LP_147_Du-309	TULP_LP_148_Du-310
ABAB_MAD_LP_223_Du-590	101133	101131	100922	100951	101130	101105	100918	101084	101039	100953	100896	101113	101052	101131	101130	101129	101130	101128	101130	101095	101119	101127	101127	101072	101126	101112	101075	101132	101112	101129	100925	101132	101132	101131	101043	101133	101062	101120	101083	101122	101117	101126	101126	101126	101130	101123	101133	101132	101088	101132	101132	101132	101133	101132	101133	101132	101119	101106	101129	101081	101058	100578	101015	101082	101106	101130	101128	101130	101130	101077	100969	100945	100884	101044	101105	101003	100730	101035	101046	101054	100245	101094	101131	101130	100997	80054	100978	101002	100968	101091	101081	101049	101127	101116	101069	100186	101062	101118	101109	101124	101125	101126	101119	100988	101118	101123	101114	101119	101121	101124	101121	101130	101132	101132	101115	101130	101076	101123	101130	101120	101131	101132	101132	101133	101133	101132	101133	101132	101012	101133	101133	101132	101133	101133	101132	101126	101133	101132	101117	101125	101053	101102	101069	101050	101060	101116	101075	101061	101081	101044	101125	101133	101132	101132	101133	101132	101132	101132	101132	101133	101021	101016	100838	101053	101034	100808	100938	101007	100677	100800	101092	101081	100544	100894	101124	100899	101123	101069	101123	101123	100864	101072	101119	101128	101120	100654	101031	101117	101111	100994	100775	101106	100937	101069	101117	101117	101109	101121	101070	101132	101132	101126	101127	101125	100663	101125	101126	101126	101125	101128	101128	101124	101127	101124	101097	101075	101127	101127	101019	101095	101065	101086	101074	101112	101066	101006	101099	100730	101132	101132	101131	101131	101130	101133	101124	101131	100985	101131	101042	101131	101088	101130	101131	101118	101125	101132	101123	100762	101130	101131	100971	101129	101113	101120	98316	101127	100982	101130	101129	101132	101132	101133	101132	101132	101132	101133	101132	101133	101126	101101	101133	101133	101069	101129	101131	101132
ABAB_MAD_LP_322_Du-593	101131	103592	101045	101155	101927	101572	101057	102934	101744	101610	101370	102520	102706	103329	103296	103383	103276	103385	103384	103276	103324	103372	103394	103256	103516	103299	102766	103001	102201	103121	102937	102192	102593	103397	102495	103159	102015	103321	102689	103327	103324	103332	103322	103332	103338	103318	103516	103457	103276	103421	103591	103480	103585	103585	103358	103590	101853	101739	103299	102010	101842	100748	102554	103393	102139	103390	102329	102198	103384	101486	102349	101700	101196	101792	103115	101195	100824	101359	101646	101533	100310	101872	103191	102720	101821	80090	102335	101462	101323	103292	103357	103248	103365	102566	101320	100256	101358	101916	102411	103122	103331	103320	102903	103166	103467	103453	103460	103353	103440	103492	103456	103518	103590	103589	103320	103588	103288	103557	103508	103456	103462	103589	103380	102206	103459	103581	103519	103517	103104	103422	103114	103348	103381	103360	103388	103326	103379	103373	103318	103324	101933	103291	103258	103225	103248	103304	103263	103250	103079	103233	103584	103475	103518	103519	103475	103529	103544	103494	103543	103448	101449	101671	101009	102055	102102	100927	101177	101489	100779	100921	101520	101438	100631	101024	102170	101057	102144	101365	102780	102939	101036	101291	102090	102356	102466	100742	101193	102596	102626	101417	100862	101466	101033	101370	101712	103360	103314	103347	102573	103380	103360	103331	103303	103261	102508	103330	103322	103324	103333	103417	103449	102101	103427	103369	102871	103262	103434	103367	102175	102067	102771	102504	102202	103087	102205	102788	102070	101141	103065	103390	103226	103344	103363	101735	102062	102989	101262	102666	101615	102605	101543	103095	103445	102262	103322	103410	102861	100891	102818	102796	101982	102768	101542	102229	98382	102878	102388	103230	102365	103589	103590	103590	103591	103591	103590	103585	103590	101902	103148	101922	102137	102550	101739	102533	103430	102712
ABAB_MAD_LP_323_Du-594	100922	101045	101049	100964	101045	101046	100902	100996	100948	100861	100807	101025	100963	101043	101043	101043	101045	101042	101046	101000	101040	101042	101042	100980	101041	101022	100979	101048	101028	101044	100841	101048	101048	101047	100956	101049	100966	101036	100993	101044	101039	101048	101039	101048	101046	101036	101049	101048	100996	101048	101048	101048	101048	101048	101049	101048	101038	101029	101045	100990	100969	100473	100923	100994	101015	101044	101042	101045	101044	100976	100875	100867	100827	100958	101019	100924	100745	100934	100968	100973	100259	101022	101046	101044	100896	80065	100882	100931	100842	101009	100985	100968	101042	101027	100963	100218	100998	101039	101016	101031	101047	101039	101032	100890	101034	101039	101030	101034	101037	101040	101034	101046	101048	101048	101036	101046	100988	101039	101046	101035	101047	101048	101048	101049	101049	101048	101049	101048	100920	101049	101049	101048	101047	101049	101047	101042	101049	101048	101034	101041	100960	101010	100977	100956	100968	101026	100982	100969	100988	100951	101041	101049	101048	101048	101049	101047	101048	101046	101048	101048	100936	100932	100792	100967	100948	100765	100884	100929	100623	100753	100992	100970	100588	100913	101040	100858	101038	101001	101039	101035	100847	101007	101041	101044	101041	100664	100982	101030	101022	100989	100778	101035	100910	100990	101038	101033	101030	101036	100977	101048	101048	101047	101049	101042	100585	101044	101039	101042	101047	101043	101043	101040	101042	101039	101015	100982	101039	101043	100924	101008	100968	100996	100979	101033	100972	100907	101006	100676	101047	101047	101047	101047	101046	101048	101043	101046	100957	101046	100968	101046	101039	101047	101046	101036	101044	101048	101033	100803	101041	101046	100880	101045	101043	101034	98351	101042	100898	101045	101042	101048	101048	101048	101048	101048	101048	101049	101048	101049	101042	101013	101049	101049	100980	101042	101047	101048
ABAB_MAD_LP_324_Du-595	100951	101155	100964	101160	101153	101153	100919	101105	101055	100968	100907	101134	101071	101153	101154	101153	101154	101151	101154	101110	101151	101152	101152	101090	101150	101132	101089	101157	101136	101154	100949	101158	101158	101157	101064	101159	101076	101146	101104	101154	101150	101157	101147	101158	101155	101145	101159	101158	101106	101157	101158	101158	101157	101157	101158	101158	101151	101140	101155	101098	101073	100528	101029	101103	101125	101154	101151	101155	101154	101084	100983	100977	100883	101066	101128	100977	100744	101009	101079	101049	100274	101132	101156	101153	101006	80067	100992	101049	100962	101118	101093	101078	101152	101137	101068	100226	101064	101150	101127	101142	101158	101146	101142	101000	101144	101149	101140	101141	101147	101150	101145	101156	101158	101157	101149	101157	101102	101148	101156	101145	101157	101157	101158	101159	101159	101158	101158	101158	101030	101159	101158	101157	101157	101159	101156	101152	101158	101158	101146	101150	101070	101121	101087	101067	101078	101136	101093	101079	101098	101062	101151	101159	101158	101158	101157	101157	101158	101156	101158	101158	101036	101039	100823	101074	101057	100814	100959	100999	100669	100797	101095	101036	100583	100927	101150	100945	101148	101085	101149	101143	100898	101060	101154	101154	101151	100683	101029	101141	101130	101071	100808	101130	100948	101075	101145	101143	101141	101146	101088	101158	101157	101156	101159	101151	100697	101155	101147	101150	101158	101151	101153	101149	101152	101149	101125	101092	101148	101152	101034	101119	101077	101106	101089	101144	101083	101017	101116	100826	101157	101158	101157	101157	101155	101158	101153	101155	101014	101155	101079	101156	101136	101157	101153	101146	101153	101156	101144	100849	101148	101156	100989	101154	101143	101143	98357	101152	101008	101154	101151	101157	101158	101158	101158	101158	101158	101158	101158	101159	101151	101123	101159	101159	101076	101151	101157	101158
ABAB_MAD_LP_325_Du-596	101130	101927	101045	101153	101936	101561	101057	101876	101620	101515	101316	101904	101841	101926	101924	101922	101920	101924	101928	101862	101902	101924	101923	101841	101919	101884	101841	101930	101901	101927	101723	101906	101930	101929	101838	101931	101730	101898	101855	101906	101901	101910	101901	101910	101919	101898	101931	101930	101857	101929	101930	101930	101927	101926	101932	101930	101763	101666	101926	101795	101690	100735	101804	101874	101855	101925	101909	101886	101925	101473	101756	101613	101180	101700	101899	101180	100811	101343	101590	101497	100298	101759	101927	101924	101675	80078	101741	101446	101311	101871	101866	101829	101923	101888	101306	100244	101319	101774	101848	101893	101909	101900	101893	101751	101915	101922	101911	101914	101919	101921	101914	101929	101930	101929	101898	101929	101850	101919	101927	101919	101929	101929	101930	101811	101931	101930	101930	101931	101781	101932	101930	101926	101930	101931	101931	101905	101931	101930	101896	101903	101756	101872	101838	101819	101829	101887	101845	101830	101849	101815	101924	101931	101931	101930	101930	101930	101930	101930	101930	101931	101430	101582	100996	101780	101813	100912	101140	101464	100765	100907	101502	101408	100617	101008	101893	101043	101835	101350	101920	101898	101022	101277	101875	101905	101902	100728	101179	101891	101883	101386	100846	101452	101020	101357	101684	101914	101891	101918	101839	101931	101930	101909	101911	101905	101446	101907	101901	101905	101910	101924	101924	101832	101923	101921	101875	101842	101921	101924	101786	101863	101829	101858	101831	101895	101826	101768	101856	101119	101930	101931	101929	101929	101927	101706	101751	101923	101251	101924	101589	101920	101532	101909	101925	101892	101903	101925	101892	100877	101921	101927	101703	101925	101491	101892	98367	101924	101776	101927	101919	101929	101931	101930	101930	101932	101930	101930	101930	101763	101923	101739	101870	101894	101638	101913	101929	101930
ABAB_MAD_LP_326_Du-597	101105	101572	101046	101153	101561	101576	101058	101520	101447	101290	101225	101551	101488	101570	101570	101571	101570	101567	101570	101522	101564	101567	101567	101502	101567	101545	101502	101573	101554	101569	101365	101573	101573	101572	101481	101574	101484	101559	101515	101566	101562	101570	101561	101571	101571	101558	101574	101573	101518	101573	101573	101573	101573	101573	101576	101574	101550	101534	101570	101514	101460	100693	101447	101518	101536	101569	101566	101569	101569	101367	101400	101373	101095	101483	101544	101126	100802	101250	101423	101379	100294	101544	101570	101568	101417	80077	101403	101322	101228	101532	101509	101492	101567	101549	101287	100240	101278	101562	101538	101553	101570	101561	101554	101412	101559	101566	101555	101558	101562	101565	101559	101571	101573	101573	101559	101571	101511	101564	101571	101562	101573	101573	101573	101545	101574	101573	101574	101574	101442	101575	101574	101575	101572	101574	101574	101565	101574	101573	101557	101563	101482	101532	101499	101478	101490	101548	101504	101491	101510	101475	101566	101574	101573	101573	101574	101572	101573	101572	101573	101573	101316	101436	100954	101490	101473	100914	101082	101318	100744	100894	101379	101299	100613	101004	101566	101039	101557	101299	101564	101560	101009	101250	101566	101569	101565	100723	101174	101552	101544	101315	100842	101389	101014	101282	101498	101558	101553	101563	101500	101574	101573	101569	101572	101566	101106	101568	101561	101564	101571	101568	101569	101554	101568	101564	101537	101504	101564	101568	101446	101530	101491	101519	101502	101557	101494	101429	101528	100997	101572	101572	101572	101572	101571	101530	101534	101572	101224	101570	101421	101571	101471	101573	101571	101558	101566	101573	101556	100872	101566	101572	101390	101570	101368	101556	98363	101568	101423	101571	101568	101573	101573	101573	101573	101574	101573	101574	101573	101552	101567	101501	101574	101574	101426	101567	101572	101573
ABAB_MAD_LP_327_Du-598	100918	101057	100902	100919	101057	101058	101061	101010	100962	100904	100835	101041	100976	101057	101055	101056	101058	101055	101057	101037	101052	101054	101055	101015	101052	101045	101014	101060	101039	101056	100853	101059	101059	101059	100970	101060	101005	101048	101020	101056	101052	101060	101052	101059	101057	101049	101061	101059	101020	101059	101060	101060	101060	101059	101060	101059	101055	101041	101056	101006	100991	100522	100939	101009	101033	101055	101054	101056	101055	101004	100887	100879	100820	100970	101032	100918	100689	100969	100982	100985	100270	101047	101057	101056	100917	80060	100913	100942	100866	101024	101000	100982	101054	101044	100990	100216	101026	101052	101046	101046	101059	101051	101049	100930	101045	101051	101041	101046	101048	101052	101047	101057	101059	101059	101051	101057	101008	101051	101058	101047	101058	101059	101059	101060	101060	101060	101060	101060	100956	101060	101060	101060	101061	101060	101059	101056	101060	101059	101047	101054	100995	101027	101014	100995	101004	101046	101014	101005	101016	100987	101053	101060	101059	101059	101060	101060	101060	101059	101059	101060	100946	100942	100762	100979	100960	100758	100892	100946	100635	100780	101020	101001	100578	100875	101051	100883	101049	101000	101050	101047	100895	101030	101055	101055	101053	100667	100982	101045	101034	101014	100779	101044	100912	101032	101053	101044	101043	101048	101002	101059	101059	101060	101061	101053	100598	101057	101052	101055	101060	101055	101054	101051	101053	101051	101034	101008	101054	101054	100962	101029	100983	101025	101004	101047	100997	100947	101026	100679	101060	101059	101058	101058	101057	101060	101054	101057	100984	101058	100991	101058	101056	101058	101057	101055	101058	101059	101048	100735	101053	101058	100900	101057	101023	101049	98340	101053	100909	101057	101054	101059	101059	101060	101060	101059	101059	101060	101059	101060	101053	101028	101061	101060	100992	101053	101058	101059
ABBE_BERN_LP_311_Du-780	101084	102934	100996	101105	101876	101520	101010	103018	101765	101639	101399	102403	102584	102890	102916	102958	102898	103003	103000	102897	102941	102989	103010	102877	102989	102919	102644	102882	102190	102859	102661	102182	102550	102998	102481	102946	101995	102935	102611	102941	102939	102947	102935	102948	102940	102932	103018	103017	102891	103016	103017	103017	102995	102995	102974	102998	101845	101732	102967	102031	101860	100759	102501	102990	102136	103005	102315	102189	103011	101497	102323	101691	101187	101781	102921	101205	100832	101364	101654	101523	100302	101869	102936	102687	101838	80089	102351	101479	101340	102921	102966	102879	102985	102519	101313	100250	101349	101909	102389	102908	102947	102932	102716	102786	103004	103009	103000	102969	103007	103010	102997	103016	103017	103016	102936	103015	102904	103006	103015	103004	103000	103016	102995	102153	102993	103017	103003	103014	102757	102993	102852	102962	102995	102977	103003	102942	102994	102989	102934	102937	101923	102906	102872	102852	102863	102920	102878	102864	102817	102847	103010	103018	103017	103017	103014	103016	103017	103015	103017	103017	101463	101686	101024	102070	102115	100924	101176	101502	100795	100938	101509	101429	100624	101017	102160	101047	102133	101356	102753	102817	101027	101282	102082	102346	102435	100733	101184	102558	102571	101409	100850	101456	101023	101358	101704	102976	102929	102960	102534	102995	102974	102944	102949	102934	102265	102944	102935	102938	102947	103008	103010	102089	103010	102985	102740	102877	103005	102991	102159	102058	102672	102451	102196	102864	102197	102598	102061	101132	102891	103007	102925	102988	102988	101727	102052	102797	101240	102532	101588	102512	101519	102815	102992	102226	102919	102992	102688	100882	102651	102679	101954	102717	101514	102189	98373	102774	102362	102934	102333	103016	103017	103017	103017	103017	103017	103017	103017	101869	102827	101822	102123	102390	101730	102394	102982	102558
ABBE_BERN_LP_312_Du-781	101039	101744	100948	101055	101620	101447	100962	101765	101794	101494	101385	101733	101694	101742	101736	101736	101735	101786	101791	101697	101740	101786	101788	101675	101764	101717	101678	101793	101770	101789	101573	101772	101792	101792	101748	101793	101657	101736	101721	101743	101739	101748	101739	101747	101756	101735	101794	101792	101694	101791	101793	101793	101770	101771	101773	101773	101623	101631	101791	101707	101632	100711	101733	101767	101704	101788	101774	101735	101788	101423	101620	101511	101098	101593	101776	101161	100813	101295	101480	101482	100263	101613	101786	101776	101580	80063	101604	101376	101291	101725	101746	101679	101782	101722	101271	100249	101305	101661	101707	101730	101746	101737	101730	101585	101779	101785	101775	101772	101782	101786	101774	101791	101792	101791	101735	101790	101705	101782	101791	101779	101775	101791	101785	101756	101793	101793	101792	101793	101618	101793	101792	101762	101792	101776	101790	101741	101793	101788	101733	101741	101644	101709	101676	101656	101666	101724	101681	101667	101686	101650	101786	101793	101792	101792	101792	101792	101793	101790	101792	101792	101396	101574	100982	101694	101716	100941	101076	101374	100753	100894	101443	101367	100584	100971	101746	101014	101707	101285	101784	101735	100984	101238	101697	101782	101742	100751	101140	101730	101733	101295	100807	101411	100979	101309	101582	101775	101729	101760	101678	101792	101776	101747	101749	101741	101269	101744	101739	101741	101747	101788	101787	101743	101786	101783	101728	101682	101783	101788	101625	101684	101677	101698	101688	101734	101662	101630	101698	101023	101792	101791	101791	101791	101789	101591	101659	101765	101188	101745	101506	101736	101416	101729	101770	101709	101722	101770	101711	100838	101765	101791	101555	101789	101389	101713	98329	101786	101608	101790	101765	101791	101792	101793	101793	101792	101792	101788	101792	101648	101790	101651	101777	101793	101596	101785	101792	101789
ABBE_BERN_LP_313_Du-782	100953	101610	100861	100968	101515	101290	100904	101639	101494	101658	101276	101578	101568	101608	101602	101603	101600	101655	101656	101634	101652	101654	101654	101611	101630	101641	101616	101657	101618	101655	101450	101629	101657	101656	101606	101658	101487	101646	101642	101655	101650	101658	101651	101658	101655	101649	101658	101658	101619	101658	101658	101658	101637	101636	101658	101639	101495	101468	101656	101585	101502	100692	101602	101637	101600	101655	101635	101554	101656	101268	101489	101408	100994	101435	101644	101061	100737	101176	101377	101332	100219	101494	101656	101651	101512	80052	101537	101316	101186	101639	101614	101594	101649	101640	101167	100189	101202	101537	101644	101645	101658	101651	101648	101528	101645	101650	101641	101645	101648	101651	101646	101657	101658	101658	101650	101656	101621	101649	101656	101646	101641	101658	101658	101602	101658	101658	101658	101658	101555	101658	101658	101658	101658	101658	101658	101654	101658	101658	101646	101652	101525	101626	101612	101593	101603	101645	101613	101605	101616	101587	101651	101658	101658	101658	101658	101658	101658	101658	101658	101658	101286	101420	100874	101543	101546	100858	101020	101267	100670	100819	101344	101200	100523	100887	101571	100947	101576	101169	101649	101649	100904	101145	101607	101628	101653	100655	101052	101645	101642	101248	100724	101312	100898	101204	101444	101643	101643	101647	101606	101658	101658	101658	101658	101652	101183	101655	101651	101655	101658	101654	101654	101599	101653	101650	101643	101607	101651	101653	101547	101582	101591	101625	101613	101645	101576	101562	101591	100941	101657	101657	101657	101657	101656	101449	101585	101631	101128	101631	101452	101620	101326	101636	101637	101629	101635	101636	101626	100758	101634	101656	101455	101654	101300	101622	98288	101647	101482	101656	101602	101658	101658	101658	101658	101658	101658	101654	101658	101491	101653	101481	101558	101657	101440	101632	101658	101654
