sample_id	ABAB_MAD_LP_223_Du-590	ABAB_MAD_LP_322_Du-593	ABAB_MAD_LP_323_Du-594	ABAB_MAD_LP_324_Du-595	ABAB_MAD_LP_325_Du-596	ABAB_MAD_LP_326_Du-597	ABAB_MAD_LP_327_Du-598	ABBE_BERN_LP_311_Du-780	ABBE_BERN_LP_312_Du-781	ABBE_BERN_LP_313_Du-782	ABBE_BERN_LP_314_Du-783	ABMU_HOR_LP_306_Du-775	ABMU_HOR_LP_308_Du-777	ABMU_HOR_LP_358_Du-770	ABMU_HOR_LP_359_Du-771	ABMU_HOR_LP_360_Du-772	ABMU_HOR_LP_361_Du-773	BAI_LP_105_Du-222	BAI_LP_106_Du-223	BAI_LP_108_Du-225	BAI_LP_109_Du-226	BAI_LP_110_Du-227	BAI_LP_111_Du-228	BAI_LP_112_Du-230	BAI_LP_113_Du-231	BAI_LP_114_Du-232	BAI_LP_319_Du-233	COM_LP_269_Du-703	COM_LP_270_Du-704	COM_LP_272_Du-707	COM_LP_274_Du-709	COM_LP_276_Du-711	COM_LP_277_Du-712	COM_LP_341_Du-713	COM_LP_342_Du-714	COM_LP_343_Du-715	CROB_LP_169_Du-381	CROB_LP_170_Du-382	CROB_LP_172_Du-384	CROB_LP_173_Du-385	CROB_LP_174_Du-386	CROB_LP_175_Du-387	CROB_LP_176_Du-388	CROB_LP_177_Du-389	CROB_LP_320_Du-395	CROB_LP_321_Du-396	CROS_LP_085_Du-181	CROS_LP_086_Du-182	CROS_LP_087_Du-183	CROS_LP_088_Du-184	CROS_LP_089_Du-185	CROS_LP_090_Du-186	CROS_LP_091_Du-187	CROS_LP_092_Du-188	CROS_LP_093_Du-189	CROS_LP_094_Du-190	CY_ALA_LP_298-Du-767	CY_ALA_LP_299-Du-768	CY_ALA_LP_357_Du-769	CY_BAL_LP_226_Du-602	CY_BAL_LP_227_Du-603	CY_BAL_LP_228_Du-604	CY_BGL_LP_210_Du-577	CY_BGL_LP_212_Du-579	CY_BOU_LP_288_Du-737	CY_BOU_LP_290_Du-739	CY_BOU_LP_291_Du-740	CY_BOU_LP_292_Du-741	CY_BOU_LP_354_Du-742	CY_CAS_LP_328_Du-610	CY_CAS_LP_329_Du-611	CY_CAS_LP_330_Du-607	CY_CAS_LP_331_Du-608	CY_CAS_LP_332_Du-609	CY_HICN_LP_236_Du-614	CY_HICN_LP_333_Du-612	CY_HICN_LP_334_Du-613	CY_HICN_LP_335_Du-615	CY_HICN_LP_336_Du-616	CY_HICS_LP_293_Du-757	CY_HICS_LP_295_Du-759	CY_HICS_LP_297_Du-761	CY_HICS_LP_355_Du-762	CY_HICS_LP_356_Du-763	CY_HUN_LP_264_Du-683	CY_HUN_LP_265_Du-684	CY_HUN_LP_266_Du-685	CY_HUN_LP_267_Du-686	CY_HUN_LP_268_Du-687	CY_SIE_LP_188_Du-445	CY_SIE_LP_189_Du-446	CY_SIE_LP_190_Du-447	CY_SIE_LP_191_Du-448	CY_WOO_LP_259_Du-664	CY_WOO_LP_260_Du-665	CY_WOO_LP_261_Du-667	CY_WOO_LP_262_Du-668	CY_WOO_LP_263_Du-669	DAN_LP_043_Du-68	DAN_LP_044_Du-69	DAN_LP_045_Du-70	DAN_LP_046_Du-71	DAN_LP_047_Du-72	DOV_LP_078_Du-174	DOV_LP_079_Du-175	DOV_LP_080_Du-176	DOV_LP_081_Du-177	DOV_LP_082_Du-178	DOV_LP_083_Du-179	DOV_LP_084_Du-180	DU-173	DU-229	DU-247	DU-254	DU-270	DU-297	DU-443	DU-4A	DU014LP012	DU037LP013	DU059LP015	DU078LP011	DU079LP010	DUD_LP_132_Du-283	DUD_LP_133_Du-284	DUD_LP_134_Du-285	DUD_LP_135_Du-286	DUD_LP_136_Du-287	DUD_LP_137_Du-288	DUD_LP_138_Du-289	DUD_LP_139_Du-290	KIRN_LP_179_Du-421	KIRN_LP_180_Du-422	KIRN_LP_181_Du-423	KIRN_LP_182_Du-424	KIRN_LP_183_Du-425	KIRN_LP_184_Du-426	KIRN_LP_185_Du-427	KIRN_LP_186_Du-428	KIRN_LP_187_Du-429	KIRT_LP_159_Du-364	KIRT_LP_160_Du-365	KIRT_LP_161_Du-366	KIRT_LP_162_Du-367	KIRT_LP_163_Du-368	KIRT_LP_164_Du-369	KIRT_LP_165_Du-370	KIRT_LP_166_Du-371	KIRT_LP_167_Du-372	KIRT_LP_168_Du-373	MALV_LP_095_Du-201	MALV_LP_096_Du-202	MALV_LP_097_Du-203	MALV_LP_098_Du-204	MALV_LP_099_Du-205	MALV_LP_100_Du-206	MALV_LP_101_Du-207	MALV_LP_102_Du-208	MALV_LP_103_Du-209	MALV_LP_104_Du-210	OCO_LP_058_Du-115	OCO_LP_059_Du-106	OCO_LP_060_Du-107	OCO_LP_061_Du-108	OCO_LP_062_Du-109	OCO_LP_063_Du-110	OCO_LP_064_Du-111	OCO_LP_065_Du-112	OCO_LP_066_Du-113	OCO_LP_067_Du-114	QUI1_LP_249_Du-648	QUI1_LP_250_Du-649	QUI1_LP_251_Du-650	QUI1_LP_252_Du-651	QUI1_LP_253_Du-652	QUI1_LP_254_Du-653	QUI1_LP_255_Du-654	QUI1_LP_257_Du-656	QUI1_LP_258_Du-657	QUI2_LP_243_Du-631	QUI2_LP_244_Du-632	QUI2_LP_245_Du-633	QUI2_LP_246_Du-634	QUI2_LP_247_Du-635	QUI2_LP_248_Du-636	QUI2_LP_337_Du-638	QUI2_LP_338_Du-639	QUI2_LP_339_Du-640	QUI2_LP_340_Du-641	QUIN_LP_069_Du-155	QUIN_LP_070_Du-156	QUIN_LP_071_Du-157	QUIN_LP_072_Du-158	QUIN_LP_073_Du-159	QUIN_LP_074_Du-160	QUIN_LP_075_Du-161	QUIN_LP_076_Du-162	QUIN_LP_077_Du-163	QUIN_LP_318_Du-164	RIC_LP_192_Du-521	RIC_LP_193_Du-522	RIC_LP_194_Du-523	RIC_LP_195_Du-524	RIC_LP_196_Du-525	RIC_LP_197_Du-526	RIC_LP_198_Du-527	RIC_LP_199_Du-528	RIC_LP_200_Du-529	RIC_LP_201_Du-530	RSV_LP_049_Du-85	RSV_LP_050_Du-87	RSV_LP_051_Du-88	RSV_LP_052_Du-89	RSV_LP_053_Du-90	RSV_LP_055_Du-92	RSV_LP_057_Du-94	RSV_LP_315_Du-95	RSV_LP_316_Du-96	SILG_LP_149_Du-343	SILG_LP_150_Du-344	SILG_LP_151_Du-345	SILG_LP_152_Du-346	SILG_LP_153_Du-347	SILG_LP_154_Du-348	SILG_LP_155_Du-349	SILG_LP_156_Du-350	SILG_LP_157_Du-351	SILG_LP_158_Du-352	SILR_LP_346_Du-729	SILR_LP_347_Du-730	SILR_LP_348_Du-731	SILR_LP_349_Du-732	SILR_LP_351_Du-734	SILR_LP_353_Du-736	STI_LP_027_Du-45	STI_LP_028_Du-46	STI_LP_029_Du-47	STI_LP_030_Du-48	STI_LP_031_Du-49	STI_LP_032_Du-50	STI_LP_033_Du-51	STI_LP_034_Du-52	STI_LP_035_Du-53	STI_LP_036_Du-54	STI_LP_037_Du-55	STI_LP_038_Du-56	STI_LP_039_Du-57	STI_LP_040_Du-58	STI_LP_041_Du-60	STI_LP_042_Du-61	TIL_LP_123_Du-263	TIL_LP_124_Du-264	TIL_LP_125_Du-265	TIL_LP_126_Du-266	TIL_LP_127_Du-267	TIL_LP_128_Du-268	TIL_LP_129_Du-269	TIL_LP_130_Du-271	TIL_LP_131_Du-272	TULP_LP_115_Du-242	TULP_LP_116_Du-243	TULP_LP_117_Du-244	TULP_LP_118_Du-245	TULP_LP_119_Du-246	TULP_LP_120_Du-248	TULP_LP_121_Du-249	TULP_LP_122_Du-250	TULP_LP_140_Du-302	TULP_LP_141_Du-303	TULP_LP_142_Du-304	TULP_LP_143_Du-305	TULP_LP_144_Du-306	TULP_LP_145_Du-307	TULP_LP_146_Du-308	TULP_LP_147_Du-309	TULP_LP_148_Du-310
ABAB_MAD_LP_223_Du-590	0	12	24	23	45	16	15	543	540	539	528	63	63	61	64	64	65	478	480	478	476	481	480	478	475	478	479	481	478	478	473	478	477	478	476	478	474	474	474	474	474	474	474	474	474	474	474	474	475	475	476	474	484	484	478	483	430	427	430	545	541	544	545	551	437	438	438	438	438	556	432	431	430	431	620	618	614	621	622	430	430	435	435	434	627	481	630	629	630	621	625	622	432	439	440	410	439	439	485	485	479	479	485	469	470	470	470	471	471	470	488	480	478	483	485	480	627	474	433	433	472	484	484	484	484	484	484	479	475	484	481	478	473	473	473	474	473	473	475	478	474	474	474	474	474	474	473	473	474	474	479	478	478	478	476	478	477	478	478	478	640	646	646	649	647	644	645	646	637	637	435	435	434	434	435	432	435	434	435	477	477	477	478	477	478	477	479	478	476	480	478	480	478	478	479	478	478	478	480	477	477	477	477	477	18	485	477	477	477	474	476	477	473	476	473	474	473	475	450	473	472	471	474	473	471	473	472	470	486	486	486	486	485	475	481	472	471	472	471	472	472	472	472	472	472	472	472	480	472	481	470	480	481	481	460	477	472	473	473	484	482	478	483	483	484	483	482	481	482	482	479	479	483	478	484	484
ABAB_MAD_LP_322_Du-593	12	0	18	17	41	10	9	544	545	544	533	58	57	56	58	58	59	480	482	480	478	483	482	480	476	480	481	487	484	484	479	484	483	484	482	484	480	480	480	480	480	480	480	480	480	480	480	480	481	481	482	480	489	489	484	488	436	433	436	550	547	548	550	556	439	440	440	440	440	557	438	437	436	437	627	623	619	627	629	432	432	437	437	436	632	486	635	634	634	628	632	625	434	441	442	412	441	441	492	492	486	486	492	467	468	468	468	469	469	468	494	482	484	489	491	486	634	480	435	435	474	491	491	490	490	490	490	485	481	490	487	484	479	479	479	480	479	479	481	484	480	480	480	480	480	480	479	479	480	480	485	484	484	484	482	484	483	484	484	484	645	651	650	654	652	648	648	651	641	641	441	441	440	440	441	438	441	440	441	483	483	483	484	483	484	483	485	484	482	486	484	486	484	484	485	484	484	484	486	483	483	483	483	483	16	491	483	483	483	480	482	479	479	482	479	480	479	481	448	471	470	469	472	471	469	471	470	468	493	493	493	493	492	481	487	473	472	473	472	473	473	473	473	473	473	473	473	486	474	487	475	486	486	486	466	483	477	479	478	490	488	484	489	489	490	485	488	487	484	484	485	485	489	484	486	486
ABAB_MAD_LP_323_Du-594	24	18	0	0	41	20	20	537	535	532	522	58	57	57	58	59	59	469	471	469	465	472	471	469	464	469	470	474	471	471	466	471	470	471	469	471	469	469	469	469	469	469	469	469	469	469	469	469	470	470	471	469	479	479	473	478	423	420	423	539	535	537	539	545	432	433	433	433	433	549	424	423	422	423	614	611	607	614	616	425	425	430	430	429	623	478	626	625	625	615	619	616	427	434	435	405	434	434	478	478	472	472	478	462	463	463	463	464	464	463	481	471	473	478	480	475	621	469	428	428	468	477	477	479	479	479	479	474	470	479	476	473	468	468	468	469	468	468	470	473	469	469	469	469	469	469	468	468	469	469	474	473	473	473	471	473	472	473	473	473	633	640	639	643	641	638	638	640	630	629	430	430	429	429	430	427	430	429	430	470	470	470	471	470	471	470	472	471	469	473	471	473	471	471	472	471	471	471	473	472	472	472	472	472	11	480	472	472	472	469	471	472	468	471	468	469	468	470	443	466	465	464	467	466	464	466	465	463	479	479	479	479	478	468	476	467	466	467	466	467	467	467	467	467	467	467	467	475	467	476	465	475	474	474	455	472	467	468	468	479	477	473	477	477	479	477	477	476	477	477	474	474	478	473	479	479
ABAB_MAD_LP_324_Du-595	23	17	0	0	40	19	19	536	533	531	521	56	56	55	57	58	58	469	471	469	466	472	471	469	465	469	470	472	469	469	464	469	468	469	467	469	467	467	467	467	467	467	467	467	467	467	467	467	468	468	469	467	477	477	471	476	421	418	421	538	535	536	538	544	430	431	431	431	431	549	422	421	420	421	614	611	607	614	616	423	423	428	428	427	621	477	624	624	623	615	619	616	424	431	432	403	431	431	476	476	470	470	476	460	461	461	461	462	462	461	480	471	471	476	478	473	621	467	425	425	466	475	475	477	477	477	477	472	468	477	474	471	466	466	466	467	466	466	468	471	467	467	467	467	467	467	466	466	467	467	472	471	471	471	469	471	470	471	471	471	631	638	637	641	639	637	637	638	629	628	428	428	427	427	428	425	428	427	428	469	469	469	470	469	470	469	471	470	468	472	470	472	470	470	471	470	470	470	472	470	470	470	470	470	12	478	470	470	470	467	469	470	466	469	466	467	466	468	441	464	463	462	465	464	462	464	463	461	477	477	477	477	476	466	474	465	464	465	464	465	465	465	465	465	465	465	465	473	465	474	463	473	473	473	453	470	465	466	466	477	475	471	476	476	477	476	475	474	475	475	471	471	476	471	477	477
ABAB_MAD_LP_325_Du-596	45	41	41	40	0	43	41	541	537	535	525	59	58	58	59	60	60	474	476	474	472	477	476	474	470	474	475	477	474	474	469	474	473	474	472	474	472	472	472	472	472	472	472	472	472	472	472	472	473	473	474	472	481	481	476	480	426	423	426	542	538	540	543	549	433	434	434	434	434	553	427	426	425	427	618	614	609	618	620	428	427	433	433	432	627	477	630	629	629	619	623	620	430	437	438	408	437	437	482	482	476	476	482	465	466	466	466	467	467	466	486	476	476	481	483	478	624	472	431	431	470	481	481	482	482	482	482	477	473	482	479	476	471	471	471	472	471	471	473	476	472	472	472	472	472	472	471	471	472	472	477	476	476	476	474	476	475	476	476	476	637	644	643	647	645	641	641	644	634	633	433	433	432	432	433	430	433	432	433	475	475	475	476	475	476	475	477	476	474	478	476	478	476	476	477	476	476	476	478	475	475	475	475	475	27	483	475	475	475	472	474	475	471	474	471	472	471	473	446	469	468	467	470	469	467	469	468	467	483	483	483	483	482	471	479	469	468	469	468	469	469	469	469	469	469	469	469	478	469	479	467	478	478	478	458	475	469	471	470	482	480	476	481	481	482	481	480	479	480	480	477	477	481	476	482	482
ABAB_MAD_LP_326_Du-597	16	10	20	19	43	0	0	541	540	537	528	60	59	60	60	61	61	475	477	475	473	478	477	475	472	475	476	478	475	475	470	475	474	475	473	475	471	471	471	471	471	471	471	471	471	471	471	471	472	472	473	471	481	481	475	480	427	424	427	544	541	542	544	550	436	437	437	437	437	555	429	428	427	428	621	617	613	621	623	429	429	434	434	433	625	479	628	627	627	622	626	623	431	438	439	409	438	438	482	482	476	476	482	466	467	467	467	468	468	467	487	477	475	478	484	477	628	471	432	432	472	481	481	481	481	481	481	476	472	481	478	475	470	470	470	471	470	470	472	475	471	471	471	471	471	471	470	470	471	471	476	475	475	475	473	475	474	475	475	475	637	644	643	647	645	642	642	644	634	633	434	434	433	433	434	431	434	433	434	476	476	476	477	476	477	476	478	477	475	479	477	479	477	477	478	477	477	477	479	474	474	474	474	474	15	482	474	474	474	473	475	476	472	475	472	473	472	474	447	470	469	468	471	470	468	470	469	467	483	483	483	483	482	472	480	471	470	471	470	471	471	471	471	471	471	471	471	479	471	480	469	479	480	480	459	476	471	472	472	481	477	475	480	480	481	480	477	478	479	479	476	476	480	475	481	481
ABAB_MAD_LP_327_Du-598	15	9	20	19	41	0	0	539	538	536	526	60	59	59	60	61	61	474	476	474	472	477	476	474	471	474	475	477	474	474	469	474	473	474	472	474	470	470	470	470	470	470	470	470	470	470	470	470	471	471	472	470	480	480	474	479	426	423	426	542	539	540	542	548	434	435	435	435	435	553	428	427	426	427	617	614	610	617	619	427	427	432	432	431	622	477	625	625	624	618	622	619	429	436	437	407	436	436	481	481	475	475	481	465	466	466	466	467	467	466	486	476	474	477	483	476	624	470	430	430	470	480	480	480	480	480	480	475	471	480	477	474	469	469	469	470	469	469	471	474	470	470	470	470	470	470	469	469	470	470	475	474	474	474	472	474	473	474	474	474	635	641	640	644	642	640	640	641	632	632	432	432	431	431	432	429	432	431	432	475	475	475	476	475	476	475	477	476	474	478	476	478	476	476	477	476	476	476	478	473	473	473	473	473	14	481	473	473	473	472	474	475	471	474	471	472	471	473	446	469	468	467	470	469	467	469	468	466	482	482	482	482	481	471	479	470	469	470	469	470	470	470	470	470	470	470	470	478	470	479	468	478	479	479	458	475	470	471	471	480	476	474	479	479	480	479	476	477	478	478	474	474	479	474	480	480
ABBE_BERN_LP_311_Du-780	543	544	537	536	541	541	539	0	39	37	35	546	542	543	547	547	547	582	582	582	580	583	582	582	579	582	583	585	582	582	581	582	581	582	579	582	578	578	578	578	578	578	578	578	578	578	578	578	579	579	580	578	588	588	582	587	530	527	530	60	60	59	59	66	537	538	538	538	538	396	532	531	529	531	463	460	455	464	464	529	530	535	535	534	278	212	279	278	279	465	468	467	532	537	537	505	536	537	590	590	584	584	590	577	578	578	577	579	579	578	596	582	582	583	591	584	472	578	533	533	581	589	589	588	588	588	588	583	579	588	585	582	575	575	575	576	575	575	577	582	576	576	576	576	576	576	575	575	576	576	583	582	582	582	580	582	581	582	582	582	287	293	294	296	294	286	288	293	287	287	534	534	533	533	535	532	535	534	535	585	584	584	586	585	586	583	586	586	584	587	585	588	585	585	587	586	586	586	588	581	581	581	581	581	325	589	581	581	581	580	582	583	579	582	579	580	579	581	554	581	580	579	582	581	579	581	580	577	591	591	591	591	590	579	589	580	578	580	579	580	580	580	581	580	580	580	580	588	581	589	578	588	590	590	567	585	580	581	581	588	582	582	587	587	588	587	582	585	586	586	583	583	586	582	588	588
ABBE_BERN_LP_312_Du-781	540	545	535	533	537	540	538	39	0	0	2	547	543	546	548	548	548	580	580	576	578	581	580	576	577	576	581	576	573	573	572	573	572	573	570	573	571	571	571	571	571	571	571	571	571	571	571	571	572	572	573	571	581	581	575	580	525	522	525	64	63	63	61	68	532	537	537	537	537	393	527	526	524	526	461	458	453	462	462	528	526	530	534	529	283	215	284	283	284	463	466	465	527	532	536	504	535	536	583	583	577	577	583	570	575	575	574	576	576	575	589	580	577	581	584	579	470	571	532	532	579	582	582	583	583	583	583	578	572	583	580	575	568	568	568	569	568	568	570	575	569	569	569	569	569	569	568	568	569	569	576	575	575	575	573	575	574	575	575	575	290	298	299	301	299	291	293	298	290	290	529	529	528	528	530	527	530	529	530	578	577	577	579	578	579	576	579	579	577	580	578	581	578	578	580	579	579	579	581	574	574	574	574	574	321	582	574	574	574	573	575	576	572	575	572	573	572	574	547	578	573	576	579	578	572	578	577	570	584	584	584	584	583	572	582	574	571	573	576	573	573	577	578	573	577	577	577	581	576	582	571	581	585	585	560	578	573	574	574	581	580	577	582	582	581	582	580	580	583	583	578	578	579	577	585	581
ABBE_BERN_LP_313_Du-782	539	544	532	531	535	537	536	37	0	0	2	545	541	545	546	547	546	576	576	572	574	577	576	572	573	572	577	575	572	572	571	572	571	572	569	572	570	570	570	570	570	570	570	570	570	570	570	570	571	571	572	570	580	580	574	579	523	520	523	63	62	62	60	67	531	536	536	536	536	391	525	524	522	524	460	457	452	461	461	527	525	529	533	528	279	213	280	279	280	462	465	464	526	531	535	502	534	535	582	582	576	576	582	568	573	573	572	574	574	573	587	576	576	578	582	578	469	570	531	531	576	581	581	582	582	582	582	577	571	582	579	574	567	567	567	568	567	567	569	574	568	568	568	568	568	568	567	567	568	568	575	574	574	574	572	574	573	574	574	574	286	294	295	297	295	287	289	294	286	286	528	528	527	527	529	526	529	528	529	576	575	575	577	576	577	574	577	577	575	578	576	579	576	576	578	577	577	577	579	573	573	573	573	573	319	581	573	573	573	570	573	574	570	573	570	571	570	572	545	576	571	574	577	576	570	576	575	568	583	583	583	583	582	571	580	572	569	571	574	571	571	575	576	571	575	575	575	579	574	580	569	579	583	583	558	576	571	572	572	580	577	576	581	581	580	581	577	579	582	582	577	577	578	576	584	580
