sample_id	ABAB_MAD_LP_223_Du-590	ABAB_MAD_LP_322_Du-593	ABAB_MAD_LP_323_Du-594	ABAB_MAD_LP_324_Du-595	ABAB_MAD_LP_325_Du-596	ABAB_MAD_LP_326_Du-597	ABAB_MAD_LP_327_Du-598	ABBE_BERN_LP_311_Du-780	ABBE_BERN_LP_312_Du-781	ABBE_BERN_LP_313_Du-782	ABBE_BERN_LP_314_Du-783	ABMU_HOR_LP_306_Du-775	ABMU_HOR_LP_308_Du-777	ABMU_HOR_LP_358_Du-770	ABMU_HOR_LP_359_Du-771	ABMU_HOR_LP_360_Du-772	ABMU_HOR_LP_361_Du-773	BAI_LP_105_Du-222	BAI_LP_106_Du-223	BAI_LP_108_Du-225	BAI_LP_109_Du-226	BAI_LP_110_Du-227	BAI_LP_111_Du-228	BAI_LP_112_Du-230	BAI_LP_113_Du-231	BAI_LP_114_Du-232	BAI_LP_319_Du-233	COM_LP_269_Du-703	COM_LP_270_Du-704	COM_LP_272_Du-707	COM_LP_274_Du-709	COM_LP_276_Du-711	COM_LP_277_Du-712	COM_LP_341_Du-713	COM_LP_342_Du-714	COM_LP_343_Du-715	CROB_LP_169_Du-381	CROB_LP_170_Du-382	CROB_LP_172_Du-384	CROB_LP_173_Du-385	CROB_LP_174_Du-386	CROB_LP_175_Du-387	CROB_LP_176_Du-388	CROB_LP_177_Du-389	CROB_LP_320_Du-395	CROB_LP_321_Du-396	CROS_LP_085_Du-181	CROS_LP_086_Du-182	CROS_LP_087_Du-183	CROS_LP_088_Du-184	CROS_LP_089_Du-185	CROS_LP_090_Du-186	CROS_LP_091_Du-187	CROS_LP_092_Du-188	CROS_LP_093_Du-189	CROS_LP_094_Du-190	CY_ALA_LP_298-Du-767	CY_ALA_LP_299-Du-768	CY_ALA_LP_357_Du-769	CY_BAL_LP_226_Du-602	CY_BAL_LP_227_Du-603	CY_BGL_LP_210_Du-577	CY_BGL_LP_212_Du-579	CY_BOU_LP_288_Du-737	CY_BOU_LP_290_Du-739	CY_BOU_LP_291_Du-740	CY_BOU_LP_292_Du-741	CY_BOU_LP_354_Du-742	CY_CAS_LP_328_Du-610	CY_CAS_LP_329_Du-611	CY_CAS_LP_330_Du-607	CY_CAS_LP_331_Du-608	CY_CAS_LP_332_Du-609	CY_HICN_LP_236_Du-614	CY_HICN_LP_333_Du-612	CY_HICN_LP_334_Du-613	CY_HICN_LP_335_Du-615	CY_HICN_LP_336_Du-616	CY_HICS_LP_293_Du-757	CY_HICS_LP_297_Du-761	CY_HICS_LP_355_Du-762	CY_HICS_LP_356_Du-763	CY_HUN_LP_264_Du-683	CY_HUN_LP_266_Du-685	CY_HUN_LP_267_Du-686	CY_HUN_LP_268_Du-687	CY_SIE_LP_188_Du-445	CY_SIE_LP_189_Du-446	CY_SIE_LP_190_Du-447	CY_SIE_LP_191_Du-448	CY_WOO_LP_259_Du-664	CY_WOO_LP_260_Du-665	CY_WOO_LP_261_Du-667	CY_WOO_LP_262_Du-668	CY_WOO_LP_263_Du-669	DAN_LP_043_Du-68	DAN_LP_044_Du-69	DAN_LP_045_Du-70	DAN_LP_046_Du-71	DAN_LP_047_Du-72	DOV_LP_078_Du-174	DOV_LP_079_Du-175	DOV_LP_080_Du-176	DOV_LP_081_Du-177	DOV_LP_082_Du-178	DOV_LP_083_Du-179	DOV_LP_084_Du-180	DU-173	DU-229	DU-247	DU-254	DU-270	DU-297	DU-443	DU-4A	DU014LP012	DU037LP013	DU059LP015	DU078LP011	DU079LP010	DUD_LP_132_Du-283	DUD_LP_133_Du-284	DUD_LP_134_Du-285	DUD_LP_135_Du-286	DUD_LP_136_Du-287	DUD_LP_137_Du-288	DUD_LP_138_Du-289	DUD_LP_139_Du-290	KIRN_LP_179_Du-421	KIRN_LP_180_Du-422	KIRN_LP_181_Du-423	KIRN_LP_182_Du-424	KIRN_LP_183_Du-425	KIRN_LP_184_Du-426	KIRN_LP_185_Du-427	KIRN_LP_186_Du-428	KIRN_LP_187_Du-429	KIRT_LP_159_Du-364	KIRT_LP_160_Du-365	KIRT_LP_161_Du-366	KIRT_LP_162_Du-367	KIRT_LP_163_Du-368	KIRT_LP_164_Du-369	KIRT_LP_165_Du-370	KIRT_LP_166_Du-371	KIRT_LP_167_Du-372	KIRT_LP_168_Du-373	MALV_LP_095_Du-201	MALV_LP_096_Du-202	MALV_LP_097_Du-203	MALV_LP_098_Du-204	MALV_LP_099_Du-205	MALV_LP_100_Du-206	MALV_LP_101_Du-207	MALV_LP_102_Du-208	MALV_LP_103_Du-209	MALV_LP_104_Du-210	OCO_LP_058_Du-115	OCO_LP_059_Du-106	OCO_LP_060_Du-107	OCO_LP_061_Du-108	OCO_LP_062_Du-109	OCO_LP_063_Du-110	OCO_LP_064_Du-111	OCO_LP_065_Du-112	OCO_LP_066_Du-113	OCO_LP_067_Du-114	QUI1_LP_249_Du-648	QUI1_LP_250_Du-649	QUI1_LP_252_Du-651	QUI1_LP_253_Du-652	QUI1_LP_254_Du-653	QUI1_LP_255_Du-654	QUI1_LP_257_Du-656	QUI1_LP_258_Du-657	QUI2_LP_243_Du-631	QUI2_LP_244_Du-632	QUI2_LP_245_Du-633	QUI2_LP_246_Du-634	QUI2_LP_247_Du-635	QUI2_LP_248_Du-636	QUI2_LP_337_Du-638	QUI2_LP_338_Du-639	QUI2_LP_339_Du-640	QUI2_LP_340_Du-641	QUIN_LP_069_Du-155	QUIN_LP_070_Du-156	QUIN_LP_071_Du-157	QUIN_LP_072_Du-158	QUIN_LP_073_Du-159	QUIN_LP_074_Du-160	QUIN_LP_075_Du-161	QUIN_LP_076_Du-162	QUIN_LP_077_Du-163	QUIN_LP_318_Du-164	RIC_LP_192_Du-521	RIC_LP_193_Du-522	RIC_LP_194_Du-523	RIC_LP_195_Du-524	RIC_LP_196_Du-525	RIC_LP_197_Du-526	RIC_LP_198_Du-527	RIC_LP_199_Du-528	RIC_LP_200_Du-529	RIC_LP_201_Du-530	RSV_LP_049_Du-85	RSV_LP_050_Du-87	RSV_LP_051_Du-88	RSV_LP_052_Du-89	RSV_LP_053_Du-90	RSV_LP_055_Du-92	RSV_LP_057_Du-94	RSV_LP_315_Du-95	RSV_LP_316_Du-96	SILG_LP_149_Du-343	SILG_LP_150_Du-344	SILG_LP_151_Du-345	SILG_LP_152_Du-346	SILG_LP_153_Du-347	SILG_LP_154_Du-348	SILG_LP_155_Du-349	SILG_LP_156_Du-350	SILG_LP_157_Du-351	SILG_LP_158_Du-352	SILR_LP_346_Du-729	SILR_LP_347_Du-730	SILR_LP_348_Du-731	SILR_LP_349_Du-732	SILR_LP_351_Du-734	SILR_LP_353_Du-736	STI_LP_027_Du-45	STI_LP_028_Du-46	STI_LP_029_Du-47	STI_LP_030_Du-48	STI_LP_031_Du-49	STI_LP_032_Du-50	STI_LP_033_Du-51	STI_LP_034_Du-52	STI_LP_035_Du-53	STI_LP_036_Du-54	STI_LP_037_Du-55	STI_LP_038_Du-56	STI_LP_039_Du-57	STI_LP_040_Du-58	STI_LP_041_Du-60	STI_LP_042_Du-61	TIL_LP_123_Du-263	TIL_LP_124_Du-264	TIL_LP_125_Du-265	TIL_LP_126_Du-266	TIL_LP_128_Du-268	TIL_LP_129_Du-269	TIL_LP_130_Du-271	TIL_LP_131_Du-272	TULP_LP_115_Du-242	TULP_LP_116_Du-243	TULP_LP_117_Du-244	TULP_LP_118_Du-245	TULP_LP_119_Du-246	TULP_LP_120_Du-248	TULP_LP_121_Du-249	TULP_LP_122_Du-250	TULP_LP_140_Du-302	TULP_LP_141_Du-303	TULP_LP_142_Du-304	TULP_LP_143_Du-305	TULP_LP_144_Du-306	TULP_LP_145_Du-307	TULP_LP_146_Du-308	TULP_LP_147_Du-309	TULP_LP_148_Du-310
ABAB_MAD_LP_223_Du-590	38963	38958	38721	38958	38957	38958	38169	38952	38951	38787	38951	38963	38962	38958	38959	38958	38958	38953	38963	38958	38963	38956	38960	38956	38962	38953	38947	38961	38959	38962	38963	38960	38959	38957	38957	38960	37992	38963	38958	38959	38962	38959	38963	38962	38959	38959	38963	38963	38962	38963	38963	38963	38960	38956	38963	38957	38957	38959	38960	38667	38440	38953	38951	38380	38958	38958	38958	38958	38948	38958	38863	38954	38959	38958	38953	38958	38957	38957	38958	38474	38958	38960	37739	38763	38623	37276	38962	38963	38957	38959	38959	38913	36591	38958	38961	38833	38829	38834	38835	38829	38850	38959	38963	38963	38956	38963	38963	38824	38956	38963	38963	38953	38963	38963	38963	38963	38963	38953	38836	38855	38937	38959	38959	38959	38960	38961	38958	38467	38962	38960	38959	38960	38958	38961	38959	38959	38959	38962	38960	38962	38962	38962	38963	38963	38963	38923	38963	38963	38963	38963	38962	38962	38962	38962	38963	38963	38962	38956	38942	38954	38956	38955	38954	38951	38951	38809	37956	38958	38958	38957	38960	37288	38958	38443	38958	38816	38805	38815	38815	38817	38816	38816	38612	38815	38816	38815	38815	38815	38815	38816	38815	38820	38819	38824	38818	38960	38959	38963	38963	38963	38953	38963	38963	38963	38963	38950	38951	38933	38948	38949	38944	38944	38945	38944	38877	38954	38955	38952	38940	38951	38953	38953	34409	36906	38958	38962	38958	38962	38962	38958	38484	38948	33161	38945	38944	38944	38681	38943	38945	38932	38945	38947	38943	37970	38951	38926	36037	38948	36030	38915	38944	38946	38946	38944	38959	38963	38963	38963	38963	38960	38961	38963	38958	38957	38900	38960	38856	38955	38763	38956	38881
ABAB_MAD_LP_322_Du-593	38958	43159	42855	43158	43154	43157	42258	43146	43146	42959	43147	43158	43158	43158	43158	43158	43158	43152	43159	43154	43159	43152	43156	43152	43159	43151	43142	43157	43158	43158	43159	43158	43159	43158	43158	43159	42169	43159	43159	43159	43159	43159	43159	43159	43159	43159	43159	43159	43159	43159	43159	43159	43156	43156	43159	43156	43157	43158	43155	42863	42618	43148	43146	42541	43159	43159	43159	43159	43142	43159	43055	43151	43159	43158	43153	43155	43156	43157	43159	42602	43159	43144	41768	42919	42816	41209	43158	43159	43158	43159	43140	43092	40395	43150	43150	42970	42969	42971	43001	42971	43037	43159	43159	43159	43152	43159	43159	43019	43152	43159	43159	43148	43159	43159	43159	43159	43159	43148	42973	43021	43138	43159	43159	43159	43159	43157	43159	42533	43159	43159	43159	43159	43159	43159	43159	43159	43159	43159	43159	43159	43159	43159	43159	43159	43159	43109	43159	43159	43159	43159	43159	43159	43159	43159	43159	43159	43159	43148	43137	43149	43150	43150	43149	43146	43147	42942	41999	43158	43159	43158	43159	41297	43158	42591	43158	43015	42995	43015	43014	43015	43015	43015	42786	43014	43015	43014	43015	43014	43014	43015	43015	43015	43015	43019	43015	43159	43159	43159	43159	43159	43153	43159	43159	43159	43159	43145	43146	43131	43143	43144	43143	43144	43144	43144	43066	43150	43151	43151	43139	43152	43151	43151	38272	40809	43158	43158	43158	43158	43158	43159	42626	43144	36524	43143	43144	43144	42807	43143	43144	43130	43143	43144	43143	42048	43146	43126	39851	43148	39848	43110	43144	43143	43144	43144	43156	43159	43159	43159	43159	43156	43159	43159	43159	43156	43098	43157	43034	43156	42959	43156	43077
ABAB_MAD_LP_323_Du-594	38721	42855	42859	42855	42853	42854	41987	42842	42842	42658	42843	42858	42857	42854	42854	42855	42854	42850	42859	42854	42859	42852	42856	42852	42858	42849	42843	42857	42855	42858	42859	42856	42855	42854	42854	42856	41875	42859	42855	42855	42858	42855	42859	42858	42856	42855	42859	42859	42858	42859	42859	42859	42856	42852	42859	42853	42854	42855	42855	42559	42331	42844	42843	42254	42855	42855	42855	42855	42839	42855	42760	42851	42855	42854	42849	42853	42852	42853	42855	42320	42855	42856	41469	42617	42513	40932	42858	42859	42854	42855	42854	42804	40135	42855	42858	42670	42667	42671	42701	42667	42738	42855	42859	42859	42852	42859	42859	42719	42852	42859	42859	42848	42859	42859	42859	42859	42859	42848	42673	42721	42834	42855	42855	42855	42856	42857	42855	42233	42858	42856	42855	42856	42855	42858	42855	42856	42855	42859	42856	42859	42858	42859	42859	42859	42859	42807	42859	42859	42859	42859	42858	42858	42858	42858	42859	42859	42858	42848	42834	42846	42847	42846	42846	42843	42843	42640	41708	42855	42855	42854	42856	41009	42855	42305	42855	42711	42696	42711	42711	42712	42711	42711	42483	42711	42711	42711	42711	42711	42711	42711	42711	42715	42714	42719	42714	42856	42855	42859	42859	42859	42849	42859	42859	42859	42859	42845	42846	42828	42843	42844	42840	42840	42840	42840	42765	42850	42851	42848	42837	42848	42849	42849	38050	40541	42854	42858	42854	42858	42858	42855	42330	42843	36288	42840	42840	42840	42504	42839	42840	42828	42841	42843	42839	41755	42846	42822	39550	42844	39571	42810	42840	42841	42841	42840	42855	42859	42859	42859	42859	42856	42857	42859	42855	42854	42796	42856	42735	42852	42659	42852	42777
ABAB_MAD_LP_324_Du-595	38958	43158	42855	43159	43155	43158	42258	43146	43146	42959	43147	43158	43158	43158	43158	43158	43158	43152	43159	43154	43159	43152	43156	43152	43159	43151	43142	43157	43158	43158	43159	43158	43159	43158	43158	43159	42169	43159	43159	43159	43159	43159	43159	43159	43159	43159	43159	43159	43159	43159	43159	43159	43156	43156	43159	43156	43158	43158	43155	42863	42618	43148	43146	42540	43159	43158	43158	43159	43143	43158	43054	43150	43159	43158	43152	43154	43156	43157	43159	42601	43158	43143	41768	42919	42816	41209	43158	43159	43158	43158	43139	43091	40394	43149	43149	42970	42969	42971	43001	42971	43037	43159	43159	43159	43152	43159	43159	43019	43152	43159	43159	43148	43159	43159	43159	43159	43159	43148	42973	43021	43138	43159	43159	43159	43159	43157	43159	42533	43159	43159	43159	43159	43159	43159	43159	43159	43159	43159	43159	43159	43159	43159	43159	43159	43159	43109	43159	43159	43159	43159	43159	43159	43159	43159	43159	43159	43159	43148	43137	43149	43150	43150	43149	43146	43147	42942	41999	43158	43158	43158	43159	41296	43157	42590	43158	43015	42995	43015	43014	43015	43015	43015	42786	43014	43015	43014	43015	43014	43014	43015	43015	43015	43015	43019	43015	43159	43159	43159	43159	43159	43153	43159	43159	43159	43159	43145	43146	43131	43143	43144	43143	43144	43144	43144	43066	43150	43151	43151	43139	43152	43151	43151	38272	40809	43158	43158	43158	43158	43158	43159	42626	43144	36525	43143	43144	43144	42807	43143	43144	43130	43143	43144	43143	42048	43146	43126	39851	43148	39848	43110	43144	43143	43144	43144	43156	43159	43159	43159	43159	43156	43159	43159	43159	43156	43098	43157	43034	43156	42959	43156	43077
ABAB_MAD_LP_325_Du-596	38957	43154	42853	43155	43155	43155	42256	43143	43143	42955	43143	43155	43155	43155	43155	43155	43155	43148	43155	43150	43155	43148	43152	43148	43155	43148	43139	43153	43154	43154	43155	43154	43155	43154	43154	43155	42166	43155	43155	43155	43155	43155	43155	43155	43155	43155	43155	43155	43155	43155	43155	43155	43152	43152	43155	43152	43154	43154	43151	42859	42615	43144	43143	42537	43155	43154	43154	43155	43140	43154	43051	43147	43155	43154	43150	43151	43153	43154	43155	42598	43154	43140	41765	42916	42813	41206	43154	43155	43154	43154	43137	43088	40390	43146	43146	42967	42967	42968	42997	42968	43034	43155	43155	43155	43148	43155	43155	43015	43148	43155	43155	43144	43155	43155	43155	43155	43155	43144	42969	43017	43134	43155	43155	43155	43155	43153	43155	42529	43155	43155	43155	43155	43155	43155	43155	43155	43155	43155	43155	43155	43155	43155	43155	43155	43155	43105	43155	43155	43155	43155	43155	43155	43155	43155	43155	43155	43155	43145	43134	43145	43146	43146	43146	43143	43143	42939	41996	43155	43154	43154	43155	41293	43153	42587	43155	43011	42992	43011	43011	43011	43011	43011	42783	43011	43011	43011	43011	43011	43011	43011	43011	43011	43011	43015	43011	43155	43155	43155	43155	43155	43150	43155	43155	43155	43155	43141	43142	43128	43139	43140	43140	43140	43140	43140	43063	43147	43148	43148	43136	43148	43148	43148	38270	40806	43155	43155	43155	43155	43155	43155	42623	43140	36524	43140	43140	43140	42804	43139	43140	43127	43140	43140	43139	42047	43142	43122	39848	43144	39846	43107	43140	43140	43140	43140	43152	43155	43155	43155	43155	43152	43155	43155	43155	43152	43094	43153	43030	43152	42955	43152	43073
ABAB_MAD_LP_326_Du-597	38958	43157	42854	43158	43155	43158	42257	43146	43146	42958	43146	43158	43158	43158	43158	43157	43158	43151	43158	43153	43158	43151	43155	43151	43158	43150	43141	43156	43157	43157	43158	43157	43158	43157	43157	43158	42168	43158	43158	43158	43158	43158	43158	43158	43158	43158	43158	43158	43158	43158	43158	43158	43155	43155	43158	43155	43157	43157	43154	42862	42617	43147	43145	42539	43158	43157	43157	43158	43143	43157	43053	43149	43158	43157	43152	43154	43156	43157	43158	42600	43157	43142	41767	42918	42815	41208	43157	43158	43157	43157	43139	43090	40393	43148	43148	42969	42968	42970	43000	42970	43036	43158	43158	43158	43151	43158	43158	43018	43151	43158	43158	43147	43158	43158	43158	43158	43158	43147	42972	43020	43137	43158	43158	43158	43158	43156	43158	42532	43158	43158	43158	43158	43158	43158	43158	43158	43158	43158	43158	43158	43158	43158	43158	43158	43158	43108	43158	43158	43158	43158	43158	43158	43158	43158	43158	43158	43158	43147	43136	43148	43149	43149	43148	43145	43146	42941	41998	43157	43157	43157	43158	41295	43156	42589	43157	43014	42994	43014	43013	43014	43014	43014	42785	43013	43014	43013	43014	43013	43013	43014	43014	43014	43014	43018	43014	43158	43158	43158	43158	43158	43153	43158	43158	43158	43158	43144	43145	43130	43142	43143	43142	43143	43143	43143	43065	43149	43150	43150	43138	43151	43150	43150	38271	40808	43157	43157	43157	43157	43157	43158	42625	43143	36524	43142	43143	43143	42806	43142	43143	43129	43142	43143	43142	42048	43145	43125	39850	43147	39847	43109	43143	43142	43143	43143	43155	43158	43158	43158	43158	43155	43158	43158	43158	43155	43097	43156	43033	43155	42958	43155	43076
ABAB_MAD_LP_327_Du-598	38169	42258	41987	42258	42256	42257	42260	42246	42245	42058	42246	42259	42258	42257	42258	42258	42257	42251	42260	42255	42260	42253	42257	42253	42259	42253	42244	42258	42259	42259	42260	42259	42259	42257	42257	42260	41270	42260	42258	42259	42259	42259	42260	42259	42259	42259	42260	42260	42259	42260	42260	42260	42257	42256	42260	42257	42257	42259	42256	41962	41719	42248	42246	41651	42258	42258	42258	42258	42242	42258	42163	42252	42259	42258	42252	42256	42256	42256	42258	41730	42258	42254	40872	42021	41916	40357	42259	42260	42257	42259	42249	42200	39539	42258	42258	42071	42070	42072	42102	42070	42139	42259	42260	42260	42253	42260	42260	42126	42253	42260	42260	42255	42260	42260	42260	42260	42260	42255	42074	42122	42237	42259	42259	42259	42260	42258	42258	41637	42259	42260	42259	42259	42258	42258	42259	42259	42259	42259	42260	42259	42260	42259	42260	42260	42260	42209	42260	42260	42260	42260	42259	42259	42259	42259	42260	42260	42259	42248	42237	42249	42251	42250	42249	42246	42246	42042	41131	42258	42258	42257	42260	40453	42258	41721	42258	42121	42105	42120	42120	42122	42121	42121	41897	42120	42121	42120	42120	42120	42120	42121	42120	42122	42121	42126	42120	42259	42259	42260	42260	42260	42253	42260	42260	42260	42260	42252	42253	42238	42250	42251	42249	42249	42250	42249	42166	42251	42252	42252	42240	42251	42252	42253	37514	39951	42258	42259	42258	42259	42259	42258	41735	42250	35848	42250	42249	42249	41935	42248	42250	42236	42249	42249	42248	41169	42253	42231	39047	42253	39053	42218	42249	42251	42251	42249	42256	42260	42260	42260	42260	42257	42260	42260	42258	42256	42199	42257	42138	42255	42060	42256	42178
ABBE_BERN_LP_311_Du-780	38952	43146	42842	43146	43143	43146	42246	43163	43162	42974	43162	43148	43149	43147	43148	43146	43147	43155	43163	43158	43163	43156	43160	43156	43163	43155	43146	43161	43162	43162	43163	43162	43163	43161	43161	43163	42173	43163	43162	43163	43163	43163	43163	43163	43162	43163	43163	43163	43163	43163	43163	43163	43160	43160	43163	43160	43151	43152	43150	42878	42633	43163	43161	42541	43159	43158	43158	43159	43137	43158	43054	43150	43160	43159	43147	43155	43158	43157	43159	42601	43158	43144	41780	42931	42827	41224	43159	43160	43158	43159	43141	43091	40394	43149	43149	42974	42972	42975	43005	42974	43041	43163	43163	43163	43156	43163	43163	43023	43156	43163	43163	43152	43163	43160	43163	43160	43160	43152	42977	43025	43141	43163	43163	43163	43163	43161	43162	42537	43163	43163	43163	43163	43162	43162	43163	43162	43163	43162	43163	43162	43163	43162	43163	43163	43163	43113	43163	43163	43163	43163	43163	43163	43163	43163	43163	43163	43163	43159	43148	43160	43162	43162	43160	43157	43158	42953	42010	43158	43158	43158	43160	41297	43157	42590	43158	43019	42998	43018	43017	43019	43019	43019	42789	43017	43019	43017	43018	43017	43017	43019	43018	43019	43019	43023	43018	43163	43163	43163	43163	43163	43157	43163	43163	43163	43163	43149	43150	43135	43147	43148	43146	43147	43148	43147	43070	43154	43155	43155	43142	43155	43155	43155	38276	40813	43162	43162	43162	43162	43162	43162	42630	43148	36523	43147	43147	43147	42811	43146	43148	43133	43146	43147	43146	42053	43150	43129	39855	43151	39852	43114	43147	43147	43148	43147	43160	43163	43163	43163	43163	43160	43163	43163	43162	43159	43102	43161	43038	43159	42963	43160	43081
ABBE_BERN_LP_312_Du-781	38951	43146	42842	43146	43143	43146	42245	43162	43162	42974	43162	43147	43148	43147	43147	43146	43147	43155	43162	43157	43162	43155	43159	43155	43162	43154	43145	43160	43161	43161	43162	43161	43162	43161	43161	43162	42172	43162	43162	43162	43162	43162	43162	43162	43162	43162	43162	43162	43162	43162	43162	43162	43159	43159	43162	43159	43151	43151	43149	42878	42633	43162	43161	42540	43159	43158	43158	43159	43137	43158	43054	43150	43159	43158	43147	43155	43157	43157	43159	42601	43158	43143	41779	42930	42827	41224	43158	43159	43158	43158	43140	43091	40393	43149	43149	42973	42972	42974	43004	42974	43040	43162	43162	43162	43155	43162	43162	43022	43155	43162	43162	43151	43162	43159	43162	43159	43159	43151	42976	43024	43141	43162	43162	43162	43162	43160	43162	42536	43162	43162	43162	43162	43162	43162	43162	43162	43162	43162	43162	43162	43162	43162	43162	43162	43162	43112	43162	43162	43162	43162	43162	43162	43162	43162	43162	43162	43162	43159	43148	43160	43161	43161	43160	43157	43158	42953	42010	43158	43158	43158	43159	41296	43157	42590	43158	43018	42998	43018	43017	43018	43018	43018	42789	43017	43018	43017	43018	43017	43017	43018	43018	43018	43018	43022	43018	43162	43162	43162	43162	43162	43157	43162	43162	43162	43162	43148	43149	43134	43146	43147	43146	43147	43147	43147	43069	43153	43154	43154	43142	43155	43154	43154	38275	40812	43161	43161	43161	43161	43161	43162	42629	43147	36522	43146	43147	43147	42810	43146	43147	43133	43146	43147	43146	42052	43149	43129	39854	43151	39851	43113	43147	43146	43147	43147	43159	43162	43162	43162	43162	43159	43162	43162	43162	43159	43101	43160	43037	43159	42962	43159	43080
ABBE_BERN_LP_313_Du-782	38787	42959	42658	42959	42955	42958	42058	42974	42974	42978	42975	42962	42963	42959	42959	42959	42959	42970	42978	42973	42978	42971	42975	42971	42978	42967	42961	42976	42974	42977	42978	42975	42975	42974	42974	42975	41987	42978	42975	42975	42978	42975	42978	42978	42975	42975	42978	42978	42978	42978	42978	42978	42975	42972	42978	42972	42964	42964	42965	42691	42449	42975	42974	42356	42972	42971	42971	42972	42949	42971	42867	42963	42972	42971	42959	42967	42969	42969	42972	42422	42971	42956	41665	42743	42640	41039	42974	42975	42971	42971	42955	42907	40209	42962	42965	42832	42828	42832	42861	42829	42856	42975	42978	42978	42971	42978	42978	42838	42971	42978	42978	42967	42978	42975	42978	42975	42975	42967	42834	42881	42954	42975	42975	42975	42975	42976	42975	42352	42978	42975	42975	42976	42975	42978	42975	42975	42975	42978	42975	42978	42977	42978	42978	42978	42978	42927	42978	42978	42978	42978	42978	42978	42978	42978	42978	42978	42978	42976	42961	42973	42974	42974	42973	42970	42971	42768	41830	42971	42971	42971	42972	41111	42970	42403	42971	42831	42811	42831	42830	42831	42831	42831	42602	42830	42831	42830	42831	42830	42830	42831	42831	42834	42834	42838	42834	42976	42975	42978	42978	42978	42969	42978	42978	42978	42978	42964	42965	42947	42962	42963	42959	42960	42960	42960	42886	42969	42970	42967	42955	42968	42968	42967	38160	40684	42974	42977	42974	42977	42977	42975	42443	42963	36339	42959	42960	42960	42623	42959	42960	42947	42960	42963	42959	41882	42965	42942	39681	42964	39670	42928	42960	42959	42960	42960	42975	42978	42978	42978	42978	42975	42976	42978	42975	42973	42915	42976	42853	42972	42778	42972	42896
