organelle	population_1	population_2	n_population_1	n_population_2	informative_sites	fst
cpDNA	ABAB_MAD	ABBE_BERN	7	4	563	0.94171793
cpDNA	ABAB_MAD	ABMU_HOR	7	6	91	0.62449121
cpDNA	ABAB_MAD	BAI	7	10	525	0.91940489
cpDNA	ABAB_MAD	COM	7	9	491	0.96503618
cpDNA	ABAB_MAD	CROB	7	10	496	0.96147856
cpDNA	ABAB_MAD	CROS	7	10	514	0.93262140
cpDNA	ABAB_MAD	CY_ALA	7	3	444	0.95517327
cpDNA	ABAB_MAD	CY_BAL	7	3	562	0.96043083
cpDNA	ABAB_MAD	CY_BGL	7	2	544	0.95546038
cpDNA	ABAB_MAD	CY_BOU	7	5	455	0.96174259
cpDNA	ABAB_MAD	CY_CAS	7	5	712	0.66505723
cpDNA	ABAB_MAD	CY_HICN	7	5	640	0.96463596
cpDNA	ABAB_MAD	CY_HICS	7	5	456	0.95591853
cpDNA	ABAB_MAD	CY_HUN	7	4	649	0.97173250
cpDNA	ABAB_MAD	CY_SIE	7	4	847	0.61208352
cpDNA	ABAB_MAD	CY_WOO	7	5	460	0.95018155
cpDNA	ABAB_MAD	DAN	7	5	501	0.96140859
cpDNA	ABAB_MAD	DOV	7	7	491	0.96024686
cpDNA	ABAB_MAD	DUD	7	8	519	0.94468896
cpDNA	ABAB_MAD	KIRN	7	9	494	0.96254728
cpDNA	ABAB_MAD	KIRT	7	10	490	0.96564067
cpDNA	ABAB_MAD	MALV	7	10	493	0.96530234
cpDNA	ABAB_MAD	OCO	7	10	688	0.94758574
cpDNA	ABAB_MAD	QUI1	7	9	451	0.96031015
cpDNA	ABAB_MAD	QUI2	7	10	494	0.96538814
cpDNA	ABAB_MAD	QUIN	7	10	495	0.96628524
cpDNA	ABAB_MAD	RIC	7	10	492	0.93693196
cpDNA	ABAB_MAD	RSV	7	9	494	0.96047765
cpDNA	ABAB_MAD	SILG	7	10	501	0.93936800
cpDNA	ABAB_MAD	SILR	7	6	501	0.95523614
cpDNA	ABAB_MAD	STI	7	16	505	0.94638243
cpDNA	ABAB_MAD	TIL	7	9	528	0.92713938
cpDNA	ABAB_MAD	TULP	7	17	529	0.93875587
cpDNA	ABBE_BERN	ABMU_HOR	4	6	558	0.95153431
cpDNA	ABBE_BERN	BAI	4	10	618	0.92468196
cpDNA	ABBE_BERN	COM	4	9	583	0.96916208
cpDNA	ABBE_BERN	CROB	4	10	588	0.96513964
cpDNA	ABBE_BERN	CROS	4	10	607	0.93733037
cpDNA	ABBE_BERN	CY_ALA	4	3	534	0.96956811
cpDNA	ABBE_BERN	CY_BAL	4	3	80	0.74458703
cpDNA	ABBE_BERN	CY_BGL	4	2	62	0.68292448
cpDNA	ABBE_BERN	CY_BOU	4	5	545	0.97036650
cpDNA	ABBE_BERN	CY_CAS	4	5	670	0.71151122
cpDNA	ABBE_BERN	CY_HICN	4	5	474	0.95486512
cpDNA	ABBE_BERN	CY_HICS	4	5	545	0.96562707
cpDNA	ABBE_BERN	CY_HUN	4	4	294	0.94600694
cpDNA	ABBE_BERN	CY_SIE	4	4	806	0.59421034
cpDNA	ABBE_BERN	CY_WOO	4	5	547	0.96081850
cpDNA	ABBE_BERN	DAN	4	5	594	0.96971197
cpDNA	ABBE_BERN	DOV	4	7	582	0.96638740
cpDNA	ABBE_BERN	DUD	4	8	611	0.95121751
cpDNA	ABBE_BERN	KIRN	4	9	585	0.96686254
cpDNA	ABBE_BERN	KIRT	4	10	580	0.96898300
cpDNA	ABBE_BERN	MALV	4	10	585	0.96892996
cpDNA	ABBE_BERN	OCO	4	10	333	0.87599593
cpDNA	ABBE_BERN	QUI1	4	9	542	0.96514081
cpDNA	ABBE_BERN	QUI2	4	10	591	0.96920002
cpDNA	ABBE_BERN	QUIN	4	10	592	0.97009335
cpDNA	ABBE_BERN	RIC	4	10	585	0.94166038
cpDNA	ABBE_BERN	RSV	4	9	589	0.96490585
cpDNA	ABBE_BERN	SILG	4	10	592	0.94350907
cpDNA	ABBE_BERN	SILR	4	6	594	0.96311535
cpDNA	ABBE_BERN	STI	4	16	603	0.94431316
cpDNA	ABBE_BERN	TIL	4	9	626	0.93386706
cpDNA	ABBE_BERN	TULP	4	17	620	0.93379727
cpDNA	ABMU_HOR	BAI	6	10	515	0.92600892
cpDNA	ABMU_HOR	COM	6	9	486	0.97356342
cpDNA	ABMU_HOR	CROB	6	10	492	0.97010074
cpDNA	ABMU_HOR	CROS	6	10	510	0.94035839
cpDNA	ABMU_HOR	CY_ALA	6	3	438	0.96807933
cpDNA	ABMU_HOR	CY_BAL	6	3	557	0.97068323
cpDNA	ABMU_HOR	CY_BGL	6	2	539	0.96838830
cpDNA	ABMU_HOR	CY_BOU	6	5	449	0.97194557
cpDNA	ABMU_HOR	CY_CAS	6	5	707	0.67792900
cpDNA	ABMU_HOR	CY_HICN	6	5	634	0.97207962
cpDNA	ABMU_HOR	CY_HICS	6	5	446	0.96615059
cpDNA	ABMU_HOR	CY_HUN	6	4	646	0.97962608
cpDNA	ABMU_HOR	CY_SIE	6	4	840	0.62773707
cpDNA	ABMU_HOR	CY_WOO	6	5	450	0.96043493
cpDNA	ABMU_HOR	DAN	6	5	496	0.97078316
cpDNA	ABMU_HOR	DOV	6	7	482	0.96872229
cpDNA	ABMU_HOR	DUD	6	8	515	0.95281205
cpDNA	ABMU_HOR	KIRN	6	9	490	0.97114247
cpDNA	ABMU_HOR	KIRT	6	10	487	0.97441274
cpDNA	ABMU_HOR	MALV	6	10	489	0.97399030
cpDNA	ABMU_HOR	OCO	6	10	684	0.95306467
cpDNA	ABMU_HOR	QUI1	6	9	445	0.96946225
cpDNA	ABMU_HOR	QUI2	6	10	491	0.97415213
cpDNA	ABMU_HOR	QUIN	6	10	492	0.97504021
cpDNA	ABMU_HOR	RIC	6	10	488	0.94489557
