organelle	haplotype_id	sample_count	species_group_count	popcode_count
cpDNA	H001	1	1	0
cpDNA	H002	1	1	0
cpDNA	H003	3	2	1
cpDNA	H004	3	2	1
cpDNA	H005	1	1	0
cpDNA	H006	1	1	0
cpDNA	H007	1	1	0
cpDNA	H008	5	2	2
cpDNA	H009	1	1	0
cpDNA	H010	1	1	0
cpDNA	H011	1	1	0
cpDNA	H012	4	2	1
cpDNA	H013	1	1	1
cpDNA	H014	1	1	1
cpDNA	H015	2	1	1
cpDNA	H016	1	1	1
cpDNA	H017	1	1	1
cpDNA	H018	1	1	1
cpDNA	H019	1	1	1
cpDNA	H020	1	1	1
cpDNA	H021	1	1	1
cpDNA	H022	1	1	1
cpDNA	H023	1	1	1
cpDNA	H024	1	1	1
cpDNA	H025	1	1	1
cpDNA	H026	1	1	1
cpDNA	H027	1	1	1
cpDNA	H028	1	1	1
cpDNA	H029	1	1	1
cpDNA	H030	1	1	1
cpDNA	H031	4	1	1
cpDNA	H032	1	1	1
cpDNA	H033	1	1	1
cpDNA	H034	1	1	1
cpDNA	H035	1	1	1
cpDNA	H036	1	1	1
cpDNA	H037	7	1	1
cpDNA	H038	1	1	1
cpDNA	H039	1	1	1
cpDNA	H040	8	1	1
cpDNA	H041	1	1	1
cpDNA	H042	2	1	1
cpDNA	H043	1	1	1
cpDNA	H044	2	1	1
cpDNA	H045	1	1	1
cpDNA	H046	1	1	1
cpDNA	H047	1	1	1
cpDNA	H048	1	1	1
cpDNA	H049	1	1	1
cpDNA	H050	1	1	1
cpDNA	H051	1	1	1
cpDNA	H052	1	1	1
cpDNA	H053	1	1	1
cpDNA	H054	1	1	1
cpDNA	H055	4	1	1
cpDNA	H056	1	1	1
cpDNA	H057	1	1	1
cpDNA	H058	1	1	1
cpDNA	H059	1	1	1
cpDNA	H060	1	1	1
cpDNA	H061	1	1	1
cpDNA	H062	2	1	1
cpDNA	H063	1	1	1
cpDNA	H064	1	1	1
cpDNA	H065	3	1	2
cpDNA	H066	1	1	1
cpDNA	H067	1	1	1
cpDNA	H068	1	1	1
cpDNA	H069	1	1	1
cpDNA	H070	1	1	1
cpDNA	H071	1	1	1
cpDNA	H072	1	1	1
cpDNA	H073	1	1	1
cpDNA	H074	1	1	1
cpDNA	H075	1	1	1
cpDNA	H076	1	1	1
cpDNA	H077	1	1	1
cpDNA	H078	1	1	1
cpDNA	H079	1	1	1
cpDNA	H080	2	1	1
cpDNA	H081	1	1	1
cpDNA	H082	2	1	1
cpDNA	H083	1	1	1
cpDNA	H084	2	1	1
cpDNA	H085	1	1	1
cpDNA	H086	1	1	1
cpDNA	H087	1	1	1
cpDNA	H088	1	1	1
cpDNA	H089	5	1	1
cpDNA	H090	1	1	1
cpDNA	H091	2	1	2
cpDNA	H092	2	1	1
cpDNA	H093	15	1	2
cpDNA	H094	2	1	1
cpDNA	H095	7	1	1
cpDNA	H096	2	1	1
cpDNA	H097	1	1	1
cpDNA	H098	3	1	1
cpDNA	H099	1	1	1
cpDNA	H100	1	1	1
cpDNA	H101	1	1	1
cpDNA	H102	1	1	1
cpDNA	H103	1	1	1
cpDNA	H104	1	1	1
cpDNA	H105	1	1	1
cpDNA	H106	5	1	1
cpDNA	H107	1	1	1
cpDNA	H108	1	1	1
cpDNA	H109	2	1	1
cpDNA	H110	7	1	1
cpDNA	H111	2	1	1
cpDNA	H112	1	1	1
cpDNA	H113	9	1	1
cpDNA	H114	1	1	1
cpDNA	H115	9	1	1
cpDNA	H116	1	1	1
cpDNA	H117	5	1	1
cpDNA	H118	1	1	1
cpDNA	H119	1	1	1
cpDNA	H120	1	1	1
cpDNA	H121	1	1	1
cpDNA	H122	1	1	1
cpDNA	H123	3	1	1
cpDNA	H124	1	1	1
cpDNA	H125	1	1	1
cpDNA	H126	1	1	1
cpDNA	H127	1	1	1
cpDNA	H128	1	1	1
cpDNA	H129	1	1	1
cpDNA	H130	4	1	1
cpDNA	H131	1	1	1
cpDNA	H132	1	1	1
cpDNA	H133	3	1	1
cpDNA	H134	8	1	1
cpDNA	H135	3	1	1
cpDNA	H136	1	1	1
cpDNA	H137	1	1	1
cpDNA	H138	1	1	1
cpDNA	H139	1	1	1
cpDNA	H140	2	1	1
cpDNA	H141	1	1	1
cpDNA	H142	1	1	1
cpDNA	H143	2	1	1
cpDNA	H144	1	1	1
cpDNA	H145	2	1	1
cpDNA	H146	3	1	1
cpDNA	H147	1	1	1
cpDNA	H148	1	1	1
cpDNA	H149	2	1	1
cpDNA	H150	1	1	1
cpDNA	H151	2	1	1
