organelle	from_haplotype	to_haplotype	mutation_steps	alternative_link
mtDNA	H026	H003	1	FALSE
mtDNA	H058	H003	1	FALSE
mtDNA	H054	H004	1	FALSE
mtDNA	H032	H005	1	FALSE
mtDNA	H034	H005	1	FALSE
mtDNA	H024	H006	1	FALSE
mtDNA	H037	H007	1	FALSE
mtDNA	H053	H008	1	FALSE
mtDNA	H056	H008	1	FALSE
mtDNA	H038	H009	1	FALSE
mtDNA	H011	H010	1	FALSE
mtDNA	H013	H010	1	FALSE
mtDNA	H015	H014	1	FALSE
mtDNA	H029	H015	1	FALSE
mtDNA	H018	H016	1	FALSE
mtDNA	H021	H019	1	FALSE
mtDNA	H021	H020	1	FALSE
mtDNA	H024	H022	1	FALSE
mtDNA	H026	H023	1	FALSE
mtDNA	H058	H025	1	FALSE
mtDNA	H050	H039	1	FALSE
mtDNA	H043	H040	1	FALSE
mtDNA	H044	H040	1	FALSE
mtDNA	H042	H041	1	FALSE
mtDNA	H046	H045	1	FALSE
mtDNA	H049	H048	1	FALSE
mtDNA	H056	H048	1	FALSE
mtDNA	H055	H052	1	FALSE
mtDNA	H056	H054	1	FALSE
mtDNA	H057	H055	1	FALSE
mtDNA	H031	H007	2	FALSE
mtDNA	H045	H007	2	FALSE
mtDNA	H017	H012	2	FALSE
mtDNA	H028	H014	2	FALSE
mtDNA	H026	H024	2	FALSE
mtDNA	H035	H032	2	FALSE
mtDNA	H042	H040	2	FALSE
mtDNA	H057	H056	2	FALSE
mtDNA	H027	H007	3	FALSE
mtDNA	H013	H012	3	FALSE
mtDNA	H016	H012	3	FALSE
mtDNA	H051	H039	3	FALSE
mtDNA	H049	H001	4	FALSE
mtDNA	H003	H002	4	FALSE
mtDNA	H007	H002	4	FALSE
mtDNA	H020	H003	4	FALSE
mtDNA	H047	H003	4	FALSE
mtDNA	H039	H002	5	FALSE
mtDNA	H009	H003	5	FALSE
mtDNA	H053	H007	5	FALSE
mtDNA	H035	H033	5	FALSE
mtDNA	H040	H036	5	FALSE
mtDNA	H033	H030	8	FALSE
mtDNA	H047	H017	15	FALSE
mtDNA	H044	H015	16	FALSE
mtDNA	H030	H015	17	FALSE
mtDNA	H015	H007	23	FALSE
mtDNA	H023	H003	2	TRUE
mtDNA	H025	H003	2	TRUE
mtDNA	H056	H004	2	TRUE
mtDNA	H022	H006	2	TRUE
mtDNA	H048	H008	2	TRUE
mtDNA	H054	H008	2	TRUE
mtDNA	H013	H011	2	TRUE
