deliverable	organelle	file_path	notes
final_integrated_report	both	dudleya_organelle_alignment_pipeline/results/organelle_population_report.md	Professor-facing summary of goal, methods, outputs, and caveats.
callable_alignment	cpDNA	dudleya_organelle_alignment_pipeline/results/11_callable_consensus/cpDNA.primary.callable_consensus.fa	Full callable-site consensus alignment; 275 samples x 124,538 sites.
callable_alignment	mtDNA	dudleya_organelle_alignment_pipeline/results/11_callable_consensus/mtDNA.primary.callable_consensus.fa	Full callable-site consensus alignment; 275 samples x 44,930 sites.
snp_alignment	cpDNA	dudleya_organelle_alignment_pipeline/results/10_snp_alignment/cpDNA.primary.snp_alignment.fa	Filtered haploid SNP alignment; 2,015 SNP sites.
snp_alignment	mtDNA	dudleya_organelle_alignment_pipeline/results/10_snp_alignment/mtDNA.primary.snp_alignment.fa	Filtered haploid SNP alignment; 146 SNP sites.
pca_plot	cpDNA	dudleya_organelle_alignment_pipeline/results/15_pca/cpDNA.primary.pca.png	PC1 36.62%; PC2 14.65%.
pca_plot	mtDNA	dudleya_organelle_alignment_pipeline/results/15_pca/mtDNA.primary.pca.png	PC1 34.48%; PC2 14.06%.
pca_coordinates	cpDNA	dudleya_organelle_alignment_pipeline/results/15_pca/cpDNA.primary.pca.coordinates.tsv	Figure-ready PCA coordinates and metadata.
pca_coordinates	mtDNA	dudleya_organelle_alignment_pipeline/results/15_pca/mtDNA.primary.pca.coordinates.tsv	Figure-ready PCA coordinates and metadata.
ml_tree	cpDNA	dudleya_organelle_alignment_pipeline/results/19_bootstrap_phylogenetic_tree/cpDNA.primary.iqtree_ml.treefile	IQ-TREE ML tree; GTR+F+G4; 1,000 ultrafast bootstraps with BNNI.
ml_tree	mtDNA	dudleya_organelle_alignment_pipeline/results/19_bootstrap_phylogenetic_tree/mtDNA.primary.iqtree_ml.treefile	IQ-TREE ML tree; GTR+F+G4; 1,000 ultrafast bootstraps with BNNI.
tree_figure	cpDNA	dudleya_organelle_alignment_pipeline/results/20_bootstrap_tree_visualization/cpDNA.primary.iqtree_ml_tree.png	Rendered bootstrap-supported tree figure.
tree_figure	mtDNA	dudleya_organelle_alignment_pipeline/results/20_bootstrap_tree_visualization/mtDNA.primary.iqtree_ml_tree.png	Rendered bootstrap-supported tree figure.
admixture_structure	cpDNA	dudleya_organelle_alignment_pipeline/results/18_admixture_replicates/cpDNA.primary.bestK8.structure.png	ADMIXTURE-style organelle haplotype clustering; best K=8 by five-replicate mean CV error.
admixture_structure	mtDNA	dudleya_organelle_alignment_pipeline/results/18_admixture_replicates/mtDNA.primary.bestK8.structure.png	ADMIXTURE-style organelle haplotype clustering; best K=8 by five-replicate mean CV error.
admixture_report	both	dudleya_organelle_alignment_pipeline/results/18_admixture_replicates/primary.admixture_report.md	K sweep, five-replicate CV stability, and pseudo-diploid haploid encoding note.
pairwise_fst	cpDNA	dudleya_organelle_alignment_pipeline/results/17_population_genetics/cpDNA.primary.population_genetics.pairwise_fst.tsv	561 pairwise population comparisons across 34 populations.
pairwise_fst	mtDNA	dudleya_organelle_alignment_pipeline/results/17_population_genetics/mtDNA.primary.population_genetics.pairwise_fst.tsv	561 pairwise population comparisons across 34 populations.
population_summary	cpDNA	dudleya_organelle_alignment_pipeline/results/17_population_genetics/cpDNA.primary.population_genetics.population_summary.tsv	Sample counts, haplotypes, diversity, nucleotide diversity, private variants.
population_summary	mtDNA	dudleya_organelle_alignment_pipeline/results/17_population_genetics/mtDNA.primary.population_genetics.population_summary.tsv	Sample counts, haplotypes, diversity, nucleotide diversity, private variants.
tool_audit	both	dudleya_organelle_alignment_pipeline/results/13_tool_audit/primary.tool_audit_report.md	Installed/verified tools and visualization dependencies.
