core_gene	candidate_count	candidate_labels	status
atp1	1	ATP1	PRESENT
atp4	1	atp4	PRESENT
atp6	1	atp6	PRESENT
atp8	1	ATP8	PRESENT
atp9	1	atp9	PRESENT
ccmb	1	ccmB	PRESENT
ccmc	1	ccmC	PRESENT
ccmfc	1	ccmFC	PRESENT
ccmfn	0	NA	NOT_ANNOTATED_IN_GATEVER
cob	2	CYTB,cob	PRESENT
cox1	1	COX1	PRESENT
cox2	1	cox2	PRESENT
cox3	1	COX3	PRESENT
matr	1	matR	PRESENT
mttb	0	NA	NOT_ANNOTATED_IN_GATEVER
nad1	2	ND1,nad1	PRESENT
nad2	2	ND2,nad2	PRESENT
nad3	0	NA	NOT_ANNOTATED_IN_GATEVER
nad4	0	NA	NOT_ANNOTATED_IN_GATEVER
nad4l	2	ND4L,nad4L	PRESENT
nad5	2	ND5,nad5	PRESENT
nad6	0	NA	NOT_ANNOTATED_IN_GATEVER
nad7	2	ND7,nad7	PRESENT
nad9	2	ND9,nad9	PRESENT
rpl10	1	rpl10	PRESENT
rpl2	0	NA	NOT_ANNOTATED_IN_GATEVER
rpl5	1	rpl5	PRESENT
rps12	0	NA	NOT_ANNOTATED_IN_GATEVER
rps13	0	NA	NOT_ANNOTATED_IN_GATEVER
rps14	1	rps14	PRESENT
rps19	0	NA	NOT_ANNOTATED_IN_GATEVER
rps3	0	NA	NOT_ANNOTATED_IN_GATEVER
rps4	0	NA	NOT_ANNOTATED_IN_GATEVER
rps7	1	rps7	PRESENT
