organelle	feature_type	gene_key	candidate_count	candidate_labels	reference_records_checked	reference_presence_count	reference_presence_fraction	reference_labels_seen	status
chloroplast	tRNA	trnaugc	1	trnA-UGC	8	8	1.0	trnA-UGC	OK
chloroplast	tRNA	trncgca	1	trnC-GCA	8	8	1.0	trnC-GCA	OK
chloroplast	tRNA	trndguc	1	trnD-GUC	8	8	1.0	trnD-GUC	OK
chloroplast	tRNA	trneuuc	1	trnE-UUC	8	8	1.0	trnE-UUC	OK
chloroplast	tRNA	trnfgaa	1	trnF-GAA	8	8	1.0	trnF-GAA	OK
chloroplast	tRNA	trnfmcau	1	trnfM-CAU	8	8	1.0	trnfM-CAU	OK
chloroplast	tRNA	trnggcc	1	trnG-GCC	8	8	1.0	trnG-GCC	OK
chloroplast	tRNA	trngucc	1	trnG-UCC	8	8	1.0	trnG-UCC	OK
chloroplast	tRNA	trnhgug	1	trnH-GUG	8	8	1.0	trnH-GUG	OK
chloroplast	tRNA	trnicau	1	trnI-CAU	8	8	1.0	trnI-CAU	OK
chloroplast	tRNA	trnigau	1	trnI-GAU	8	7	0.875	trnI-GAU	OK
chloroplast	tRNA	trnkuuu	1	trnK-UUU	8	8	1.0	trnK-UUU	OK
chloroplast	tRNA	trnlcaa	1	trnL-CAA	8	8	1.0	trnL-CAA	OK
chloroplast	tRNA	trnluaa	1	trnL-UAA	8	8	1.0	trnL-UAA	OK
chloroplast	tRNA	trnluag	1	trnL-UAG	8	8	1.0	trnL-UAG	OK
chloroplast	tRNA	trnmcau	1	trnM-CAU	8	8	1.0	trnM-CAU	OK
chloroplast	tRNA	trnnguu	1	trnN-GUU	8	8	1.0	trnN-GUU	OK
chloroplast	tRNA	trnpugg	1	trnP-UGG	8	8	1.0	trnP-UGG	OK
chloroplast	tRNA	trnquug	1	trnQ-UUG	8	8	1.0	trnQ-UUG	OK
chloroplast	tRNA	trnracg	1	trnR-ACG	8	8	1.0	trnR-ACG	OK
chloroplast	tRNA	trnrucu	1	trnR-UCU	8	8	1.0	trnR-UCU	OK
chloroplast	tRNA	trnsgcu	1	trnS-GCU	8	8	1.0	trnS-GCU	OK
chloroplast	tRNA	trnsgga	1	trnS-GGA	8	8	1.0	trnS-GGA	OK
chloroplast	tRNA	trnsuga	1	trnS-UGA	8	8	1.0	trnS-UGA	OK
chloroplast	tRNA	trntggu	1	trnT-GGU	8	8	1.0	trnT-GGU	OK
chloroplast	tRNA	trntugu	1	trnT-UGU	8	8	1.0	trnT-UGU	OK
chloroplast	tRNA	trnvgac	1	trnV-GAC	8	8	1.0	trnV-GAC	OK
chloroplast	tRNA	trnvuac	1	trnV-UAC	8	8	1.0	trnV-UAC	OK
chloroplast	tRNA	trnwcca	1	trnW-CCA	8	8	1.0	trnW-CCA	OK
chloroplast	tRNA	trnygua	1	trnY-GUA	8	8	1.0	trnY-GUA	OK
chloroplast	rRNA	rrn16	1	rrn16	8	8	1.0	rrn16	OK
chloroplast	rRNA	rrn23	1	rrn23	8	8	1.0	rrn23	OK
chloroplast	rRNA	rrn45	1	rrn4.5	8	8	1.0	rrn4.5	OK
chloroplast	rRNA	rrn5	1	rrn5	8	8	1.0	rrn5	OK
mitochondria	tRNA	trnettc	1	trnE-TTC	16	9	0.562	trnE-TTC	OK
mitochondria	tRNA	trneuuc	1	trnE-UUC	16	4	0.25	trnE-UUC	OK
mitochondria	tRNA	trnfgaa	0	NA	16	3	0.188	trnF-GAA	OK
mitochondria	tRNA	trnfmcau	1	trnfM-CAU	16	4	0.25	trnfM-CAU	OK
mitochondria	tRNA	trnhgtg	1	trnH-GTG	16	9	0.562	trnH-GTG	OK
mitochondria	tRNA	trnhgug	1	trnH-GUG	16	4	0.25	trnH-GUG	OK
mitochondria	tRNA	trnicau	1	trnI-CAU	16	1	0.062	trnI-CAU	CANDIDATE_ONLY_OR_RARE_REFERENCE
mitochondria	tRNA	trnkuuu	0	NA	16	1	0.062	trnK-UUU	OK
mitochondria	tRNA	trnlcaa	0	NA	16	1	0.062	trnL-CAA	OK
mitochondria	tRNA	trnmcat	1	trnM-CAT	16	10	0.625	trnM-CAT	OK
mitochondria	tRNA	trnmcau	1	trnM-CAU	16	8	0.5	trnM-CAU	OK
mitochondria	tRNA	trnnguu	0	NA	16	1	0.062	trnN-GUU	OK
mitochondria	tRNA	trnptgg	0	NA	16	3	0.188	trnP-TGG	OK
mitochondria	tRNA	trnpugg	0	NA	16	1	0.062	trnP-UGG	OK
mitochondria	tRNA	trnqttg	1	trnQ-TTG	16	7	0.438	trnQ-TTG	OK
mitochondria	tRNA	trnquug	1	trnQ-UUG	16	4	0.25	trnQ-UUG	OK
mitochondria	tRNA	trnttgt	0	NA	16	2	0.125	trnT-TGT	OK
mitochondria	tRNA	trnvgac	0	NA	16	1	0.062	trnV-GAC	OK
mitochondria	tRNA	trnvuac	0	NA	16	2	0.125	trnV-UAC	OK
mitochondria	tRNA	trnwcca	1	trnW-CCA	16	12	0.75	trnW-CCA	OK
mitochondria	tRNA	trnygta	1	trnY-GTA	16	10	0.625	trnY-GTA	OK
mitochondria	tRNA	trnygua	1	trnY-GUA	16	4	0.25	trnY-GUA	OK
mitochondria	rRNA	rrn18	1	rrn18	16	13	0.812	rrn18	OK
mitochondria	rRNA	rrn26	0	NA	16	13	0.812	rrn26	MISSING_EXPECTED
mitochondria	rRNA	rrn5	1	rrn5	16	13	0.812	rrn5	OK
