sample_id	batch	naming_profile	species	popcode	input_read_records	total_organelle_mapped_reads	input_organelle_mapping_fraction	chloroplast_mapped_reads	mitochondria_mapped_reads	chloroplast_fraction_of_organelle_mapped	mitochondria_fraction_of_organelle_mapped	chloroplast_mean_depth	mitochondria_mean_depth	chloroplast_breadth_ge_1x	mitochondria_breadth_ge_1x	chloroplast_breadth_ge_5x	mitochondria_breadth_ge_5x	chloroplast_breadth_ge_10x	mitochondria_breadth_ge_10x	qc_notes
DU-173	QB3.Berkeley.241122/QB3.Dudleya.Results.250118	initial_du_dash			142626714	21112664	0.148027	18020582	3092082	0.853544	0.146456	17619.275231	1848.704897	1.000000	0.995603	1.000000	0.995595	1.000000	0.995558	pass_initial_mapping_screen
DU014LP012	QB3.Berkeley.250811/QB3.250916.Results5genomes	initial_du_lp			80007888	10331624	0.129133	9392608	939016	0.909112	0.090888	8634.017428	537.615864	1.000000	0.969490	1.000000	0.946791	1.000000	0.945854	pass_initial_mapping_screen
CY_ALA_LP_298-Du-767	QB3.Berkeley.251217/QB3.Results.260109	main_standard	D. cymosa	CY_ALA	9650660	1066897	0.110552	921868	145029	0.864065	0.135935	734.325226	74.755234	1.000000	0.947062	0.999973	0.945558	0.999933	0.945274	pass_initial_mapping_screen
ABAB_MAD_LP_222_Du-589	QB3.Berkeley.251217/QB3.Results.260109	main_standard	D. abramsii ssp. abramsii	ABAB_MAD	5378	305	0.056713	283	22	0.927869	0.072131	0.211846	0.010511	0.134068	0.008120	0.000492	0.000000	0.000000	0.000000	low_mitochondria_mapped_reads;low_chloroplast_breadth_ge_1x;low_mitochondria_breadth_ge_1x
BAI_LP_105_Du-222	QB3.Berkeley.251217/QB3.Results.260109	main_standard	D. setchellii	BAI	12041946	1822203	0.151321	1643817	178386	0.902104	0.097896	1409.684589	100.819394	1.000000	0.945780	0.999987	0.945139	0.999987	0.944872	pass_initial_mapping_screen
CY_BAL_LP_226_Du-602	QB3.Berkeley.251217/QB3.Results.260109	main_standard	D. cymosa	CY_BAL	4412330	987346	0.223770	903030	84316	0.914603	0.085397	719.971286	42.910059	0.999993	0.960445	0.999940	0.955412	0.999681	0.954639	pass_initial_mapping_screen
ABBE_BERN_LP_311_Du-780	QB3.Berkeley.251217/QB3.Results.260109	main_standard	D. abramsii ssp. bettinae	ABBE_BERN	10549336	1732138	0.164194	1481697	250441	0.855415	0.144585	1080.535176	116.973192	1.000000	0.945311	0.999920	0.941243	0.999874	0.940742	pass_initial_mapping_screen
COM_LP_269_Du-703	QB3.Berkeley.251217/QB3.Results.260109	main_standard	D. setchellii	COM	11377416	2038998	0.179215	1737148	301850	0.851962	0.148038	1434.370377	159.001414	1.000000	0.987496	0.999980	0.948829	0.999967	0.944646	pass_initial_mapping_screen
CY_BGL_LP_210_Du-577	QB3.Berkeley.251217/QB3.Results.260109	main_standard	D. cymosa	CY_BGL	9588954	1135291	0.118396	880116	255175	0.775234	0.224766	673.826071	132.676683	0.999953	0.943483	0.999867	0.940541	0.999627	0.940257	pass_initial_mapping_screen
ABMU_HOR_LP_306_Du-775	QB3.Berkeley.251217/QB3.Results.260109	main_standard	D. abramsii ssp. murina	ABMU_HOR	13666840	1636244	0.119724	1297419	338825	0.792925	0.207075	963.815025	163.805526	0.999907	0.999018	0.999894	0.998784	0.999814	0.998738	pass_initial_mapping_screen
CROB_LP_169_Du-381	QB3.Berkeley.251217/QB3.Results.260109	main_standard	D. setchellii	CROB	1155960	212217	0.183585	191227	20990	0.901092	0.098908	170.422588	11.457181	0.999887	0.998500	0.999681	0.913219	0.999201	0.553421	pass_initial_mapping_screen
CY_BOU_LP_288_Du-737	QB3.Berkeley.251217/QB3.Results.260109	main_standard	D. cymosa	CY_BOU	1686668	252901	0.149941	229147	23754	0.906074	0.093926	194.358106	12.793930	0.999980	0.944029	0.999907	0.885215	0.999734	0.612268	pass_initial_mapping_screen
CROS_LP_085_Du-181	QB3.Berkeley.251217/QB3.Results.260109	main_standard	D. setchellii	CROS	15202936	2032393	0.133684	1644307	388086	0.809050	0.190950	1327.744653	197.680090	1.000000	1.000000	1.000000	0.999971	0.999980	0.999951	pass_initial_mapping_screen
CY_CAS_LP_328_Du-610	QB3.Berkeley.251217/QB3.Results.260109	main_standard	D. cymosa	CY_CAS	14480270	1873076	0.129354	1689254	183822	0.901861	0.098139	1178.420525	81.885527	0.999980	0.947312	0.999927	0.943405	0.999820	0.943051	pass_initial_mapping_screen
DAN_LP_043_Du-68	QB3.Berkeley.251217/QB3.Results.260109	main_standard	D. setchellii	DAN	2431018	350566	0.144205	314879	35687	0.898202	0.101798	285.836252	19.598749	0.999980	0.999227	0.999933	0.991634	0.999840	0.906089	pass_initial_mapping_screen
