organelle	node	clade	sample_count	display_group
cpDNA	420	MALV	10	DUSE
cpDNA	534	OCO	10	DUSE
cpDNA	468	COM	9	DUSE
cpDNA	502	QUI1	9	DUSE
cpDNA	331	RSV	9	DUSE
cpDNA	494	CY BOU	5	DUCY
cpDNA	498	CY HICS	5	DUCY
cpDNA	530	CY HUN	5	DUCY
cpDNA	480	CY WOO	5	DUCY
cpDNA	522	ABBE BERN	4	ABBE
cpDNA	487	CY ALA	3	DUCY
cpDNA	527	CY BAL	3	DUCY
mtDNA	510	OCO	10	DUSE
mtDNA	467	COM	9	DUSE
mtDNA	476	QUI1	9	DUSE
mtDNA	326	RSV	9	DUSE
mtDNA	461	SILR	6	DUSE
mtDNA	506	CY HUN	5	DUCY
mtDNA	550	CY ALA	3	DUCY
mtDNA	503	CY BAL	3	DUCY
