popcode	species	population_name
ABAB_MAD	D. abramsii ssp. abramsii	Madonna Inn
ABBE_BERN	D. abramsii ssp. bettinae	San Bernardino Creek Road
ABMU_HOR	D. abramsii ssp. murina	Horse Canyon (SLO)
BAI	D. setchellii	Baird Ridgeline
COM	D. setchellii	Communication Hill
CROB	D. setchellii	Crosp Bench
CROS	D. setchellii	Crosp South End
CY_ALA	D. cymosa	Los Alanitos Dam
CY_BAL	D. cymosa	Baldwin Lake
CY_BGL	D. cymosa	Below Green Lake
CY_BOU	D. cymosa	Boulder Ridge
CY_CAS	D. cymosa	Castle Rock Falls
CY_HICN	D. cymosa	Hick's Road North
CY_HICS	D. cymosa	Hicks Rd. South
CY_HUN	D. cymosa	Hunting Hollow
CY_RED	D. cymosa	Redwood Gulch
CY_SIE	D. cymosa	Sierra Azule
CY_WOO	D. cymosa	Hicks & Woods Rd.
DAN	D. setchellii	Dana Rock
DOV	D. setchellii	Dove Road
DUD	D. setchellii	Dude Rock
KIRN	D. setchellii	Kirby N. Rd. Canyon
KIRT	D. setchellii	KC Transect
MALV	D. setchellii	Malech Vista
OCO	D. setchellii	O'Connell Ranch Pacheco Pass
QUI1	D. setchellii	Quicklsilver SE Mine Hill Tr. #1
QUI2	D. setchellii	Quicklsilver SE Mine Hill Tr. #2
QUIN	D. setchellii	Quicksilver NE
RIC	D. setchellii	Richmond Ranch
RSV	D. setchellii	Rancho San Vicente
SILG	D. setchellii	Silver Creek Golf
SILR	D. setchellii	Silver Creek Valley Rd. + Razorback + water tower
STI	D. setchellii	Stiles Ranch
TIL	D. setchellii	Tilton Ranch Road
TULP	D. setchellii	Tulare Hill NW Parks
