sample_id	old_popcode	new_popcode_or_EXCLUDED	evidence_source	decision_author	decision_date	confidence_or_unresolved
DU-173	DUSE	EXCLUDED	repository source-record audit	supplementary pipeline policy	2026-08-24	unresolved
DU-229	DUSE	EXCLUDED	repository source-record audit	supplementary pipeline policy	2026-08-24	unresolved
DU-247	DUSE	EXCLUDED	repository source-record audit	supplementary pipeline policy	2026-08-24	unresolved
DU-254	DUSE	EXCLUDED	repository source-record audit	supplementary pipeline policy	2026-08-24	unresolved
DU-270	DUSE	EXCLUDED	repository source-record audit	supplementary pipeline policy	2026-08-24	unresolved
DU-297	DUSE	EXCLUDED	repository source-record audit	supplementary pipeline policy	2026-08-24	unresolved
DU-443	DUSE	EXCLUDED	repository source-record audit	supplementary pipeline policy	2026-08-24	unresolved
DU-4A	DUSE	EXCLUDED	repository source-record audit	supplementary pipeline policy	2026-08-24	unresolved
DU014LP012	DUSE	EXCLUDED	repository source-record audit	supplementary pipeline policy	2026-08-24	unresolved
DU037LP013	DUSE	EXCLUDED	repository source-record audit	supplementary pipeline policy	2026-08-24	unresolved
DU059LP015	DUSE	EXCLUDED	repository source-record audit	supplementary pipeline policy	2026-08-24	unresolved
DU078LP011	DUSE	EXCLUDED	repository source-record audit	supplementary pipeline policy	2026-08-24	unresolved
DU079LP010	DUSE	EXCLUDED	repository source-record audit	supplementary pipeline policy	2026-08-24	unresolved
