sample_id	popcode	species	population_name	r1_paths	r2_paths	r1_count	r2_count	pair_status	analysis_eligible	sample_analysis_eligible	population_inference_eligible	population_exclusion_reason
ABAB_MAD_LP_222_Du-589	ABAB_MAD	D. abramsii ssp. abramsii	Madonna Inn	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/ABAB_MAD/ABAB_MAD_LP_222_Du-589_S244_L005_R1_001.fastq.gz	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/ABAB_MAD/ABAB_MAD_LP_222_Du-589_S244_L005_R2_001.fastq.gz	1	1	complete	yes	yes	yes	
ABAB_MAD_LP_223_Du-590	ABAB_MAD	D. abramsii ssp. abramsii	Madonna Inn	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/ABAB_MAD/ABAB_MAD_LP_223_Du-590_S253_L005_R1_001.fastq.gz	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/ABAB_MAD/ABAB_MAD_LP_223_Du-590_S253_L005_R2_001.fastq.gz	1	1	complete	yes	yes	yes	
ABAB_MAD_LP_225_Du-592	ABAB_MAD	D. abramsii ssp. abramsii	Madonna Inn		source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/ABAB_MAD/ABAB_MAD_LP_225_Du-592_S272_L005_R2_001.fastq.gz	0	1	missing_R1	no	no	yes	
ABAB_MAD_LP_322_Du-593	ABAB_MAD	D. abramsii ssp. abramsii	Madonna Inn	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/ABAB_MAD/ABAB_MAD_LP_322_Du-593_S172_L005_R1_001.fastq.gz	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/ABAB_MAD/ABAB_MAD_LP_322_Du-593_S172_L005_R2_001.fastq.gz	1	1	complete	yes	yes	yes	
ABAB_MAD_LP_323_Du-594	ABAB_MAD	D. abramsii ssp. abramsii	Madonna Inn	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/ABAB_MAD/ABAB_MAD_LP_323_Du-594_S183_L005_R1_001.fastq.gz	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/ABAB_MAD/ABAB_MAD_LP_323_Du-594_S183_L005_R2_001.fastq.gz	1	1	complete	yes	yes	yes	
ABAB_MAD_LP_324_Du-595	ABAB_MAD	D. abramsii ssp. abramsii	Madonna Inn	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/ABAB_MAD/ABAB_MAD_LP_324_Du-595_S194_L005_R1_001.fastq.gz	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/ABAB_MAD/ABAB_MAD_LP_324_Du-595_S194_L005_R2_001.fastq.gz	1	1	complete	yes	yes	yes	
ABAB_MAD_LP_325_Du-596	ABAB_MAD	D. abramsii ssp. abramsii	Madonna Inn	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/ABAB_MAD/ABAB_MAD_LP_325_Du-596_S212_L005_R1_001.fastq.gz	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/ABAB_MAD/ABAB_MAD_LP_325_Du-596_S212_L005_R2_001.fastq.gz	1	1	complete	yes	yes	yes	
ABAB_MAD_LP_326_Du-597	ABAB_MAD	D. abramsii ssp. abramsii	Madonna Inn	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/ABAB_MAD/ABAB_MAD_LP_326_Du-597_S222_L005_R1_001.fastq.gz	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/ABAB_MAD/ABAB_MAD_LP_326_Du-597_S222_L005_R2_001.fastq.gz	1	1	complete	yes	yes	yes	
ABAB_MAD_LP_327_Du-598	ABAB_MAD	D. abramsii ssp. abramsii	Madonna Inn	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/ABAB_MAD/ABAB_MAD_LP_327_Du-598_S233_L005_R1_001.fastq.gz	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/ABAB_MAD/ABAB_MAD_LP_327_Du-598_S233_L005_R2_001.fastq.gz	1	1	complete	yes	yes	yes	
ABBE_BERN_LP_311_Du-780	ABBE_BERN	D. abramsii ssp. bettinae	San Bernardino Creek Road	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/ABBE_BERN/ABBE_BERN_LP_311_Du-780_S261_L005_R1_001.fastq.gz	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/ABBE_BERN/ABBE_BERN_LP_311_Du-780_S261_L005_R2_001.fastq.gz	1	1	complete	yes	yes	yes	
ABBE_BERN_LP_312_Du-781	ABBE_BERN	D. abramsii ssp. bettinae	San Bernardino Creek Road	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/ABBE_BERN/ABBE_BERN_LP_312_Du-781_S271_L005_R1_001.fastq.gz	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/ABBE_BERN/ABBE_BERN_LP_312_Du-781_S271_L005_R2_001.fastq.gz	1	1	complete	yes	yes	yes	
ABBE_BERN_LP_313_Du-782	ABBE_BERN	D. abramsii ssp. bettinae	San Bernardino Creek Road	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/ABBE_BERN/ABBE_BERN_LP_313_Du-782_S280_L005_R1_001.fastq.gz	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/ABBE_BERN/ABBE_BERN_LP_313_Du-782_S280_L005_R2_001.fastq.gz	1	1	complete	yes	yes	yes	
ABBE_BERN_LP_314_Du-783	ABBE_BERN	D. abramsii ssp. bettinae	San Bernardino Creek Road	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/ABBE_BERN/ABBE_BERN_LP_314_Du-783_S291_L005_R1_001.fastq.gz	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/ABBE_BERN/ABBE_BERN_LP_314_Du-783_S291_L005_R2_001.fastq.gz	1	1	complete	yes	yes	yes	
ABMU_HOR_LP_306_Du-775	ABMU_HOR	D. abramsii ssp. murina	Horse Canyon (SLO)	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/ABMU_HOR/ABMU_HOR_LP_306_Du-775_S290_L005_R1_001.fastq.gz	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/ABMU_HOR/ABMU_HOR_LP_306_Du-775_S290_L005_R2_001.fastq.gz	1	1	complete	yes	yes	yes	
