sample_id	chloroplast_tip_order	mitochondria_tip_order	mitochondria_representative	identical_zero_length_tip_group
ABAB_MAD_LP_223_Du-590	1	1	ABAB_MAD_LP_223_Du-590	no
ABAB_MAD_LP_322_Du-593	2	2	ABAB_MAD_LP_322_Du-593	no
ABAB_MAD_LP_323_Du-594	3	270	ABAB_MAD_LP_323_Du-594	no
ABAB_MAD_LP_324_Du-595	4	271	ABAB_MAD_LP_324_Du-595	no
ABAB_MAD_LP_325_Du-596	5	5	ABAB_MAD_LP_325_Du-596	no
ABAB_MAD_LP_326_Du-597	275	3	ABAB_MAD_LP_326_Du-597	no
ABAB_MAD_LP_327_Du-598	276	4	ABAB_MAD_LP_327_Du-598	no
ABBE_BERN_LP_311_Du-780	6	6	ABBE_BERN_LP_311_Du-780	no
ABBE_BERN_LP_312_Du-781	7	7	ABBE_BERN_LP_312_Du-781	no
ABBE_BERN_LP_313_Du-782	8	8	ABBE_BERN_LP_313_Du-782	no
ABBE_BERN_LP_314_Du-783	9	9	ABBE_BERN_LP_314_Du-783	no
ABMU_HOR_LP_306_Du-775	269	264	ABMU_HOR_LP_306_Du-775	no
ABMU_HOR_LP_308_Du-777	270	265	ABMU_HOR_LP_308_Du-777	no
ABMU_HOR_LP_358_Du-770	274	269	ABMU_HOR_LP_358_Du-770	no
ABMU_HOR_LP_359_Du-771	271	266	ABMU_HOR_LP_359_Du-771	no
ABMU_HOR_LP_360_Du-772	272	268	ABMU_HOR_LP_360_Du-772	no
ABMU_HOR_LP_361_Du-773	273	267	ABMU_HOR_LP_361_Du-773	no
BAI_LP_105_Du-222	40	38	BAI_LP_105_Du-222	no
BAI_LP_106_Du-223	45	44	BAI_LP_106_Du-223	no
BAI_LP_108_Du-225	41	42	BAI_LP_108_Du-225	no
BAI_LP_109_Du-226	49	43	BAI_LP_109_Du-226	no
BAI_LP_110_Du-227	47	46	BAI_LP_110_Du-227	no
BAI_LP_111_Du-228	48	45	BAI_LP_111_Du-228	no
BAI_LP_112_Du-230	42	41	BAI_LP_112_Du-230	no
BAI_LP_113_Du-231	50	48	BAI_LP_113_Du-231	no
BAI_LP_114_Du-232	44	39	BAI_LP_114_Du-232	no
BAI_LP_319_Du-233	43	40	BAI_LP_319_Du-233	no
COM_LP_269_Du-703	68	66	COM_LP_269_Du-703	no
COM_LP_270_Du-704	69	67	COM_LP_270_Du-704	no
COM_LP_272_Du-707	73	68	COM_LP_272_Du-707	no
COM_LP_274_Du-709	75	69	COM_LP_274_Du-709	no
COM_LP_276_Du-711	70	72	COM_LP_276_Du-711	no
COM_LP_277_Du-712	71	70	COM_LP_277_Du-712	no
COM_LP_341_Du-713	76	74	COM_LP_341_Du-713	no
COM_LP_342_Du-714	72	73	COM_LP_342_Du-714	no
COM_LP_343_Du-715	74	71	COM_LP_343_Du-715	no
CROB_LP_169_Du-381	90	77	CROB_LP_169_Du-381	no
CROB_LP_170_Du-382	92	78	CROB_LP_170_Du-382	no
CROB_LP_172_Du-384	107	96	CROB_LP_172_Du-384	no
CROB_LP_173_Du-385	97	80	CROB_LP_173_Du-385	no
CROB_LP_174_Du-386	91	83	CROB_LP_174_Du-386	no
CROB_LP_175_Du-387	94	84	CROB_LP_175_Du-387	no
CROB_LP_176_Du-388	95	79	CROB_LP_176_Du-388	no
CROB_LP_177_Du-389	98	82	CROB_LP_177_Du-389	no
CROB_LP_320_Du-395	93	85	CROB_LP_320_Du-395	no
CROB_LP_321_Du-396	96	81	CROB_LP_173_Du-385	yes
CROS_LP_085_Du-181	99	88	CROS_LP_085_Du-181	no
CROS_LP_086_Du-182	103	92	CROS_LP_086_Du-182	no
CROS_LP_087_Du-183	104	93	CROS_LP_087_Du-183	no
CROS_LP_088_Du-184	105	89	CROS_LP_085_Du-181	yes
CROS_LP_089_Du-185	106	86	CROS_LP_089_Du-185	no
CROS_LP_090_Du-186	102	90	CROS_LP_085_Du-181	yes
CROS_LP_091_Du-187	148	135	CROS_LP_091_Du-187	no
CROS_LP_092_Du-188	149	136	CROS_LP_092_Du-188	no
CROS_LP_093_Du-189	147	114	CROS_LP_093_Du-189	no
CROS_LP_094_Du-190	150	137	CROS_LP_094_Du-190	no
CY_ALA_LP_298-Du-767	235	242	CY_ALA_LP_298-Du-767	no
CY_ALA_LP_299-Du-768	236	243	CY_ALA_LP_299-Du-768	no
CY_ALA_LP_357_Du-769	237	244	CY_ALA_LP_357_Du-769	no
CY_BAL_LP_226_Du-602	10	11	CY_BAL_LP_226_Du-602	no
CY_BAL_LP_227_Du-603	12	12	CY_BAL_LP_227_Du-603	no
CY_BGL_LP_210_Du-577	14	10	CY_BGL_LP_210_Du-577	no
CY_BGL_LP_212_Du-579	13	13	CY_BGL_LP_212_Du-579	no
CY_BOU_LP_288_Du-737	242	241	CY_BOU_LP_288_Du-737	no
CY_BOU_LP_290_Du-739	246	258	CY_BOU_LP_290_Du-739	no
CY_BOU_LP_291_Du-740	244	261	CY_BOU_LP_291_Du-740	no
CY_BOU_LP_292_Du-741	243	253	CY_BOU_LP_292_Du-741	no
CY_BOU_LP_354_Du-742	245	260	CY_BOU_LP_354_Du-742	no
CY_CAS_LP_328_Du-610	30	28	CY_CAS_LP_328_Du-610	no
CY_CAS_LP_329_Du-611	238	245	CY_CAS_LP_329_Du-611	no
CY_CAS_LP_330_Du-607	240	246	CY_CAS_LP_330_Du-607	no
CY_CAS_LP_331_Du-608	241	247	CY_CAS_LP_331_Du-608	no
CY_CAS_LP_332_Du-609	239	248	CY_CAS_LP_332_Du-609	no
CY_HICN_LP_236_Du-614	31	29	CY_HICN_LP_236_Du-614	no
CY_HICN_LP_333_Du-612	32	37	CY_HICN_LP_333_Du-612	no
CY_HICN_LP_334_Du-613	39	36	CY_HICN_LP_334_Du-613	no
CY_HICN_LP_335_Du-615	33	30	CY_HICN_LP_335_Du-615	no
CY_HICN_LP_336_Du-616	34	31	CY_HICN_LP_336_Du-616	no
CY_HICS_LP_293_Du-757	247	259	CY_BOU_LP_290_Du-739	yes
CY_HICS_LP_297_Du-761	250	255	CY_HICS_LP_297_Du-761	no
CY_HICS_LP_355_Du-762	251	262	CY_BOU_LP_291_Du-740	yes
CY_HICS_LP_356_Du-763	248	263	CY_HICS_LP_356_Du-763	no
CY_HUN_LP_264_Du-683	15	14	CY_HUN_LP_264_Du-683	no
CY_HUN_LP_266_Du-685	19	15	CY_HUN_LP_266_Du-685	no
CY_HUN_LP_267_Du-686	17	16	CY_HUN_LP_267_Du-686	no
CY_HUN_LP_268_Du-687	18	17	CY_HUN_LP_268_Du-687	no
CY_SIE_LP_188_Du-445	35	34	CY_SIE_LP_188_Du-445	no
CY_SIE_LP_189_Du-446	38	33	CY_SIE_LP_189_Du-446	no
CY_SIE_LP_190_Du-447	37	35	CY_SIE_LP_190_Du-447	no
CY_SIE_LP_191_Du-448	261	254	CY_SIE_LP_191_Du-448	no
CY_WOO_LP_259_Du-664	264	249	CY_WOO_LP_259_Du-664	no
CY_WOO_LP_260_Du-665	265	250	CY_WOO_LP_260_Du-665	no
