organelle	population_1	population_2	n_population_1	n_population_2	numerator	denominator	callable_sites_with_at_least_two_calls_per_population	hudson_fst
chloroplast	ABAB_MAD	ABBE_BERN	7	4	519.828571429	541.357142857	101753	0.96023222061
chloroplast	ABAB_MAD	ABMU_HOR	7	6	40.8857142857	59.9976190476	101945	0.681455613318
chloroplast	ABAB_MAD	BAI	7	10	454.643650794	477.897619048	101944	0.951341108792
chloroplast	ABAB_MAD	COM	7	9	464.935714286	477.725396825	101948	0.97322796187
chloroplast	ABAB_MAD	CROB	7	10	462.076190476	474.796428571	101928	0.973209069551
chloroplast	ABAB_MAD	CROS	7	10	456.342857143	478.171428571	101949	0.954349904398
chloroplast	ABAB_MAD	CY_ALA	7	3	418.019047619	429.614285714	101810	0.97301011982
chloroplast	ABAB_MAD	CY_BAL	7	3	530.304761905	542.761904762	101670	0.977048605018
chloroplast	ABAB_MAD	CY_BGL	7	2	513.304761905	546.461904762	101808	0.939323962808
chloroplast	ABAB_MAD	CY_BOU	7	5	427.066666667	438.661904762	101942	0.973566799466
chloroplast	ABAB_MAD	CY_CAS	7	5	337.338095238	455.695238095	101842	0.740271275706
chloroplast	ABAB_MAD	CY_HICN	7	5	610.952380952	623.097619048	101658	0.980508289995
chloroplast	ABAB_MAD	CY_HICS	7	5	423.519047619	435.447619048	101943	0.972606185206
chloroplast	ABAB_MAD	CY_HUN	7	5	617.738095238	629.783333333	101733	0.980873996726
chloroplast	ABAB_MAD	CY_SIE	7	4	413.185714286	576.497619048	101916	0.716717121865
chloroplast	ABAB_MAD	CY_WOO	7	5	427.552380952	439.880952381	101792	0.971972936401
chloroplast	ABAB_MAD	DAN	7	5	469.819047619	483.214285714	101915	0.972278886425
chloroplast	ABAB_MAD	DOV	7	7	457.547619048	469.871428571	101937	0.973771953827
chloroplast	ABAB_MAD	DUD	7	8	463.911904762	482.346428571	101949	0.96178156877
chloroplast	ABAB_MAD	KIRN	7	9	461.626190476	474.915873016	101950	0.972016764874
chloroplast	ABAB_MAD	KIRT	7	10	462.876190476	474.471428571	101884	0.975561778019
chloroplast	ABAB_MAD	MALV	7	10	465.60952381	478.271428571	101948	0.973525692723
chloroplast	ABAB_MAD	OCO	7	10	624.095238095	645.228571429	101800	0.96724674903
chloroplast	ABAB_MAD	QUI1	7	9	424.352380952	435.947619048	101922	0.973402221761
chloroplast	ABAB_MAD	QUI2	7	10	466.303174603	478.353968254	101927	0.974807789941
chloroplast	ABAB_MAD	QUIN	7	10	467.435714286	479.58452381	101947	0.974668053449
chloroplast	ABAB_MAD	RIC	7	10	465.876190476	478.271428571	101949	0.974083256171
chloroplast	ABAB_MAD	RSV	7	9	462.058730159	475.653968254	101945	0.971417797385
chloroplast	ABAB_MAD	SILG	7	10	454.819047619	472.025396825	101904	0.963547831701
chloroplast	ABAB_MAD	SILR	7	6	467.152380952	484.447619048	101946	0.964299054397
chloroplast	ABAB_MAD	STI	7	16	459.229761905	474.446428571	101947	0.967927534595
chloroplast	ABAB_MAD	TIL	7	9	455.262433862	477.000529101	101947	0.954427523846
chloroplast	ABAB_MAD	TULP	7	17	465.029551821	482.580672269	101949	0.963630701649
chloroplast	ABBE_BERN	ABMU_HOR	4	6	532.85	550.7	101900	0.967586707826
chloroplast	ABBE_BERN	BAI	4	10	559.924603175	581.916666667	101947	0.962207538035
chloroplast	ABBE_BERN	COM	4	9	565.25	576.777777778	101949	0.980013484878
chloroplast	ABBE_BERN	CROB	4	10	563.033333333	574.491666667	101904	0.980054831083
chloroplast	ABBE_BERN	CROS	4	10	557.3	577.866666667	101949	0.964409321643
chloroplast	ABBE_BERN	CY_ALA	4	3	517.333333333	527.666666667	101752	0.98041692988
chloroplast	ABBE_BERN	CY_BAL	4	3	50.1666666667	61.6666666667	101680	0.813513513514
chloroplast	ABBE_BERN	CY_BGL	4	2	30.6666666667	62.6666666667	101875	0.489361702128
chloroplast	ABBE_BERN	CY_BOU	4	5	529.333333333	539.666666667	101945	0.980852378011
chloroplast	ABBE_BERN	CY_CAS	4	5	384.833333333	502.166666667	101800	0.766345834716
chloroplast	ABBE_BERN	CY_HICN	4	5	451.433333333	462.516666667	101617	0.976036899571
chloroplast	ABBE_BERN	CY_HICS	4	5	525.5	536.166666667	101939	0.98010568853
chloroplast	ABBE_BERN	CY_HUN	4	5	270.6	281.383333333	101722	0.961677426998
chloroplast	ABBE_BERN	CY_SIE	4	4	319.791666667	482.041666667	101933	0.663410839312
chloroplast	ABBE_BERN	CY_WOO	4	5	527.8	538.866666667	101758	0.979463070642
chloroplast	ABBE_BERN	DAN	4	5	571.633333333	583.766666667	101894	0.979215439959
chloroplast	ABBE_BERN	DOV	4	7	567.361904762	578.423809524	101939	0.980875779005
chloroplast	ABBE_BERN	DUD	4	8	566.035714286	583.208333333	101949	0.970554914829
chloroplast	ABBE_BERN	KIRN	4	9	561.027777778	573.055555556	101949	0.979011148812
chloroplast	ABBE_BERN	KIRT	4	10	561.833333333	572.166666667	101862	0.981939994174
chloroplast	ABBE_BERN	MALV	4	10	566.566666667	577.966666667	101949	0.980275679105
chloroplast	ABBE_BERN	OCO	4	10	275.116666667	294.583333333	101819	0.933917963225
chloroplast	ABBE_BERN	QUI1	4	9	522.333333333	532.666666667	101892	0.980600750939
chloroplast	ABBE_BERN	QUI2	4	10	571.022222222	581.811111111	101903	0.981456371866
chloroplast	ABBE_BERN	QUIN	4	10	572.154761905	583.041666667	101926	0.981327398393
chloroplast	ABBE_BERN	RIC	4	10	566.833333333	577.966666667	101933	0.980737066728
chloroplast	ABBE_BERN	RSV	4	9	564.444444444	576.777777778	101947	0.978616836833
chloroplast	ABBE_BERN	SILG	4	10	564.633333333	580.577777778	101882	0.972536936385
chloroplast	ABBE_BERN	SILR	4	6	568.966666667	585	101948	0.972592592593
chloroplast	ABBE_BERN	STI	4	16	566.141233766	581.064177489	101948	0.974317907899
chloroplast	ABBE_BERN	TIL	4	9	560.046296296	580.716931217	101948	0.964404972872
chloroplast	ABBE_BERN	TULP	4	17	566.638795518	583.61372549	101949	0.970914100833
chloroplast	ABMU_HOR	BAI	6	10	460.024603175	479.2	103471	0.959984564221
chloroplast	ABMU_HOR	COM	6	9	474.916666667	483.627777778	103312	0.981987984331
chloroplast	ABMU_HOR	CROB	6	10	473.2	481.841666667	103408	0.982065339583
chloroplast	ABMU_HOR	CROS	6	10	467.466666667	485.216666667	103497	0.963418404149
chloroplast	ABMU_HOR	CY_ALA	6	3	427.666666667	435.183333333	101947	0.982727586075
chloroplast	ABMU_HOR	CY_BAL	6	3	542.933333333	551.95	101759	0.983663979225
chloroplast	ABMU_HOR	CY_BGL	6	2	525.433333333	554.95	102546	0.946812025107
chloroplast	ABMU_HOR	CY_BOU	6	5	433.266666667	440.783333333	103364	0.982947026128
chloroplast	ABMU_HOR	CY_CAS	6	5	348.82	463.336666667	101964	0.752843504723
chloroplast	ABMU_HOR	CY_HICN	6	5	622.2	630.466666667	101719	0.986888019456
chloroplast	ABMU_HOR	CY_HICS	6	5	429.433333333	437.283333333	102727	0.982048252468
chloroplast	ABMU_HOR	CY_HUN	6	5	632.033333333	640	101865	0.987552083333
chloroplast	ABMU_HOR	CY_SIE	6	4	424.1	583.533333333	103409	0.726779389923
chloroplast	ABMU_HOR	CY_WOO	6	5	433.466666667	441.716666667	101927	0.981322869109
chloroplast	ABMU_HOR	DAN	6	5	479.8	489.116666667	103386	0.980952056428
chloroplast	ABMU_HOR	DOV	6	7	459.528571429	467.773809524	103485	0.982373450742
chloroplast	ABMU_HOR	DUD	6	8	475.035714286	489.391666667	103488	0.970665719589
chloroplast	ABMU_HOR	KIRN	6	9	474.046296296	483.257407407	103458	0.980939534563
chloroplast	ABMU_HOR	KIRT	6	10	475.666666667	483.183333333	103353	0.984443447967
chloroplast	ABMU_HOR	MALV	6	10	476.733333333	485.316666667	103496	0.982313953089
chloroplast	ABMU_HOR	OCO	6	10	637.347619048	654.402380952	101986	0.973938417094
chloroplast	ABMU_HOR	QUI1	6	9	434.266666667	441.783333333	102300	0.982985626438
chloroplast	ABMU_HOR	QUI2	6	10	477.188888889	485.161111111	102791	0.983567886956
chloroplast	ABMU_HOR	QUIN	6	10	478.321428571	486.391666667	103431	0.983407943334
chloroplast	ABMU_HOR	RIC	6	10	477	485.316666667	103438	0.982863422508
chloroplast	ABMU_HOR	RSV	6	9	474.277777778	483.794444444	103492	0.980329111308
chloroplast	ABMU_HOR	SILG	6	10	456.8	469.927777778	103017	0.972064265194
chloroplast	ABMU_HOR	SILR	6	6	477.133333333	490.35	103428	0.97304646341
chloroplast	ABMU_HOR	STI	6	16	466.820021645	478.626298701	103495	0.975332995516
chloroplast	ABMU_HOR	TIL	6	9	465.888888889	483.548412698	102960	0.963479305596
chloroplast	ABMU_HOR	TULP	6	17	474.73487395	488.893137255	103497	0.971040167623
chloroplast	BAI	COM	10	9	149.407936508	162.261111111	103360	0.920787091157
chloroplast	BAI	CROB	10	10	148.291269841	161.075	104719	0.920634920635
chloroplast	BAI	CROS	10	10	142.557936508	164.45	106254	0.866877084268
chloroplast	BAI	CY_ALA	10	3	151.091269841	162.75	102002	0.928364177212
chloroplast	BAI	CY_BAL	10	3	569.424603175	582.35	101805	0.977804762041
chloroplast	BAI	CY_BGL	10	2	551.291269841	584.45	102575	0.943265069452
chloroplast	BAI	CY_BOU	10	5	157.091269841	168.75	103579	0.930911228689
chloroplast	BAI	CY_CAS	10	5	132.391269841	251.05	102018	0.527350208489
chloroplast	BAI	CY_HICN	10	5	641.291269841	653.7	101766	0.981017699008
chloroplast	BAI	CY_HICS	10	5	154.257936508	166.25	102781	0.927867287266
chloroplast	BAI	CY_HUN	10	5	652.791269841	664.9	101911	0.98178864467
chloroplast	BAI	CY_SIE	10	4	369.624603175	533.2	104995	0.693219435811
chloroplast	BAI	CY_WOO	10	5	158.091269841	170.483333333	101980	0.927312170347
chloroplast	BAI	DAN	10	5	153.931269841	167.39	103697	0.919596569934
chloroplast	BAI	DOV	10	7	118.534126984	130.921428571	106260	0.905383696753
chloroplast	BAI	DUD	10	8	151.876984127	170.375	103925	0.891427639777
chloroplast	BAI	KIRN	10	9	149.085714286	162.438888889	105573	0.91779570339
chloroplast	BAI	KIRT	10	10	150.691269841	162.35	105294	0.928187679959
chloroplast	BAI	MALV	10	10	151.824603175	164.55	106270	0.922665470523
chloroplast	BAI	OCO	10	10	659.005555556	680.202380952	102030	0.968837472508
chloroplast	BAI	QUI1	10	9	158.091269841	169.75	102353	0.93131823176
chloroplast	BAI	QUI2	10	10	161.88015873	173.994444444	102846	0.930375445302
chloroplast	BAI	QUIN	10	10	163.012698413	175.225	106214	0.930305027323
chloroplast	BAI	RIC	10	10	152.091269841	164.55	105833	0.924286051907
chloroplast	BAI	RSV	10	9	159.302380952	172.961111111	105125	0.921030050796
chloroplast	BAI	SILG	10	10	115.891269841	133.161111111	103076	0.870308672512
chloroplast	BAI	SILR	10	6	151.624603175	168.983333333	103608	0.89727548974
