organelle	population_1	population_2	n_population_1	n_population_2	numerator	denominator	callable_sites_with_at_least_two_calls_per_population	hudson_fst
mitochondria	ABAB_MAD	ABBE_BERN	4	3	33	33.5833333333	43145	0.982630272953
mitochondria	ABAB_MAD	ABMU_HOR	4	6	5.33333333333	6.75	43158	0.79012345679
mitochondria	ABAB_MAD	BAI	4	8	25	25.5	43160	0.980392156863
mitochondria	ABAB_MAD	COM	4	9	31	31.4722222222	43160	0.984995586937
mitochondria	ABAB_MAD	CROB	4	10	23.7777777778	24.4611111111	43160	0.972064501476
mitochondria	ABAB_MAD	CROS	4	10	23.0888888889	24.85	43160	0.929130337581
mitochondria	ABAB_MAD	CY_ALA	4	3	25	25.25	43159	0.990099009901
mitochondria	ABAB_MAD	CY_BAL	4	2	33	33.25	42617	0.992481203008
mitochondria	ABAB_MAD	CY_BGL	4	2	33	34.75	43145	0.94964028777
mitochondria	ABAB_MAD	CY_BOU	4	5	22	22.25	43158	0.988764044944
mitochondria	ABAB_MAD	CY_CAS	4	5	19.6	27.25	43158	0.719266055046
mitochondria	ABAB_MAD	CY_HICN	4	3	44	45.25	43157	0.972375690608
mitochondria	ABAB_MAD	CY_HICS	4	4	22	22.25	43159	0.988764044944
mitochondria	ABAB_MAD	CY_HUN	4	4	39	39.25	43149	0.993630573248
mitochondria	ABAB_MAD	CY_SIE	4	3	25.3333333333	39.0833333333	43160	0.648187633262
mitochondria	ABAB_MAD	CY_WOO	4	4	23	23.25	43149	0.989247311828
mitochondria	ABAB_MAD	DAN	4	5	30	30.25	42973	0.99173553719
mitochondria	ABAB_MAD	DOV	4	7	25	25.25	43160	0.990099009901
mitochondria	ABAB_MAD	DUD	4	8	23.5	24.125	43160	0.974093264249
mitochondria	ABAB_MAD	KIRN	4	9	25	25.25	43160	0.990099009901
mitochondria	ABAB_MAD	KIRT	4	10	25	25.25	43160	0.990099009901
mitochondria	ABAB_MAD	MALV	4	10	26	26.25	43160	0.990476190476
mitochondria	ABAB_MAD	OCO	4	10	40.3666666667	41.6944444444	43151	0.968154563624
mitochondria	ABAB_MAD	QUI1	4	8	22.1071428571	22.625	43160	0.977111286504
mitochondria	ABAB_MAD	QUI2	4	10	27	27.25	43015	0.990825688073
mitochondria	ABAB_MAD	QUIN	4	9	27	27.25	43015	0.990825688073
mitochondria	ABAB_MAD	RIC	4	9	25	25.25	43160	0.990099009901
mitochondria	ABAB_MAD	RSV	4	8	26.0357142857	26.625	43146	0.977867203219
mitochondria	ABAB_MAD	SILG	4	9	25.8253968254	27.1944444444	43152	0.949657084489
mitochondria	ABAB_MAD	SILR	4	6	29	29.25	43159	0.991452991453
mitochondria	ABAB_MAD	STI	4	16	25.4523809524	26.4375	43145	0.962737813802
mitochondria	ABAB_MAD	TIL	4	8	25.4047619048	27.0535714286	43145	0.939053905391
mitochondria	ABAB_MAD	TULP	4	17	24.1617647059	24.7794117647	43160	0.975074183976
mitochondria	ABBE_BERN	ABMU_HOR	3	6	28.3333333333	29.8333333333	43147	0.949720670391
mitochondria	ABBE_BERN	BAI	3	8	27	27.5833333333	43162	0.978851963746
mitochondria	ABBE_BERN	COM	3	9	31	31.5555555556	43162	0.982394366197
mitochondria	ABBE_BERN	CROB	3	10	29.3333333333	30.1	43162	0.974529346622
mitochondria	ABBE_BERN	CROS	3	10	27.4888888889	29.3333333333	43162	0.937121212121
mitochondria	ABBE_BERN	CY_ALA	3	3	25	25.3333333333	43152	0.986842105263
mitochondria	ABBE_BERN	CY_BAL	3	2	2	2.33333333333	42633	0.857142857143
mitochondria	ABBE_BERN	CY_BGL	3	2	1.38777878078e-17	1.33333333333	43161	1.04083408559e-17
mitochondria	ABBE_BERN	CY_BOU	3	5	22	22.3333333333	43159	0.985074626866
mitochondria	ABBE_BERN	CY_CAS	3	5	17.6	25.3333333333	43159	0.694736842105
mitochondria	ABBE_BERN	CY_HICN	3	3	29	30.3333333333	43158	0.956043956044
mitochondria	ABBE_BERN	CY_HICS	3	4	22	22.3333333333	43158	0.985074626866
mitochondria	ABBE_BERN	CY_HUN	3	4	19	19.3333333333	43159	0.98275862069
mitochondria	ABBE_BERN	CY_SIE	3	3	15.6666666667	29.1666666667	43159	0.537142857143
mitochondria	ABBE_BERN	CY_WOO	3	4	23	23.3333333333	43149	0.985714285714
mitochondria	ABBE_BERN	DAN	3	5	30	30.3333333333	42975	0.989010989011
mitochondria	ABBE_BERN	DOV	3	7	27	27.3333333333	43162	0.987804878049
mitochondria	ABBE_BERN	DUD	3	8	26	26.7083333333	43162	0.973478939158
mitochondria	ABBE_BERN	KIRN	3	9	27	27.3333333333	43162	0.987804878049
mitochondria	ABBE_BERN	KIRT	3	10	27	27.3333333333	43162	0.987804878049
mitochondria	ABBE_BERN	MALV	3	10	28	28.3333333333	43162	0.988235294118
mitochondria	ABBE_BERN	OCO	3	10	18.3666666667	19.7777777778	43161	0.928651685393
mitochondria	ABBE_BERN	QUI1	3	8	24.1071428571	24.7083333333	43159	0.975668513611
mitochondria	ABBE_BERN	QUI2	3	10	29	29.3333333333	43018	0.988636363636
mitochondria	ABBE_BERN	QUIN	3	9	29	29.3333333333	43018	0.988636363636
mitochondria	ABBE_BERN	RIC	3	9	27	27.3333333333	43162	0.987804878049
