organelle	population_1	population_2	n_population_1	n_population_2	numerator	denominator	callable_sites_with_at_least_two_calls_per_population	hudson_fst
mitochondria	ABAB_MAD	ABBE_BERN	7	4	32.2095238095	33.4404761905	43132	0.963189747241
mitochondria	ABAB_MAD	ABMU_HOR	7	6	4.54285714286	6.69047619048	43147	0.679003558719
mitochondria	ABAB_MAD	BAI	7	10	24.2761904762	25.5904761905	43149	0.948641607741
mitochondria	ABAB_MAD	COM	7	9	30.2095238095	31.4126984127	43149	0.961697827185
mitochondria	ABAB_MAD	CROB	7	10	22.9873015873	24.4015873016	43149	0.942041241137
mitochondria	ABAB_MAD	CROS	7	10	22.2984126984	24.7904761905	43149	0.899474964784
mitochondria	ABAB_MAD	CY_ALA	7	3	24.2095238095	25.1904761905	43145	0.961058601134
mitochondria	ABAB_MAD	CY_BAL	7	2	32.2095238095	33.0476190476	42603	0.974639769452
mitochondria	ABAB_MAD	CY_BGL	7	2	32.2095238095	34.6904761905	43131	0.928483184626
mitochondria	ABAB_MAD	CY_BOU	7	5	21.2095238095	22.1904761905	43144	0.955793991416
mitochondria	ABAB_MAD	CY_CAS	7	5	18.8095238095	27.1904761905	43144	0.69176882662
mitochondria	ABAB_MAD	CY_HICN	7	5	44.0095238095	46.0904761905	43144	0.954850707718
mitochondria	ABAB_MAD	CY_HICS	7	4	21.2095238095	22.1904761905	43144	0.955793991416
mitochondria	ABAB_MAD	CY_HUN	7	4	38.2095238095	39.1904761905	43136	0.974969623329
mitochondria	ABAB_MAD	CY_SIE	7	4	29.7095238095	40.9404761905	43149	0.725676068625
mitochondria	ABAB_MAD	CY_WOO	7	5	21.8095238095	22.9904761905	43138	0.948632974316
mitochondria	ABAB_MAD	DAN	7	5	29.2095238095	30.1904761905	42962	0.967507886435
mitochondria	ABAB_MAD	DOV	7	7	24.2095238095	25.1904761905	43149	0.961058601134
mitochondria	ABAB_MAD	DUD	7	8	22.7095238095	24.0654761905	43149	0.943655701212
mitochondria	ABAB_MAD	KIRN	7	9	24.2095238095	25.1904761905	43149	0.961058601134
mitochondria	ABAB_MAD	KIRT	7	10	24.2095238095	25.1904761905	43149	0.961058601134
mitochondria	ABAB_MAD	MALV	7	10	25.2095238095	26.1904761905	43149	0.962545454545
mitochondria	ABAB_MAD	OCO	7	10	39.5761904762	41.6349206349	43140	0.950552802135
mitochondria	ABAB_MAD	QUI1	7	8	21.3166666667	22.5654761905	43146	0.944658401477
mitochondria	ABAB_MAD	QUI2	7	10	26.2095238095	27.1904761905	43016	0.963922942207
mitochondria	ABAB_MAD	QUIN	7	10	26.2095238095	27.1904761905	43020	0.963922942207
mitochondria	ABAB_MAD	RIC	7	10	23.8095238095	24.9904761905	43149	0.952743902439
mitochondria	ABAB_MAD	RSV	7	9	25.2928571429	26.6349206349	43149	0.949612634088
mitochondria	ABAB_MAD	SILG	7	10	24.9761904762	27.0349206349	43142	0.923849224988
mitochondria	ABAB_MAD	SILR	7	6	28.2095238095	29.1904761905	43148	0.966394779772
mitochondria	ABAB_MAD	STI	7	16	24.6619047619	26.3779761905	43149	0.93494302155
mitochondria	ABAB_MAD	TIL	7	8	24.6142857143	26.994047619	43149	0.91184123484
mitochondria	ABAB_MAD	TULP	7	17	23.3712885154	24.7198879552	43149	0.945444759207
mitochondria	ABBE_BERN	ABMU_HOR	4	6	28.3333333333	29.75	43132	0.952380952381
mitochondria	ABBE_BERN	BAI	4	10	28.0666666667	28.65	43145	0.979639325189
mitochondria	ABBE_BERN	COM	4	9	32	32.4722222222	43145	0.985457656116
mitochondria	ABBE_BERN	CROB	4	10	30.3333333333	31.0166666667	43145	0.97796883396
mitochondria	ABBE_BERN	CROS	4	10	28.4888888889	30.25	43145	0.941781450872
